date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2006-10-12,25.37,25.84,25.37,25.83,23.0641,9100.0,0.0,1.0
2006-10-13,26.32,26.32,26.17,26.17,23.3677,2100.0,0.0,1.0
2006-10-16,26.44,26.8,26.44,26.79,23.9213,4000.0,0.0,1.0
2006-10-17,26.84,26.84,26.32,26.48,23.6445,6500.0,0.0,1.0
2006-10-18,26.65,26.65,26.34,26.34,23.5195,800.0,0.0,1.0
2006-10-19,26.69,26.94,26.69,26.94,24.0553,700.0,0.0,1.0
2006-10-20,27.05,27.05,26.57,26.63,23.7785,1800.0,0.0,1.0
2006-10-23,26.65,26.65,26.33,26.56,23.716,1300.0,0.0,1.0
2006-10-24,26.91,27.15,26.91,27.15,24.2428,11400.0,0.0,1.0
2006-10-25,27.28,27.79,27.26,27.77,24.7964,6200.0,0.0,1.0
2006-10-26,27.83,27.86,27.5,27.64,24.6803,5100.0,0.0,1.0
2006-10-27,27.8,27.83,27.73,27.73,24.7607,2200.0,0.0,1.0
2006-10-30,27.19,27.19,27.05,27.05,24.1535,2100.0,0.0,1.0
2006-10-31,27.1,27.1,26.8,27.02,24.1267,4100.0,0.0,1.0
2006-11-01,27.04,27.04,26.93,26.93,24.0463,4100.0,0.0,1.0
2006-11-02,26.89,26.89,26.89,26.89,24.0106,200.0,0.0,1.0
2006-11-03,27.22,27.43,27.22,27.43,24.4928,5500.0,0.0,1.0
2006-11-06,27.45,27.57,27.3,27.57,24.6178,2900.0,0.0,1.0
2006-11-07,27.44,27.44,27.25,27.33,24.4035,1000.0,0.0,1.0
2006-11-08,27.36,27.74,27.36,27.74,24.7696,400.0,0.0,1.0
2006-11-09,28.13,28.13,27.98,27.98,24.9839,2900.0,0.0,1.0
2006-11-10,27.85,27.85,27.58,27.64,24.6803,1400.0,0.0,1.0
2006-11-13,27.61,27.63,27.6,27.6,24.6446,2800.0,0.0,1.0
2006-11-14,27.61,27.71,27.58,27.71,24.7428,8600.0,0.0,1.0
2006-11-15,27.84,28.23,27.84,28.1,25.0911,800.0,0.0,1.0
2006-11-16,27.47,27.47,27.37,27.43,24.4928,2900.0,0.0,1.0
2006-11-17,27.18,27.63,27.1,27.6,24.6446,2100.0,0.0,1.0
2006-11-20,27.74,27.74,27.64,27.65,24.6893,1300.0,0.0,1.0
2006-11-21,27.78,27.78,27.78,27.78,24.8053,100.0,0.0,1.0
2006-11-22,28.11,28.11,27.74,27.94,24.9482,1000.0,0.0,1.0
2006-11-24,27.94,27.94,27.94,27.94,24.9482,0.0,0.0,1.0
2006-11-27,28.15,28.15,27.72,27.72,24.7518,1500.0,0.0,1.0
2006-11-28,28.16,28.16,28.16,28.16,25.1446,400.0,0.0,1.0
2006-11-29,28.25,28.92,28.25,28.92,25.8233,3500.0,0.0,1.0
2006-11-30,29.05,29.16,28.9,29.1,25.984,7000.0,0.0,1.0
2006-12-01,29.0,29.15,28.6,29.15,26.0286,6600.0,0.0,1.0
2006-12-04,29.18,29.18,28.95,29.08,25.9661,14300.0,0.0,1.0
2006-12-05,29.26,29.35,29.06,29.14,26.0197,8300.0,0.0,1.0
2006-12-06,29.2,29.51,29.2,29.26,26.1268,12600.0,0.0,1.0
2006-12-07,29.3,29.3,29.0,29.13,26.0108,13700.0,0.0,1.0
2006-12-08,29.23,29.23,29.11,29.11,25.9929,1000.0,0.0,1.0
2006-12-11,29.09,29.1,29.05,29.05,25.9393,2200.0,0.0,1.0
2006-12-12,28.77,28.87,28.77,28.8,25.7161,700.0,0.0,1.0
2006-12-13,28.91,29.15,28.91,29.12,26.0018,2600.0,0.0,1.0
2006-12-14,29.33,29.6,29.33,29.56,26.3947,4600.0,0.0,1.0
2006-12-15,29.47,29.47,29.38,29.41,26.2821,1300.0,0.024,1.0
2006-12-18,29.51,29.51,28.32,28.32,25.3081,6100.0,0.0,1.0
2006-12-19,28.17,28.85,28.17,28.81,25.7459,5300.0,0.0,1.0
2006-12-20,28.8,28.8,28.43,28.47,25.4421,3400.0,0.0,1.0
2006-12-21,28.6,28.6,28.18,28.2,25.2008,1300.0,0.0,1.0
2006-12-22,28.09,28.09,28.09,28.09,25.1025,300.0,0.0,1.0
2006-12-26,28.1,28.12,27.84,27.91,24.9417,2000.0,0.0,1.0
2006-12-27,28.08,28.18,27.85,28.18,25.1829,4800.0,0.0,1.0
2006-12-28,28.19,28.21,28.14,28.21,25.2098,1900.0,0.0,1.0
2006-12-29,28.07,28.07,27.86,27.86,24.897,2700.0,0.0,1.0
2007-01-03,27.3,27.3,26.89,26.94,24.0748,2700.0,0.0,1.0
2007-01-04,26.6,26.61,26.48,26.48,23.6637,1900.0,0.0,1.0
2007-01-05,26.49,26.5,26.3,26.46,23.6459,9100.0,0.0,1.0
2007-01-08,26.82,26.82,26.6,26.6,23.771,2100.0,0.0,1.0
2007-01-09,26.19,26.46,26.05,26.38,23.5744,6800.0,0.0,1.0
2007-01-10,26.24,26.24,26.03,26.03,23.2616,3100.0,0.0,1.0
2007-01-11,26.45,26.45,25.87,25.87,23.1186,3900.0,0.0,1.0
2007-01-12,26.09,26.57,26.09,26.54,23.7174,8800.0,0.0,1.0
2007-01-16,26.44,26.44,26.23,26.24,23.4493,1700.0,0.0,1.0
2007-01-17,26.4,26.52,26.4,26.46,23.6459,11600.0,0.0,1.0
2007-01-18,26.49,26.49,26.13,26.18,23.3956,3300.0,0.0,1.0
2007-01-19,26.59,26.75,26.59,26.75,23.905,800.0,0.0,1.0
2007-01-22,26.96,26.96,26.63,26.63,23.7978,2500.0,0.0,1.0
2007-01-23,27.08,27.52,27.08,27.43,24.5127,5500.0,0.0,1.0
2007-01-24,27.25,27.57,27.23,27.57,24.6378,3500.0,0.0,1.0
2007-01-25,27.21,27.3,27.0,27.07,24.191,18300.0,0.0,1.0
2007-01-26,27.12,27.19,27.12,27.19,24.2982,1200.0,0.0,1.0
2007-01-29,27.43,27.43,27.14,27.2,24.3072,1600.0,0.0,1.0
2007-01-30,27.45,27.88,27.39,27.87,24.9059,4500.0,0.0,1.0
2007-01-31,27.79,28.06,27.65,28.01,25.031,4100.0,0.0,1.0
2007-02-01,28.14,28.24,28.12,28.24,25.2366,2100.0,0.0,1.0
2007-02-02,28.31,28.31,28.12,28.12,25.1293,700.0,0.0,1.0
2007-02-05,28.35,28.35,28.19,28.23,25.2276,3000.0,0.0,1.0
2007-02-06,28.28,28.3,28.11,28.22,25.2187,2100.0,0.0,1.0
2007-02-07,28.28,28.37,28.0,28.12,25.1293,2800.0,0.0,1.0
2007-02-08,27.98,28.28,27.97,28.28,25.2723,49000.0,0.0,1.0
2007-02-09,28.38,28.39,28.12,28.12,25.1293,4700.0,0.0,1.0
2007-02-12,28.06,28.06,27.8,27.93,24.9595,2800.0,0.0,1.0
2007-02-13,27.95,28.27,27.95,28.24,25.2366,1800.0,0.0,1.0
2007-02-14,28.47,28.48,28.25,28.4,25.3795,5800.0,0.0,1.0
2007-02-15,27.88,28.1,27.88,28.05,25.0668,2800.0,0.0,1.0
2007-02-16,28.11,28.11,28.05,28.08,25.0936,1500.0,0.0,1.0
2007-02-20,27.89,28.09,27.89,28.09,25.1025,1600.0,0.0,1.0
2007-02-21,28.07,28.36,28.07,28.31,25.2991,3100.0,0.0,1.0
2007-02-22,28.62,28.62,28.61,28.61,25.5672,1500.0,0.0,1.0
2007-02-23,28.85,28.87,28.71,28.83,25.7638,8300.0,0.0,1.0
2007-02-26,29.05,29.11,28.99,28.99,25.9068,1300.0,0.0,1.0
2007-02-27,28.2,28.65,27.85,28.13,25.1383,6400.0,0.0,1.0
2007-02-28,27.88,28.2,27.88,28.11,25.1204,2600.0,0.0,1.0
2007-03-01,27.47,28.1,27.47,28.1,25.1115,1200.0,0.0,1.0
2007-03-02,27.56,27.7,27.56,27.7,24.754,600.0,0.0,1.0
2007-03-05,27.39,27.42,27.19,27.19,24.2982,3900.0,0.0,1.0
2007-03-06,27.49,27.74,27.43,27.71,24.7629,7000.0,0.0,1.0
2007-03-07,27.84,28.43,27.76,28.1,25.1115,28200.0,0.0,1.0
2007-03-08,28.5,28.5,28.18,28.31,25.2991,29500.0,0.0,1.0
2007-03-09,28.32,28.42,28.16,28.32,25.3081,21500.0,0.0,1.0
2007-03-12,28.17,28.44,28.17,28.44,25.4153,7500.0,0.0,1.0
2007-03-13,28.44,28.44,28.06,28.06,25.0757,1700.0,0.0,1.0
2007-03-14,28.3,28.39,27.94,28.38,25.3617,3300.0,0.0,1.0
2007-03-15,28.3,28.52,28.3,28.42,25.3974,1600.0,0.0,1.0
2007-03-16,28.53,28.53,28.25,28.25,25.2526,6100.0,0.008,1.0
2007-03-19,28.7,28.88,28.59,28.87,25.8068,4000.0,0.0,1.0
2007-03-20,28.82,28.97,28.73,28.97,25.8962,1900.0,0.0,1.0
2007-03-21,29.13,29.57,29.13,29.44,26.3164,7000.0,0.0,1.0
2007-03-22,29.63,29.87,29.62,29.8,26.6382,3600.0,0.0,1.0
2007-03-23,29.91,29.95,29.84,29.95,26.7722,4900.0,0.0,1.0
2007-03-26,30.09,30.09,29.76,30.08,26.8884,9600.0,0.0,1.0
2007-03-27,29.99,30.04,29.86,30.04,26.8527,4300.0,0.0,1.0
2007-03-28,30.06,30.16,29.9,29.97,26.7901,9500.0,0.0,1.0
2007-03-29,30.1,30.1,30.01,30.01,26.8259,500.0,0.0,1.0
2007-03-30,30.2,30.2,29.9,29.9,26.7275,15500.0,0.0,1.0
2007-04-02,30.08,30.31,30.01,30.31,27.094,1300.0,0.0,1.0
2007-04-03,30.36,30.39,30.13,30.35,27.1298,33300.0,0.0,1.0
2007-04-04,30.27,30.46,30.19,30.46,27.2281,3500.0,0.0,1.0
2007-04-05,30.55,30.62,30.54,30.59,27.3443,34600.0,0.0,1.0
2007-04-09,30.68,30.92,30.6,30.68,27.4248,7900.0,0.0,1.0
2007-04-10,30.84,31.07,30.84,31.07,27.7734,6500.0,0.0,1.0
2007-04-11,31.1,31.13,30.89,30.89,27.6125,5100.0,0.0,1.0
2007-04-12,31.04,31.33,30.93,31.32,27.9969,18100.0,0.0,1.0
2007-04-13,31.39,31.39,31.19,31.38,28.0505,7100.0,0.0,1.0
2007-04-16,31.48,31.56,31.25,31.54,28.1935,9400.0,0.0,1.0
2007-04-17,31.67,31.67,31.31,31.35,28.0237,8400.0,0.0,1.0
2007-04-18,31.13,31.24,31.11,31.15,27.8449,5400.0,0.0,1.0
2007-04-19,30.95,30.98,30.8,30.85,27.5767,9000.0,0.0,1.0
2007-04-20,31.11,31.13,30.94,31.06,27.7645,9900.0,0.0,1.0
2007-04-23,31.27,31.53,31.27,31.4,28.0684,4600.0,0.0,1.0
2007-04-24,31.42,31.44,31.29,31.42,28.0863,6300.0,0.0,1.0
2007-04-25,31.67,32.23,31.66,32.14,28.7299,9200.0,0.0,1.0
2007-04-26,32.19,32.28,31.96,32.28,28.855,5300.0,0.0,1.0
2007-04-27,32.17,32.44,32.05,32.31,28.8818,7200.0,0.0,1.0
2007-04-30,32.42,32.5,31.87,31.87,28.4885,11300.0,0.0,1.0
2007-05-01,31.77,32.05,31.77,32.0,28.6047,3000.0,0.0,1.0
2007-05-02,32.32,32.46,32.11,32.46,29.0159,22600.0,0.0,1.0
2007-05-03,32.42,32.71,32.32,32.64,29.1768,8000.0,0.0,1.0
2007-05-04,32.66,32.92,32.49,32.54,29.0874,5900.0,0.0,1.0
2007-05-07,32.58,32.68,32.57,32.67,29.2036,6500.0,0.0,1.0
2007-05-08,32.58,32.66,32.25,32.66,29.1947,13100.0,0.0,1.0
2007-05-09,32.62,32.67,32.39,32.66,29.1947,8800.0,0.0,1.0
2007-05-10,32.82,32.82,32.17,32.19,28.7746,10400.0,0.0,1.0
2007-05-11,32.38,32.96,32.31,32.79,29.3109,37100.0,0.0,1.0
2007-05-14,32.91,32.99,32.68,32.78,29.302,18400.0,0.0,1.0
2007-05-15,32.82,33.07,32.73,32.74,29.2662,6200.0,0.0,1.0
2007-05-16,32.68,32.74,32.3,32.74,29.2662,3100.0,0.0,1.0
2007-05-17,32.87,33.36,32.67,33.36,29.8204,13700.0,0.0,1.0
2007-05-18,33.37,33.66,33.37,33.66,30.0886,13700.0,0.0,1.0
2007-05-21,33.87,34.37,33.83,34.14,30.5177,31200.0,0.0,1.0
2007-05-22,34.25,34.43,33.98,33.98,30.3746,22400.0,0.0,1.0
2007-05-23,34.18,34.43,34.0,34.0,30.3925,14500.0,0.0,1.0
2007-05-24,34.07,34.16,33.14,33.2,29.6774,17600.0,0.0,1.0
2007-05-25,33.59,33.66,33.4,33.64,30.0707,10300.0,0.0,1.0
2007-05-29,33.67,33.68,33.45,33.67,30.0975,12100.0,0.0,1.0
2007-05-30,33.34,34.17,33.34,34.15,30.5266,6200.0,0.0,1.0
2007-05-31,34.2,34.36,33.97,34.03,30.4193,10800.0,0.0,1.0
2007-06-01,34.33,34.36,34.2,34.32,30.6786,43200.0,0.0,1.0
2007-06-04,34.48,34.83,34.4,34.82,31.1255,72700.0,0.0,1.0
2007-06-05,34.63,34.63,34.4,34.62,30.9467,14500.0,0.0,1.0
2007-06-06,34.43,34.43,33.95,34.07,30.4551,21600.0,0.0,1.0
2007-06-07,33.99,34.06,33.24,33.25,29.7221,24500.0,0.0,1.0
2007-06-08,33.08,33.4,32.86,33.4,29.8562,27100.0,0.0,1.0
2007-06-11,33.46,33.83,33.38,33.7,30.1244,14500.0,0.0,1.0
2007-06-12,33.46,33.68,33.2,33.2,29.6774,23200.0,0.0,1.0
2007-06-13,33.52,33.97,33.38,33.85,30.2584,20700.0,0.0,1.0
2007-06-14,34.27,34.49,34.27,34.49,30.8305,27200.0,0.0,1.0
2007-06-15,34.8,34.89,34.71,34.84,31.1696,18700.0,0.029,1.0
2007-06-18,34.91,35.06,34.76,34.9,31.2233,30200.0,0.0,1.0
2007-06-19,34.9,35.09,34.63,34.96,31.277,120300.0,0.0,1.0
2007-06-20,35.2,35.2,34.18,34.18,30.5791,60200.0,0.0,1.0
2007-06-21,34.44,34.76,34.2,34.73,31.0712,87600.0,0.0,1.0
2007-06-22,34.69,34.81,34.24,34.6,30.9549,64000.0,0.0,1.0
2007-06-25,34.49,34.63,34.1,34.23,30.6239,45300.0,0.0,1.0
2007-06-26,34.3,34.3,33.57,33.57,30.0334,15300.0,0.0,1.0
2007-06-27,33.26,33.86,33.23,33.75,30.1944,24100.0,0.0,1.0
2007-06-28,34.37,34.37,33.99,33.99,30.4091,10800.0,0.0,1.0
2007-06-29,34.28,34.49,34.02,34.16,30.5612,8100.0,0.0,1.0
2007-07-02,34.34,34.67,34.34,34.65,30.9996,17700.0,0.0,1.0
2007-07-03,34.82,34.93,34.82,34.9,31.2233,5100.0,0.0,1.0
2007-07-05,35.07,35.16,34.56,34.94,31.2591,15900.0,0.0,1.0
2007-07-06,35.05,35.25,34.97,35.13,31.4291,47500.0,0.0,1.0
2007-07-09,35.31,35.52,35.26,35.45,31.7153,13400.0,0.0,1.0
2007-07-10,35.13,35.58,35.09,35.2,31.4917,19100.0,0.0,1.0
2007-07-11,35.28,35.32,35.12,35.14,31.438,16000.0,0.0,1.0
2007-07-12,35.48,35.62,35.39,35.62,31.8674,13600.0,0.0,1.0
2007-07-13,35.62,35.96,35.62,35.84,32.0643,8200.0,0.0,1.0
2007-07-16,35.8,35.8,35.25,35.38,31.6527,25900.0,0.0,1.0
2007-07-17,35.59,35.59,35.04,35.07,31.3754,9100.0,0.0,1.0
2007-07-18,34.95,35.61,34.89,35.52,31.778,6300.0,0.0,1.0
2007-07-19,35.75,35.88,35.66,35.88,32.1,10000.0,0.0,1.0
2007-07-20,35.99,35.99,35.38,35.58,31.8316,8900.0,0.0,1.0
2007-07-23,35.99,35.99,35.56,35.66,31.9032,5600.0,0.0,1.0
2007-07-24,35.22,35.22,34.29,34.39,30.767,32400.0,0.0,1.0
2007-07-25,34.71,34.71,33.9,34.68,31.0265,7400.0,0.0,1.0
2007-07-26,34.03,34.28,33.06,33.78,30.2213,29500.0,0.0,1.0
2007-07-27,33.47,33.85,32.65,32.65,29.2103,27400.0,0.0,1.0
