date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2006-05-02,19.75,19.75,19.56,19.61,18.3509,7200.0,0.0,1.0
2006-05-03,19.59,19.62,19.54,19.61,18.3509,74400.0,0.0,1.0
2006-05-04,19.71,19.85,19.71,19.79,18.5194,116000.0,0.0,1.0
2006-05-05,19.94,20.01,19.87,20.0,18.7159,8500.0,0.0,1.0
2006-05-08,20.49,20.49,19.97,20.04,18.7533,45600.0,0.0,1.0
2006-05-09,20.43,20.43,19.94,20.01,18.7253,65200.0,0.0,1.0
2006-05-10,19.93,19.97,19.79,19.89,18.613,14100.0,0.0,1.0
2006-05-11,20.24,20.24,19.47,19.47,18.2199,69600.0,0.0,1.0
2006-05-12,19.0,19.37,19.0,19.11,17.883,60300.0,0.0,1.0
2006-05-15,19.0,19.09,18.9,18.98,17.7614,3300.0,0.0,1.0
2006-05-16,19.17,19.17,18.89,18.98,17.7614,13400.0,0.0,1.0
2006-05-17,18.84,18.84,18.63,18.7,17.4994,29000.0,0.0,1.0
2006-05-18,18.77,18.77,18.5,18.51,17.3216,13500.0,0.0,1.0
2006-05-19,18.4,18.67,18.4,18.61,17.4151,14900.0,0.0,1.0
2006-05-22,18.27,18.54,18.25,18.47,17.2841,10200.0,0.0,1.0
2006-05-23,19.18,19.18,18.25,18.3,17.125,34000.0,0.0,1.0
2006-05-24,18.23,18.39,18.04,18.04,16.8817,8000.0,0.0,1.0
2006-05-25,18.95,18.95,18.31,18.51,17.3216,16300.0,0.0,1.0
2006-05-26,18.14,18.63,18.14,18.62,17.4245,10700.0,0.0,1.0
2006-05-30,18.47,18.47,18.31,18.31,17.1344,9300.0,0.0,1.0
2006-05-31,18.87,18.87,18.34,18.5,17.3122,9500.0,0.0,1.0
2006-06-01,18.65,19.11,18.5,18.86,17.6491,37600.0,0.0,1.0
2006-06-02,19.36,19.36,18.7,18.84,17.6304,53500.0,0.0,1.0
2006-06-05,18.89,18.89,18.41,18.41,17.228,29300.0,0.0,1.0
2006-06-06,18.63,18.63,18.18,18.32,17.1438,75700.0,0.0,1.0
2006-06-07,18.51,18.53,18.24,18.24,17.0689,75500.0,0.0,1.0
2006-06-08,18.05,18.11,17.78,18.06,16.9005,39700.0,0.0,1.0
2006-06-09,18.77,18.77,18.03,18.12,16.9566,43200.0,0.0,1.0
2006-06-12,17.85,17.89,17.64,17.64,16.5074,6100.0,0.0,1.0
2006-06-13,17.48,17.78,17.48,17.51,16.3858,14300.0,0.0,1.0
2006-06-14,17.15,17.63,17.03,17.57,16.4419,81200.0,0.0,1.0
2006-06-15,17.75,18.22,17.75,18.22,17.0502,12800.0,0.0,1.0
2006-06-16,18.21,18.21,18.03,18.1,16.9379,15800.0,0.0,1.0
2006-06-19,18.1,18.11,17.83,17.91,16.7601,15400.0,0.0,1.0
2006-06-20,17.92,18.03,17.85,17.88,16.732,2300.0,0.0,1.0
2006-06-21,18.05,18.38,17.92,18.25,17.0783,4500.0,0.0,1.0
2006-06-22,17.98,18.06,17.98,18.06,16.9005,2700.0,0.0,1.0
2006-06-23,18.21,18.21,18.01,18.15,16.9847,4000.0,0.0,1.0
2006-06-26,18.13,18.13,18.13,18.13,16.9659,4100.0,0.0,1.0
2006-06-27,18.32,18.32,17.82,17.86,16.7133,44500.0,0.0,1.0
2006-06-28,17.85,17.93,17.79,17.9,16.7507,800.0,0.0,1.0
2006-06-29,17.9,18.45,17.9,18.45,17.2654,20100.0,0.0,1.0
2006-06-30,18.95,18.95,18.4,18.42,17.2373,43300.0,0.0,1.0
