date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2007-02-01,20.0,22.0,20.0,20.1,6.6873,18300.0,0.0,1.0
2007-02-02,20.61,20.61,20.25,20.25,6.7372,14700.0,0.0,1.0
2007-02-05,20.01,20.5,20.0,20.2,6.7205,14200.0,0.0,1.0
2007-02-06,20.5,20.5,20.0,20.0,6.654,44400.0,0.0,1.0
2007-02-07,20.0,20.5,19.89,20.07,6.6773,19600.0,0.0,1.0
2007-02-08,20.4,20.4,20.0,20.14,6.7006,18800.0,0.0,1.0
2007-02-09,21.75,21.75,20.48,20.53,6.8303,43400.0,0.0,1.0
2007-02-12,20.5,21.9,20.26,20.52,6.827,11300.0,0.0,1.0
2007-02-13,20.56,21.0,20.25,20.45,6.8037,10800.0,0.0,1.0
2007-02-14,20.65,20.65,20.25,20.3,6.7538,12700.0,0.0,1.0
2007-02-15,20.65,20.65,20.3,20.49,6.817,10100.0,0.0,1.0
2007-02-16,20.8,20.8,20.15,20.24,6.7338,18100.0,0.0,1.0
2007-02-20,20.1,20.2,20.0,20.01,6.6573,17100.0,0.0,1.0
2007-02-21,20.0,20.3,20.0,20.24,6.7338,71100.0,0.0,1.0
2007-02-22,21.4,21.4,20.25,20.4,6.7871,22500.0,0.0,1.0
2007-02-23,20.25,20.25,20.0,20.15,6.7039,15700.0,0.0,1.0
2007-02-26,19.75,20.1,19.7,20.0,6.654,53900.0,0.0,1.0
2007-02-27,20.0,20.19,20.0,20.0,6.654,136600.0,0.0,1.0
2007-02-28,20.45,20.45,20.0,20.01,6.6573,61900.0,0.0,1.0
2007-03-01,20.0,20.03,20.0,20.0,6.654,47200.0,0.0,1.0
2007-03-02,19.85,20.01,19.85,20.01,6.6573,76900.0,0.0,1.0
2007-03-05,19.89,20.15,19.88,20.0,6.654,165400.0,0.0,1.0
2007-03-06,20.0,20.1,20.0,20.0,6.654,49200.0,0.0,1.0
2007-03-07,20.0,20.09,20.0,20.0,6.654,20400.0,0.0,1.0
2007-03-08,20.0,20.11,20.0,20.0,6.654,14000.0,0.0,1.0
2007-03-09,20.0,20.09,20.0,20.0,6.654,8300.0,0.0,1.0
2007-03-12,20.15,20.15,20.0,20.01,6.6573,7500.0,0.0,1.0
2007-03-13,20.0,20.07,20.0,20.0,6.654,10300.0,0.0,1.0
2007-03-14,20.0,20.09,19.95,20.0,6.654,12900.0,0.0,1.0
2007-03-15,20.0,20.0,19.9,19.97,6.644,4600.0,0.0,1.0
2007-03-16,20.0,20.12,20.0,20.12,6.6939,4400.0,0.0,1.0
2007-03-19,20.15,20.15,19.78,19.97,6.644,14400.0,0.0,1.0
2007-03-20,19.8,20.01,19.8,20.0,6.7569,36100.0,0.304,1.0
2007-03-21,19.9,20.05,19.9,20.0,6.7569,25400.0,0.0,1.0
2007-03-22,20.1,20.1,19.9,19.95,6.74,12000.0,0.0,1.0
2007-03-23,19.9,19.95,19.9,19.94,6.7366,11800.0,0.0,1.0
2007-03-26,19.94,20.04,19.52,19.65,6.6386,90700.0,0.0,1.0
2007-03-27,19.78,19.82,19.5,19.77,6.6792,24100.0,0.0,1.0
2007-03-28,19.57,19.72,19.33,19.47,6.5778,17200.0,0.0,1.0
2007-03-29,19.32,19.78,19.3,19.4,6.5541,19000.0,0.0,1.0
2007-03-30,19.61,19.61,19.32,19.33,6.5305,4100.0,0.0,1.0
2007-04-02,19.25,19.6,19.17,19.25,6.5035,26000.0,0.0,1.0
2007-04-03,19.45,19.69,19.21,19.45,6.571,30100.0,0.0,1.0
2007-04-04,19.32,19.63,19.32,19.34,6.5339,30300.0,0.0,1.0
2007-04-05,19.32,19.85,19.32,19.7,6.6555,16400.0,0.0,1.0
2007-04-09,20.15,20.2,20.01,20.18,6.8177,80100.0,0.0,1.0
2007-04-10,20.48,20.48,20.13,20.29,6.8548,49400.0,0.0,1.0
2007-04-11,20.46,20.46,20.0,20.09,6.7873,36800.0,0.0,1.0
2007-04-12,20.0,20.25,20.0,20.04,6.7704,33100.0,0.0,1.0
2007-04-13,20.32,20.32,20.01,20.04,6.7704,34600.0,0.0,1.0
2007-04-16,20.46,20.46,20.02,20.07,6.7805,46500.0,0.0,1.0
2007-04-17,20.07,20.14,20.0,20.05,6.7737,50900.0,0.0,1.0
2007-04-18,20.02,20.05,20.0,20.0,6.7569,27900.0,0.0,1.0
2007-04-19,20.0,20.01,19.95,19.96,6.7433,40500.0,0.0,1.0
2007-04-20,19.95,20.06,19.75,19.83,6.6994,43400.0,0.0,1.0
2007-04-23,19.99,20.0,19.8,19.86,6.7096,38900.0,0.0,1.0
2007-04-24,19.98,19.98,19.75,19.78,6.6825,33900.0,0.0,1.0
2007-04-25,20.0,20.08,19.65,19.68,6.6487,73500.0,0.0,1.0
2007-04-26,19.75,19.82,19.55,19.65,6.6386,26500.0,0.0,1.0
2007-04-27,19.59,19.79,19.55,19.75,6.6724,19800.0,0.0,1.0
2007-04-30,19.73,19.73,19.53,19.59,6.6183,23700.0,0.0,1.0
2007-05-01,19.5,19.62,19.36,19.55,6.6048,48900.0,0.0,1.0
2007-05-02,19.52,19.74,19.5,19.55,6.6048,53700.0,0.0,1.0
2007-05-03,19.39,19.76,19.39,19.59,6.6183,30400.0,0.0,1.0
2007-05-04,19.46,19.94,19.46,19.93,6.7332,53100.0,0.0,1.0
2007-05-07,19.98,20.0,19.7,19.87,6.7129,65800.0,0.0,1.0
2007-05-08,19.85,20.0,19.6,19.74,6.669,52900.0,0.0,1.0
2007-05-09,19.88,19.99,19.73,19.95,6.74,53700.0,0.0,1.0
2007-05-10,19.96,20.0,19.62,20.0,6.7569,55600.0,0.0,1.0
2007-05-11,20.0,20.0,19.65,19.74,6.669,29400.0,0.0,1.0
2007-05-14,19.8,19.83,19.6,19.65,6.6386,38500.0,0.0,1.0
2007-05-15,19.65,19.83,19.5,19.55,6.6048,34600.0,0.0,1.0
2007-05-16,19.51,19.54,19.36,19.41,6.5575,31200.0,0.0,1.0
2007-05-17,19.36,19.5,19.0,19.06,6.4393,62000.0,0.0,1.0
2007-05-18,19.06,19.55,19.06,19.49,6.5846,29700.0,0.0,1.0
2007-05-21,19.39,19.59,19.23,19.38,6.5474,55200.0,0.0,1.0
2007-05-22,19.27,19.6,19.25,19.49,6.5846,51500.0,0.0,1.0
2007-05-23,19.66,19.76,19.22,19.24,6.5001,77000.0,0.0,1.0
2007-05-24,19.16,19.5,19.16,19.21,6.49,76900.0,0.0,1.0
2007-05-25,19.15,19.36,19.15,19.15,6.4697,38300.0,0.0,1.0
