date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,3.625,3.625,3.5,3.5,3.2056,9800.0,0.0,1.0
1999-08-11,3.5,3.5,3.5,3.5,3.2056,3400.0,0.0,1.0
1999-08-12,3.625,3.625,3.4063,3.5,3.2056,34600.0,0.0,1.0
1999-08-13,3.625,3.625,3.625,3.625,3.3201,5600.0,0.0,1.0
1999-08-16,3.5,3.5,3.5,3.5,3.2056,500.0,0.0,1.0
1999-08-17,3.5,3.625,3.5,3.5,3.2056,35200.0,0.0,1.0
1999-08-18,3.5313,3.5313,3.5,3.5,3.2056,16300.0,0.0,1.0
1999-08-19,3.5,3.5313,3.5,3.5,3.2056,15300.0,0.0,1.0
1999-08-20,3.5,3.5,3.4063,3.4375,3.1484,6200.0,0.0,1.0
1999-08-23,3.5313,3.5313,3.5313,3.5313,3.2342,2500.0,0.0,1.0
1999-08-24,3.5,3.5625,3.5,3.5,3.2056,16000.0,0.0,1.0
1999-08-25,3.5,3.5,3.375,3.375,3.0911,13400.0,0.0,1.0
1999-08-26,3.375,3.5,3.25,3.5,3.2056,45900.0,0.0,1.0
1999-08-27,3.4375,3.4375,3.3125,3.375,3.0911,9600.0,0.0,1.0
1999-08-30,3.3125,3.375,3.3125,3.375,3.0911,64800.0,0.0,1.0
1999-08-31,3.3125,3.3125,3.0625,3.125,2.8622,224700.0,0.0,1.0
1999-09-01,3.1875,3.25,3.125,3.125,2.8622,6400.0,0.0,1.0
1999-09-02,3.0625,3.125,3.0625,3.0625,2.8049,7600.0,0.0,1.0
1999-09-03,3.0625,3.375,3.0625,3.25,2.9766,14800.0,0.0,1.0
1999-09-07,3.5,3.5,3.25,3.25,2.9766,15700.0,0.0,1.0
1999-09-08,3.3125,3.625,3.3125,3.6094,3.3058,14500.0,0.0,1.0
1999-09-09,3.375,3.625,3.3125,3.5,3.2056,18000.0,0.0,1.0
1999-09-10,3.5,3.5625,3.5,3.5625,3.2629,5200.0,0.0,1.0
1999-09-13,3.5,3.625,3.5,3.625,3.3201,65400.0,0.0,1.0
1999-09-14,3.5,3.5625,3.5,3.5625,3.2629,10600.0,0.0,1.0
1999-09-15,3.5,3.6875,3.5,3.6875,3.3773,26800.0,0.0,1.0
1999-09-16,3.625,3.625,3.625,3.625,3.3201,12400.0,0.0,1.0
1999-09-17,3.5625,3.6875,3.5625,3.6563,3.3487,10700.0,0.0,1.0
1999-09-20,3.6094,3.6094,3.5625,3.5625,3.2629,5500.0,0.0,1.0
1999-09-21,3.5625,3.6563,3.5625,3.5625,3.2629,2500.0,0.0,1.0
1999-09-22,3.5625,3.625,3.5625,3.625,3.3201,20100.0,0.0,1.0
1999-09-23,3.625,3.625,3.5625,3.5625,3.2629,2500.0,0.0,1.0
1999-09-24,3.5625,3.5625,3.5625,3.5625,3.2629,1100.0,0.0,1.0
1999-09-27,3.625,3.75,3.625,3.75,3.4346,12200.0,0.0,1.0
1999-09-28,3.75,4.0,3.75,3.9531,3.6206,21400.0,0.0,1.0
1999-09-29,3.875,3.9375,3.625,3.9375,3.6063,118100.0,0.0,1.0
1999-09-30,3.75,3.9375,3.5,3.75,3.4346,182500.0,0.0,1.0
1999-10-01,3.625,3.625,3.625,3.625,3.3201,37500.0,0.0,1.0
1999-10-04,3.625,3.875,3.625,3.6875,3.3773,16700.0,0.0,1.0
1999-10-05,3.6875,3.8125,3.625,3.625,3.3201,68600.0,0.0,1.0
1999-10-06,3.625,3.625,3.4375,3.4688,3.2305,27600.0,0.06,1.0
1999-10-07,3.4375,3.625,3.4375,3.625,3.376,5400.0,0.0,1.0
1999-10-08,3.625,3.625,3.25,3.5625,3.3178,23100.0,0.0,1.0
1999-10-11,3.3125,3.5625,3.3125,3.5625,3.3178,500.0,0.0,1.0
1999-10-12,3.5625,3.6875,3.25,3.625,3.376,15600.0,0.0,1.0
1999-10-13,3.75,3.75,3.25,3.25,3.0267,19500.0,0.0,1.0
1999-10-14,3.3438,4.0,3.3438,3.8906,3.6234,27600.0,0.0,1.0
