date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,1.3854,1.3854,1.3854,1.3854,0.8386,0.0,0.0,1.0
1999-08-11,1.3854,1.3854,1.3854,1.3854,0.8386,0.0,0.0,1.0
1999-08-12,1.3854,1.3854,1.3646,1.375,0.8323,180800.0,0.0,1.0
1999-08-13,1.3854,1.3854,1.3542,1.3542,0.8197,7200.0,0.0,1.0
1999-08-16,1.3958,1.3958,1.3542,1.375,0.8323,28800.0,0.0,1.0
1999-08-17,1.3724,1.3906,1.3333,1.375,0.8323,192000.0,0.0,1.0
1999-08-18,1.3542,1.3854,1.3542,1.375,0.8323,68000.0,0.0,1.0
1999-08-19,1.3958,1.3958,1.3646,1.3646,0.826,45600.0,0.0,1.0
1999-08-20,1.3854,1.3854,1.3854,1.3854,0.8386,2400.0,0.0,1.0
1999-08-23,1.3646,1.4063,1.3646,1.3646,0.826,16800.0,0.0,1.0
1999-08-24,1.4063,1.4063,1.3854,1.4063,0.8512,188000.0,0.0,1.0
1999-08-25,1.3854,1.3854,1.3854,1.3854,0.8386,800.0,0.0,1.0
1999-08-26,1.3854,1.3958,1.3854,1.3958,0.8449,137600.0,0.0,1.0
1999-08-27,1.4063,1.4583,1.4063,1.4167,0.8575,122400.0,0.0,1.0
1999-08-30,1.4583,1.4583,1.3958,1.4583,0.8828,9600.0,0.0,1.0
1999-08-31,1.4375,1.4583,1.4167,1.4583,0.8828,103200.0,0.0,1.0
1999-09-01,1.474,1.4896,1.4479,1.4479,0.8765,536000.0,0.0,1.0
1999-09-02,1.4896,1.4896,1.4271,1.4896,0.9017,9600.0,0.0,1.0
1999-09-03,1.4896,1.4896,1.4375,1.4688,0.8891,40800.0,0.0,1.0
1999-09-07,1.4792,1.4792,1.4167,1.4635,0.8859,20000.0,0.0,1.0
1999-09-08,1.4792,1.5,1.4688,1.5,0.908,39200.0,0.0,1.0
1999-09-09,1.5,1.5,1.4896,1.4896,0.9017,163200.0,0.0,1.0
1999-09-10,1.4792,1.5,1.4479,1.4844,0.8985,717600.0,0.0,1.0
1999-09-13,1.4479,1.4792,1.4479,1.4792,0.8954,2400.0,0.0,1.0
1999-09-14,1.4792,1.4792,1.4792,1.4792,0.8954,4800.0,0.0,1.0
1999-09-15,1.4375,1.4479,1.4063,1.4271,0.8638,128000.0,0.0,1.0
1999-09-16,1.4063,1.4063,1.4063,1.4063,0.8512,108000.0,0.0,1.0
1999-09-17,1.4063,1.4167,1.4063,1.4167,0.8575,108000.0,0.0,1.0
1999-09-20,1.4063,1.4167,1.4063,1.4063,0.8512,14400.0,0.0,1.0
1999-09-21,1.4063,1.4167,1.4063,1.4063,0.8512,249600.0,0.0,1.0
1999-09-22,1.3594,1.4063,1.3594,1.4063,0.8512,14400.0,0.0,1.0
1999-09-23,1.3828,1.3828,1.3594,1.3698,0.8376,118400.0,0.0142,1.0
1999-09-24,1.375,1.375,1.3594,1.3594,0.8312,14400.0,0.0,1.0
1999-09-27,1.3594,1.3594,1.349,1.349,0.8249,187200.0,0.0,1.0
1999-09-28,1.349,1.3646,1.3125,1.3125,0.8026,58400.0,0.0,1.0
1999-09-29,1.3229,1.3333,1.3229,1.3333,0.8153,10400.0,0.0,1.0
1999-09-30,1.3125,1.3229,1.3125,1.3229,0.8089,124800.0,0.0,1.0
1999-10-01,1.3125,1.3125,1.3125,1.3125,0.8026,38400.0,0.0,1.0
1999-10-04,1.3125,1.3125,1.2292,1.2292,0.7516,112800.0,0.0,1.0
1999-10-05,1.2917,1.2917,1.2083,1.2135,0.7421,180800.0,0.0,1.0
1999-10-06,1.2083,1.2083,1.1875,1.1875,0.7261,24800.0,0.0,1.0
1999-10-07,1.2188,1.2448,1.1615,1.1615,0.7102,130400.0,0.0,1.0
1999-10-08,1.1667,1.2292,1.1667,1.1979,0.7325,160800.0,0.0,1.0
1999-10-11,1.1563,1.1979,1.1563,1.1979,0.7325,101600.0,0.0,1.0
1999-10-12,1.1979,1.1979,1.1979,1.1979,0.7325,0.0,0.0,1.0
1999-10-13,1.1979,1.1979,1.1667,1.1667,0.7134,69600.0,0.0,1.0
1999-10-14,1.1979,1.1979,1.1979,1.1979,0.7325,800.0,0.0,1.0
1999-10-15,1.1771,1.1979,1.1719,1.1719,0.7166,33600.0,0.0,1.0
1999-10-18,1.1719,1.1719,1.1458,1.151,0.7038,51200.0,0.0,1.0
1999-10-19,1.1563,1.1563,1.151,1.1563,0.707,158400.0,0.0,1.0
1999-10-20,1.1667,1.1667,1.1667,1.1667,0.7134,2400.0,0.0,1.0
1999-10-21,1.1458,1.1563,1.1458,1.1458,0.7007,129600.0,0.0,1.0
1999-10-22,1.1458,1.1458,1.125,1.125,0.6879,113600.0,0.0,1.0
1999-10-25,1.125,1.1563,1.125,1.1563,0.707,32000.0,0.0,1.0
1999-10-26,1.125,1.1615,1.125,1.1406,0.6975,128000.0,0.0,1.0
1999-10-27,1.1458,1.1458,1.1354,1.1354,0.6943,117600.0,0.0,1.0
1999-10-28,1.1563,1.2083,1.151,1.2083,0.7389,184800.0,0.0,1.0
1999-10-29,1.2188,1.2188,1.1771,1.2135,0.7421,12800.0,0.0,1.0
1999-11-01,1.2135,1.3021,1.1979,1.3021,0.7962,130400.0,0.0,1.0
1999-11-02,1.2813,1.3125,1.2813,1.3125,0.8026,4020800.0,0.0,1.0
1999-11-03,1.2656,1.3125,1.2656,1.3125,0.8026,16800.0,0.0,1.0
1999-11-04,1.3073,1.3333,1.2552,1.2708,0.7771,87200.0,0.0,1.0
1999-11-05,1.3333,1.3333,1.2708,1.2917,0.7898,58400.0,0.0,1.0
1999-11-08,1.2708,1.3333,1.2708,1.2708,0.7771,36000.0,0.0,1.0
1999-11-09,1.2708,1.2708,1.2708,1.2708,0.7771,22400.0,0.0,1.0
1999-11-10,1.2708,1.2708,1.2708,1.2708,0.7771,33600.0,0.0,1.0
1999-11-11,1.2708,1.2917,1.2708,1.2708,0.7771,269600.0,0.0,1.0
1999-11-12,1.25,1.2708,1.25,1.2708,0.7771,21600.0,0.0,1.0
1999-11-15,1.2917,1.2917,1.2708,1.2708,0.7771,63200.0,0.0,1.0
1999-11-16,1.2813,1.2917,1.2708,1.2917,0.7898,5600.0,0.0,1.0
1999-11-17,1.2708,1.2708,1.2708,1.2708,0.7771,124800.0,0.0,1.0
1999-11-18,1.2708,1.2917,1.2708,1.2917,0.7898,110400.0,0.0,1.0
1999-11-19,1.2708,1.2708,1.2708,1.2708,0.7771,2400.0,0.0,1.0
1999-11-22,1.2708,1.2917,1.2708,1.2917,0.7898,17600.0,0.0,1.0
1999-11-23,1.2917,1.2917,1.2917,1.2917,0.7898,2400.0,0.0,1.0
1999-11-24,1.2813,1.2813,1.2604,1.2604,0.7707,303200.0,0.0,1.0
1999-11-26,1.2604,1.2604,1.2604,1.2604,0.7707,800.0,0.0,1.0
1999-11-29,1.2396,1.2396,1.1875,1.1875,0.7261,135200.0,0.0,1.0
1999-11-30,1.2344,1.2344,1.1875,1.1875,0.7261,177600.0,0.0,1.0
1999-12-01,1.2083,1.2083,1.2083,1.2083,0.7389,17600.0,0.0,1.0
1999-12-02,1.1875,1.2344,1.1875,1.2344,0.7548,12000.0,0.0,1.0
1999-12-03,1.1875,1.2083,1.1875,1.1875,0.7261,80000.0,0.0,1.0
1999-12-06,1.1875,1.1875,1.1875,1.1875,0.7261,226400.0,0.0,1.0
1999-12-07,1.1875,1.1875,1.1875,1.1875,0.7261,0.0,0.0,1.0
1999-12-08,1.2083,1.2083,1.1875,1.1927,0.7293,200000.0,0.0,1.0
1999-12-09,1.2083,1.2083,1.1927,1.2083,0.7389,130400.0,0.0,1.0
1999-12-10,1.2188,1.2188,1.2188,1.2188,0.7452,12000.0,0.0,1.0
1999-12-13,1.2083,1.2083,1.2083,1.2083,0.7389,800.0,0.0,1.0
1999-12-14,1.2083,1.25,1.1979,1.2396,0.758,175200.0,0.0,1.0
1999-12-15,1.2396,1.2604,1.2188,1.25,0.7644,144000.0,0.0,1.0
1999-12-16,1.25,1.2552,1.25,1.2552,0.7675,76800.0,0.0,1.0
1999-12-17,1.25,1.25,1.2188,1.2188,0.7452,68000.0,0.0,1.0
1999-12-20,1.2188,1.25,1.2188,1.2188,0.7452,288000.0,0.0,1.0
