date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,8.1242,8.3299,7.9185,8.0213,4.9925,9200.0,0.0,1.0
1999-08-11,8.227,8.227,8.1242,8.227,5.1205,4000.0,0.0,1.0
1999-08-12,8.227,8.227,8.227,8.227,5.1205,5500.0,0.0,1.0
1999-08-13,8.227,8.3813,8.227,8.3813,5.2165,1200.0,0.0,1.0
1999-08-16,8.4327,8.4327,8.227,8.227,5.1205,1600.0,0.0,1.0
1999-08-17,8.227,8.227,8.227,8.227,5.1205,4800.0,0.0,1.0
1999-08-18,8.227,8.3299,8.1242,8.1242,5.0565,3800.0,0.0,1.0
1999-08-19,8.3299,8.3299,8.227,8.3299,5.1845,18100.0,0.0,1.0
1999-08-20,8.3299,8.3299,8.227,8.227,5.1205,1800.0,0.0,1.0
1999-08-23,8.227,8.4327,8.227,8.2784,5.1525,25600.0,0.0,1.0
1999-08-24,8.2784,8.2784,8.1242,8.1242,5.0565,10700.0,0.0,1.0
1999-08-25,8.1242,8.1242,7.9185,7.9185,4.9285,59500.0,0.0,1.0
1999-08-26,7.9185,8.1242,7.8157,7.9185,4.9285,30400.0,0.0,1.0
1999-08-27,7.8157,7.9699,7.61,7.9185,4.9285,1700.0,0.0,1.0
1999-08-30,7.7643,8.0728,7.61,7.8157,4.8645,55900.0,0.0,1.0
1999-08-31,8.0471,8.0728,7.8671,7.9442,4.9445,9400.0,0.0,1.0
1999-09-01,7.8671,8.1242,7.8671,7.9185,4.9285,5600.0,0.0,1.0
1999-09-02,7.9185,7.9185,7.8671,7.8671,4.8965,1500.0,0.0,1.0
1999-09-03,8.0213,8.0213,7.8671,7.8671,4.8965,10000.0,0.0,1.0
1999-09-07,8.0213,8.0213,7.9185,7.9699,4.9605,8500.0,0.0,1.0
1999-09-08,7.9699,8.0213,7.9185,8.0213,4.9925,1800.0,0.0,1.0
1999-09-09,7.9185,8.0213,7.8157,7.8157,4.8645,17000.0,0.0,1.0
1999-09-10,8.0213,8.0213,7.8157,7.8157,4.8645,7700.0,0.0,1.0
1999-09-13,7.8157,7.8157,7.7128,7.7128,4.8005,31800.0,0.0,1.0
1999-09-14,7.61,7.61,7.61,7.61,4.7365,1200.0,0.0,1.0
1999-09-15,7.61,7.8157,7.61,7.7128,4.8005,17400.0,0.0,1.0
1999-09-16,7.61,7.6357,7.4557,7.4557,4.6405,17600.0,0.0,1.0
1999-09-17,7.4043,7.8157,7.3015,7.4043,4.6227,16100.0,0.023,1.0
1999-09-20,7.5072,7.7128,7.5072,7.7128,4.8154,19000.0,0.0,1.0
1999-09-21,7.7128,8.1242,7.7128,8.1242,5.0722,16100.0,0.0,1.0
1999-09-22,8.1242,8.1756,8.1242,8.1242,5.0722,5800.0,0.0,1.0
1999-09-23,8.1242,8.1242,8.1242,8.1242,5.0722,1500.0,0.0,1.0
1999-09-24,8.0213,8.227,7.9185,8.227,5.1364,5800.0,0.0,1.0
1999-09-27,8.227,8.227,8.0213,8.227,5.1364,4200.0,0.0,1.0
1999-09-28,8.227,8.227,8.227,8.227,5.1364,0.0,0.0,1.0
1999-09-29,8.1242,8.1756,8.0213,8.1756,5.1043,12200.0,0.0,1.0
1999-09-30,8.0985,8.1756,8.0471,8.1756,5.1043,4200.0,0.0,1.0
1999-10-01,8.1242,8.1242,8.1242,8.1242,5.0722,4200.0,0.0,1.0
1999-10-04,8.0471,8.2013,8.0471,8.1756,5.1043,10100.0,0.0,1.0
1999-10-05,8.1756,8.1756,8.0213,8.0213,5.008,4800.0,0.0,1.0
1999-10-06,8.0213,8.1756,7.9185,7.9185,4.9438,23900.0,0.0,1.0
1999-10-07,8.1756,8.1756,7.9185,8.1756,5.1043,1400.0,0.0,1.0
1999-10-08,7.9185,7.9185,7.9185,7.9185,4.9438,400.0,0.0,1.0
1999-10-11,7.9185,8.0213,7.8157,7.9185,4.9438,2900.0,0.0,1.0
1999-10-12,7.9185,7.9185,7.5072,7.61,4.7512,12600.0,0.0,1.0
1999-10-13,7.61,7.7643,7.4557,7.7643,4.8475,11600.0,0.0,1.0
1999-10-14,7.5072,7.9185,7.5072,7.8157,4.8796,18500.0,0.0,1.0
1999-10-15,7.7128,7.7643,7.5072,7.7643,4.8475,9900.0,0.0,1.0
1999-10-18,7.5072,7.8157,7.5072,7.7128,4.8154,12400.0,0.0,1.0
1999-10-19,7.9185,7.9185,7.61,7.61,4.7512,6600.0,0.0,1.0
1999-10-20,7.61,7.61,7.5072,7.5072,4.687,1700.0,0.0,1.0
1999-10-21,7.7128,7.7643,7.61,7.6871,4.7993,18000.0,0.0,1.0
1999-10-22,7.9185,7.9185,7.61,7.7643,4.8475,5200.0,0.0,1.0
1999-10-25,7.6614,7.7385,7.61,7.61,4.7512,5300.0,0.0,1.0
1999-10-26,7.61,7.8157,7.61,7.8157,4.8796,4900.0,0.0,1.0
1999-10-27,7.61,7.7128,7.61,7.6614,4.7833,4000.0,0.0,1.0
1999-10-28,7.61,7.7128,7.61,7.7128,4.8154,1100.0,0.0,1.0
1999-10-29,7.6614,7.7128,7.61,7.7128,4.8154,14100.0,0.0,1.0
1999-11-01,7.6871,7.7128,7.61,7.61,4.7512,20000.0,0.0,1.0
1999-11-02,7.7128,7.7128,7.61,7.61,4.7512,30300.0,0.0,1.0
1999-11-03,7.7128,7.7128,7.61,7.7128,4.8154,1100.0,0.0,1.0
1999-11-04,7.7128,7.7128,7.4043,7.61,4.7512,9400.0,0.0,1.0
1999-11-05,7.4043,7.6614,7.4043,7.4043,4.6227,24200.0,0.0,1.0
1999-11-08,7.4043,7.61,7.4043,7.4043,4.6227,3000.0,0.0,1.0
1999-11-09,7.4043,7.4043,6.8901,7.3015,4.5585,19900.0,0.0,1.0
1999-11-10,7.1472,7.3529,6.8901,7.3529,4.5906,22800.0,0.0,1.0
1999-11-11,7.1986,7.3529,6.993,7.1986,4.4943,8400.0,0.0,1.0
1999-11-12,7.4043,7.5072,6.8901,7.0958,4.4301,20200.0,0.0,1.0
1999-11-15,7.0444,7.2501,7.0444,7.2501,4.5264,4200.0,0.0,1.0
1999-11-16,7.1986,7.5072,7.0958,7.3015,4.5585,7500.0,0.0,1.0
1999-11-17,7.0444,7.3786,6.8901,7.1986,4.4943,19400.0,0.0,1.0
1999-11-18,6.993,7.1986,6.8901,7.0958,4.4301,11000.0,0.0,1.0
1999-11-19,7.0958,7.4043,6.5816,7.1472,4.4622,33200.0,0.0,1.0
1999-11-22,6.993,7.0444,6.8901,7.0444,4.398,3400.0,0.0,1.0
1999-11-23,6.8901,7.0444,6.7873,7.0444,4.398,4400.0,0.0,1.0
1999-11-24,7.0444,7.0444,6.8901,7.0444,4.398,5100.0,0.0,1.0
1999-11-26,7.0444,7.0444,7.0444,7.0444,4.398,0.0,0.0,1.0
1999-11-29,6.993,7.0958,6.6845,7.0958,4.4301,6700.0,0.0,1.0
1999-11-30,7.0958,7.3015,6.993,7.3015,4.5585,30800.0,0.0,1.0
1999-12-01,7.1986,7.2501,7.1986,7.1986,4.4943,11600.0,0.0,1.0
1999-12-02,7.4043,7.61,7.1986,7.4043,4.6227,34200.0,0.0,1.0
1999-12-03,7.4043,7.4043,7.1986,7.3015,4.5585,10000.0,0.0,1.0
1999-12-06,7.3015,7.4043,7.1986,7.1986,4.4943,7000.0,0.0,1.0
1999-12-07,7.1986,7.3786,7.1986,7.3015,4.5585,17400.0,0.0,1.0
1999-12-08,7.1472,7.4043,7.1472,7.4043,4.6227,16400.0,0.0,1.0
1999-12-09,7.3015,7.3529,7.0958,7.3529,4.5906,7400.0,0.0,1.0
1999-12-10,7.0958,7.3015,6.8901,6.993,4.3659,15200.0,0.0,1.0
1999-12-13,6.993,7.0444,6.7873,6.993,4.3659,50100.0,0.0,1.0
1999-12-14,6.9416,6.9416,6.7873,6.8387,4.2696,9300.0,0.0,1.0
1999-12-15,6.9416,7.1986,6.5816,7.1986,4.4943,32400.0,0.0,1.0
1999-12-16,7.1986,7.1986,6.993,7.0958,4.4301,8800.0,0.0,1.0
1999-12-17,7.0444,7.1986,7.0187,7.0187,4.3988,19100.0,0.0272,1.0
1999-12-20,7.0187,7.4043,7.0187,7.4043,4.6405,69700.0,0.0,1.0
1999-12-21,7.4043,7.4043,6.8901,6.8901,4.3182,23100.0,0.0,1.0
1999-12-22,7.1472,7.1472,6.7873,6.9416,4.3505,43800.0,0.0,1.0
1999-12-23,7.0444,7.3015,7.0444,7.1986,4.5116,33600.0,0.0,1.0
1999-12-27,7.0444,7.4043,6.8901,7.3015,4.576,35000.0,0.0,1.0
1999-12-28,7.4557,7.4557,7.0958,7.0958,4.4471,47900.0,0.0,1.0
1999-12-29,7.0958,7.4043,6.8387,7.0958,4.4471,30600.0,0.0,1.0
1999-12-30,7.0701,7.0958,6.6845,6.8901,4.3182,55200.0,0.0,1.0
1999-12-31,6.7873,7.0958,6.6845,7.0444,4.4149,36700.0,0.0,1.0
2000-01-03,7.3015,7.3015,6.8901,6.993,4.3827,19100.0,0.0,1.0
2000-01-04,6.993,7.3015,6.5816,7.0444,4.4149,55600.0,0.0,1.0
2000-01-05,6.993,7.3786,6.6845,7.3786,4.6244,8000.0,0.0,1.0
2000-01-06,6.993,7.3786,6.993,7.3786,4.6244,3200.0,0.0,1.0
2000-01-07,6.8901,7.5072,6.8901,7.3786,4.6244,16300.0,0.0,1.0
2000-01-10,7.4557,7.61,7.2501,7.61,4.7694,11800.0,0.0,1.0
2000-01-11,7.4557,7.4557,7.0958,7.0958,4.4471,56500.0,0.0,1.0
2000-01-12,7.3015,7.4557,7.0958,7.4043,4.6405,15500.0,0.0,1.0
2000-01-13,7.1472,7.3529,7.1472,7.3529,4.6083,2600.0,0.0,1.0
2000-01-14,7.3529,7.3529,7.0958,7.1472,4.4794,2600.0,0.0,1.0
2000-01-18,7.3272,7.4043,7.0958,7.4043,4.6405,20100.0,0.0,1.0
2000-01-19,7.5072,8.1756,6.993,7.61,4.7694,17800.0,0.0,1.0
2000-01-20,7.6614,8.1242,7.6614,8.0728,5.0594,6300.0,0.0,1.0
2000-01-21,8.0213,8.0471,7.8157,8.0213,5.0272,3200.0,0.0,1.0
2000-01-24,8.0213,8.0213,7.61,8.0213,5.0272,3600.0,0.0,1.0
2000-01-25,7.61,7.61,7.4557,7.4686,4.6808,3200.0,0.0,1.0
2000-01-26,7.43,7.5072,7.3015,7.4043,4.6405,18900.0,0.0,1.0
2000-01-27,7.3529,7.5072,7.0958,7.3015,4.576,5800.0,0.0,1.0
2000-01-28,7.0958,7.1986,7.0958,7.1986,4.5116,400.0,0.0,1.0
2000-01-31,7.0958,7.2501,7.0444,7.0958,4.4471,10000.0,0.0,1.0
2000-02-01,6.993,7.1986,6.7873,6.7873,4.2538,20200.0,0.0,1.0
2000-02-02,6.8901,7.4557,6.8901,7.4043,4.6405,11700.0,0.0,1.0
2000-02-03,7.4043,7.4043,6.993,7.1986,4.5116,30800.0,0.0,1.0
2000-02-04,7.1986,7.4557,7.1986,7.4557,4.6727,10700.0,0.0,1.0
2000-02-07,7.3529,7.5072,7.1472,7.3015,4.576,12000.0,0.0,1.0
2000-02-08,7.1729,7.4557,7.1729,7.3272,4.5922,5500.0,0.0,1.0
2000-02-09,7.4557,7.5072,7.3015,7.4557,4.6727,7700.0,0.0,1.0
2000-02-10,7.3015,7.4043,7.1986,7.4043,4.6405,3600.0,0.0,1.0
2000-02-11,7.4043,7.4043,7.1729,7.2758,4.5599,20000.0,0.0,1.0
