date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,7.35,8.025,7.175,7.7,6.4169,1005500.0,0.0,1.0
1999-08-11,8.0,8.3,7.9,8.3,6.9169,366700.0,0.0,1.0
1999-08-12,8.4,8.4,8.05,8.1,6.7502,304000.0,0.0,1.0
1999-08-13,8.25,9.0,8.1,9.0,7.5002,404200.0,0.0,1.0
1999-08-16,9.0,9.0,8.65,8.675,7.2294,367000.0,0.0,1.0
1999-08-17,8.7,8.7,8.2,8.45,7.0419,399000.0,0.0,1.0
1999-08-18,8.2,8.5,8.2,8.5,7.0836,95700.0,0.0,1.0
1999-08-19,8.475,8.5,8.35,8.475,7.0627,39200.0,0.0,1.0
1999-08-20,8.55,8.55,8.25,8.25,6.8752,29000.0,0.0,1.0
1999-08-23,8.325,8.55,8.2,8.45,7.0419,176000.0,0.0,1.0
1999-08-24,8.3,8.5,8.3,8.5,7.0836,91200.0,0.0,1.0
1999-08-25,8.5,8.55,8.325,8.5,7.0836,721200.0,0.0,1.0
1999-08-26,8.5,8.6,8.425,8.575,7.1461,198700.0,0.0,1.0
1999-08-27,8.5,8.75,8.4,8.725,7.2711,272200.0,0.0,1.0
1999-08-30,8.7,8.7,8.525,8.575,7.1461,189700.0,0.0,1.0
1999-08-31,8.575,9.25,8.5375,8.875,7.3961,703200.0,0.0,1.0
1999-09-01,9.0,9.25,8.9,9.125,7.6044,222700.0,0.0,1.0
1999-09-02,9.1,9.1,8.9,8.95,7.4586,601200.0,0.0,1.0
1999-09-03,9.2125,10.2,9.1,9.4,7.8336,1257700.0,0.0,1.0
1999-09-07,9.325,9.85,9.325,9.8,8.1669,402200.0,0.0,1.0
1999-09-08,9.7,9.875,9.7,9.85,8.2086,681200.0,0.0,1.0
1999-09-09,9.95,10.0,9.7,9.725,8.1044,460000.0,0.0,1.0
1999-09-10,9.7,10.0,9.7,10.0,8.3336,194700.0,0.0,1.0
1999-09-13,9.75,9.875,9.6,9.8,8.1669,455000.0,0.0,1.0
1999-09-14,9.7,9.775,9.5,9.5875,7.9898,1287000.0,0.0,1.0
1999-09-15,9.625,9.65,9.55,9.625,8.0211,620000.0,0.0,1.0
1999-09-16,9.575,9.6,8.75,9.0,7.5002,299700.0,0.0,1.0
1999-09-17,8.8375,9.0,8.8,8.85,7.3752,346000.0,0.0,1.0
1999-09-20,8.9,9.0,8.85,8.925,7.4377,403700.0,0.0,1.0
1999-09-21,8.975,9.0375,8.8,8.8,7.3336,221700.0,0.0,1.0
1999-09-22,8.65,8.7,7.475,8.0,6.6669,492000.0,0.0,1.0
1999-09-23,7.75,8.575,7.75,8.5,7.0836,296200.0,0.0,1.0
1999-09-24,8.35,8.4,8.0,8.2,6.8336,374000.0,0.0,1.0
1999-09-27,8.025,8.125,7.2,7.35,6.1252,350000.0,0.0,1.0
1999-09-28,7.55,8.075,7.5,7.525,6.271,297200.0,0.0,1.0
1999-09-29,7.525,7.7,7.5,7.625,6.3544,546500.0,0.0,1.0
1999-09-30,7.65,7.725,7.15,7.45,6.2085,345700.0,0.0,1.0
1999-10-01,7.3,7.5,7.0,7.15,5.9585,200200.0,0.0,1.0
1999-10-04,7.2,8.0,7.15,8.0,6.6669,639500.0,0.0,1.0
1999-10-05,8.1,8.175,7.725,7.8,6.5002,217700.0,0.0,1.0
1999-10-06,7.9,7.925,7.0,7.6,6.3335,333000.0,0.0,1.0
1999-10-07,7.45,7.65,7.45,7.65,6.3752,171000.0,0.0,1.0
1999-10-08,7.6,7.6,7.225,7.3,6.0835,322700.0,0.0,1.0
1999-10-11,7.45,7.45,7.1,7.45,6.2085,501200.0,0.0,1.0
1999-10-12,7.35,7.6,7.15,7.25,6.0419,122700.0,0.0,1.0
1999-10-13,7.2625,7.2625,7.1,7.1,5.9169,406000.0,0.0,1.0
1999-10-14,7.1875,7.225,7.1,7.15,5.9585,845200.0,0.0,1.0
1999-10-15,6.975,7.175,6.975,7.125,5.9377,320700.0,0.0,1.0
1999-10-18,7.1375,7.1375,7.0,7.05,5.8752,160000.0,0.0,1.0
1999-10-19,7.175,7.175,6.9,6.9,5.7502,255500.0,0.0,1.0
1999-10-20,6.85,6.95,6.3,6.375,5.3127,765000.0,0.0,1.0
1999-10-21,6.35,6.35,6.1,6.1,5.0835,1116200.0,0.0,1.0
1999-10-22,6.1625,6.8,6.15,6.75,5.6252,2568200.0,0.0,1.0
1999-10-25,6.775,7.05,6.2,6.45,5.3752,510200.0,0.0,1.0
1999-10-26,6.6,6.95,6.35,6.4,5.3335,418000.0,0.0,1.0
1999-10-27,6.4,6.8,6.35,6.5,5.4168,310000.0,0.0,1.0
1999-10-28,6.875,7.7,6.6,7.2,6.0002,538000.0,0.0,1.0
1999-10-29,7.4,7.55,7.25,7.325,6.1044,172000.0,0.0,1.0
1999-11-01,7.2625,7.7,6.4,6.425,5.3543,265000.0,0.0,1.0
1999-11-02,6.4,7.1,6.4,6.925,5.771,327500.0,0.0,1.0
1999-11-03,6.85,7.05,6.85,7.05,5.8752,495000.0,0.0,1.0
1999-11-04,7.0,7.5,7.0,7.4,6.1669,558000.0,0.0,1.0
1999-11-05,7.5625,7.675,7.45,7.575,6.3127,448200.0,0.0,1.0
1999-11-08,7.55,7.6,7.5,7.55,6.2919,80000.0,0.0,1.0
1999-11-09,7.55,7.8,7.45,7.625,6.3544,864500.0,0.0,1.0
1999-11-10,7.55,7.625,7.45,7.55,6.2919,31200.0,0.0,1.0
1999-11-11,7.65,7.65,7.375,7.525,6.271,326500.0,0.0,1.0
1999-11-12,7.55,7.625,7.2,7.575,6.3127,294500.0,0.0,1.0
1999-11-15,7.5625,7.675,7.525,7.65,6.3752,459500.0,0.0,1.0
1999-11-16,7.6,7.725,7.3,7.35,6.1252,768500.0,0.0,1.0
1999-11-17,7.4,7.425,7.0,7.05,5.8752,155200.0,0.0,1.0
1999-11-18,7.075,7.35,7.025,7.325,6.1044,316700.0,0.0,1.0
1999-11-19,7.4,7.4,7.2,7.2,6.0002,181700.0,0.0,1.0
1999-11-22,7.2,7.2,6.725,6.75,5.6252,52000.0,0.0,1.0
1999-11-23,6.95,6.95,6.6,6.625,5.521,294200.0,0.0,1.0
1999-11-24,7.0,7.0,6.65,6.85,5.7085,356700.0,0.0,1.0
1999-11-26,6.75,6.8,6.65,6.65,5.5418,6000.0,0.0,1.0
1999-11-29,6.65,7.25,6.65,6.9,5.7502,229700.0,0.0,1.0
1999-11-30,7.025,7.325,6.925,7.325,6.1044,241500.0,0.0,1.0
1999-12-01,7.2125,7.35,7.2,7.25,6.0419,427500.0,0.0,1.0
1999-12-02,7.4,7.425,7.25,7.4,6.1669,393200.0,0.0,1.0
1999-12-03,7.425,7.45,7.25,7.4,6.1669,802000.0,0.0,1.0
1999-12-06,7.45,7.5,7.325,7.4,6.1669,361000.0,0.0,1.0
1999-12-07,7.4,7.425,7.3,7.325,6.1044,188700.0,0.0,1.0
1999-12-08,7.3,7.425,6.7,7.2,6.0002,291700.0,0.0,1.0
1999-12-09,7.4625,7.6,7.3,7.4,6.1669,287200.0,0.0,1.0
1999-12-10,7.4,7.575,7.4,7.4,6.1669,361000.0,0.0,1.0
1999-12-13,7.4,7.575,7.25,7.375,6.146,164000.0,0.0,1.0
1999-12-14,7.35,7.45,7.3,7.3,6.0835,91700.0,0.0,1.0
1999-12-15,7.3125,7.325,7.025,7.1,5.9169,201700.0,0.0,1.0
1999-12-16,7.15,7.2,7.1,7.175,5.9794,169000.0,0.0,1.0
1999-12-17,7.15,7.2,7.15,7.175,5.9794,165200.0,0.0,1.0
1999-12-20,7.1937,7.4,7.15,7.4,6.1669,127000.0,0.0,1.0
1999-12-21,7.2,7.475,7.2,7.45,6.2085,116200.0,0.0,1.0
1999-12-22,7.35,8.7,7.35,7.45,6.2085,248500.0,0.0,1.0
1999-12-23,8.1,8.475,7.7,8.375,6.9794,320500.0,0.0,1.0
1999-12-27,8.375,8.4,8.175,8.275,6.8961,55000.0,0.0,1.0
1999-12-28,8.375,8.7,8.3,8.3,6.9169,254700.0,0.0,1.0
1999-12-29,8.3,8.4,7.85,8.175,6.8127,60500.0,0.0,1.0
1999-12-30,7.85,8.025,7.8,7.9,6.5835,162000.0,0.0,1.0
1999-12-31,7.85,8.125,7.75,7.925,6.6044,172500.0,0.0,1.0
2000-01-03,7.875,9.475,7.825,8.925,7.4377,312000.0,0.0,1.0
2000-01-04,8.65,9.6,8.2,8.2,6.8336,161700.0,0.0,1.0
2000-01-05,8.2,8.2,7.3,7.6,6.3335,402000.0,0.0,1.0
