date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-12-15,6.8125,8.25,6.7188,8.0,6.1809,9348400.0,0.0,1.0
2000-12-18,8.0,8.1875,7.6875,8.125,6.2775,1833400.0,0.0,1.0
2000-12-19,8.2422,8.5,8.125,8.2188,6.3499,346800.0,0.0,1.0
2000-12-20,8.1875,8.375,8.0625,8.375,6.4706,666200.0,0.0,1.0
2000-12-21,8.375,8.5,8.125,8.3125,6.4223,169600.0,0.0,1.0
2000-12-22,8.3125,8.875,8.3125,8.75,6.7603,79400.0,0.0,1.0
2000-12-26,8.75,9.375,8.625,9.25,7.1466,48000.0,0.0,1.0
2000-12-27,9.4297,9.8125,9.125,9.5,7.3398,296000.0,0.0,1.0
2000-12-28,9.5,9.6875,9.5,9.5313,7.3639,358000.0,0.0,1.0
2000-12-29,9.5313,9.6875,9.4375,9.5,7.3398,530600.0,0.0,1.0
2001-01-02,9.5,9.5,8.125,8.9688,6.9293,167400.0,0.0,1.0
2001-01-03,8.875,8.875,8.25,8.75,6.7603,1659400.0,0.0,1.0
2001-01-04,8.7969,8.875,8.5625,8.625,6.6638,985600.0,0.0,1.0
2001-01-05,8.7031,8.75,8.5625,8.625,6.6638,446800.0,0.0,1.0
2001-01-08,8.5938,9.0,8.5625,9.0,6.9535,277600.0,0.0,1.0
2001-01-09,8.8203,9.0,8.6875,8.7813,6.7845,324400.0,0.0,1.0
2001-01-10,8.7813,8.8125,8.7188,8.8125,6.8086,112600.0,0.0,1.0
2001-01-11,8.8438,9.375,8.6875,9.25,7.1466,355400.0,0.0,1.0
2001-01-12,9.6563,10.6875,9.5,10.4375,8.0641,1360800.0,0.0,1.0
2001-01-16,10.4063,11.1563,10.3125,11.0313,8.5229,848600.0,0.0,1.0
2001-01-17,11.25,12.2813,11.2188,11.5625,8.9333,934400.0,0.0,1.0
2001-01-18,11.625,11.6563,10.9375,10.9688,8.4746,520800.0,0.0,1.0
2001-01-19,11.125,11.25,9.5,10.0,7.7261,1119000.0,0.0,1.0
2001-01-22,10.1875,11.125,9.9375,11.0625,8.547,766200.0,0.0,1.0
2001-01-23,11.0938,12.4375,11.0938,12.375,9.5611,425400.0,0.0,1.0
2001-01-24,12.3672,12.375,11.375,11.4063,8.8126,761800.0,0.0,1.0
2001-01-25,11.4844,11.4844,10.6875,10.9375,8.4504,58600.0,0.0,1.0
2001-01-26,11.0313,11.3438,10.75,10.75,8.3056,563600.0,0.0,1.0
2001-01-29,10.75,10.9375,10.7188,10.8125,8.3538,66400.0,0.0,1.0
2001-01-30,11.0625,12.125,11.0547,11.8125,9.1265,289200.0,0.0,1.0
2001-01-31,11.7578,12.0,11.6875,11.8125,9.1265,82400.0,0.0,1.0
2001-02-01,11.75,12.0,11.75,11.8125,9.1265,57600.0,0.0,1.0
2001-02-02,11.8125,12.0,11.8125,11.9375,9.223,65600.0,0.0,1.0
2001-02-05,11.9688,12.6875,11.875,12.1875,9.4162,251800.0,0.0,1.0
2001-02-06,12.4375,12.4375,12.0625,12.0938,9.3438,234800.0,0.0,1.0
2001-02-07,12.125,12.125,11.7188,11.75,9.0782,153400.0,0.0,1.0
2001-02-08,11.875,12.0625,11.625,12.0,9.2713,38600.0,0.0,1.0
2001-02-09,11.625,11.875,11.125,11.5625,8.9333,85800.0,0.0,1.0
2001-02-12,11.125,11.5625,11.125,11.5,8.885,132000.0,0.0,1.0
2001-02-13,11.625,12.0,11.5,11.75,9.0782,182600.0,0.0,1.0
2001-02-14,11.8125,12.0,11.75,11.9375,9.223,67000.0,0.0,1.0
2001-02-15,11.6875,12.0,11.6875,11.6875,9.0299,27400.0,0.0,1.0
2001-02-16,11.9688,11.9688,11.5,11.9063,9.1989,55400.0,0.0,1.0
