date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-05-21,25.15,25.24,25.09,25.2,23.111,124000.0,0.0,1.0
2018-05-22,25.25,25.3,25.2,25.3,23.2027,64700.0,0.0,1.0
2018-05-23,25.3,25.55,25.28,25.55,23.432,73600.0,0.0,1.0
2018-05-24,25.4,25.54,25.4,25.475,23.3632,21200.0,0.0,1.0
2018-05-25,25.6,25.72,25.537,25.57,23.4503,39900.0,0.0,1.0
2018-05-29,25.5,25.57,25.35,25.38,23.2761,20200.0,0.0,1.0
2018-05-30,25.459,25.49,25.36,25.4,23.2944,36800.0,0.0,1.0
2018-05-31,25.506,25.59,25.45,25.508,23.3935,21600.0,0.0,1.0
2018-06-01,25.59,25.59,25.48,25.528,23.4118,2200.0,0.0,1.0
2018-06-04,25.54,25.59,25.5,25.59,23.4687,3800.0,0.0,1.0
2018-06-05,25.59,25.59,25.55,25.59,23.4687,12500.0,0.0,1.0
2018-06-06,25.56,25.56,25.48,25.5,23.3861,6500.0,0.0,1.0
2018-06-07,25.47,25.5,25.47,25.5,23.3861,14800.0,0.0,1.0
2018-06-08,25.5,25.5,25.48,25.48,23.3678,6700.0,0.0,1.0
2018-06-11,25.49,25.5,25.45,25.45,23.3403,27100.0,0.0,1.0
2018-06-12,25.599,25.599,25.48,25.55,23.432,7700.0,0.0,1.0
2018-06-13,25.52,25.55,25.52,25.524,23.4081,4700.0,0.0,1.0
2018-06-14,25.51,25.53,25.5,25.5,23.3861,2800.0,0.0,1.0
2018-06-15,25.53,25.55,25.486,25.49,23.3769,6800.0,0.0,1.0
2018-06-18,25.491,25.535,25.49,25.521,23.4054,51100.0,0.0,1.0
2018-06-19,25.52,25.57,25.52,25.553,23.4347,14500.0,0.0,1.0
2018-06-20,25.55,25.579,25.52,25.53,23.4136,5600.0,0.0,1.0
2018-06-21,25.55,25.55,25.5,25.535,23.4182,11400.0,0.0,1.0
2018-06-22,25.5,25.55,25.5,25.55,23.432,2400.0,0.0,1.0
2018-06-25,25.55,25.55,25.46,25.49,23.3769,9300.0,0.0,1.0
2018-06-26,25.54,25.55,25.49,25.544,23.4265,18700.0,0.0,1.0
2018-06-27,25.54,25.54,25.49,25.5,23.3861,5700.0,0.0,1.0
2018-06-28,25.45,25.55,25.45,25.545,23.4274,9000.0,0.0,1.0
2018-06-29,25.5,25.54,25.45,25.53,23.4136,5800.0,0.0,1.0
2018-07-02,25.54,25.544,25.525,25.534,23.4173,1700.0,0.0,1.0
2018-07-03,25.58,25.6,25.51,25.51,23.3953,2800.0,0.0,1.0
2018-07-05,25.571,25.64,25.52,25.54,23.4228,17800.0,0.0,1.0
2018-07-06,25.55,25.6,25.55,25.566,23.4466,36200.0,0.0,1.0
2018-07-09,25.6,25.63,25.55,25.575,23.4549,21000.0,0.0,1.0
2018-07-10,25.59,25.63,25.56,25.62,23.4962,32900.0,0.0,1.0
2018-07-11,25.61,25.61,25.53,25.58,23.4595,15100.0,0.0,1.0
2018-07-12,25.37,25.41,25.315,25.385,23.6308,20900.0,0.379,1.0
2018-07-13,25.39,25.42,25.35,25.39,23.6354,4100.0,0.0,1.0
2018-07-16,25.41,25.41,25.351,25.389,23.6345,25300.0,0.0,1.0
2018-07-17,25.4,25.45,25.35,25.44,23.682,38000.0,0.0,1.0
2018-07-18,25.44,25.44,25.398,25.44,23.682,44700.0,0.0,1.0
2018-07-19,25.43,25.46,25.412,25.42,23.6633,18900.0,0.0,1.0
2018-07-20,25.45,25.457,25.4,25.438,23.6801,24500.0,0.0,1.0
2018-07-23,25.42,25.44,25.38,25.4,23.6447,9300.0,0.0,1.0
2018-07-24,25.4,25.44,25.394,25.4,23.6447,12100.0,0.0,1.0
2018-07-25,25.45,25.47,25.399,25.4,23.6447,21800.0,0.0,1.0
2018-07-26,25.4,25.45,25.4,25.42,23.6633,12900.0,0.0,1.0
2018-07-27,25.35,25.419,25.31,25.32,23.5703,24500.0,0.0,1.0
2018-07-30,25.3,25.4,25.24,25.24,23.4958,23800.0,0.0,1.0
2018-07-31,25.35,25.35,25.28,25.337,23.5861,23600.0,0.0,1.0
2018-08-01,25.36,25.38,25.31,25.351,23.5991,16300.0,0.0,1.0
2018-08-02,25.36,25.401,25.348,25.35,23.5982,13600.0,0.0,1.0
2018-08-03,25.355,25.445,25.31,25.36,23.6075,12400.0,0.0,1.0
2018-08-06,25.37,25.4,25.33,25.35,23.5982,9100.0,0.0,1.0
2018-08-07,25.36,25.4,25.35,25.36,23.6075,10800.0,0.0,1.0
2018-08-08,25.37,25.4,25.34,25.388,23.6336,12300.0,0.0,1.0
2018-08-09,25.44,25.44,25.36,25.38,23.6261,15600.0,0.0,1.0
2018-08-10,25.38,25.405,25.38,25.4,23.6447,15800.0,0.0,1.0
2018-08-13,25.42,25.42,25.374,25.386,23.6317,11900.0,0.0,1.0
2018-08-14,25.407,25.42,25.36,25.391,23.6364,13100.0,0.0,1.0
2018-08-15,25.4,25.4,25.368,25.38,23.6261,13200.0,0.0,1.0
2018-08-16,25.4,25.42,25.385,25.385,23.6308,13600.0,0.0,1.0
2018-08-17,25.44,25.663,25.37,25.57,23.803,27500.0,0.0,1.0
2018-08-20,25.6,25.7,25.571,25.698,23.9221,13500.0,0.0,1.0
2018-08-21,25.65,25.689,25.55,25.67,23.8961,15300.0,0.0,1.0
2018-08-22,25.655,25.73,25.655,25.707,23.9305,17400.0,0.0,1.0
2018-08-23,25.73,25.9,25.695,25.9,24.1102,26300.0,0.0,1.0
2018-08-24,25.95,25.95,25.56,25.92,24.1288,12200.0,0.0,1.0
2018-08-27,25.791,25.94,25.77,25.782,24.0003,7000.0,0.0,1.0
2018-08-28,25.9,26.0,25.863,25.972,24.1772,10300.0,0.0,1.0
2018-08-29,26.5,26.5,25.78,26.0,24.2033,8500.0,0.0,1.0
2018-08-30,26.0,26.0,25.914,26.0,24.2033,1200.0,0.0,1.0
2018-08-31,26.057,26.24,25.83,25.994,24.1977,2400.0,0.0,1.0
2018-09-04,26.13,26.13,25.87,25.9,24.1102,3500.0,0.0,1.0
2018-09-05,25.95,26.13,25.95,26.099,24.2954,8200.0,0.0,1.0
2018-09-06,26.05,26.25,26.001,26.25,24.436,15100.0,0.0,1.0
2018-09-07,25.85,26.3,25.85,26.25,24.436,11900.0,0.0,1.0
2018-09-10,26.0,26.15,26.0,26.098,24.2945,3600.0,0.0,1.0
2018-09-11,26.15,26.25,26.0,26.0,24.2033,12300.0,0.0,1.0
2018-09-12,26.14,26.14,25.97,26.139,24.3327,3700.0,0.0,1.0
2018-09-13,26.05,26.14,26.05,26.14,24.3336,7100.0,0.0,1.0
2018-09-14,26.05,26.126,26.05,26.1,24.2964,3400.0,0.0,1.0
2018-09-17,26.02,26.081,26.02,26.03,24.2312,4900.0,0.0,1.0
2018-09-18,26.1,26.1,26.02,26.028,24.2293,4700.0,0.0,1.0
2018-09-19,25.92,26.07,25.92,25.988,24.1921,5400.0,0.0,1.0
2018-09-20,26.03,26.03,25.93,25.995,24.1986,8400.0,0.0,1.0
2018-09-21,25.996,26.01,25.92,25.92,24.1288,4700.0,0.0,1.0
2018-09-24,25.88,26.01,25.88,25.969,24.1744,4000.0,0.0,1.0
2018-09-25,25.901,26.04,25.901,25.919,24.1279,9500.0,0.0,1.0
2018-09-26,25.919,26.05,25.91,25.91,24.1195,5800.0,0.0,1.0
2018-09-27,25.952,26.035,25.871,25.872,24.0841,15100.0,0.0,1.0
2018-09-28,25.88,26.053,25.88,26.024,24.2256,2400.0,0.0,1.0
2018-10-01,26.016,26.07,25.76,26.03,24.2312,14700.0,0.0,1.0
2018-10-02,26.016,26.07,25.9,25.93,24.1381,22600.0,0.0,1.0
2018-10-03,25.922,26.01,25.9,25.9,24.1102,3600.0,0.0,1.0
2018-10-04,25.901,25.977,25.83,25.83,24.045,8100.0,0.0,1.0
2018-10-05,25.83,25.85,25.75,25.75,23.9705,5100.0,0.0,1.0
2018-10-08,25.7,25.99,25.681,25.87,24.0823,7500.0,0.0,1.0
2018-10-09,25.96,25.97,25.8,25.8,24.0171,6300.0,0.0,1.0
2018-10-10,25.9,25.97,25.9,25.944,24.1511,6700.0,0.0,1.0
