date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-02-14,26.29,26.29,26.0,26.0,22.8594,3600.0,0.0,1.0
2017-02-15,26.2,26.2,26.16,26.16,23.0001,700.0,0.0,1.0
2017-02-16,26.17,26.17,26.022,26.022,22.8787,400.0,0.0,1.0
2017-02-17,26.18,26.2,25.804,26.2,23.0352,1900.0,0.0,1.0
2017-02-21,25.973,26.2,25.973,26.17,23.0089,14600.0,0.0,1.0
2017-02-22,26.18,26.4,25.8,25.8,22.6836,2300.0,0.0,1.0
2017-02-23,25.75,25.75,25.75,25.75,22.6396,400.0,0.0,1.0
2017-02-24,26.345,26.345,26.0,26.0,22.8594,900.0,0.0,1.0
2017-02-27,26.48,26.48,26.0,26.033,22.8884,3500.0,0.0,1.0
2017-02-28,26.078,26.33,26.078,26.33,23.1495,800.0,0.0,1.0
2017-03-01,26.33,26.33,25.81,26.33,23.1495,3400.0,0.0,1.0
2017-03-02,26.0,26.33,26.0,26.025,22.8814,1300.0,0.0,1.0
2017-03-03,26.279,28.96,26.001,26.079,22.9289,6800.0,0.0,1.0
2017-03-06,26.3,26.435,26.3,26.3,23.1232,1600.0,0.0,1.0
2017-03-07,26.3,26.3,25.84,25.84,22.7187,6400.0,0.0,1.0
2017-03-08,25.95,25.95,25.75,25.84,22.7187,20400.0,0.0,1.0
2017-03-09,25.801,26.0,25.75,25.75,22.6396,32100.0,0.0,1.0
2017-03-10,25.761,26.211,25.761,26.211,23.0449,1200.0,0.0,1.0
2017-03-13,25.905,25.905,25.905,25.905,22.7759,600.0,0.0,1.0
2017-03-14,26.226,26.25,26.226,26.24,23.0704,500.0,0.0,1.0
2017-03-15,26.161,26.161,25.804,25.938,22.8049,1400.0,0.0,1.0
2017-03-16,25.81,26.1,25.81,26.1,22.9473,500.0,0.0,1.0
2017-03-17,26.16,26.16,26.062,26.062,22.9139,900.0,0.0,1.0
2017-03-20,26.246,26.246,26.062,26.153,22.9939,900.0,0.0,1.0
2017-03-21,25.83,26.6,25.83,26.561,23.3526,900.0,0.0,1.0
2017-03-22,26.561,26.561,26.561,26.561,23.3526,0.0,0.0,1.0
2017-03-23,26.594,26.594,26.594,26.594,23.3816,400.0,0.0,1.0
2017-03-24,26.594,26.594,26.594,26.594,23.3816,0.0,0.0,1.0
2017-03-27,26.594,26.594,26.594,26.594,23.3816,0.0,0.0,1.0
2017-03-28,26.594,26.594,26.594,26.594,23.3816,0.0,0.0,1.0
2017-03-29,25.91,25.98,25.86,25.86,22.7363,3900.0,0.0,1.0
2017-03-30,25.91,25.96,25.9,25.92,22.7891,3100.0,0.0,1.0
2017-03-31,26.241,26.241,26.241,26.241,23.0713,600.0,0.0,1.0
2017-04-03,26.4,26.4,26.03,26.03,22.8858,2700.0,0.0,1.0
2017-04-04,26.315,26.315,26.03,26.25,23.0792,6800.0,0.0,1.0
2017-04-05,26.2,26.2,26.05,26.15,22.9913,1400.0,0.0,1.0
2017-04-06,26.1,26.4,25.96,26.03,22.8858,3200.0,0.0,1.0
2017-04-07,26.5,26.61,26.5,26.61,23.3957,300.0,0.0,1.0
2017-04-10,26.546,26.546,26.05,26.36,23.1759,1000.0,0.0,1.0
2017-04-11,25.99,25.99,25.55,25.818,22.6994,2300.0,0.0,1.0
2017-04-12,25.61,25.97,25.61,25.88,22.7539,6400.0,0.0,1.0
2017-04-13,25.88,25.88,25.88,25.88,22.7539,0.0,0.0,1.0
2017-04-17,25.87,25.87,25.87,25.87,22.7451,600.0,0.0,1.0
2017-04-18,25.84,25.84,25.84,25.84,22.7187,100.0,0.0,1.0
