date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-03-31,2.31,2.835,2.31,2.7,2.4078,81900.0,0.0,0.1667
2016-04-01,2.6,2.69,2.47,2.63,2.3454,47900.0,0.0,0.125
2016-04-05,2.88,3.3,2.69,3.02,2.6932,223900.0,0.0,1.0
2016-04-06,3.09,3.18,2.85,2.98,2.6575,20600.0,0.0,1.0
2016-04-07,2.98,3.11,2.802,2.99,2.6664,134700.0,0.0,1.0
2016-04-08,3.01,3.148,2.9,2.97,2.6486,18300.0,0.0,1.0
2016-04-11,2.99,3.14,2.86,3.04,2.711,46400.0,0.0,1.0
2016-04-12,3.09,3.1,2.95,3.04,2.711,191500.0,0.0,1.0
2016-04-13,3.03,3.11,2.985,2.99,2.6664,48200.0,0.0,1.0
2016-04-14,3.01,3.14,2.98,3.004,2.6789,33400.0,0.0,1.0
2016-04-15,3.16,3.16,2.98,3.03,2.7021,7000.0,0.0,1.0
2016-04-18,3.05,3.097,2.98,2.98,2.6575,4000.0,0.0,1.0
2016-04-19,2.98,3.125,2.98,3.1,2.7645,26000.0,0.0,1.0
2016-04-20,3.06,3.1,2.99,3.08,2.7467,26200.0,0.0,1.0
2016-04-21,3.04,3.1,2.96,3.02,2.6932,16500.0,0.0,1.0
2016-04-22,3.0,3.1,3.0,3.07,2.7377,28100.0,0.0,1.0
2016-04-25,3.02,3.04,2.89,2.91,2.5951,7300.0,0.0,1.0
2016-04-26,2.81,3.07,2.8,3.06,2.7288,41700.0,0.0,1.0
2016-04-27,3.02,3.07,2.98,3.02,2.6932,20600.0,0.0,1.0
2016-04-28,3.007,3.01,2.92,3.0,2.6753,5000.0,0.0,1.0
2016-04-29,3.18,3.18,2.97,3.09,2.7556,10200.0,0.0,1.0
2016-05-03,2.68,2.99,2.52,2.95,2.6307,25600.0,0.0,1.0
2016-05-04,2.94,2.94,2.8,2.89,2.5772,2600.0,0.0,1.0
2016-05-05,2.77,2.99,2.59,2.88,2.5683,36300.0,0.0,1.0
2016-05-06,2.722,2.85,2.722,2.81,2.5059,8400.0,0.0,1.0
2016-05-09,2.88,2.92,2.83,2.83,2.5237,26400.0,0.0,1.0
2016-05-10,2.72,3.14,2.72,3.107,2.7707,73900.0,0.0,1.0
2016-05-11,2.69,3.15,2.69,3.12,2.7823,45300.0,0.0,1.0
2016-05-12,3.12,3.15,3.01,3.01,2.6842,23300.0,0.0,1.0
2016-05-13,3.01,3.2,3.0,3.2,2.8537,37700.0,0.0,1.0
2016-05-16,3.17,3.909,3.17,3.59,3.2015,228700.0,0.0,1.0
2016-05-17,3.75,4.43,3.75,4.43,3.9506,491700.0,0.0,1.0
2016-05-18,6.0,6.65,3.34,3.63,3.2371,2137500.0,0.0,1.0
2016-05-19,3.4,4.04,3.39,3.97,3.5403,182400.0,0.0,1.0
2016-05-20,4.0,4.0,3.6,3.66,3.2639,131400.0,0.0,1.0
2016-05-23,3.69,3.82,3.42,3.54,3.1569,70800.0,0.0,1.0
2016-05-24,3.52,3.66,3.33,3.4,3.032,44700.0,0.0,1.0
2016-05-25,3.37,3.61,3.21,3.47,3.0945,146700.0,0.0,1.0
2016-05-26,3.47,3.55,3.28,3.44,3.0677,26900.0,0.0,1.0
2016-05-27,3.41,3.5,3.22,3.38,3.0142,34200.0,0.0,1.0
2016-05-31,3.36,3.42,3.25,3.34,2.9785,19800.0,0.0,1.0
2016-06-01,3.31,3.51,3.23,3.42,3.0499,58200.0,0.0,1.0
2016-06-02,3.43,3.8,3.43,3.69,3.2906,39400.0,0.0,1.0
2016-06-03,3.704,3.704,3.49,3.581,3.1934,14700.0,0.0,1.0
2016-06-06,3.55,3.85,3.55,3.74,3.3352,19300.0,0.0,1.0
2016-06-07,3.69,3.9,3.6,3.61,3.2193,47300.0,0.0,1.0
2016-06-08,3.701,3.78,3.7,3.71,3.3085,36700.0,0.0,1.0
2016-06-09,3.84,3.84,3.6,3.64,3.2461,5700.0,0.0,1.0
2016-06-10,3.61,3.62,3.43,3.5,3.1212,18200.0,0.0,1.0
2016-06-13,3.45,3.51,3.25,3.31,2.9518,42100.0,0.0,1.0
2016-06-14,3.28,3.346,3.28,3.3,2.9429,5200.0,0.0,1.0
2016-06-15,3.34,3.61,3.34,3.38,3.0142,8500.0,0.0,1.0
2016-06-16,3.46,3.46,3.0,3.26,2.9072,148800.0,0.0,1.0
2016-06-17,3.23,3.52,3.22,3.51,3.1301,13000.0,0.0,1.0
2016-06-20,3.49,3.6,3.49,3.59,3.2015,19500.0,0.0,1.0
2016-06-21,3.6,3.61,3.57,3.61,3.2193,4100.0,0.0,1.0
2016-06-22,3.58,3.62,3.465,3.52,3.139,7400.0,0.0,1.0
2016-06-23,3.57,3.73,3.57,3.6,3.2104,34000.0,0.0,1.0
2016-06-24,3.52,3.56,3.38,3.48,3.1034,4500.0,0.0,1.0
2016-06-27,3.39,3.39,3.21,3.21,2.8626,24500.0,0.0,1.0
2016-06-28,3.18,3.36,3.18,3.22,2.8715,4500.0,0.0,1.0
2016-06-29,3.26,3.45,3.2,3.42,3.0499,4700.0,0.0,1.0
2016-06-30,3.43,3.57,3.33,3.51,3.1301,14700.0,0.0,1.0
2016-07-01,3.57,3.58,3.4,3.49,3.1123,40600.0,0.0,1.0
2016-07-05,3.43,3.49,3.43,3.49,3.1123,1800.0,0.0,1.0
2016-07-06,3.5,3.5,3.44,3.44,3.0677,2600.0,0.0,1.0
2016-07-07,3.412,3.488,3.412,3.482,3.1052,1200.0,0.0,1.0
2016-07-08,3.375,3.56,3.36,3.49,3.1123,8600.0,0.0,1.0
2016-07-11,3.507,3.507,3.45,3.45,3.0766,2600.0,0.0,1.0
2016-07-12,3.44,3.66,3.33,3.39,3.0231,68500.0,0.0,1.0
2016-07-13,3.35,3.639,3.35,3.639,3.2452,26200.0,0.0,1.0
2016-07-14,3.5,3.577,3.351,3.43,3.0588,18700.0,0.0,1.0
2016-07-15,3.41,3.65,3.34,3.64,3.2461,25600.0,0.0,1.0
2016-07-18,3.66,3.664,3.536,3.536,3.1533,34600.0,0.0,1.0
2016-07-19,3.57,3.57,3.28,3.46,3.0855,62200.0,0.0,1.0
2016-07-20,3.53,3.53,3.441,3.46,3.0855,2400.0,0.0,1.0
2016-07-21,3.51,3.56,3.441,3.55,3.1658,3800.0,0.0,1.0
2016-07-22,3.59,3.7,3.51,3.59,3.2015,135600.0,0.0,1.0
2016-07-25,3.5,3.55,3.41,3.55,3.1658,8200.0,0.0,1.0
2016-07-26,3.48,3.69,3.38,3.41,3.041,6200.0,0.0,1.0
2016-07-27,3.48,3.52,3.36,3.45,3.0766,16900.0,0.0,1.0
2016-07-28,3.41,3.44,3.305,3.32,2.9607,16100.0,0.0,1.0
2016-07-29,3.35,3.4,3.32,3.37,3.0053,39500.0,0.0,1.0
2016-08-01,3.4,3.4,3.045,3.345,2.983,55500.0,0.0,1.0
2016-08-02,3.3,3.38,3.27,3.29,2.9339,21900.0,0.0,1.0
2016-08-03,3.292,3.38,3.19,3.2,2.8537,91600.0,0.0,1.0
2016-08-04,3.349,3.349,3.19,3.19,2.8448,5600.0,0.0,1.0
2016-08-05,3.34,3.383,3.14,3.157,2.8153,35900.0,0.0,1.0
2016-08-08,3.21,3.35,3.13,3.18,2.8358,33600.0,0.0,1.0
2016-08-09,3.18,3.28,3.15,3.16,2.818,14500.0,0.0,1.0
2016-08-10,3.14,3.24,2.99,3.22,2.8715,35600.0,0.0,1.0
2016-08-11,3.14,3.4,3.12,3.29,2.9339,7400.0,0.0,1.0
2016-08-12,3.24,3.24,3.16,3.16,2.818,8500.0,0.0,1.0
