date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-07-02,13.32,13.7,13.32,13.65,13.65,2655000.0,0.0,1.0
2019-07-03,13.65,13.65,13.55,13.59,13.59,311200.0,0.0,1.0
2019-07-05,13.56,13.65,13.45,13.65,13.65,444400.0,0.0,1.0
2019-07-08,13.59,13.59,13.44,13.45,13.45,299200.0,0.0,1.0
2019-07-09,13.464,13.59,13.4,13.5,13.5,268300.0,0.0,1.0
2019-07-10,13.54,13.54,13.4,13.41,13.41,367600.0,0.0,1.0
2019-07-11,13.46,13.5,13.35,13.4,13.4,292900.0,0.0,1.0
2019-07-12,13.4,13.41,13.35,13.385,13.385,225800.0,0.0,1.0
2019-07-15,13.35,13.37,13.21,13.21,13.21,252300.0,0.0,1.0
2019-07-16,13.25,13.269,13.11,13.18,13.18,308400.0,0.0,1.0
2019-07-17,13.15,13.16,13.05,13.13,13.13,218900.0,0.0,1.0
2019-07-18,13.1,13.15,13.06,13.11,13.11,160300.0,0.0,1.0
2019-07-19,13.145,13.23,13.09,13.1,13.1,103100.0,0.0,1.0
2019-07-22,13.14,13.14,12.96,13.01,13.01,204300.0,0.0,1.0
2019-07-23,13.01,13.1,13.01,13.06,13.06,79800.0,0.0,1.0
2019-07-24,13.06,13.062,13.0,13.02,13.02,35900.0,0.0,1.0
2019-07-25,13.021,13.05,13.0,13.0,13.0,47500.0,0.0,1.0
2019-07-26,13.01,13.02,12.99,13.0,13.0,62100.0,0.0,1.0
2019-07-29,13.03,13.05,13.0,13.02,13.02,55500.0,0.0,1.0
2019-07-30,13.02,13.15,13.0,13.1,13.1,89600.0,0.0,1.0
2019-07-31,13.14,13.25,13.125,13.2,13.2,55500.0,0.0,1.0
2019-08-01,13.214,13.35,13.16,13.23,13.23,39600.0,0.0,1.0
2019-08-02,13.197,13.35,13.06,13.29,13.29,47000.0,0.0,1.0
2019-08-05,13.32,13.32,13.12,13.31,13.31,76500.0,0.0,1.0
2019-08-06,13.3,13.34,13.23,13.34,13.34,62600.0,0.0,1.0
2019-08-07,13.3,13.3,13.14,13.29,13.29,49600.0,0.0,1.0
2019-08-08,13.3,13.3,13.16,13.25,13.25,32100.0,0.0,1.0
2019-08-09,13.3,13.49,13.22,13.41,13.41,58798.0,0.0,1.0
