date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-06-26,19.81,19.93,19.81,19.93,19.196,200.0,0.0,1.0
2017-06-27,19.94,19.94,19.94,19.94,19.2057,100.0,0.0,1.0
2017-06-28,19.94,19.94,19.94,19.94,19.2057,0.0,0.0,1.0
2017-06-29,20.04,20.04,20.04,20.04,19.302,500.0,0.0,1.0
2017-06-30,20.04,20.04,20.04,20.04,19.302,0.0,0.0,1.0
2017-07-03,20.04,20.04,20.04,20.04,19.302,0.0,0.0,1.0
2017-07-05,20.06,20.08,20.06,20.06,19.3212,300.0,0.0,1.0
2017-07-06,20.06,20.06,20.06,20.06,19.3212,0.0,0.0,1.0
2017-07-07,20.06,20.06,20.06,20.06,19.3212,0.0,0.0,1.0
2017-07-10,19.92,19.92,19.92,19.92,19.1864,100.0,0.0,1.0
2017-07-11,19.88,19.88,19.88,19.88,19.1479,100.0,0.0,1.0
2017-07-12,19.88,19.88,19.88,19.88,19.1479,0.0,0.0,1.0
2017-07-13,19.88,19.88,19.88,19.88,19.1479,0.0,0.0,1.0
2017-07-14,19.88,19.88,19.88,19.88,19.1479,0.0,0.0,1.0
2017-07-17,19.88,19.88,19.88,19.88,19.1479,0.0,0.0,1.0
2017-07-18,19.88,19.88,19.88,19.88,19.1479,0.0,0.0,1.0
2017-07-19,19.88,19.88,19.88,19.88,19.1479,0.0,0.0,1.0
2017-07-20,19.88,19.88,19.88,19.88,19.1479,0.0,0.0,1.0
2017-07-21,19.88,19.88,19.88,19.88,19.1479,0.0,0.0,1.0
2017-07-24,19.88,19.88,19.88,19.88,19.1479,0.0,0.0,1.0
2017-07-25,19.88,19.88,19.88,19.88,19.1479,0.0,0.0,1.0
2017-07-26,19.88,19.88,19.88,19.88,19.1479,0.0,0.0,1.0
2017-07-27,19.88,19.88,19.88,19.88,19.1479,0.0,0.0,1.0
2017-07-28,19.88,19.88,19.88,19.88,19.1479,0.0,0.0,1.0
2017-07-31,19.88,19.88,19.88,19.88,19.1479,0.0,0.0,1.0
2017-08-01,20.13,20.13,20.13,20.13,19.3887,1300.0,0.0,1.0
2017-08-02,20.13,20.13,20.13,20.13,19.3887,0.0,0.0,1.0
2017-08-03,20.13,20.13,20.13,20.13,19.3887,0.0,0.0,1.0
2017-08-04,20.13,20.13,20.13,20.13,19.3887,0.0,0.0,1.0
2017-08-07,19.85,19.85,19.826,19.826,19.0959,300.0,0.0,1.0
2017-08-08,19.93,19.93,19.93,19.93,19.196,900.0,0.0,1.0
2017-08-09,19.93,19.93,19.93,19.93,19.196,0.0,0.0,1.0
2017-08-10,19.93,19.93,19.93,19.93,19.196,0.0,0.0,1.0
2017-08-11,19.31,19.31,19.285,19.285,18.5748,600.0,0.0,1.0
2017-08-14,19.285,19.285,19.285,19.285,18.5748,0.0,0.0,1.0
2017-08-15,19.285,19.285,19.285,19.285,18.5748,0.0,0.0,1.0
2017-08-16,19.5,19.5,19.5,19.5,18.7819,400.0,0.0,1.0
2017-08-17,19.5,19.5,19.5,19.5,18.7819,0.0,0.0,1.0
2017-08-18,19.03,19.03,19.03,19.03,18.3292,300.0,0.0,1.0
2017-08-21,19.03,19.03,19.03,19.03,18.3292,0.0,0.0,1.0
2017-08-22,19.03,19.03,19.03,19.03,18.3292,0.0,0.0,1.0
2017-08-23,19.07,19.08,19.063,19.075,18.3725,4700.0,0.0,1.0
2017-08-24,19.14,19.2,19.13,19.2,18.4929,3400.0,0.0,1.0
2017-08-25,19.224,19.224,19.224,19.224,18.516,200.0,0.0,1.0
2017-08-28,19.224,19.224,19.224,19.224,18.516,0.0,0.0,1.0
2017-08-29,19.224,19.224,19.224,19.224,18.516,0.0,0.0,1.0
2017-08-30,19.24,19.34,19.24,19.34,18.6278,7200.0,0.0,1.0
2017-08-31,19.52,19.52,19.496,19.496,18.778,200.0,0.0,1.0
2017-09-01,19.496,19.496,19.496,19.496,18.778,0.0,0.0,1.0
2017-09-05,19.42,19.42,19.401,19.401,18.6865,600.0,0.0,1.0
2017-09-06,19.55,19.56,19.546,19.558,18.8377,500.0,0.0,1.0
2017-09-07,19.558,19.558,19.558,19.558,18.8377,0.0,0.0,1.0
2017-09-08,19.46,19.46,19.406,19.425,18.7096,2400.0,0.0,1.0
2017-09-11,19.69,19.693,19.672,19.69,18.9649,1900.0,0.0,1.0
2017-09-12,19.69,19.69,19.69,19.69,18.9649,0.0,0.0,1.0
2017-09-13,19.93,19.93,19.93,19.93,19.196,100.0,0.0,1.0
2017-09-14,19.91,19.91,19.906,19.906,19.1729,900.0,0.0,1.0
2017-09-15,19.92,20.01,19.92,20.01,19.2731,1400.0,0.0,1.0
2017-09-18,20.1,20.131,20.084,20.101,19.3607,4800.0,0.0,1.0
2017-09-19,20.13,20.135,20.11,20.11,19.3694,8700.0,0.0,1.0
2017-09-20,20.17,20.18,20.15,20.18,19.4368,2300.0,0.0,1.0
2017-09-21,20.145,20.145,20.145,20.145,19.4687,200.0,0.068,1.0
2017-09-22,20.145,20.145,20.145,20.145,19.4687,0.0,0.0,1.0
2017-09-25,20.22,20.35,20.22,20.347,19.6639,2800.0,0.0,1.0
2017-09-26,20.44,20.5,20.44,20.5,19.8118,3700.0,0.0,1.0
2017-09-27,20.68,20.8,20.678,20.8,20.1017,3000.0,0.0,1.0
2017-09-28,20.796,20.796,20.796,20.796,20.0979,500.0,0.0,1.0
2017-09-29,20.93,20.96,20.908,20.95,20.2467,6000.0,0.0,1.0
2017-10-02,21.05,21.05,21.037,21.037,20.3308,500.0,0.0,1.0
2017-10-03,21.16,21.16,21.16,21.16,20.4496,1500.0,0.0,1.0
2017-10-04,21.25,21.28,21.14,21.19,20.4786,1200.0,0.0,1.0
2017-10-05,21.19,21.19,21.19,21.19,20.4786,0.0,0.0,1.0
2017-10-06,21.14,21.15,21.14,21.15,20.44,1000.0,0.0,1.0
2017-10-09,21.06,21.06,21.04,21.04,20.3337,400.0,0.0,1.0
2017-10-10,21.04,21.04,21.04,21.04,20.3337,0.0,0.0,1.0
2017-10-11,21.17,21.17,21.17,21.17,20.4593,300.0,0.0,1.0
2017-10-12,21.17,21.17,21.17,21.17,20.4593,0.0,0.0,1.0
2017-10-13,21.18,21.18,21.102,21.12,20.411,3500.0,0.0,1.0
2017-10-16,21.059,21.059,21.059,21.059,20.352,200.0,0.0,1.0
2017-10-17,21.14,21.14,21.01,21.01,20.3047,300.0,0.0,1.0
2017-10-18,21.168,21.168,21.168,21.168,20.4574,100.0,0.0,1.0
