date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,16.5833,16.7083,16.0833,16.7083,15.3764,10200.0,0.0,1.0
1999-08-11,16.1667,16.7083,16.1667,16.4167,15.108,106600.0,0.0,1.0
1999-08-12,16.1667,16.5833,16.1667,16.5833,15.2613,167400.0,0.0,1.0
1999-08-13,16.75,16.75,16.1667,16.5,15.1847,6300.0,0.0,1.0
1999-08-16,16.1667,16.3333,16.1667,16.3333,15.0313,2200.0,0.0,1.0
1999-08-17,16.8333,16.875,16.0417,16.8333,15.4914,127200.0,0.0,1.0
1999-08-18,16.5833,16.8333,16.125,16.4167,15.108,41700.0,0.0,1.0
1999-08-19,16.0,16.0833,15.875,16.0,14.7245,83500.0,0.0,1.0
1999-08-20,16.0,16.1667,16.0,16.0833,14.8012,15100.0,0.0,1.0
1999-08-23,16.2917,16.2917,16.2917,16.2917,14.9929,600.0,0.0,1.0
1999-08-24,16.2917,16.75,16.0,16.75,15.4147,6700.0,0.0,1.0
1999-08-25,16.4167,16.75,16.4167,16.4167,15.108,17200.0,0.0,1.0
1999-08-26,16.4167,16.75,16.4167,16.75,15.4147,25300.0,0.0,1.0
1999-08-27,16.3333,16.75,16.3333,16.75,15.4147,37600.0,0.0,1.0
1999-08-30,16.4167,16.6667,16.4167,16.5417,15.223,142800.0,0.0,1.0
1999-08-31,16.75,16.75,16.3333,16.4167,15.108,42100.0,0.0,1.0
1999-09-01,16.75,16.8333,16.5,16.8333,15.4914,24900.0,0.0,1.0
1999-09-02,16.6667,16.8333,16.6667,16.8333,15.4914,14800.0,0.0,1.0
1999-09-03,16.8333,16.8333,16.5,16.6667,15.338,9700.0,0.0,1.0
1999-09-07,16.5833,16.8333,16.5833,16.75,15.4147,7600.0,0.0,1.0
1999-09-08,16.6667,16.7083,16.3333,16.5,15.1847,4600.0,0.0,1.0
1999-09-09,16.3333,16.3333,16.25,16.3333,15.0313,3000.0,0.0,1.0
1999-09-10,16.3333,16.5833,16.1667,16.1667,14.8779,1500.0,0.0,1.0
1999-09-13,16.2917,16.6667,15.8333,15.8333,14.5711,7600.0,0.0,1.0
1999-09-14,15.8333,16.0417,15.8333,16.0,14.74,30300.0,0.0167,1.0
1999-09-15,16.0,16.0,15.9167,16.0,14.74,5100.0,0.0,1.0
1999-09-16,15.9167,15.9583,15.2917,15.2917,14.0875,5100.0,0.0,1.0
1999-09-17,15.375,15.8333,14.3333,14.8333,13.6652,19300.0,0.0,1.0
1999-09-20,14.75,15.1667,14.1667,14.3333,13.2046,7800.0,0.0,1.0
1999-09-21,14.5833,14.5833,14.25,14.2917,13.1662,34000.0,0.0,1.0
1999-09-22,14.2917,14.6667,13.9583,14.5,13.3582,17100.0,0.0,1.0
1999-09-23,14.8333,14.8333,13.625,13.625,12.5521,6000.0,0.0,1.0
1999-09-24,13.625,14.3333,13.5833,13.8333,12.744,67800.0,0.0,1.0
1999-09-27,13.9167,14.0,13.5417,13.5417,12.4753,24700.0,0.0,1.0
1999-09-28,13.5833,14.0,13.4167,14.0,12.8975,100900.0,0.0,1.0
1999-09-29,13.5833,14.0,13.5833,14.0,12.8975,1800.0,0.0,1.0
1999-09-30,13.5833,14.0417,13.5833,14.0417,12.9359,3100.0,0.0,1.0
1999-10-01,14.5,14.5,14.5,14.5,13.3582,300.0,0.0,1.0
1999-10-04,14.6667,14.6667,14.6667,14.6667,13.5117,2400.0,0.0,1.0
1999-10-05,14.8333,15.8333,14.8333,15.8333,14.5865,7800.0,0.0,1.0
1999-10-06,15.0,15.75,15.0,15.5,14.2794,24400.0,0.0,1.0
1999-10-07,15.1667,16.0,15.1667,16.0,14.74,31900.0,0.0,1.0
1999-10-08,16.0,16.0,15.1667,15.1667,13.9723,4300.0,0.0,1.0
1999-10-11,15.75,16.0,15.5833,16.0,14.74,50200.0,0.0,1.0
1999-10-12,15.75,15.8333,15.1667,15.6667,14.433,17100.0,0.0,1.0
1999-10-13,16.0,16.0,15.5833,15.5833,14.3562,15600.0,0.0,1.0
1999-10-14,16.0,16.0,15.875,15.9167,14.6633,5500.0,0.0,1.0
1999-10-15,16.125,16.3333,16.0,16.3333,15.0471,1600.0,0.0,1.0
1999-10-18,15.5,16.0,15.5,16.0,14.74,8500.0,0.0,1.0
1999-10-19,15.5833,16.5,15.5833,16.25,14.9704,12900.0,0.0,1.0
1999-10-20,16.0,16.0,15.1667,15.9167,14.6633,8800.0,0.0,1.0
1999-10-21,15.0,15.9167,15.0,15.9167,14.6633,4200.0,0.0,1.0
1999-10-22,15.9167,15.9167,15.0,15.9167,14.6633,5700.0,0.0,1.0
1999-10-25,15.8333,16.0,14.8333,14.8333,13.6652,13900.0,0.0,1.0
1999-10-26,15.5833,15.5833,15.0,15.0,13.8188,5400.0,0.0,1.0
1999-10-27,15.6667,16.1667,15.6667,15.7917,14.5481,12300.0,0.0,1.0
1999-10-28,15.9583,16.1667,15.6667,15.875,14.6249,6100.0,0.0,1.0
1999-10-29,15.6667,16.2917,15.6667,16.2917,15.0087,7200.0,0.0,1.0
1999-11-01,16.0,16.375,16.0,16.2917,15.0087,41500.0,0.0,1.0
1999-11-02,16.0,16.3333,16.0,16.1667,14.8936,23800.0,0.0,1.0
1999-11-03,15.8333,16.2917,15.8333,16.2917,15.0087,2200.0,0.0,1.0
1999-11-04,15.8333,16.5833,15.7083,16.0417,14.7784,53200.0,0.0,1.0
1999-11-05,16.0,16.5833,16.0,16.3333,15.0471,9400.0,0.0,1.0
1999-11-08,16.3333,16.3333,15.8333,15.8333,14.5865,4200.0,0.0,1.0
1999-11-09,16.3333,16.3333,16.0,16.2083,14.932,6400.0,0.0,1.0
1999-11-10,16.0,16.1667,15.6667,16.0,14.74,4600.0,0.0,1.0
1999-11-11,16.0,16.5833,16.0,16.0,14.74,4300.0,0.0,1.0
1999-11-12,16.4167,16.4167,15.75,16.0,14.74,4300.0,0.0,1.0
1999-11-15,16.3125,16.4167,16.1667,16.1667,14.8936,2500.0,0.0,1.0
1999-11-16,16.1667,16.5833,16.0,16.5,15.2007,1300.0,0.0,1.0
1999-11-17,16.2917,16.8333,16.2917,16.8333,15.5077,23700.0,0.0,1.0
1999-11-18,16.8333,17.3333,16.6667,17.1667,15.8148,23700.0,0.0,1.0
1999-11-19,17.3333,17.3333,16.5,16.5,15.2007,15100.0,0.0,1.0
1999-11-22,16.3333,16.75,16.3333,16.75,15.431,13600.0,0.0,1.0
1999-11-23,16.75,16.8333,16.3333,16.8333,15.5077,32700.0,0.0,1.0
1999-11-24,16.8333,16.8333,16.1667,16.625,15.3158,5800.0,0.0,1.0
1999-11-26,16.3333,16.5833,16.3333,16.5833,15.2774,5400.0,0.0,1.0
1999-11-29,16.625,16.625,16.3333,16.3333,15.0471,2400.0,0.0,1.0
1999-11-30,16.0,16.6667,15.6667,15.6667,14.433,8100.0,0.0,1.0
1999-12-01,15.8333,16.0,15.6667,15.8333,14.5865,3100.0,0.0,1.0
1999-12-02,15.9167,15.9583,15.875,15.9583,14.7017,10200.0,0.0,1.0
1999-12-03,15.9167,16.0833,15.8958,15.9167,14.6633,108700.0,0.0,1.0
1999-12-06,15.9167,16.3333,15.9167,16.25,14.9704,4200.0,0.0,1.0
1999-12-07,16.3333,16.3333,15.9167,16.1667,14.8936,7800.0,0.0,1.0
1999-12-08,16.3333,16.6667,16.2083,16.375,15.0855,4200.0,0.0,1.0
1999-12-09,16.6667,16.8333,16.5208,16.8333,15.5077,3700.0,0.0,1.0
1999-12-10,17.0833,17.1667,16.4167,16.4167,15.1239,17200.0,0.0,1.0
1999-12-13,16.8333,16.8333,16.1667,16.6667,15.3542,3600.0,0.0,1.0
1999-12-14,16.5,16.5833,16.3333,16.3333,15.0471,24700.0,0.0,1.0
1999-12-15,16.4167,16.6667,16.0,16.6667,15.3542,59800.0,0.0,1.0
1999-12-16,16.5833,16.5833,16.3333,16.4167,15.1239,44500.0,0.0,1.0
1999-12-17,16.1667,16.3333,16.0,16.3333,15.0471,14800.0,0.0,1.0
1999-12-20,16.1667,16.5,16.1667,16.5,15.2162,10600.0,0.0167,1.0
1999-12-21,16.25,16.25,15.9583,16.1458,14.8896,9700.0,0.0,1.0
1999-12-22,16.0,16.0,15.9583,16.0,14.7551,22200.0,0.0,1.0
1999-12-23,16.0,16.0729,15.2083,15.2917,14.1019,8800.0,0.0,1.0
1999-12-27,15.0,15.0,14.7083,14.9167,13.7561,4300.0,0.0,1.0
1999-12-28,14.6667,15.8333,14.6667,15.8333,14.6014,2500.0,0.0,1.0
1999-12-29,15.1667,15.1667,15.1667,15.1667,13.9866,300.0,0.0,1.0
1999-12-30,15.1667,15.8333,15.1667,15.8333,14.6014,3300.0,0.0,1.0
1999-12-31,16.0,16.0,15.1667,15.5833,14.3709,8800.0,0.0,1.0
2000-01-03,15.1667,15.3333,14.5,15.3333,14.1403,64800.0,0.0,1.0
2000-01-04,14.6667,15.3333,14.6667,15.3333,14.1403,2700.0,0.0,1.0
2000-01-05,15.4583,16.0,15.0,15.5,14.294,17200.0,0.0,1.0
2000-01-06,15.1667,15.1667,14.8333,14.8333,13.6792,7500.0,0.0,1.0
2000-01-07,15.1667,15.1667,15.0,15.1667,13.9866,1300.0,0.0,1.0
2000-01-10,15.0,15.125,14.8333,15.0417,13.8713,9700.0,0.0,1.0
2000-01-11,15.0,15.0833,14.3333,14.3333,13.2181,23400.0,0.0,1.0
2000-01-12,14.625,14.625,13.0,13.0,11.9885,34600.0,0.0,1.0
2000-01-13,13.8333,13.9583,13.25,13.25,12.2191,58800.0,0.0,1.0
2000-01-14,13.25,13.3333,13.1667,13.3333,12.2959,5500.0,0.0,1.0
2000-01-18,13.0,13.3333,13.0,13.3333,12.2959,4500.0,0.0,1.0
2000-01-19,13.1667,13.2083,13.0833,13.125,12.1038,10000.0,0.0,1.0
2000-01-20,13.25,13.25,13.0417,13.1667,12.1422,6300.0,0.0,1.0
2000-01-21,13.125,13.125,12.9583,13.0,11.9885,22500.0,0.0,1.0
2000-01-24,12.875,13.3333,12.875,12.875,11.8732,10500.0,0.0,1.0
2000-01-25,13.3333,13.3333,12.5,12.7083,11.7195,16000.0,0.0,1.0
2000-01-26,13.0833,13.1667,12.6667,12.6667,11.6811,11800.0,0.0,1.0
2000-01-27,13.0,13.125,12.6667,12.6667,11.6811,2500.0,0.0,1.0
2000-01-28,13.125,13.125,12.6667,12.6667,11.6811,3300.0,0.0,1.0
2000-01-31,12.8958,12.8958,12.1667,12.1667,11.22,11100.0,0.0,1.0
2000-02-01,13.0,13.0,11.5833,11.5833,10.6821,41800.0,0.0,1.0
2000-02-02,11.5,11.6667,10.9792,10.9792,10.1249,339000.0,0.0,1.0
2000-02-03,11.3333,11.8333,11.25,11.75,10.8358,25600.0,0.0,1.0
2000-02-04,11.5833,12.0,11.5833,11.7604,10.8454,14500.0,0.0,1.0
2000-02-07,12.25,12.25,11.6667,12.0,11.0663,11100.0,0.0,1.0
2000-02-08,11.5,11.6667,11.3333,11.3333,10.4515,28900.0,0.0,1.0
2000-02-09,11.4583,11.4583,11.3333,11.375,10.49,27300.0,0.0,1.0
2000-02-10,11.25,11.375,11.25,11.25,10.3747,16800.0,0.0,1.0
2000-02-11,11.2917,11.5,11.125,11.1667,10.2978,19000.0,0.0,1.0
2000-02-14,11.1667,11.3333,10.3333,10.3333,9.5293,47400.0,0.0,1.0
2000-02-15,10.2917,10.6667,10.1667,10.5417,9.7215,41200.0,0.0,1.0
2000-02-16,10.6667,11.0,10.6667,11.0,10.1441,32100.0,0.0,1.0
2000-02-17,11.0,11.8333,11.0,11.8333,10.9126,31000.0,0.0,1.0
2000-02-18,12.0,12.0,11.1667,11.3333,10.4515,22000.0,0.0,1.0
2000-02-22,11.3333,11.375,10.8333,11.3333,10.4515,4300.0,0.0,1.0
2000-02-23,11.3333,11.4167,11.3333,11.3333,10.4515,4800.0,0.0,1.0
2000-02-24,11.4167,11.4167,11.0833,11.2917,10.4131,10200.0,0.0,1.0
2000-02-25,11.0833,11.4167,10.8333,10.8333,9.9904,8200.0,0.0,1.0
2000-02-28,11.4375,11.4375,11.2083,11.25,10.3747,15000.0,0.0,1.0
2000-02-29,11.25,11.25,11.1667,11.25,10.3747,11800.0,0.0,1.0
2000-03-01,11.0833,11.4167,11.0833,11.0833,10.221,13500.0,0.0,1.0
2000-03-02,11.4167,11.4167,11.0,11.0,10.1441,11800.0,0.0,1.0
2000-03-03,11.1458,11.1458,10.6667,10.75,9.9136,13300.0,0.0,1.0
2000-03-06,10.6667,10.75,10.6667,10.75,9.9136,9100.0,0.0,1.0
2000-03-07,10.6667,10.75,10.3333,10.3333,9.5293,19200.0,0.0,1.0
2000-03-08,10.5,10.5,9.8333,9.8333,9.0682,40800.0,0.0,1.0
2000-03-09,9.8333,10.1667,9.8333,10.0417,9.2604,16500.0,0.0,1.0
2000-03-10,10.5,10.5833,10.1667,10.2917,9.4909,9900.0,0.0,1.0
2000-03-13,10.1667,10.5833,10.0,10.0,9.2219,1900.0,0.0,1.0
2000-03-14,10.0833,10.5417,10.0,10.4583,9.6446,3700.0,0.0,1.0
2000-03-15,10.4583,10.4583,10.25,10.3333,9.5445,10300.0,0.0167,1.0
2000-03-16,10.25,11.0833,10.25,11.0833,10.2373,537900.0,0.0,1.0
2000-03-17,11.0833,11.2083,10.8333,11.2083,10.3528,19600.0,0.0,1.0
2000-03-20,10.9583,11.375,10.9583,11.3333,10.4682,10000.0,0.0,1.0
2000-03-21,11.0417,11.4167,11.0,11.0,10.1603,25600.0,0.0,1.0
2000-03-22,11.3333,11.4167,10.6667,10.6667,9.8524,20700.0,0.0,1.0
2000-03-23,11.2083,11.4167,11.2083,11.2083,10.3528,4300.0,0.0,1.0
2000-03-24,11.0,11.3333,10.75,11.0833,10.2373,13000.0,0.0,1.0
2000-03-27,11.3333,11.3333,10.875,11.1667,10.3143,5100.0,0.0,1.0
2000-03-28,11.3333,11.3333,10.875,10.8854,10.0545,12100.0,0.0,1.0
2000-03-29,10.875,10.875,10.4583,10.4583,9.66,13200.0,0.0,1.0
2000-03-30,10.625,10.9583,10.3333,10.6667,9.8524,6600.0,0.0,1.0
2000-03-31,10.6458,10.9583,10.25,10.9583,10.1218,5700.0,0.0,1.0
2000-04-03,10.9583,10.9583,10.8333,10.9583,10.1218,2400.0,0.0,1.0
2000-04-04,11.2708,11.2708,10.7083,10.7083,9.8909,15300.0,0.0,1.0
2000-04-05,10.9792,11.6667,10.6667,11.0833,10.2373,33100.0,0.0,1.0
2000-04-06,11.5833,11.875,11.5833,11.6667,10.7761,10800.0,0.0,1.0
2000-04-07,12.0,12.1667,11.8333,12.1667,11.2379,18000.0,0.0,1.0
2000-04-10,11.6667,12.5417,11.6667,12.5417,11.5843,9700.0,0.0,1.0
2000-04-11,12.0,12.25,11.6667,11.6667,10.7761,12100.0,0.0,1.0
2000-04-12,12.0,12.0,11.6667,12.0,11.084,5700.0,0.0,1.0
2000-04-13,12.0,12.0417,11.9583,11.9792,11.0647,4200.0,0.0,1.0
2000-04-14,11.5,11.5,11.3333,11.3333,10.4682,3000.0,0.0,1.0
2000-04-17,10.75,11.3333,10.6667,11.125,10.2758,7800.0,0.0,1.0
2000-04-18,11.125,11.5,10.8333,11.5,10.6222,6400.0,0.0,1.0
2000-04-19,11.5,11.5,11.3333,11.3333,10.4682,2200.0,0.0,1.0
2000-04-20,11.3333,11.5,11.3333,11.3333,10.4682,4200.0,0.0,1.0
2000-04-24,11.1667,11.5833,11.1667,11.5833,10.6991,3700.0,0.0,1.0
2000-04-25,11.3333,11.5833,11.3333,11.4583,10.5837,1900.0,0.0,1.0
2000-04-26,11.2917,11.6667,11.2917,11.3333,10.4682,4500.0,0.0,1.0
2000-04-27,11.3333,11.6667,11.0,11.6667,10.7761,2200.0,0.0,1.0
2000-04-28,11.6667,11.6667,10.9167,11.5,10.6222,6400.0,0.0,1.0
2000-05-01,11.5,11.5,11.375,11.5,10.6222,6100.0,0.0,1.0
2000-05-02,11.0,11.0,11.0,11.0,10.1603,100.0,0.0,1.0
2000-05-03,11.1667,11.6667,11.0,11.6667,10.7761,4300.0,0.0,1.0
2000-05-04,11.0,11.3333,11.0,11.0,10.1603,14400.0,0.0,1.0
2000-05-05,11.0,11.3333,11.0,11.3333,10.4682,1900.0,0.0,1.0
2000-05-08,11.0833,11.3333,10.8333,10.8333,10.0064,14500.0,0.0,1.0
2000-05-09,10.8333,10.9167,10.7292,10.8333,10.0064,85200.0,0.0,1.0
2000-05-10,10.8542,10.8542,10.5833,10.6667,9.8524,8200.0,0.0,1.0
2000-05-11,10.8333,10.8333,10.6667,10.8333,10.0064,21000.0,0.0,1.0
2000-05-12,10.8333,10.8646,10.5833,10.5833,9.7755,7300.0,0.0,1.0
2000-05-15,10.625,10.625,10.25,10.25,9.4676,13200.0,0.0,1.0
2000-05-16,10.3333,10.9167,10.3333,10.4167,9.6215,5400.0,0.0,1.0
2000-05-17,10.25,10.9167,10.25,10.6667,9.8524,7300.0,0.0,1.0
2000-05-18,10.875,11.25,10.3333,11.25,10.3912,12700.0,0.0,1.0
2000-05-19,11.2083,11.2083,10.3333,10.3333,9.5445,9300.0,0.0,1.0
2000-05-22,10.9167,10.9167,10.3333,10.9167,10.0834,6900.0,0.0,1.0
2000-05-23,10.9167,10.9167,10.2917,10.5,9.6985,3600.0,0.0,1.0
2000-05-24,10.6667,10.6667,10.2917,10.5833,9.7755,13200.0,0.0,1.0
2000-05-25,10.25,10.5,10.25,10.25,9.4676,7200.0,0.0,1.0
2000-05-26,10.25,10.5417,10.0417,10.5,9.6985,19900.0,0.0,1.0
2000-05-30,10.1667,10.3333,10.0,10.25,9.4676,6300.0,0.0,1.0
2000-05-31,10.25,10.5833,9.875,10.5833,9.7755,15600.0,0.0,1.0
2000-06-01,10.5833,10.5833,10.2917,10.5833,9.7755,9900.0,0.0,1.0
2000-06-02,10.4167,10.5833,10.2083,10.5833,9.7755,10200.0,0.0,1.0
2000-06-05,10.5833,10.5833,10.0833,10.5833,9.7755,6600.0,0.0,1.0
2000-06-06,10.3542,10.5417,10.3542,10.5417,9.737,2100.0,0.0,1.0
2000-06-07,10.375,10.375,10.1667,10.1667,9.3906,4800.0,0.0,1.0
2000-06-08,10.5,10.5,10.25,10.5,9.6985,1500.0,0.0,1.0
2000-06-09,10.3333,10.5,10.1771,10.1771,9.4002,1600.0,0.0,1.0
2000-06-12,10.5,10.5,9.9167,9.9167,9.1597,9100.0,0.0,1.0
2000-06-13,9.8333,10.2083,9.8333,10.2083,9.4291,26100.0,0.0,1.0
2000-06-14,10.1667,10.1667,9.9583,9.9583,9.2162,10800.0,0.02,1.0
2000-06-15,9.9792,10.0417,9.8333,9.8333,9.1005,12400.0,0.0,1.0
2000-06-16,9.6667,10.0,9.6667,10.0,9.2548,33100.0,0.0,1.0
2000-06-19,10.0417,10.0417,9.6667,9.6667,8.9463,6300.0,0.0,1.0
2000-06-20,10.0,10.0417,9.5833,9.5833,8.8692,39400.0,0.0,1.0
2000-06-21,9.75,9.75,9.6667,9.6667,8.9463,7900.0,0.0,1.0
2000-06-22,9.625,9.75,9.2917,9.3333,8.6378,14500.0,0.0,1.0
2000-06-23,9.25,9.3333,8.5417,8.5417,7.9051,29700.0,0.0,1.0
2000-06-26,8.7917,8.8333,8.6667,8.8333,8.1751,119100.0,0.0,1.0
2000-06-27,9.1563,9.5,9.0,9.0,8.3293,43500.0,0.0,1.0
2000-06-28,9.5,9.5,9.375,9.4167,8.7149,21700.0,0.0,1.0
2000-06-29,9.0,9.5,9.0,9.0,8.3293,7200.0,0.0,1.0
2000-06-30,9.0,9.75,8.8333,9.3333,8.6378,28000.0,0.0,1.0
2000-07-03,9.3333,9.7917,9.3333,9.3333,8.6378,3100.0,0.0,1.0
2000-07-05,9.5833,9.8333,9.3333,9.3333,8.6378,14500.0,0.0,1.0
2000-07-06,9.6667,9.6667,9.3333,9.4583,8.7535,6900.0,0.0,1.0
2000-07-07,9.4583,9.6667,9.375,9.6667,8.9463,16800.0,0.0,1.0
2000-07-10,9.3333,9.9583,9.3333,9.75,9.0234,2500.0,0.0,1.0
2000-07-11,9.7917,9.875,9.4271,9.875,9.1391,50200.0,0.0,1.0
2000-07-12,9.9583,9.9583,9.5,9.75,9.0234,9600.0,0.0,1.0
2000-07-13,9.9167,9.9167,9.3333,9.4167,8.7149,33600.0,0.0,1.0
