date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2005-08-09,19.8,23.06,19.0,20.7,18.6715,11688000.0,0.0,1.0
2005-08-10,21.24,22.45,21.12,21.36,19.2668,2121300.0,0.0,1.0
2005-08-11,21.8,22.0,20.7,21.03,18.9691,1191100.0,0.0,1.0
2005-08-12,21.2,21.32,20.75,20.99,18.933,471100.0,0.0,1.0
2005-08-15,21.05,21.15,20.07,20.67,18.6444,790600.0,0.0,1.0
2005-08-16,20.3,21.01,19.85,20.35,18.3558,483700.0,0.0,1.0
2005-08-17,20.83,20.83,19.53,20.04,18.0761,362900.0,0.0,1.0
2005-08-18,20.0,20.1,19.37,19.9,17.9499,423500.0,0.0,1.0
2005-08-19,19.75,20.3,19.75,20.06,18.0942,234600.0,0.0,1.0
2005-08-22,20.27,20.45,19.87,19.97,18.013,188400.0,0.0,1.0
2005-08-23,20.02,20.04,19.7,19.78,17.8416,421600.0,0.0,1.0
2005-08-24,19.9,20.0,18.59,19.25,17.3636,1320600.0,0.0,1.0
2005-08-25,19.93,20.7,19.6,20.53,18.5181,1941300.0,0.0,1.0
2005-08-26,20.7,20.92,20.02,20.92,18.8699,522100.0,0.0,1.0
2005-08-29,20.89,20.9,20.25,20.75,18.7166,248400.0,0.0,1.0
2005-08-30,20.82,20.82,19.81,19.89,17.9408,668400.0,0.0,1.0
2005-08-31,19.71,20.0,18.25,18.8,16.9577,1842100.0,0.0,1.0
2005-09-01,18.66,18.88,17.35,17.77,16.0286,1341000.0,0.0,1.0
2005-09-02,18.1,18.61,17.6,17.82,16.0737,504600.0,0.0,1.0
2005-09-06,18.13,18.45,18.0,18.24,16.4525,604300.0,0.0,1.0
2005-09-07,18.81,18.84,18.5,18.66,16.8314,765400.0,0.0,1.0
2005-09-08,18.8,18.85,18.12,18.37,16.5698,434700.0,0.0,1.0
2005-09-09,18.38,18.6,18.01,18.17,16.3894,271400.0,0.0,1.0
2005-09-12,18.31,18.9,18.24,18.7,16.8675,428300.0,0.0,1.0
2005-09-13,18.9,18.9,18.5,18.71,16.8765,243600.0,0.0,1.0
2005-09-14,18.84,18.84,18.21,18.28,16.4886,227700.0,0.0,1.0
2005-09-15,18.56,18.56,17.95,18.03,16.2631,438200.0,0.0,1.0
2005-09-16,18.25,18.94,18.11,18.76,16.9216,864100.0,0.0,1.0
2005-09-19,19.0,19.05,18.25,18.44,16.6329,756100.0,0.0,1.0
2005-09-20,18.98,18.98,18.15,18.25,16.4616,473700.0,0.0,1.0
2005-09-21,18.3,18.3,17.37,17.55,15.8302,374900.0,0.0,1.0
2005-09-22,17.42,17.47,16.59,17.23,15.5415,963900.0,0.0,1.0
2005-09-23,17.05,17.85,17.05,17.67,15.9384,179000.0,0.0,1.0
2005-09-26,17.84,18.02,17.48,17.57,15.8482,245600.0,0.0,1.0
2005-09-27,17.48,17.7,17.1,17.29,15.5956,162400.0,0.0,1.0
2005-09-28,18.17,18.44,17.77,17.98,16.218,584500.0,0.0,1.0
2005-09-29,18.07,18.65,17.95,18.6,16.7773,320400.0,0.0,1.0
2005-09-30,18.69,18.92,18.29,18.38,16.5788,1200900.0,0.0,1.0
2005-10-03,18.3,18.96,18.19,18.89,17.0388,268400.0,0.0,1.0
2005-10-04,18.8,19.08,18.2,18.35,16.5518,297900.0,0.0,1.0
2005-10-05,18.41,18.53,17.97,18.11,16.3353,349700.0,0.0,1.0
2005-10-06,18.0,18.35,17.78,18.0,16.2361,419700.0,0.0,1.0
2005-10-07,17.9,18.35,17.9,18.15,16.3714,210300.0,0.0,1.0
2005-10-10,18.33,18.38,18.09,18.24,16.4525,227400.0,0.0,1.0
2005-10-11,18.28,18.34,18.16,18.25,16.4616,98000.0,0.0,1.0
2005-10-12,18.15,18.25,17.2,17.47,15.758,286300.0,0.0,1.0
2005-10-13,17.47,17.99,17.41,17.75,16.0106,172300.0,0.0,1.0
2005-10-14,17.64,17.98,17.64,17.91,16.1549,145300.0,0.0,1.0
2005-10-17,17.81,18.02,17.67,17.85,16.1008,86900.0,0.0,1.0
2005-10-18,17.78,17.95,17.44,17.51,15.7941,295500.0,0.0,1.0
2005-10-19,17.21,17.75,17.07,17.56,15.8392,298900.0,0.0,1.0
2005-10-20,17.74,18.25,17.52,18.19,16.4074,331100.0,0.0,1.0
2005-10-21,18.17,18.5,18.17,18.33,16.5337,144800.0,0.0,1.0
2005-10-24,18.35,18.38,18.19,18.27,16.4796,46000.0,0.0,1.0
2005-10-25,18.05,18.24,17.8,17.92,16.1639,152100.0,0.0,1.0
2005-10-26,17.75,18.0,17.55,17.66,15.9294,169600.0,0.0,1.0
2005-10-27,17.5,17.64,17.25,17.3,15.6047,75800.0,0.0,1.0
2005-10-28,17.29,17.63,17.05,17.35,15.6498,162700.0,0.0,1.0
2005-10-31,17.32,18.01,17.32,17.86,16.1098,99900.0,0.0,1.0
2005-11-01,17.52,17.97,17.52,17.86,16.1098,125400.0,0.0,1.0
2005-11-02,17.86,18.15,17.84,18.11,16.3353,119800.0,0.0,1.0
2005-11-03,18.06,18.27,17.71,17.89,16.1368,72100.0,0.0,1.0
2005-11-04,17.88,18.3,17.77,18.2,16.4165,291200.0,0.0,1.0
2005-11-07,18.15,18.28,17.9,18.06,16.2902,63000.0,0.0,1.0
2005-11-08,17.9,17.97,17.6,17.67,15.9384,80500.0,0.0,1.0
2005-11-09,17.55,17.58,17.12,17.4,15.6949,233900.0,0.0,1.0
2005-11-10,17.53,17.69,17.09,17.22,15.5325,122900.0,0.0,1.0
2005-11-11,17.45,18.15,17.13,17.99,16.227,205900.0,0.0,1.0
2005-11-14,18.1,18.1,17.64,17.85,16.1008,120200.0,0.0,1.0
2005-11-15,17.1,17.35,16.3,16.37,14.7658,1956400.0,0.0,1.0
2005-11-16,16.71,16.71,16.37,16.52,14.9011,433600.0,0.0,1.0
2005-11-17,16.55,16.76,16.54,16.69,15.0544,178300.0,0.0,1.0
2005-11-18,16.77,16.82,16.52,16.63,15.0003,173600.0,0.0,1.0
2005-11-21,16.87,17.5,16.77,17.45,15.74,661800.0,0.0,1.0
2005-11-22,17.59,18.14,17.5,17.94,16.1819,385500.0,0.0,1.0
2005-11-23,17.95,18.38,17.77,18.08,16.3082,396300.0,0.0,1.0
2005-11-25,18.25,18.25,17.87,18.03,16.2631,94800.0,0.0,1.0
2005-11-28,18.0,18.18,17.77,17.83,16.0827,68900.0,0.0,1.0
2005-11-29,17.92,18.03,17.67,17.85,16.1008,69200.0,0.0,1.0
2005-11-30,17.98,17.98,17.51,17.68,15.9474,200200.0,0.0,1.0
2005-12-01,17.75,17.77,17.37,17.47,15.758,203200.0,0.0,1.0
2005-12-02,17.37,17.52,17.26,17.47,15.758,157100.0,0.0,1.0
2005-12-05,17.37,17.54,17.31,17.36,15.6588,75400.0,0.0,1.0
2005-12-06,17.3,17.59,17.26,17.55,15.8302,151100.0,0.0,1.0
2005-12-07,17.42,17.6,17.3,17.38,15.6768,171600.0,0.0,1.0
2005-12-08,17.29,17.51,17.18,17.51,15.7941,121000.0,0.0,1.0
2005-12-09,17.5,18.04,17.31,17.84,16.0917,257700.0,0.0,1.0
2005-12-12,17.65,18.19,17.65,18.03,16.2631,244000.0,0.0,1.0
2005-12-13,18.15,18.86,17.99,18.7,16.8675,408000.0,0.0,1.0
2005-12-14,18.73,19.36,18.62,19.18,17.3004,540800.0,0.0,1.0
2005-12-15,19.3,19.5,18.75,18.85,17.0028,284100.0,0.0,1.0
2005-12-16,18.98,19.04,18.13,18.6,16.7773,442800.0,0.0,1.0
2005-12-19,18.52,18.52,17.9,18.21,16.4255,216900.0,0.0,1.0
2005-12-20,18.21,18.35,17.95,18.13,16.3533,149900.0,0.0,1.0
2005-12-21,18.28,18.29,18.0,18.23,16.4435,79200.0,0.0,1.0
2005-12-22,18.15,18.49,18.15,18.43,16.6239,78700.0,0.0,1.0
2005-12-23,18.49,18.54,18.32,18.34,16.5427,63300.0,0.0,1.0
2005-12-27,18.23,18.4,18.14,18.15,16.3714,79400.0,0.0,1.0
2005-12-28,18.15,18.24,17.8,18.03,16.2631,103900.0,0.0,1.0
2005-12-29,17.89,18.2,17.87,18.0,16.2361,102700.0,0.0,1.0
2005-12-30,17.92,18.18,17.85,18.09,16.3172,263700.0,0.0,1.0
2006-01-03,18.2,18.2,17.5,17.71,15.9745,250700.0,0.0,1.0
2006-01-04,17.71,18.73,17.65,18.51,16.6961,311300.0,0.0,1.0
2006-01-05,19.39,19.9,18.95,19.77,17.8326,816200.0,0.0,1.0
2006-01-06,19.77,20.35,19.65,20.1,18.1303,424900.0,0.0,1.0
