date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-09-12,300.0,750.0,287.5,640.0,640.0,511100.0,0.0,1.0
2014-09-15,794.0,1092.65,754.25,928.75,928.75,450200.0,0.0,1.0
2014-09-16,1036.75,1087.2,800.0,923.75,923.75,328900.0,0.0,1.0
2014-09-17,934.75,949.375,830.0,842.5,842.5,155100.0,0.0,1.0
2014-09-18,798.0,819.75,688.25,706.25,706.25,104400.0,0.0,1.0
2014-09-19,687.75,756.0,687.5,694.5,694.5,51800.0,0.0,1.0
2014-09-22,687.5,799.5,654.0,793.0,793.0,68200.0,0.0,1.0
2014-09-23,875.0,875.0,763.0,777.5,777.5,116100.0,0.0,1.0
2014-09-24,801.5,805.0,726.25,753.75,753.75,27100.0,0.0,1.0
2014-09-25,741.0,797.25,688.75,762.25,762.25,29300.0,0.0,1.0
2014-09-26,768.5,785.25,739.25,775.0,775.0,9500.0,0.0,1.0
2014-09-29,767.5,827.5,743.75,827.5,827.5,39600.0,0.0,1.0
2014-09-30,850.0,888.75,809.825,853.75,853.75,61300.0,0.0,1.0
2014-10-01,857.25,857.25,803.75,817.5,817.5,21000.0,0.0,1.0
2014-10-02,829.5,840.0,744.5,791.25,791.25,28300.0,0.0,1.0
2014-10-03,807.75,823.75,764.125,773.25,773.25,15800.0,0.0,1.0
2014-10-06,775.25,785.0,712.75,730.0,730.0,14700.0,0.0,1.0
2014-10-07,717.5,757.5,691.25,722.5,722.5,17100.0,0.0,1.0
2014-10-08,724.5,749.75,700.25,746.25,746.25,11100.0,0.0,1.0
2014-10-09,740.5,787.0,714.5,756.75,756.75,23500.0,0.0,1.0
2014-10-10,727.75,760.15,702.5,725.0,725.0,14000.0,0.0,1.0
2014-10-13,700.25,720.25,637.5,640.25,640.25,22200.0,0.0,1.0
2014-10-14,643.75,661.0,612.525,637.0,637.0,9900.0,0.0,1.0
2014-10-15,625.0,630.5,587.55,622.5,622.5,8800.0,0.0,1.0
2014-10-16,606.0,725.0,594.75,699.5,699.5,15500.0,0.0,1.0
2014-10-17,713.25,750.0,701.25,719.25,719.25,9100.0,0.0,1.0
2014-10-20,722.5,737.5,693.25,722.25,722.25,5500.0,0.0,1.0
2014-10-21,725.0,726.25,695.0,702.5,702.5,6800.0,0.0,1.0
2014-10-22,703.75,704.5,665.0,671.75,671.75,6700.0,0.0,1.0
2014-10-23,692.5,700.0,652.75,660.25,660.25,6400.0,0.0,1.0
2014-10-24,658.0,666.25,640.0,648.0,648.0,4800.0,0.0,1.0
2014-10-27,643.5,733.5,627.5,727.5,727.5,20200.0,0.0,1.0
2014-10-28,735.25,810.25,716.5,731.25,731.25,42900.0,0.0,1.0
2014-10-29,735.5,743.45,695.0,721.25,721.25,9600.0,0.0,1.0
2014-10-30,745.5,799.25,729.5,761.0,761.0,21400.0,0.0,1.0
2014-10-31,786.0,797.0,757.625,766.25,766.25,16000.0,0.0,1.0
2014-11-03,782.5,831.25,741.25,754.5,754.5,27000.0,0.0,1.0
2014-11-04,756.25,774.75,734.75,758.0,758.0,9700.0,0.0,1.0
2014-11-05,765.25,787.5,736.25,750.0,750.0,11400.0,0.0,1.0
2014-11-06,745.0,762.25,722.75,749.5,749.5,12800.0,0.0,1.0
2014-11-07,746.75,777.5,725.0,750.5,750.5,13800.0,0.0,1.0
2014-11-10,748.75,787.5,740.0,753.75,753.75,17600.0,0.0,1.0
2014-11-11,750.0,770.0,737.5,739.75,739.75,11800.0,0.0,1.0
2014-11-12,737.5,758.0,717.5,730.5,730.5,12500.0,0.0,1.0
2014-11-13,744.5,822.5,700.0,702.5,702.5,68900.0,0.0,1.0
2014-11-14,716.0,736.0,676.75,697.5,697.5,22100.0,0.0,1.0
2014-11-17,691.0,704.75,674.0,678.75,678.75,9700.0,0.0,1.0
2014-11-18,681.75,697.5,675.0,684.0,684.0,5500.0,0.0,1.0
2014-11-19,687.5,698.5,665.0,674.5,674.5,10500.0,0.0,1.0
2014-11-20,666.25,681.35,657.0,667.75,667.75,6200.0,0.0,1.0
2014-11-21,676.0,697.0,669.975,684.25,684.25,7400.0,0.0,1.0
2014-11-24,676.75,697.25,670.75,687.5,687.5,7200.0,0.0,1.0
2014-11-25,687.5,693.75,663.25,667.5,667.5,10900.0,0.0,1.0
2014-11-26,664.0,686.75,657.5,665.75,665.75,8100.0,0.0,1.0
2014-11-28,663.75,664.825,655.0,659.5,659.5,5100.0,0.0,1.0
2014-12-01,654.25,654.25,633.25,635.5,635.5,11100.0,0.0,1.0
2014-12-02,632.5,643.775,617.5,626.5,626.5,7600.0,0.0,1.0
2014-12-03,622.0,622.0,600.0,603.25,603.25,9300.0,0.0,1.0
2014-12-04,600.0,600.0,552.5,555.75,555.75,10100.0,0.0,1.0
2014-12-05,554.25,598.0,550.475,591.75,591.75,7500.0,0.0,1.0
2014-12-08,587.5,587.5,563.25,575.0,575.0,5800.0,0.0,1.0
2014-12-09,570.0,575.0,534.75,570.5,570.5,5100.0,0.0,1.0
2014-12-10,572.75,587.25,535.25,535.75,535.75,7000.0,0.0,1.0
2014-12-11,550.0,561.0,537.5,537.5,537.5,6000.0,0.0,1.0
2014-12-12,528.5,544.5,518.25,530.5,530.5,7600.0,0.0,1.0
2014-12-15,530.0,541.25,507.75,519.25,519.25,3700.0,0.0,1.0
2014-12-16,516.5,516.5,476.25,479.5,479.5,10700.0,0.0,1.0
2014-12-17,472.25,472.75,450.25,468.75,468.75,6500.0,0.0,1.0
2014-12-18,475.25,511.5,457.5,500.0,500.0,6900.0,0.0,1.0
2014-12-19,500.5,545.0,495.5,540.5,540.5,5900.0,0.0,1.0
