date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2002-09-11,9.6667,9.6667,9.6667,9.6667,9.6667,100.0,0.0,1.0
2002-09-12,9.6667,9.6667,8.9133,8.9133,8.9133,11500.0,0.0,1.0
2002-09-13,8.8333,8.8333,8.58,8.58,8.58,5500.0,0.0,1.0
2002-09-16,8.6,8.6,8.0,8.0,8.0,4600.0,0.0,1.0
2002-09-17,8.3333,8.5,8.1667,8.1667,8.1667,62100.0,0.0,1.0
2002-09-18,8.1333,8.1333,7.6,7.6,7.6,6100.0,0.0,1.0
2002-09-19,7.5667,7.5667,7.2,7.2,7.2,4200.0,0.0,1.0
2002-09-20,7.2,7.2,7.12,7.12,7.12,900.0,0.0,1.0
2002-09-23,7.3333,7.34,7.04,7.04,7.04,9400.0,0.0,1.0
2002-09-24,7.0067,7.0067,6.1067,6.3,6.3,24600.0,0.0,1.0
2002-09-25,6.5,6.5933,6.4,6.4,6.4,10800.0,0.0,1.0
2002-09-26,6.5333,6.6667,6.4,6.4333,6.4333,56500.0,0.0,1.0
2002-09-27,6.4,6.5,6.1667,6.1667,6.1667,22000.0,0.0,1.0
2002-09-30,6.1667,6.1667,4.38,5.3733,5.3733,705000.0,0.0,1.0
2002-10-01,5.3333,5.5667,5.0,5.4067,5.4067,1015200.0,0.0,1.0
2002-10-02,5.38,5.4,5.1667,5.2333,5.2333,1372000.0,0.0,1.0
2002-10-03,5.2333,5.28,5.1333,5.2,5.2,479500.0,0.0,1.0
2002-10-04,5.22,5.2267,4.94,5.0,5.0,740400.0,0.0,1.0
2002-10-07,4.9667,5.0333,4.7,4.7,4.7,277500.0,0.0,1.0
2002-10-08,4.7,4.7867,4.4267,4.6333,4.6333,635100.0,0.0,1.0
2002-10-09,4.6133,4.6933,4.5333,4.56,4.56,429100.0,0.0,1.0
2002-10-10,4.5467,4.6667,4.48,4.5333,4.5333,524800.0,0.0,1.0
2002-10-11,4.5333,4.7667,4.5333,4.6067,4.6067,907500.0,0.0,1.0
2002-10-14,4.62,4.8,4.6,4.8,4.8,341200.0,0.0,1.0
2002-10-15,4.7933,5.2333,4.6667,5.1,5.1,783400.0,0.0,1.0
2002-10-16,5.3333,5.86,5.3333,5.7867,5.7867,744000.0,0.0,1.0
2002-10-17,5.8333,6.4667,5.7933,6.4133,6.4133,810700.0,0.0,1.0
2002-10-18,6.4667,6.8333,6.3,6.6,6.6,1108800.0,0.0,1.0
2002-10-21,6.8667,6.8667,6.4,6.4667,6.4667,311800.0,0.0,1.0
2002-10-22,6.4067,6.4667,6.1467,6.2333,6.2333,316800.0,0.0,1.0
2002-10-23,6.1533,6.28,5.9,6.0333,6.0333,251100.0,0.0,1.0
2002-10-24,6.04,6.2667,6.0,6.18,6.18,518800.0,0.0,1.0
2002-10-25,6.1,6.1333,5.9667,6.0667,6.0667,123600.0,0.0,1.0
2002-10-28,6.0667,6.2533,6.0667,6.1867,6.1867,298300.0,0.0,1.0
2002-10-29,6.1733,6.5067,6.1133,6.2667,6.2667,216300.0,0.0,1.0
2002-10-30,6.2333,6.3333,5.6733,5.9333,5.9333,839500.0,0.0,1.0
2002-10-31,5.9,6.1067,5.8,6.0667,6.0667,691500.0,0.0,1.0
2002-11-01,6.0,6.1,5.9333,6.0867,6.0867,211300.0,0.0,1.0
2002-11-04,6.0067,6.3333,6.0067,6.28,6.28,144100.0,0.0,1.0
2002-11-05,6.24,6.2667,6.0667,6.1733,6.1733,267700.0,0.0,1.0
2002-11-06,6.22,6.52,6.0467,6.52,6.52,344700.0,0.0,1.0
2002-11-07,6.4733,6.6,6.2067,6.2467,6.2467,108000.0,0.0,1.0
2002-11-08,6.2267,6.24,6.0333,6.1733,6.1733,370000.0,0.0,1.0
2002-11-11,6.1733,6.56,6.1333,6.2,6.2,90300.0,0.0,1.0
2002-11-12,6.2467,6.3867,6.02,6.12,6.12,89100.0,0.0,1.0
2002-11-13,6.1133,6.2467,5.96,6.16,6.16,146400.0,0.0,1.0
2002-11-14,6.2,6.3,6.1333,6.2467,6.2467,86200.0,0.0,1.0
2002-11-15,6.2733,6.68,6.2733,6.6,6.6,344400.0,0.0,1.0
2002-11-18,6.6,6.6,6.1933,6.22,6.22,243600.0,0.0,1.0
2002-11-19,6.26,6.28,5.9867,6.16,6.16,310300.0,0.0,1.0
2002-11-20,6.16,6.18,5.9333,6.06,6.06,327600.0,0.0,1.0
2002-11-21,6.06,6.1867,5.9667,6.0667,6.0667,171900.0,0.0,1.0
2002-11-22,6.0933,6.1267,5.8,5.96,5.96,122500.0,0.0,1.0
2002-11-25,5.92,5.98,5.8067,5.9,5.9,115600.0,0.0,1.0
2002-11-26,5.9,5.94,5.6267,5.6733,5.6733,133800.0,0.0,1.0
2002-11-27,5.6333,5.78,5.6133,5.6667,5.6667,742600.0,0.0,1.0
2002-11-29,5.6667,6.0333,5.4667,5.8467,5.8467,699900.0,0.0,1.0
2002-12-02,5.9533,6.02,5.7667,6.0,6.0,543000.0,0.0,1.0
2002-12-03,6.0733,6.2067,6.0,6.16,6.16,80100.0,0.0,1.0
2002-12-04,6.0267,6.1733,6.0267,6.0667,6.0667,151800.0,0.0,1.0
2002-12-05,6.0733,6.0867,5.96,6.0,6.0,79200.0,0.0,1.0
2002-12-06,6.0,6.1533,5.8333,6.1,6.1,55300.0,0.0,1.0
2002-12-09,6.0,6.0,5.86,5.8933,5.8933,88600.0,0.0,1.0
2002-12-10,5.8733,6.1067,5.8333,6.0933,6.0933,96100.0,0.0,1.0
2002-12-11,6.0333,6.1667,6.0,6.1,6.1,129100.0,0.0,1.0
2002-12-12,6.1667,6.1667,5.9333,5.9667,5.9667,100000.0,0.0,1.0
2002-12-13,5.94,5.9933,5.9,5.94,5.94,52300.0,0.0,1.0
2002-12-16,5.9333,6.32,5.9333,6.2733,6.2733,427300.0,0.0,1.0
2002-12-17,6.0667,6.1667,6.0667,6.1667,6.1667,97300.0,0.0,1.0
2002-12-18,6.1467,6.1467,6.0667,6.1,6.1,10300.0,0.0,1.0
2002-12-19,6.12,6.1667,6.0667,6.1667,6.1667,230200.0,0.0,1.0
2002-12-20,6.18,6.3333,6.1,6.2067,6.2067,185500.0,0.0,1.0
2002-12-23,6.1333,6.34,6.1333,6.3333,6.3333,235000.0,0.0,1.0
2002-12-24,6.3533,6.3533,6.3,6.3333,6.3333,158500.0,0.0,1.0
2002-12-26,6.34,6.5667,6.3333,6.5,6.5,84300.0,0.0,1.0
2002-12-27,6.4667,6.5667,6.4333,6.44,6.44,103000.0,0.0,1.0
2002-12-30,6.4133,6.56,6.3933,6.4467,6.4467,95200.0,0.0,1.0
2002-12-31,6.4667,6.6333,6.4067,6.6067,6.6067,264000.0,0.0,1.0
2003-01-02,6.6467,6.8333,6.5067,6.7733,6.7733,172000.0,0.0,1.0
2003-01-03,6.7,6.8267,6.6,6.6867,6.6867,320200.0,0.0,1.0
2003-01-06,6.7,6.76,6.6667,6.6667,6.6667,109900.0,0.0,1.0
2003-01-07,6.6667,6.7733,6.5267,6.6667,6.6667,111700.0,0.0,1.0
2003-01-08,6.5333,6.8,6.5333,6.76,6.76,165900.0,0.0,1.0
2003-01-09,6.6933,7.1667,6.6933,7.1667,7.1667,364800.0,0.0,1.0
2003-01-10,7.0667,7.0933,6.9333,6.9733,6.9733,54400.0,0.0,1.0
2003-01-13,6.9667,7.4133,6.9467,7.12,7.12,298000.0,0.0,1.0
2003-01-14,7.1,7.2,6.9067,6.9933,6.9933,277800.0,0.0,1.0
2003-01-15,7.12,7.1267,6.6667,6.78,6.78,76500.0,0.0,1.0
2003-01-16,6.6733,7.0133,6.6667,6.9,6.9,122100.0,0.0,1.0
2003-01-17,6.7,6.9933,6.6667,6.6667,6.6667,81900.0,0.0,1.0
2003-01-21,6.8067,7.1667,6.6667,6.7,6.7,290400.0,0.0,1.0
2003-01-22,6.6933,6.7667,6.6333,6.6867,6.6867,129000.0,0.0,1.0
2003-01-23,6.7267,6.9467,6.7067,6.8933,6.8933,131800.0,0.0,1.0
2003-01-24,6.92,7.0867,6.8333,7.0267,7.0267,353800.0,0.0,1.0
2003-01-27,7.0,7.5,6.9333,7.1133,7.1133,198600.0,0.0,1.0
2003-01-28,7.0067,7.8667,7.0067,7.6467,7.6467,338700.0,0.0,1.0
2003-01-29,7.5333,7.74,7.5,7.6733,7.6733,772200.0,0.0,1.0
2003-01-30,7.6933,7.8333,7.5333,7.6667,7.6667,461400.0,0.0,1.0
2003-01-31,7.6667,7.8667,7.6067,7.8,7.8,200400.0,0.0,1.0
2003-02-03,7.8,8.2533,7.6667,8.0,8.0,372300.0,0.0,1.0
2003-02-04,7.9333,7.9667,7.8,7.9533,7.9533,394500.0,0.0,1.0
2003-02-05,8.0333,8.1533,7.9533,7.9667,7.9667,236500.0,0.0,1.0
2003-02-06,7.9667,8.0,7.56,7.7933,7.7933,302800.0,0.0,1.0
2003-02-07,7.7267,7.7667,7.56,7.64,7.64,283500.0,0.0,1.0
2003-02-10,7.6467,7.8267,7.4467,7.8,7.8,60000.0,0.0,1.0
2003-02-11,7.6667,7.84,7.6333,7.7333,7.7333,98800.0,0.0,1.0
2003-02-12,7.8333,7.8733,7.5733,7.6,7.6,35500.0,0.0,1.0
2003-02-13,7.5733,7.8067,7.4933,7.7333,7.7333,29700.0,0.0,1.0
2003-02-14,7.7067,7.8533,7.6667,7.7133,7.7133,13800.0,0.0,1.0
