date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-02-02,10.5,10.5,10.5,10.5,8.6005,500.0,0.0,1.0
2015-02-03,10.5,10.5,10.5,10.5,8.6005,0.0,0.0,1.0
2015-02-04,10.5,10.5,10.5,10.5,8.6005,0.0,0.0,1.0
2015-02-05,10.88,10.88,10.88,10.88,8.9118,500.0,0.0,1.0
2015-02-06,10.85,10.85,10.85,10.85,8.8872,100.0,0.0,1.0
2015-02-09,10.9,10.9,10.9,10.9,8.9282,200.0,0.0,1.0
2015-02-10,10.88,10.88,10.83,10.83,8.8708,200.0,0.0,1.0
2015-02-11,10.9,10.9,10.9,10.9,8.9282,200.0,0.0,1.0
2015-02-12,10.95,10.95,10.95,10.95,8.9691,100.0,0.0,1.0
2015-02-13,10.9,10.9,10.9,10.9,8.9282,100.0,0.0,1.0
2015-02-17,10.95,10.95,10.95,10.95,8.9691,600.0,0.0,1.0
2015-02-18,10.95,10.95,10.95,10.95,8.9691,100.0,0.0,1.0
2015-02-19,10.95,10.95,10.95,10.95,8.9691,0.0,0.0,1.0
2015-02-20,11.0,11.0,11.0,11.0,9.0101,200.0,0.0,1.0
2015-02-23,11.29,11.3,11.29,11.3,9.2558,800.0,0.0,1.0
2015-02-24,11.5,11.55,11.5,11.55,9.4606,700.0,0.0,1.0
2015-02-25,11.4,11.4,11.4,11.4,9.4606,200.0,0.15,1.0
2015-02-26,11.4,11.4,11.4,11.4,9.4606,0.0,0.0,1.0
2015-02-27,11.4,11.4,11.4,11.4,9.4606,0.0,0.0,1.0
2015-03-02,11.4,11.4,11.4,11.4,9.4606,0.0,0.0,1.0
2015-03-03,11.55,11.55,11.55,11.55,9.5851,600.0,0.0,1.0
2015-03-04,11.55,11.55,11.55,11.55,9.5851,0.0,0.0,1.0
2015-03-05,11.55,11.55,11.55,11.55,9.5851,0.0,0.0,1.0
2015-03-06,11.55,11.55,11.55,11.55,9.5851,0.0,0.0,1.0
2015-03-09,11.55,11.55,11.55,11.55,9.5851,0.0,0.0,1.0
2015-03-10,11.55,11.55,11.55,11.55,9.5851,0.0,0.0,1.0
2015-03-11,11.55,11.55,11.55,11.55,9.5851,0.0,0.0,1.0
2015-03-12,11.55,11.55,11.55,11.55,9.5851,0.0,0.0,1.0
2015-03-13,11.55,11.55,11.55,11.55,9.5851,0.0,0.0,1.0
2015-03-16,11.55,11.55,11.55,11.55,9.5851,0.0,0.0,1.0
2015-03-17,11.55,11.55,11.55,11.55,9.5851,0.0,0.0,1.0
2015-03-18,11.55,11.55,11.55,11.55,9.5851,0.0,0.0,1.0
2015-03-19,11.55,11.55,11.55,11.55,9.5851,0.0,0.0,1.0
2015-03-20,11.55,11.55,11.55,11.55,9.5851,0.0,0.0,1.0
2015-03-23,11.55,11.55,11.55,11.55,9.5851,0.0,0.0,1.0
2015-03-24,11.55,11.55,11.55,11.55,9.5851,0.0,0.0,1.0
2015-03-25,11.55,11.55,11.55,11.55,9.5851,0.0,0.0,1.0
2015-03-26,11.55,11.55,11.55,11.55,9.5851,0.0,0.0,1.0
2015-03-27,11.55,11.55,11.55,11.55,9.5851,0.0,0.0,1.0
2015-03-30,11.55,11.55,11.55,11.55,9.5851,0.0,0.0,1.0
2015-03-31,11.85,11.9,11.85,11.9,9.8755,400.0,0.0,1.0
2015-04-01,11.9,11.95,11.9,11.95,9.917,400.0,0.0,1.0
2015-04-02,11.95,11.95,11.95,11.95,9.917,0.0,0.0,1.0
2015-04-06,11.95,11.95,11.95,11.95,9.917,0.0,0.0,1.0
2015-04-07,11.95,11.95,11.95,11.95,9.917,0.0,0.0,1.0
2015-04-08,11.95,11.95,11.95,11.95,9.917,0.0,0.0,1.0
2015-04-09,11.95,11.95,11.95,11.95,9.917,0.0,0.0,1.0
2015-04-10,11.95,11.95,11.95,11.95,9.917,0.0,0.0,1.0
2015-04-13,11.65,11.65,11.45,11.45,9.5021,1500.0,0.0,1.0
2015-04-14,11.45,11.45,11.45,11.45,9.5021,0.0,0.0,1.0
2015-04-15,11.45,11.45,11.45,11.45,9.5021,0.0,0.0,1.0
2015-04-16,11.45,11.45,11.45,11.45,9.5021,0.0,0.0,1.0
2015-04-17,11.45,11.45,11.45,11.45,9.5021,0.0,0.0,1.0
2015-04-20,11.45,11.45,11.45,11.45,9.5021,0.0,0.0,1.0
2015-04-21,11.45,11.45,11.45,11.45,9.5021,0.0,0.0,1.0
2015-04-22,11.45,11.45,11.45,11.45,9.5021,0.0,0.0,1.0
2015-04-23,11.45,11.45,11.45,11.45,9.5021,0.0,0.0,1.0
2015-04-24,11.58,11.65,11.58,11.65,9.6681,1000.0,0.0,1.0
2015-04-27,11.65,11.65,11.65,11.65,9.6681,0.0,0.0,1.0
2015-04-28,11.45,11.45,11.45,11.45,9.5021,100.0,0.0,1.0
2015-04-29,11.45,11.45,11.45,11.45,9.5021,0.0,0.0,1.0
2015-04-30,11.95,12.0,11.95,12.0,9.9585,400.0,0.0,1.0
2015-05-01,12.0,12.0,12.0,12.0,9.9585,0.0,0.0,1.0
2015-05-04,12.0,12.0,12.0,12.0,9.9585,0.0,0.0,1.0
2015-05-05,12.0,12.0,12.0,12.0,9.9585,0.0,0.0,1.0
2015-05-06,11.75,11.75,11.5,11.5,9.5436,1200.0,0.0,1.0
2015-05-07,11.5,11.5,11.5,11.5,9.5436,0.0,0.0,1.0
2015-05-08,11.5,11.5,11.5,11.5,9.5436,0.0,0.0,1.0
2015-05-11,12.0,12.0,12.0,12.0,9.9585,3000.0,0.0,1.0
2015-05-12,12.0,12.0,12.0,12.0,9.9585,0.0,0.0,1.0
2015-05-13,12.0,12.0,12.0,12.0,9.9585,0.0,0.0,1.0
2015-05-14,12.0,12.0,12.0,12.0,9.9585,0.0,0.0,1.0
2015-05-15,11.8,11.8,11.0,11.55,9.5851,3000.0,0.0,1.0
2015-05-18,11.55,11.55,11.55,11.55,9.5851,0.0,0.0,1.0
2015-05-19,11.96,12.0,11.55,12.0,9.9585,2900.0,0.0,1.0
2015-05-20,11.55,11.75,11.55,11.75,9.7511,3700.0,0.0,1.0
2015-05-21,11.75,11.75,11.75,11.75,9.7511,0.0,0.0,1.0
2015-05-22,11.75,11.75,11.75,11.75,9.7511,0.0,0.0,1.0
2015-05-26,11.9,11.9,11.55,11.55,9.5851,3100.0,0.0,1.0
2015-05-27,11.55,11.55,11.55,11.55,9.7223,0.0,0.163,1.0
2015-05-28,11.55,11.55,11.55,11.55,9.7223,0.0,0.0,1.0
2015-05-29,11.69,11.7,11.69,11.7,9.8486,1200.0,0.0,1.0
2015-06-01,11.7,11.7,11.7,11.7,9.8486,0.0,0.0,1.0
2015-06-02,11.9,11.9,11.9,11.9,10.0169,500.0,0.0,1.0
2015-06-03,11.9,11.9,11.9,11.9,10.0169,900.0,0.0,1.0
2015-06-04,11.9,11.9,11.9,11.9,10.0169,0.0,0.0,1.0
2015-06-05,11.9,11.9,11.9,11.9,10.0169,0.0,0.0,1.0
2015-06-08,11.9,11.9,11.9,11.9,10.0169,800.0,0.0,1.0
2015-06-09,11.9,11.9,11.58,11.58,9.7475,1000.0,0.0,1.0
2015-06-10,11.58,11.58,11.58,11.58,9.7475,0.0,0.0,1.0
2015-06-11,11.58,11.58,11.58,11.58,9.7475,0.0,0.0,1.0
2015-06-12,11.58,11.58,11.58,11.58,9.7475,0.0,0.0,1.0
2015-06-15,11.9,12.08,11.75,11.75,9.8906,1300.0,0.0,1.0
2015-06-16,11.75,11.75,11.75,11.75,9.8906,0.0,0.0,1.0
2015-06-17,11.75,11.75,11.75,11.75,9.8906,5400.0,0.0,1.0
2015-06-18,11.75,11.75,11.75,11.75,9.8906,0.0,0.0,1.0
2015-06-19,11.75,11.75,11.75,11.75,9.8906,0.0,0.0,1.0
2015-06-22,11.75,11.75,11.75,11.75,9.8906,0.0,0.0,1.0
2015-06-23,11.75,11.75,11.75,11.75,9.8906,0.0,0.0,1.0
2015-06-24,11.75,11.75,11.75,11.75,9.8906,0.0,0.0,1.0
2015-06-25,11.75,11.75,11.75,11.75,9.8906,0.0,0.0,1.0
2015-06-26,11.75,11.75,11.75,11.75,9.8906,0.0,0.0,1.0
2015-06-29,11.75,11.75,11.75,11.75,9.8906,0.0,0.0,1.0
2015-06-30,11.75,11.75,11.75,11.75,9.8906,0.0,0.0,1.0
2015-07-01,11.75,11.75,11.75,11.75,9.8906,0.0,0.0,1.0
2015-07-02,11.75,11.75,11.75,11.75,9.8906,0.0,0.0,1.0
2015-07-06,11.75,11.75,11.75,11.75,9.8906,0.0,0.0,1.0
2015-07-07,11.75,11.75,11.75,11.75,9.8906,0.0,0.0,1.0
2015-07-08,11.75,11.75,11.75,11.75,9.8906,0.0,0.0,1.0
2015-07-09,11.75,11.75,11.75,11.75,9.8906,0.0,0.0,1.0
2015-07-10,11.75,11.75,11.75,11.75,9.8906,0.0,0.0,1.0
2015-07-13,11.75,11.75,11.75,11.75,9.8906,0.0,0.0,1.0
2015-07-14,11.75,11.75,11.75,11.75,9.8906,0.0,0.0,1.0
2015-07-15,12.15,12.15,12.15,12.15,10.2273,2000.0,0.0,1.0
2015-07-16,12.15,12.15,12.15,12.15,10.2273,1000.0,0.0,1.0
2015-07-17,12.1,12.1,12.1,12.1,10.1853,400.0,0.0,1.0
2015-07-20,12.1,12.1,12.1,12.1,10.1853,0.0,0.0,1.0
2015-07-21,12.15,12.15,12.15,12.15,10.2273,500.0,0.0,1.0
2015-07-22,12.15,12.15,12.15,12.15,10.2273,0.0,0.0,1.0
2015-07-23,16.0,16.0,12.31,12.31,10.362,1900.0,0.0,1.0
2015-07-24,12.31,12.31,12.31,12.31,10.362,0.0,0.0,1.0
2015-07-27,12.31,12.31,12.31,12.31,10.362,0.0,0.0,1.0
2015-07-28,12.31,12.31,12.31,12.31,10.362,0.0,0.0,1.0
2015-07-29,12.31,12.31,12.31,12.31,10.362,0.0,0.0,1.0
2015-07-30,11.59,12.0,11.5,11.5,9.6802,2100.0,0.0,1.0
2015-07-31,11.5,11.5,11.5,11.5,9.6802,0.0,0.0,1.0
2015-08-03,11.5,11.5,11.5,11.5,9.6802,0.0,0.0,1.0
2015-08-04,11.5,11.5,11.5,11.5,9.6802,0.0,0.0,1.0
2015-08-05,11.51,11.51,11.51,11.51,9.6886,200.0,0.0,1.0
2015-08-06,11.51,11.51,11.51,11.51,9.6886,0.0,0.0,1.0
2015-08-07,11.51,11.51,11.51,11.51,9.6886,0.0,0.0,1.0
2015-08-10,11.51,11.51,11.51,11.51,9.6886,0.0,0.0,1.0
2015-08-11,11.51,11.51,11.51,11.51,9.6886,0.0,0.0,1.0
2015-08-12,12.0,12.0,12.0,12.0,10.1011,400.0,0.0,1.0
2015-08-13,12.0,12.0,12.0,12.0,10.1011,0.0,0.0,1.0
2015-08-14,12.0,12.0,12.0,12.0,10.1011,0.0,0.0,1.0
2015-08-17,12.0,12.0,12.0,12.0,10.1011,0.0,0.0,1.0
2015-08-18,12.0,12.0,12.0,12.0,10.1011,0.0,0.0,1.0
2015-08-19,12.0,12.0,12.0,12.0,10.1011,0.0,0.0,1.0
2015-08-20,12.0,12.0,12.0,12.0,10.1011,0.0,0.0,1.0
2015-08-21,12.0,12.0,12.0,12.0,10.1011,0.0,0.0,1.0
2015-08-24,12.0,12.0,12.0,12.0,10.1011,200.0,0.0,1.0
2015-08-25,12.0,12.0,12.0,12.0,10.1011,0.0,0.0,1.0
2015-08-26,12.0,12.0,12.0,12.0,10.1011,0.0,0.0,1.0
2015-08-27,12.0,12.0,12.0,12.0,10.2402,0.0,0.163,1.0
2015-08-28,12.0,12.0,12.0,12.0,10.2402,0.0,0.0,1.0
2015-08-31,12.0,12.0,12.0,12.0,10.2402,0.0,0.0,1.0
2015-09-01,12.0,12.0,12.0,12.0,10.2402,0.0,0.0,1.0
2015-09-02,12.0,12.0,12.0,12.0,10.2402,0.0,0.0,1.0
2015-09-03,12.0,12.0,12.0,12.0,10.2402,0.0,0.0,1.0
2015-09-04,12.0,12.0,12.0,12.0,10.2402,0.0,0.0,1.0
