date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,21.5,21.5,20.5,21.0625,10.7507,2596900.0,0.0,1.0
1999-08-11,21.125,21.1875,20.1875,20.5,10.4636,1492200.0,0.0,1.0
1999-08-12,20.375,20.5,19.125,19.75,10.0808,915800.0,0.0,1.0
1999-08-13,19.75,20.5,19.3125,20.5,10.4636,438100.0,0.0,1.0
1999-08-16,20.375,20.375,18.125,18.5,9.4428,863200.0,0.0,1.0
1999-08-17,18.8125,19.375,18.4375,19.25,9.8256,413000.0,0.0,1.0
1999-08-18,19.3125,19.3125,17.8125,17.9375,9.1557,612200.0,0.0,1.0
1999-08-19,17.875,18.0625,17.625,17.8125,9.0919,358600.0,0.0,1.0
1999-08-20,17.875,18.125,17.75,17.875,9.1238,959400.0,0.0,1.0
1999-08-23,18.0,18.0625,17.125,17.5,8.9324,517400.0,0.0,1.0
1999-08-24,17.375,17.375,16.25,16.3125,8.3262,686700.0,0.0,1.0
1999-08-25,16.5625,17.5,16.5,17.3125,8.8367,1581400.0,0.0,1.0
1999-08-26,17.375,17.375,16.75,17.125,8.741,1123200.0,0.0,1.0
1999-08-27,17.125,17.1875,16.6875,16.8125,8.5814,505400.0,0.0,1.0
1999-08-30,16.8125,17.3125,16.125,16.375,8.3581,636300.0,0.0,1.0
1999-08-31,16.5,16.6875,15.875,16.25,8.2943,1014900.0,0.0,1.0
1999-09-01,16.375,16.5,16.0,16.0625,8.1986,806300.0,0.0,1.0
1999-09-02,16.0,16.125,15.25,15.3125,7.8158,767100.0,0.0,1.0
1999-09-03,15.4375,16.625,15.3125,16.625,8.4857,1673100.0,0.0,1.0
1999-09-07,16.5938,18.8125,16.5625,18.5625,9.4747,1250400.0,0.0,1.0
1999-09-08,18.625,19.5,18.375,18.5625,9.4747,1934700.0,0.0,1.0
1999-09-09,18.5,18.875,18.0,18.1875,9.2833,1234000.0,0.0,1.0
1999-09-10,18.25,18.5,18.25,18.4375,9.4109,614600.0,0.0,1.0
1999-09-13,18.25,18.625,18.125,18.125,9.2514,484800.0,0.0,1.0
1999-09-14,18.125,18.125,17.4375,17.5625,8.9643,156500.0,0.0,1.0
1999-09-15,17.5,17.75,16.125,16.25,8.2943,528700.0,0.0,1.0
1999-09-16,16.75,16.75,15.375,16.0,8.1667,658400.0,0.0,1.0
1999-09-17,16.2813,16.375,15.5,15.5625,7.9434,676700.0,0.0,1.0
1999-09-20,15.5625,15.625,14.75,15.0,7.6563,528500.0,0.0,1.0
1999-09-21,14.875,14.875,14.375,14.6875,7.4968,459600.0,0.0,1.0
1999-09-22,10.1875,10.75,9.75,10.5,5.3594,11332300.0,0.0,1.0
1999-09-23,10.9375,11.0,10.0,10.0625,5.1361,2155700.0,0.0,1.0
1999-09-24,10.0625,10.375,9.75,10.3594,5.2876,2476700.0,0.0,1.0
1999-09-27,10.25,10.6875,10.25,10.5625,5.3913,1358800.0,0.0,1.0
1999-09-28,10.5625,10.5625,9.625,9.75,4.9766,2648500.0,0.0,1.0
1999-09-29,9.875,9.875,9.0,9.5,4.849,1912900.0,0.0,1.0
1999-09-30,9.5625,9.625,9.0,9.0625,4.6257,2691500.0,0.0,1.0
1999-10-01,9.125,9.125,8.0625,8.125,4.1472,3025600.0,0.0,1.0
1999-10-04,8.3125,8.8125,8.1875,8.25,4.211,1373800.0,0.0,1.0
1999-10-05,8.3125,8.4375,7.9375,8.1875,4.1791,2020200.0,0.0,1.0
1999-10-06,8.25,9.125,8.125,9.0625,4.6257,1230000.0,0.0,1.0
1999-10-07,9.25,9.5625,8.8125,8.8125,4.4981,839100.0,0.0,1.0
1999-10-08,9.0,9.5625,9.0,9.5,4.849,864700.0,0.0,1.0
1999-10-11,9.5,10.0,9.4688,10.0,5.1042,721200.0,0.0,1.0
1999-10-12,10.0,10.0625,9.875,9.9375,5.0723,830800.0,0.0,1.0
1999-10-13,10.0938,10.75,10.0625,10.5625,5.3913,1401800.0,0.0,1.0
1999-10-14,10.5625,10.8125,10.25,10.5625,5.3913,1238300.0,0.0,1.0
1999-10-15,10.0625,10.75,9.875,10.5,5.3594,610500.0,0.0,1.0
1999-10-18,10.625,10.625,10.1875,10.3125,5.2637,239900.0,0.0,1.0
1999-10-19,10.5,11.0625,10.375,10.625,5.4232,1081300.0,0.0,1.0
1999-10-20,10.75,10.75,10.25,10.3125,5.2637,957300.0,0.0,1.0
1999-10-21,10.3125,10.3125,9.875,9.875,5.0404,433600.0,0.0,1.0
1999-10-22,9.875,10.125,9.75,9.75,4.9766,466100.0,0.0,1.0
1999-10-25,9.875,10.0,9.125,9.625,4.9128,703500.0,0.0,1.0
1999-10-26,9.6875,9.7188,9.0,9.0625,4.6257,923200.0,0.0,1.0
1999-10-27,9.125,9.25,9.0,9.1875,4.6895,1022600.0,0.0,1.0
1999-10-28,9.1875,10.25,9.1875,9.9375,5.0723,825200.0,0.0,1.0
1999-10-29,10.0,10.0625,9.25,10.0,5.1042,1229500.0,0.0,1.0
1999-11-01,10.0625,10.5,9.875,9.9375,5.0723,1058600.0,0.0,1.0
1999-11-02,10.0625,10.25,9.9375,10.0625,5.1361,896800.0,0.0,1.0
1999-11-03,10.125,10.25,9.75,9.9375,5.0723,881000.0,0.0,1.0
1999-11-04,9.9063,10.0,9.5,9.75,4.9766,975800.0,0.0,1.0
1999-11-05,9.75,10.5625,9.75,10.5,5.3594,1851500.0,0.0,1.0
1999-11-08,10.5,11.0,10.375,10.9375,5.5827,516100.0,0.0,1.0
1999-11-09,11.1875,11.375,10.4375,10.5,5.3594,575800.0,0.0,1.0
1999-11-10,10.5,11.0625,10.375,10.75,5.487,283900.0,0.0,1.0
1999-11-11,10.8125,10.875,10.0,10.4375,5.3275,636600.0,0.0,1.0
1999-11-12,10.3125,10.4375,10.125,10.3125,5.2637,451400.0,0.0,1.0
1999-11-15,10.375,11.5,10.0,11.25,5.7422,920900.0,0.0,1.0
1999-11-16,11.5,12.875,11.375,12.4375,6.3484,2365600.0,0.0,1.0
1999-11-17,12.625,12.625,12.125,12.125,6.1889,413800.0,0.0,1.0
1999-11-18,12.5313,12.5625,11.875,12.25,6.2527,285200.0,0.0,1.0
1999-11-19,12.3125,12.3125,11.0,11.0625,5.6465,864100.0,0.0,1.0
1999-11-22,11.125,11.125,10.375,10.875,5.5508,1238600.0,0.0,1.0
1999-11-23,11.0,11.5625,10.375,11.0,5.6146,430800.0,0.0,1.0
1999-11-24,11.125,11.625,10.9375,11.3125,5.7741,622900.0,0.0,1.0
1999-11-26,11.375,11.875,10.75,11.0,5.6146,177500.0,0.0,1.0
1999-11-29,11.125,11.25,10.6875,11.0625,5.6465,226900.0,0.0,1.0
1999-11-30,10.75,11.75,10.75,11.5,5.8698,577000.0,0.0,1.0
1999-12-01,11.5,12.0625,11.25,12.0,6.125,600600.0,0.0,1.0
1999-12-02,12.0,12.0625,11.375,11.5938,5.9177,269400.0,0.0,1.0
1999-12-03,11.9375,12.0,11.1875,11.3125,5.7741,206100.0,0.0,1.0
1999-12-06,11.1875,12.0,11.0625,11.375,5.806,509500.0,0.0,1.0
1999-12-07,11.375,11.9375,11.3125,11.875,6.0612,787200.0,0.0,1.0
1999-12-08,11.875,11.875,10.375,11.25,5.7422,1149200.0,0.0,1.0
1999-12-09,10.875,11.125,10.8125,11.0625,5.6465,1011300.0,0.0,1.0
1999-12-10,11.0625,11.375,11.0,11.25,5.7422,481300.0,0.0,1.0
1999-12-13,11.25,11.25,10.6875,11.0,5.6146,1561400.0,0.0,1.0
1999-12-14,11.0,11.125,10.6875,10.875,5.5508,610600.0,0.0,1.0
1999-12-15,10.8125,12.0,10.75,11.875,6.0612,1186600.0,0.0,1.0
1999-12-16,11.625,12.375,11.3125,12.0625,6.1569,1125000.0,0.0,1.0
1999-12-17,10.0,11.5,9.875,10.375,5.2956,1700300.0,0.0,1.0
1999-12-20,10.375,11.5,10.375,10.8125,5.5189,1216200.0,0.0,1.0
1999-12-21,10.75,11.8125,10.625,11.6875,5.9655,655800.0,0.0,1.0
1999-12-22,11.25,11.8125,10.625,11.5,5.8698,447200.0,0.0,1.0
1999-12-23,11.5625,11.6875,11.0625,11.625,5.9336,615600.0,0.0,1.0
1999-12-27,11.4375,11.875,11.0625,11.625,5.9336,427500.0,0.0,1.0
1999-12-28,11.375,12.0625,10.625,12.0,6.125,627400.0,0.0,1.0
1999-12-29,11.75,12.0,11.125,12.0,6.125,331500.0,0.0,1.0
1999-12-30,11.625,12.125,11.625,11.8125,6.0293,177000.0,0.0,1.0
1999-12-31,11.75,12.5625,11.25,12.2031,6.2287,312100.0,0.0,1.0
2000-01-03,12.4063,12.4375,11.5,11.5,5.8698,276500.0,0.0,1.0
2000-01-04,11.25,11.25,10.3125,11.0625,5.6465,480900.0,0.0,1.0
2000-01-05,10.375,10.9375,9.9375,10.75,5.487,1482400.0,0.0,1.0
2000-01-06,10.625,11.25,10.3125,11.25,5.7422,308400.0,0.0,1.0
2000-01-07,10.875,11.375,10.75,11.3125,5.7741,245900.0,0.0,1.0
2000-01-10,11.1875,11.2813,10.625,11.0625,5.6465,309900.0,0.0,1.0
2000-01-11,11.1563,11.1875,10.875,10.9375,5.5827,150200.0,0.0,1.0
2000-01-12,10.8125,11.0,10.1875,10.5,5.3594,414300.0,0.0,1.0
2000-01-13,10.5,11.0625,10.3125,10.375,5.2956,285400.0,0.0,1.0
