date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-08-17,12.0,12.0,10.0,11.0,11.0,24900.0,0.0,0.5
2018-08-20,11.95,12.0,11.56,11.99,11.99,13700.0,0.0,1.0
2018-08-21,12.65,12.75,11.5,12.75,12.75,12600.0,0.0,1.0
2018-08-22,13.17,13.17,12.21,12.55,12.55,8900.0,0.0,1.0
2018-08-23,12.52,12.52,11.63,11.66,11.66,8000.0,0.0,1.0
2018-08-24,11.84,12.0,11.84,12.0,12.0,7500.0,0.0,1.0
2018-08-27,12.69,12.69,11.95,11.95,11.95,2600.0,0.0,1.0
2018-08-28,13.0,13.0,12.6,12.71,12.71,3600.0,0.0,1.0
2018-08-29,12.96,12.96,12.42,12.42,12.42,1000.0,0.0,1.0
2018-08-30,12.97,12.97,11.72,11.72,11.72,7000.0,0.0,1.0
2018-08-31,11.72,11.72,11.72,11.72,11.72,0.0,0.0,1.0
2018-09-04,12.0,12.0,12.0,12.0,12.0,600.0,0.0,1.0
2018-09-05,11.64,11.66,10.75,11.62,11.62,5900.0,0.0,1.0
2018-09-06,11.57,11.57,10.01,10.3,10.3,11900.0,0.0,1.0
2018-09-07,10.31,10.31,10.0,10.02,10.02,8600.0,0.0,1.0
2018-09-10,9.62,9.9,9.62,9.9,9.9,2600.0,0.0,1.0
2018-09-11,10.29,10.29,9.86,10.0,10.0,3800.0,0.0,1.0
2018-09-12,10.02,10.02,9.83,10.0,10.0,2700.0,0.0,1.0
2018-09-13,9.77,10.0,9.77,10.0,10.0,500.0,0.0,1.0
2018-09-14,11.0,11.0,10.5,10.5,10.5,400.0,0.0,1.0
2018-09-17,11.5,11.5,10.4,10.78,10.78,15300.0,0.0,1.0
2018-09-18,10.61,10.61,10.6,10.6,10.6,400.0,0.0,1.0
2018-09-19,10.94,11.75,10.4,11.3,11.3,22100.0,0.0,1.0
2018-09-20,11.77,12.0,10.28,10.84,10.84,31500.0,0.0,1.0
2018-09-21,10.35,10.95,10.3,10.95,10.95,3400.0,0.0,1.0
2018-09-24,10.85,10.85,10.78,10.78,10.78,800.0,0.0,1.0
2018-09-25,11.13,11.13,10.92,10.92,10.92,200.0,0.0,1.0
2018-09-26,10.92,10.92,9.52,10.34,10.34,1500.0,0.0,1.0
2018-09-27,10.2,10.2,10.2,10.2,10.2,200.0,0.0,1.0
2018-09-28,10.2,10.2,10.2,10.2,10.2,0.0,0.0,1.0
2018-10-01,9.95,10.74,9.95,10.74,10.74,400.0,0.0,1.0
2018-10-02,10.04,10.32,9.66,10.32,10.32,3300.0,0.0,1.0
2018-10-03,10.32,10.32,9.86,10.0,10.0,6100.0,0.0,1.0
2018-10-04,10.35,10.35,9.7,9.7,9.7,4600.0,0.0,1.0
2018-10-05,10.11,10.35,9.95,10.35,10.35,1300.0,0.0,1.0
2018-10-08,9.75,9.75,9.75,9.75,9.75,200.0,0.0,1.0
2018-10-09,9.0,9.0,9.0,9.0,9.0,200.0,0.0,1.0
2018-10-10,8.4,8.7,8.4,8.7,8.7,1500.0,0.0,1.0
2018-10-11,7.95,9.0,7.9,8.3,8.3,5300.0,0.0,1.0
2018-10-12,7.61,8.0,7.02,7.99,7.99,8900.0,0.0,1.0
2018-10-15,7.99,7.99,7.99,7.99,7.99,0.0,0.0,1.0
2018-10-16,8.2,8.2,8.03,8.03,8.03,2800.0,0.0,1.0
2018-10-17,7.89,8.0,7.81,8.0,8.0,1500.0,0.0,1.0
2018-10-18,8.77,8.77,8.28,8.28,8.28,300.0,0.0,1.0
2018-10-19,8.28,8.28,8.28,8.28,8.28,0.0,0.0,1.0
2018-10-22,8.44,8.44,8.2,8.25,8.25,4300.0,0.0,1.0
2018-10-23,8.23,8.23,7.75,7.75,7.75,900.0,0.0,1.0
2018-10-24,7.77,8.55,7.77,8.0,8.0,700.0,0.0,1.0
2018-10-25,8.0,8.0,8.0,8.0,8.0,0.0,0.0,1.0
2018-10-26,8.0,8.0,8.0,8.0,8.0,100.0,0.0,1.0
2018-10-29,8.0,8.0,8.0,8.0,8.0,100.0,0.0,1.0
2018-10-30,8.0,8.0,8.0,8.0,8.0,100.0,0.0,1.0
2018-10-31,8.0,8.0,8.0,8.0,8.0,0.0,0.0,1.0
2018-11-01,8.0,8.0,8.0,8.0,8.0,0.0,0.0,1.0
2018-11-02,8.0,8.0,8.0,8.0,8.0,100.0,0.0,1.0
2018-11-05,8.24,8.24,7.0,7.17,7.17,5400.0,0.0,1.0
2018-11-06,7.17,7.17,7.17,7.17,7.17,0.0,0.0,1.0
2018-11-07,7.26,7.84,7.26,7.5,7.5,400.0,0.0,1.0
2018-11-08,7.3,7.5,7.3,7.5,7.5,2800.0,0.0,1.0
2018-11-09,7.5,7.5,7.5,7.5,7.5,0.0,0.0,1.0
2018-11-12,7.5,7.5,7.5,7.5,7.5,0.0,0.0,1.0
2018-11-13,7.0,7.0,7.0,7.0,7.0,1500.0,0.0,1.0
2018-11-14,6.5,6.5,6.5,6.5,6.5,2000.0,0.0,1.0
2018-11-15,5.72,5.72,5.72,5.72,5.72,100.0,0.0,1.0
2018-11-16,6.02,6.11,6.0,6.11,6.11,800.0,0.0,1.0
2018-11-19,6.79,6.79,6.62,6.62,6.62,1400.0,0.0,1.0
2018-11-20,5.54,5.75,5.54,5.68,5.68,900.0,0.0,1.0
2018-11-21,4.84,4.84,3.65,4.2,4.2,29300.0,0.0,1.0
2018-11-23,4.49,4.51,4.41,4.5,4.5,4700.0,0.0,1.0
2018-11-26,4.69,7.9,4.65,5.8,5.8,281400.0,0.0,1.0
2018-11-27,6.99,6.99,5.0,5.3,5.3,99000.0,0.0,1.0
2018-11-28,5.82,6.31,5.0,5.82,5.82,69700.0,0.0,1.0
2018-11-29,5.45,6.0,5.42,5.6,5.6,49600.0,0.0,1.0
2018-11-30,5.34,5.7,5.34,5.6,5.6,3600.0,0.0,1.0
2018-12-03,5.59,5.68,5.22,5.45,5.45,7100.0,0.0,1.0
2018-12-04,6.8,9.13,5.06,5.06,5.06,2255400.0,0.0,1.0
2018-12-06,6.18,7.1,5.06,6.05,6.05,450900.0,0.0,1.0
2018-12-07,6.05,6.36,5.35,5.88,5.88,84500.0,0.0,1.0
2018-12-10,5.69,5.94,5.15,5.28,5.28,58100.0,0.0,1.0
2018-12-11,5.33,5.49,4.6,4.7,4.7,52200.0,0.0,1.0
2018-12-12,4.64,4.76,4.15,4.32,4.32,35800.0,0.0,1.0
2018-12-13,4.5,4.6,4.18,4.32,4.32,36900.0,0.0,1.0
2018-12-14,4.2,4.45,4.11,4.24,4.24,17600.0,0.0,1.0
2018-12-17,4.31,4.31,3.9,4.31,4.31,8700.0,0.0,1.0
2018-12-18,4.31,4.41,3.71,3.95,3.95,64700.0,0.0,1.0
2018-12-19,3.86,4.1,3.5,3.67,3.67,115000.0,0.0,1.0
2018-12-20,3.79,3.8,3.0,3.35,3.35,33900.0,0.0,1.0
2018-12-21,3.15,3.49,3.15,3.39,3.39,18000.0,0.0,1.0
2018-12-24,3.34,3.34,2.83,2.83,2.83,4600.0,0.0,1.0
2018-12-26,4.35,4.65,3.01,3.09,3.09,2326400.0,0.0,1.0
2018-12-27,3.04,3.11,2.4,2.51,2.51,245100.0,0.0,1.0
2018-12-28,2.51,2.81,2.51,2.75,2.75,95000.0,0.0,1.0
2018-12-31,3.94,4.1,2.82,2.97,2.97,3857800.0,0.0,1.0
2019-01-02,3.25,3.25,2.91,3.2,3.2,435800.0,0.0,1.0
2019-01-03,3.19,3.27,2.65,2.65,2.65,253200.0,0.0,1.0
2019-01-04,2.74,2.92,2.68,2.76,2.76,133800.0,0.0,1.0
2019-01-07,2.91,3.1,2.83,3.07,3.07,145400.0,0.0,1.0
2019-01-08,3.17,3.17,2.87,2.93,2.93,78300.0,0.0,1.0
2019-01-09,2.96,3.01,2.81,2.92,2.92,222100.0,0.0,1.0
2019-01-10,3.06,3.45,2.9,3.1,3.1,402600.0,0.0,1.0
2019-01-11,3.1,3.29,3.02,3.14,3.14,106300.0,0.0,1.0
2019-01-14,3.08,3.08,2.94,2.96,2.96,45300.0,0.0,1.0
2019-01-15,3.31,3.7,3.0,3.13,3.13,928100.0,0.0,1.0
2019-01-16,3.11,3.11,2.85,2.98,2.98,128500.0,0.0,1.0
2019-01-17,2.96,3.01,2.9,2.97,2.97,32500.0,0.0,1.0
2019-01-18,2.96,2.99,2.88,2.98,2.98,33400.0,0.0,1.0
2019-01-22,2.97,2.97,2.89,2.94,2.94,42000.0,0.0,1.0
2019-01-23,2.92,3.0,2.8,2.96,2.96,17600.0,0.0,1.0
2019-01-24,2.96,2.96,2.81,2.95,2.95,14700.0,0.0,1.0
2019-01-25,2.92,2.95,2.86,2.89,2.89,11900.0,0.0,1.0
2019-01-28,2.83,2.9,2.81,2.83,2.83,23300.0,0.0,1.0
2019-01-29,2.94,3.01,2.68,2.87,2.87,373800.0,0.0,1.0
2019-01-30,2.87,2.96,2.75,2.87,2.87,45000.0,0.0,1.0
2019-01-31,2.92,2.92,2.71,2.79,2.79,44400.0,0.0,1.0
2019-02-01,2.7,3.1,2.68,2.85,2.85,227600.0,0.0,1.0
2019-02-04,2.93,2.93,2.78,2.85,2.85,51200.0,0.0,1.0
2019-02-05,2.8,2.82,2.68,2.71,2.71,49700.0,0.0,1.0
2019-02-06,2.66,2.66,2.31,2.38,2.38,85100.0,0.0,1.0
2019-02-07,2.34,2.48,2.32,2.45,2.45,35300.0,0.0,1.0
2019-02-08,2.4,2.44,2.32,2.37,2.37,15600.0,0.0,1.0
2019-02-11,2.37,2.43,2.25,2.33,2.33,30700.0,0.0,1.0
2019-02-12,2.3,2.39,2.22,2.23,2.23,39400.0,0.0,1.0
2019-02-13,2.23,2.81,2.23,2.37,2.37,81800.0,0.0,1.0
2019-02-14,2.41,2.59,2.31,2.43,2.43,55200.0,0.0,1.0
2019-02-15,2.48,2.49,2.3,2.39,2.39,7300.0,0.0,1.0
2019-02-19,2.3,2.44,2.3,2.38,2.38,5200.0,0.0,1.0
2019-02-20,2.39,2.47,2.39,2.44,2.44,7500.0,0.0,1.0
2019-02-21,2.44,2.45,2.34,2.36,2.36,29400.0,0.0,1.0
2019-02-22,2.34,2.34,2.23,2.26,2.26,8400.0,0.0,1.0
2019-02-25,2.28,2.32,2.26,2.32,2.32,3900.0,0.0,1.0
2019-02-26,2.39,2.39,2.26,2.26,2.26,7000.0,0.0,1.0
2019-02-27,2.29,2.29,2.01,2.2,2.2,19900.0,0.0,1.0
2019-02-28,2.08,2.28,2.02,2.02,2.02,83400.0,0.0,1.0
2019-03-01,2.29,2.29,2.06,2.17,2.17,19500.0,0.0,1.0
2019-03-04,2.21,2.28,2.03,2.2,2.2,11900.0,0.0,1.0
2019-03-05,2.0,2.24,1.81,1.95,1.95,64600.0,0.0,1.0
2019-03-06,1.96,2.0,1.85,1.95,1.95,21500.0,0.0,1.0
2019-03-07,1.95,2.2,1.91,1.99,1.99,156800.0,0.0,1.0
2019-03-08,2.04,2.1,1.95,1.98,1.98,32100.0,0.0,1.0
2019-03-11,2.2,2.22,2.02,2.06,2.06,66700.0,0.0,1.0
2019-03-12,2.06,2.07,2.02,2.05,2.05,7000.0,0.0,1.0
2019-03-13,2.12,2.31,2.05,2.26,2.26,279800.0,0.0,1.0
2019-03-14,3.0,3.46,2.35,2.43,2.43,4579000.0,0.0,1.0
2019-03-15,2.35,2.5,2.02,2.14,2.14,290900.0,0.0,1.0
2019-03-18,2.12,2.25,1.91,2.1,2.1,121000.0,0.0,1.0
2019-03-19,2.12,2.16,2.05,2.07,2.07,39700.0,0.0,1.0
2019-03-20,2.14,2.7,2.08,2.58,2.58,268300.0,0.0,1.0
2019-03-21,2.69,2.69,2.26,2.56,2.56,146200.0,0.0,1.0
2019-03-22,2.52,2.52,2.36,2.37,2.37,18800.0,0.0,1.0
2019-03-25,2.33,2.35,2.16,2.2,2.2,46200.0,0.0,1.0
2019-03-26,2.2,2.32,2.2,2.21,2.21,23000.0,0.0,1.0
2019-03-27,2.21,2.38,2.15,2.28,2.28,81300.0,0.0,1.0
2019-03-28,2.27,4.71,2.26,3.31,3.31,4146000.0,0.0,1.0
2019-03-29,2.7,3.16,2.45,2.58,2.58,909100.0,0.0,1.0
2019-04-01,2.54,2.72,2.32,2.48,2.48,211400.0,0.0,1.0
2019-04-02,2.92,3.34,2.6,2.75,2.75,1461600.0,0.0,1.0
2019-04-03,2.71,2.84,2.5,2.52,2.52,174400.0,0.0,1.0
2019-04-04,2.55,2.69,2.55,2.6,2.6,62900.0,0.0,1.0
2019-04-05,2.58,2.6,2.39,2.5,2.5,49100.0,0.0,1.0
2019-04-08,2.77,2.84,2.51,2.55,2.55,245800.0,0.0,1.0
2019-04-09,2.56,2.75,2.54,2.62,2.62,80700.0,0.0,1.0
2019-04-10,3.05,3.9,2.74,2.87,2.87,4182800.0,0.0,1.0
2019-04-11,2.85,2.96,2.55,2.65,2.65,317900.0,0.0,1.0
2019-04-12,2.64,2.7,2.5,2.64,2.64,110100.0,0.0,1.0
2019-04-15,2.73,2.8,2.55,2.68,2.68,153400.0,0.0,1.0
2019-04-16,2.67,2.78,2.57,2.74,2.74,84100.0,0.0,1.0
2019-04-17,2.71,2.71,2.63,2.63,2.63,31700.0,0.0,1.0
2019-04-18,2.62,2.63,2.52,2.58,2.58,58600.0,0.0,1.0
2019-04-22,2.55,2.6,2.52,2.58,2.58,15900.0,0.0,1.0
2019-04-23,2.56,2.64,2.44,2.47,2.47,97100.0,0.0,1.0
2019-04-24,2.48,2.65,2.48,2.54,2.54,40200.0,0.0,1.0
2019-04-25,2.54,2.69,2.52,2.62,2.62,29400.0,0.0,1.0
2019-04-26,2.53,2.73,2.53,2.6,2.6,38200.0,0.0,1.0
2019-04-29,2.54,2.62,2.48,2.6,2.6,57100.0,0.0,1.0
2019-04-30,2.63,2.63,2.52,2.54,2.54,7000.0,0.0,1.0
2019-05-01,2.59,2.59,2.46,2.46,2.46,18500.0,0.0,1.0
2019-05-02,2.47,2.55,2.42,2.42,2.42,48100.0,0.0,1.0
2019-05-03,2.41,2.52,2.2,2.3,2.3,33100.0,0.0,1.0
2019-05-06,2.29,2.41,2.25,2.28,2.28,16400.0,0.0,1.0
2019-05-07,2.29,2.35,2.25,2.26,2.26,17000.0,0.0,1.0
2019-05-08,2.29,2.39,2.23,2.32,2.32,26000.0,0.0,1.0
2019-05-09,2.23,2.26,1.91,2.08,2.08,104600.0,0.0,1.0
2019-05-10,2.12,2.2,2.03,2.15,2.15,11100.0,0.0,1.0
2019-05-13,2.29,2.33,2.18,2.2,2.2,35600.0,0.0,1.0
2019-05-14,2.2,2.26,2.18,2.25,2.25,10000.0,0.0,1.0
2019-05-15,2.22,2.24,2.2,2.24,2.24,6500.0,0.0,1.0
2019-05-16,2.26,2.42,2.21,2.23,2.23,36500.0,0.0,1.0
2019-05-17,2.3,2.37,2.21,2.21,2.21,3200.0,0.0,1.0
