date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-10,40.92,41.52,40.68,41.52,31.2213,1800.0,0.0,1.0
1999-08-11,41.76,41.76,41.28,41.76,31.4018,200.0,0.0,1.0
1999-08-12,42.0,42.0,41.52,41.88,31.492,800.0,0.0,1.0
1999-08-13,42.12,42.24,42.0,42.24,31.7627,2000.0,0.0,1.0
1999-08-16,42.48,42.72,42.0,42.24,31.7627,17200.0,0.0,1.0
1999-08-17,42.48,43.44,42.48,43.44,32.6651,22900.0,0.0,1.0
1999-08-18,43.92,44.64,43.44,43.56,32.7553,20000.0,0.0,1.0
1999-08-19,43.56,44.64,43.56,44.64,33.5674,4100.0,0.0,1.0
1999-08-20,44.64,45.12,44.4,44.88,33.7479,16400.0,0.0,1.0
1999-08-23,44.88,44.88,44.52,44.52,33.4772,2000.0,0.0,1.0
1999-08-24,44.52,44.64,44.52,44.64,33.5674,1400.0,0.0,1.0
1999-08-25,44.16,44.16,43.68,43.92,33.026,800.0,0.0,1.0
1999-08-26,44.04,44.04,43.08,43.08,32.3944,1000.0,0.0,1.0
1999-08-27,43.68,44.16,43.44,43.68,32.8456,2600.0,0.0,1.0
1999-08-30,43.44,43.56,43.08,43.08,32.3944,800.0,0.0,1.0
1999-08-31,43.68,44.04,43.2,43.68,32.8456,10600.0,0.0,1.0
1999-09-01,43.92,44.16,43.44,43.92,33.026,1700.0,0.0,1.0
1999-09-02,43.68,43.92,43.2,43.8,32.9358,900.0,0.0,1.0
1999-09-03,44.16,44.4,43.68,44.16,33.2065,8800.0,0.0,1.0
1999-09-07,44.4,44.4,43.68,44.16,33.2065,3200.0,0.0,1.0
1999-09-08,44.16,44.16,43.68,44.04,33.1163,2100.0,0.0,1.0
1999-09-09,44.16,44.16,44.16,44.16,33.2065,800.0,0.0,1.0
1999-09-10,44.16,44.16,43.92,44.16,33.2065,1000.0,0.0,1.0
1999-09-13,44.16,44.16,43.68,43.8,32.9358,3300.0,0.0,1.0
1999-09-14,43.8,44.04,43.8,44.04,33.1163,600.0,0.0,1.0
1999-09-15,44.04,44.04,43.8,43.92,33.026,2000.0,0.0,1.0
1999-09-16,43.68,43.68,43.68,43.68,32.8456,1200.0,0.0,1.0
1999-09-17,43.68,44.4,43.68,44.4,33.387,19700.0,0.0,1.0
1999-09-20,44.4,45.84,44.28,45.84,34.4698,6200.0,0.0,1.0
1999-09-21,45.84,45.84,45.36,45.6,34.2893,7300.0,0.0,1.0
1999-09-22,45.84,45.84,45.36,45.84,34.4698,2800.0,0.0,1.0
1999-09-23,45.36,46.08,45.36,45.48,34.1991,2900.0,0.0,1.0
1999-09-24,45.12,45.6,44.88,45.6,34.2893,11700.0,0.0,1.0
