date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2011-05-02,1.25,39.5,1.25,39.5,28.4656,7700.0,0.0,1.0
2011-05-03,35.0,40.0,10.0,13.75,9.9089,4700.0,0.0,1.0
2011-05-04,13.75,15.0,13.75,14.25,10.2692,800.0,0.0,1.0
2011-05-05,13.75,13.75,13.75,13.75,9.9089,100.0,0.0,1.0
2011-05-06,13.75,13.75,13.75,13.75,9.9089,100.0,0.0,1.0
2011-05-09,12.5,12.5,6.25,6.25,4.504,500.0,0.0,1.0
2011-05-10,7.5,10.0,7.5,10.0,7.2065,100.0,0.0,1.0
2011-05-11,10.0,10.0,10.0,10.0,7.2065,0.0,0.0,1.0
2011-05-12,12.15,12.5,8.5,10.05,7.2425,600.0,0.0,1.0
2011-05-13,10.0,10.0,10.0,10.0,7.2065,100.0,0.0,1.0
2011-05-16,10.0,10.0,9.95,9.95,7.1704,300.0,0.0,1.0
2011-05-17,10.0,10.0,6.8,6.8,4.9004,400.0,0.0,1.0
2011-05-18,7.5,9.75,7.5,9.75,7.0263,500.0,0.0,1.0
2011-05-19,10.0,10.0,10.0,10.0,7.2065,0.0,0.0,1.0
2011-05-20,10.0,10.0,10.0,10.0,7.2065,0.0,0.0,1.0
2011-05-23,8.25,9.25,8.25,9.25,6.666,1400.0,0.0,1.0
2011-05-24,9.25,9.75,9.25,9.75,7.0263,100.0,0.0,1.0
2011-05-25,9.75,9.75,9.75,9.75,7.0263,0.0,0.0,1.0
2011-05-26,9.75,9.75,9.75,9.75,7.0263,0.0,0.0,1.0
2011-05-27,9.75,9.75,9.75,9.75,7.0263,100.0,0.0,1.0
2011-05-31,8.25,10.0,8.25,10.0,7.2065,500.0,0.0,1.0
2011-06-01,9.5,9.5,9.5,9.5,6.8461,800.0,0.0,1.0
2011-06-02,8.25,8.25,8.25,8.25,5.9453,100.0,0.0,1.0
2011-06-03,8.25,8.25,8.25,8.25,5.9453,0.0,0.0,1.0
2011-06-06,8.25,8.25,8.25,8.25,5.9453,0.0,0.0,1.0
2011-06-07,7.6,9.0,7.6,8.5,6.1255,1600.0,0.0,1.0
2011-06-08,9.25,10.0,9.25,9.5,6.8461,700.0,0.0,1.0
2011-06-09,9.5,9.5,9.5,9.5,6.8461,0.0,0.0,1.0
2011-06-10,9.5,9.5,9.5,9.5,6.8461,0.0,0.0,1.0
2011-06-13,9.5,9.5,9.5,9.5,6.8461,0.0,0.0,1.0
2011-06-14,9.5,9.5,9.5,9.5,6.8461,0.0,0.0,1.0
2011-06-15,9.5,9.5,9.5,9.5,6.8461,0.0,0.0,1.0
2011-06-16,9.5,9.5,9.5,9.5,6.8461,0.0,0.0,1.0
2011-06-17,8.75,8.75,7.5,7.5,5.4049,300.0,0.0,1.0
2011-06-20,6.75,6.75,6.75,6.75,4.8644,0.0,0.0,1.0
2011-06-21,7.0,7.0,6.75,6.75,4.8644,200.0,0.0,1.0
2011-06-22,8.25,8.25,8.25,8.25,5.9453,0.0,0.0,1.0
2011-06-23,6.75,6.75,6.75,6.75,4.8644,0.0,0.0,1.0
2011-06-24,6.75,6.75,6.75,6.75,4.8644,100.0,0.0,1.0
2011-06-27,6.75,6.75,6.75,6.75,4.8644,0.0,0.0,1.0
2011-06-28,6.75,6.75,6.75,6.75,4.8644,0.0,0.0,1.0
2011-06-29,6.75,6.75,6.75,6.75,4.8644,0.0,0.0,1.0
2011-06-30,6.75,6.75,6.75,6.75,4.8644,0.0,0.0,1.0
2011-07-01,6.75,6.75,6.75,6.75,4.8644,0.0,0.0,1.0
2011-07-05,6.0,6.0,6.0,6.0,4.3239,0.0,0.0,1.0
2011-07-06,6.0,6.0,6.0,6.0,4.3239,0.0,0.0,1.0
2011-07-07,6.0,6.0,6.0,6.0,4.3239,100.0,0.0,1.0
2011-07-08,6.0,6.0,6.0,6.0,4.3239,0.0,0.0,1.0
2011-07-11,6.75,6.75,6.75,6.75,4.8644,200.0,0.0,1.0
2011-07-12,6.7,6.75,6.7,6.75,4.8644,200.0,0.0,1.0
2011-07-13,6.75,7.55,6.75,7.55,5.4409,700.0,0.0,1.0
2011-07-14,7.55,7.55,7.55,7.55,5.4409,0.0,0.0,1.0
2011-07-15,8.0,8.0,8.0,8.0,5.7652,100.0,0.0,1.0
2011-07-18,7.75,7.75,7.75,7.75,5.585,100.0,0.0,1.0
2011-07-19,7.75,7.75,7.75,7.75,5.585,0.0,0.0,1.0
2011-07-20,7.75,7.75,7.75,7.75,5.585,0.0,0.0,1.0
2011-07-21,8.25,8.25,8.25,8.25,5.9453,200.0,0.0,1.0
2011-07-22,8.25,8.25,8.25,8.25,5.9453,0.0,0.0,1.0
