date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-11,1.6875,1.6875,1.6875,1.6875,1.4497,1100.0,0.0,1.0
1999-08-12,1.75,1.75,1.625,1.625,1.396,1200.0,0.0,1.0
1999-08-13,1.6875,1.6875,1.6875,1.6875,1.4497,100.0,0.0,1.0
1999-08-16,1.6875,1.6875,1.6875,1.6875,1.4497,0.0,0.0,1.0
1999-08-17,1.625,1.6875,1.5625,1.6875,1.4497,7100.0,0.0,1.0
1999-08-18,1.5625,1.625,1.5,1.625,1.396,1500.0,0.0,1.0
1999-08-19,1.625,1.625,1.625,1.625,1.396,4300.0,0.0,1.0
1999-08-20,1.625,1.625,1.625,1.625,1.396,0.0,0.0,1.0
1999-08-23,1.625,1.625,1.625,1.625,1.396,0.0,0.0,1.0
1999-08-24,1.4375,1.5,1.4375,1.5,1.2887,8600.0,0.0,1.0
1999-08-25,1.5,1.5,1.5,1.5,1.2887,0.0,0.0,1.0
1999-08-26,1.4375,1.4375,1.4375,1.4375,1.235,2600.0,0.0,1.0
1999-08-27,1.4375,1.4375,1.4375,1.4375,1.235,0.0,0.0,1.0
1999-08-30,1.4375,1.4375,1.4375,1.4375,1.235,0.0,0.0,1.0
1999-08-31,1.4375,1.4375,1.4375,1.4375,1.235,0.0,0.0,1.0
1999-09-01,1.4375,1.4375,1.4375,1.4375,1.235,0.0,0.0,1.0
1999-09-02,1.4375,1.4375,1.4375,1.4375,1.235,0.0,0.0,1.0
1999-09-03,1.4375,1.4375,1.4375,1.4375,1.235,0.0,0.0,1.0
1999-09-07,1.5625,1.5625,1.5625,1.5625,1.3423,1000.0,0.0,1.0
1999-09-08,1.6875,1.6875,1.6875,1.6875,1.4497,400.0,0.0,1.0
1999-09-09,1.5,1.5625,1.5,1.5625,1.3423,5400.0,0.0,1.0
1999-09-10,1.625,1.625,1.625,1.625,1.396,2000.0,0.0,1.0
1999-09-13,1.625,1.625,1.625,1.625,1.396,1200.0,0.0,1.0
1999-09-14,1.75,1.75,1.625,1.625,1.396,2300.0,0.0,1.0
1999-09-15,1.625,1.625,1.625,1.625,1.396,0.0,0.0,1.0
1999-09-16,1.625,1.625,1.625,1.625,1.396,0.0,0.0,1.0
1999-09-17,1.625,1.625,1.625,1.625,1.396,0.0,0.0,1.0
1999-09-20,1.625,1.625,1.625,1.625,1.396,1300.0,0.0,1.0
1999-09-21,1.625,1.6875,1.625,1.625,1.396,16000.0,0.0,1.0
1999-09-22,1.625,1.625,1.625,1.625,1.396,2700.0,0.0,1.0
1999-09-23,1.625,1.625,1.625,1.625,1.396,0.0,0.0,1.0
1999-09-24,1.625,1.625,1.625,1.625,1.396,2400.0,0.0,1.0
1999-09-27,1.625,1.625,1.625,1.625,1.396,4900.0,0.0,1.0
1999-09-28,1.625,1.625,1.625,1.625,1.396,2000.0,0.0,1.0
1999-09-29,1.625,1.625,1.625,1.625,1.396,0.0,0.0,1.0
1999-09-30,1.625,1.625,1.625,1.625,1.396,0.0,0.0,1.0
1999-10-01,1.625,1.625,1.625,1.625,1.396,0.0,0.0,1.0
1999-10-04,1.625,1.625,1.625,1.625,1.396,0.0,0.0,1.0
1999-10-05,1.5,1.5,1.5,1.5,1.2887,1000.0,0.0,1.0
1999-10-06,1.5,1.5,1.5,1.5,1.2887,0.0,0.0,1.0
1999-10-07,1.5,1.5,1.5,1.5,1.2887,0.0,0.0,1.0
1999-10-08,1.5,1.5,1.5,1.5,1.2887,0.0,0.0,1.0
1999-10-11,1.5,1.5,1.5,1.5,1.2887,3200.0,0.0,1.0
1999-10-12,1.5,1.5,1.5,1.5,1.2887,0.0,0.0,1.0
1999-10-13,1.5,1.5,1.5,1.5,1.2887,0.0,0.0,1.0
1999-10-14,1.4375,1.5625,1.4375,1.5,1.2887,15300.0,0.0,1.0
1999-10-15,1.5,1.5,1.5,1.5,1.2887,1400.0,0.0,1.0
1999-10-18,1.4375,1.4375,1.4375,1.4375,1.235,200.0,0.0,1.0
1999-10-19,1.4375,1.4375,1.4375,1.4375,1.235,0.0,0.0,1.0
1999-10-20,1.4375,1.4375,1.4375,1.4375,1.235,0.0,0.0,1.0
1999-10-21,1.5625,1.6875,1.5,1.625,1.396,34600.0,0.0,1.0
1999-10-22,1.75,3.9375,1.6875,2.6875,2.3088,125100.0,0.0,1.0
1999-10-25,3.0625,3.0625,2.375,2.375,2.0404,19000.0,0.0,1.0
1999-10-26,2.75,2.75,2.125,2.5,2.1478,20400.0,0.0,1.0
1999-10-27,2.625,2.625,2.5,2.5,2.1478,5900.0,0.0,1.0
1999-10-28,2.5,2.625,2.375,2.625,2.2551,4700.0,0.0,1.0
1999-10-29,2.6875,2.6875,1.75,2.125,1.8256,4600.0,0.0,1.0
1999-11-01,1.9375,2.125,1.75,2.0625,1.7719,2500.0,0.0,1.0
1999-11-02,1.9375,2.0,1.9375,2.0,1.7182,2200.0,0.0,1.0
1999-11-03,2.0938,2.1875,2.0938,2.1875,1.8793,900.0,0.0,1.0
