date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-11-21,9.0,9.19,8.26,8.51,6.586,4342900.0,0.0,1.0
2014-11-24,8.51,8.7,8.28,8.55,6.6169,475700.0,0.0,1.0
2014-11-25,8.75,8.75,8.55,8.64,6.6866,201900.0,0.0,1.0
2014-11-26,8.64,8.84,8.6,8.75,6.7717,406100.0,0.0,1.0
2014-11-28,8.86,8.98,8.8,8.89,6.88,138800.0,0.0,1.0
2014-12-01,8.95,8.98,8.52,8.59,6.6479,192700.0,0.0,1.0
2014-12-02,8.41,8.52,8.093,8.32,6.4389,349000.0,0.0,1.0
2014-12-03,8.13,8.465,7.85,7.93,6.1371,410300.0,0.0,1.0
2014-12-04,7.93,7.95,7.44,7.46,5.7734,214900.0,0.0,1.0
2014-12-05,7.47,7.75,6.95,7.75,5.9978,771900.0,0.0,1.0
2014-12-08,7.75,7.75,7.1,7.6,5.8817,174800.0,0.0,1.0
2014-12-09,7.27,7.701,7.25,7.61,5.8894,97500.0,0.0,1.0
2014-12-10,7.71,7.77,7.52,7.62,5.8972,57200.0,0.0,1.0
2014-12-11,7.8,7.87,7.16,7.66,5.9281,85400.0,0.0,1.0
2014-12-12,7.55,7.72,7.35,7.5,5.8043,104300.0,0.0,1.0
2014-12-15,7.72,7.83,7.62,7.75,5.9978,104200.0,0.0,1.0
2014-12-16,7.71,7.8,7.61,7.68,5.9436,101400.0,0.0,1.0
2014-12-17,7.749,7.75,7.62,7.67,5.9359,62900.0,0.0,1.0
2014-12-18,7.72,7.92,7.515,7.77,6.0133,144100.0,0.0,1.0
2014-12-19,7.77,7.93,7.75,7.93,6.1371,85800.0,0.0,1.0
2014-12-22,7.5,7.99,7.5,7.81,6.0442,58300.0,0.0,1.0
2014-12-23,7.85,7.85,7.6,7.61,5.8894,32200.0,0.0,1.0
2014-12-24,8.16,8.2,7.95,8.0,6.1913,264200.0,0.0,1.0
2014-12-26,8.2,8.45,8.01,8.14,6.2996,204400.0,0.0,1.0
2014-12-29,8.25,8.3,8.04,8.21,6.3538,194200.0,0.0,1.0
2014-12-30,8.21,8.21,8.07,8.16,6.4001,89600.0,0.109,1.0
2014-12-31,8.22,8.22,8.0,8.0,6.2746,85100.0,0.0,1.0
2015-01-02,8.59,8.59,8.0,8.05,6.3138,74100.0,0.0,1.0
2015-01-05,8.16,8.28,7.95,8.02,6.2903,91300.0,0.0,1.0
2015-01-06,8.0,8.245,7.9,7.93,6.2197,70300.0,0.0,1.0
2015-01-07,8.0,8.2,7.87,7.9,6.1961,97500.0,0.0,1.0
2015-01-08,7.9,8.04,7.87,7.94,6.2275,168400.0,0.0,1.0
2015-01-09,7.99,8.009,7.87,7.88,6.1805,11800.0,0.0,1.0
2015-01-12,8.0,8.01,7.87,7.87,6.1726,28100.0,0.0,1.0
2015-01-13,7.94,8.022,7.79,7.79,6.1099,36300.0,0.0,1.0
2015-01-14,7.81,7.85,7.79,7.8,6.1177,17800.0,0.0,1.0
2015-01-15,7.8,7.85,7.75,7.76,6.0863,7700.0,0.0,1.0
2015-01-16,7.76,7.8,7.76,7.76,6.0863,7000.0,0.0,1.0
2015-01-20,7.81,7.81,7.65,7.66,6.0079,17900.0,0.0,1.0
2015-01-21,7.65,7.73,7.39,7.55,5.9216,101500.0,0.0,1.0
2015-01-22,7.55,7.65,7.06,7.1,5.5687,295400.0,0.0,1.0
2015-01-23,7.05,7.2,6.89,7.05,5.5295,74800.0,0.0,1.0
2015-01-26,7.1,7.244,7.08,7.19,5.6393,23800.0,0.0,1.0
2015-01-27,7.17,7.27,7.05,7.23,5.6706,32000.0,0.0,1.0
2015-01-28,7.97,7.97,7.06,7.46,5.851,104700.0,0.0,1.0
2015-01-29,7.55,7.62,7.382,7.57,5.9373,25500.0,0.0,1.0
2015-01-30,7.59,7.71,7.4,7.52,5.8981,37700.0,0.0,1.0
2015-02-02,7.58,7.724,7.47,7.53,5.9059,21600.0,0.0,1.0
2015-02-03,7.47,7.55,7.36,7.47,5.8589,21700.0,0.0,1.0
2015-02-04,7.47,7.58,7.42,7.5,5.8824,57700.0,0.0,1.0
2015-02-05,7.45,7.5,7.38,7.5,5.8824,14800.0,0.0,1.0
2015-02-06,7.48,7.56,7.391,7.55,5.9216,30300.0,0.0,1.0
2015-02-09,7.54,7.75,7.54,7.54,5.9138,20300.0,0.0,1.0
2015-02-10,7.57,7.65,7.44,7.5,5.8824,17600.0,0.0,1.0
2015-02-11,7.46,7.65,7.39,7.6,5.9608,15500.0,0.0,1.0
2015-02-12,7.61,7.82,7.37,7.38,5.7883,28700.0,0.0,1.0
2015-02-13,7.42,7.5,7.25,7.39,5.7961,47500.0,0.0,1.0
2015-02-17,7.42,7.48,7.28,7.37,5.7804,14800.0,0.0,1.0
2015-02-18,7.28,7.37,7.2,7.26,5.6942,30100.0,0.0,1.0
2015-02-19,7.21,7.36,7.21,7.26,5.6942,26800.0,0.0,1.0
2015-02-20,7.29,7.35,7.2,7.25,5.6863,36000.0,0.0,1.0
2015-02-23,7.2,7.28,6.85,7.0,5.4902,78100.0,0.0,1.0
2015-02-24,7.01,7.27,7.01,7.2,5.6471,60700.0,0.0,1.0
2015-02-25,7.35,7.35,7.2,7.27,5.702,64400.0,0.0,1.0
2015-02-26,7.24,7.34,7.17,7.3,5.7255,47000.0,0.0,1.0
2015-02-27,7.3,7.3,7.15,7.3,5.7255,36500.0,0.0,1.0
2015-03-02,7.3,7.3,7.26,7.3,5.7255,16000.0,0.0,1.0
2015-03-03,7.3,7.35,7.25,7.3,5.7255,47500.0,0.0,1.0
