date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2011-07-06,20.2,20.31,20.06,20.29,19.7566,339000.0,0.0,1.0
2011-07-07,20.52,20.58,20.4,20.51,19.9708,730600.0,0.0,1.0
2011-07-08,20.31,20.42,20.17,20.42,19.8832,779000.0,0.0,1.0
2011-07-11,20.32,20.32,19.84,19.91,19.3866,317300.0,0.0,1.0
2011-07-12,19.98,19.98,19.65,19.69,19.1724,233900.0,0.0,1.0
2011-07-13,19.9,20.05,19.75,19.84,19.3184,332900.0,0.0,1.0
2011-07-14,19.96,19.96,19.38,19.45,18.9387,173100.0,0.0,1.0
2011-07-15,19.78,19.78,19.45,19.62,19.1042,156100.0,0.0,1.0
2011-07-18,19.63,19.63,19.26,19.41,18.8997,212000.0,0.0,1.0
2011-07-19,19.64,20.04,19.64,20.04,19.5132,273900.0,0.0,1.0
2011-07-20,20.14,20.14,19.58,19.61,19.0945,240800.0,0.0,1.0
2011-07-21,19.64,19.66,19.36,19.4,18.89,185500.0,0.0,1.0
2011-07-22,19.51,19.81,19.47,19.75,19.2308,153700.0,0.0,1.0
2011-07-25,19.68,19.73,19.5,19.58,19.0653,96500.0,0.0,1.0
2011-07-26,19.66,19.72,19.46,19.69,19.1724,118300.0,0.0,1.0
2011-07-27,19.52,19.52,18.93,18.98,18.481,216600.0,0.0,1.0
2011-07-28,18.91,19.19,18.86,18.98,18.481,158800.0,0.0,1.0
2011-07-29,18.75,19.07,18.6,18.86,18.3642,163100.0,0.0,1.0
2011-08-01,19.25,19.25,18.51,18.75,18.2571,122200.0,0.0,1.0
2011-08-02,18.7,18.78,18.2,18.21,17.7313,145300.0,0.0,1.0
2011-08-03,18.4,18.53,17.92,18.52,18.0331,220300.0,0.0,1.0
2011-08-04,18.35,18.35,17.59,17.59,17.1276,179500.0,0.0,1.0
2011-08-05,17.98,17.98,16.81,17.38,16.9231,199700.0,0.0,1.0
2011-08-08,16.65,16.9,16.12,16.15,15.7254,138300.0,0.0,1.0
2011-08-09,16.47,17.0,15.98,16.95,16.5044,232000.0,0.0,1.0
2011-08-10,16.72,16.9,16.37,16.38,15.9494,60700.0,0.0,1.0
2011-08-11,16.38,17.28,16.38,17.1,16.6504,110100.0,0.0,1.0
2011-08-12,17.34,17.42,17.11,17.34,16.8841,48400.0,0.0,1.0
2011-08-15,17.36,17.62,17.32,17.6,17.1373,71400.0,0.0,1.0
2011-08-16,17.53,17.53,17.09,17.24,16.7868,75000.0,0.0,1.0
2011-08-17,17.39,17.39,16.7,16.89,16.446,65600.0,0.0,1.0
2011-08-18,16.19,16.19,15.42,15.56,15.1509,127700.0,0.0,1.0
2011-08-19,15.4,15.77,15.01,15.16,14.7615,94000.0,0.0,1.0
2011-08-22,15.28,15.6,15.2,15.28,14.8783,30800.0,0.0,1.0
2011-08-23,15.47,16.05,15.3,16.03,15.6086,45400.0,0.0,1.0
2011-08-24,16.15,16.19,15.79,16.11,15.6865,53900.0,0.0,1.0
2011-08-25,16.25,16.25,15.69,15.72,15.3067,42100.0,0.0,1.0
2011-08-26,15.68,16.31,15.59,16.26,15.8325,47600.0,0.0,1.0
2011-08-29,16.5,16.87,16.46,16.86,16.4168,80500.0,0.0,1.0
2011-08-30,16.82,17.08,16.66,17.0,16.5531,37200.0,0.0,1.0
2011-08-31,17.11,17.39,16.98,17.07,16.6212,61200.0,0.0,1.0
2011-09-01,17.06,17.26,16.81,16.82,16.3778,70000.0,0.0,1.0
2011-09-02,16.56,16.56,16.19,16.36,15.9299,40600.0,0.0,1.0
2011-09-06,15.97,16.24,15.79,16.24,15.8131,39700.0,0.0,1.0
2011-09-07,16.57,16.78,16.47,16.78,16.3389,20600.0,0.0,1.0
2011-09-08,16.68,16.85,16.57,16.62,16.1831,17700.0,0.0,1.0
2011-09-09,16.52,16.54,16.04,16.17,15.7449,38400.0,0.0,1.0
2011-09-12,15.88,16.44,15.88,16.44,16.0078,35900.0,0.0,1.0
2011-09-13,16.54,16.72,16.4,16.7,16.261,18100.0,0.0,1.0
2011-09-14,16.89,17.2,16.6,16.99,16.5433,74800.0,0.0,1.0
2011-09-15,17.15,17.19,16.94,17.18,16.7283,46700.0,0.0,1.0
2011-09-16,17.32,17.32,17.07,17.18,16.7283,100100.0,0.0,1.0
2011-09-19,16.9,17.14,16.72,17.06,16.6115,23600.0,0.0,1.0
2011-09-20,17.16,17.17,16.72,16.72,16.2804,65700.0,0.0,1.0
2011-09-21,16.85,17.0,16.53,16.53,16.0954,23700.0,0.0,1.0
2011-09-22,16.0,16.2,15.7,15.95,15.5307,154800.0,0.0,1.0
2011-09-23,15.8,16.21,15.8,16.19,15.7644,28100.0,0.0,1.0
2011-09-26,16.1,16.5,16.0,16.5,16.0662,117900.0,0.0,1.0
2011-09-27,16.87,17.05,16.66,16.73,16.2902,66600.0,0.0,1.0
2011-09-28,16.71,16.85,16.39,16.43,15.9981,29000.0,0.0,1.0
2011-09-29,16.76,16.76,15.96,16.29,15.8617,39700.0,0.0,1.0
2011-09-30,16.14,16.26,15.94,15.94,15.5209,24400.0,0.0,1.0
2011-10-03,15.76,15.94,15.42,15.42,15.0146,98800.0,0.0,1.0
2011-10-04,15.19,15.92,15.19,15.92,15.5015,80200.0,0.0,1.0
2011-10-05,15.92,16.48,15.82,16.43,15.9981,18000.0,0.0,1.0
2011-10-06,16.46,16.84,16.35,16.84,16.3973,23100.0,0.0,1.0
2011-10-07,16.92,17.0,16.61,16.72,16.2804,11300.0,0.0,1.0
2011-10-10,17.01,17.31,16.99,17.17,16.7186,41200.0,0.0,1.0
2011-10-11,17.11,17.37,17.02,17.31,16.8549,55400.0,0.0,1.0
2011-10-12,17.44,17.57,17.37,17.37,16.9134,135000.0,0.0,1.0
2011-10-13,17.3,17.69,17.27,17.64,17.1763,14300.0,0.0,1.0
2011-10-14,17.94,18.07,17.85,18.07,17.595,35000.0,0.0,1.0
2011-10-17,17.87,18.0,17.62,17.71,17.2444,100300.0,0.0,1.0
2011-10-18,17.58,18.09,17.4,18.05,17.5755,77600.0,0.0,1.0
2011-10-19,18.01,18.01,17.46,17.46,17.001,29700.0,0.0,1.0
2011-10-20,18.0,18.0,17.13,17.43,16.9718,28500.0,0.0,1.0
2011-10-21,17.67,18.01,17.5,17.59,17.1276,30200.0,0.0,1.0
2011-10-24,18.01,18.35,17.88,18.33,17.8481,91100.0,0.0,1.0
2011-10-25,18.22,18.24,17.8,17.8,17.332,48800.0,0.0,1.0
2011-10-26,18.0,18.0,17.5,17.85,17.3807,30200.0,0.0,1.0
2011-10-27,18.52,18.84,18.35,18.68,18.1889,241200.0,0.0,1.0
2011-10-28,18.71,18.98,18.68,18.98,18.481,57700.0,0.0,1.0
2011-10-31,18.83,18.83,18.54,18.55,18.0623,71700.0,0.0,1.0
2011-11-01,18.15,18.17,17.87,18.02,17.5463,50000.0,0.0,1.0
2011-11-02,18.39,18.68,18.1,18.32,17.8384,24200.0,0.0,1.0
2011-11-03,18.56,18.78,18.2,18.78,18.2863,26300.0,0.0,1.0
2011-11-04,18.77,18.87,18.52,18.86,18.3642,53700.0,0.0,1.0
2011-11-07,18.75,18.93,18.45,18.76,18.2668,21700.0,0.0,1.0
2011-11-08,19.04,19.15,18.7,19.03,18.5297,28700.0,0.0,1.0
2011-11-09,18.78,18.78,18.3,18.54,18.0526,43900.0,0.0,1.0
2011-11-10,18.63,18.63,18.14,18.29,17.8092,32300.0,0.0,1.0
2011-11-11,18.58,18.83,18.58,18.76,18.2668,37500.0,0.0,1.0
2011-11-14,18.79,18.92,18.69,18.83,18.335,28400.0,0.0,1.0
2011-11-15,18.88,19.07,18.7,19.02,18.52,68700.0,0.0,1.0
2011-11-16,18.97,19.03,18.7,18.76,18.2668,23600.0,0.0,1.0
2011-11-17,18.75,18.75,18.07,18.1,17.6242,19900.0,0.0,1.0
2011-11-18,18.25,18.27,17.86,17.89,17.4197,33200.0,0.0,1.0
2011-11-21,17.74,17.74,17.24,17.51,17.0497,55200.0,0.0,1.0
2011-11-22,17.39,17.52,17.2,17.37,16.9134,28700.0,0.0,1.0
2011-11-23,17.31,17.38,16.94,16.95,16.5044,40100.0,0.0,1.0
2011-11-25,16.8,17.04,16.8,16.8,16.3583,13700.0,0.0,1.0
2011-11-28,17.33,17.51,17.31,17.43,16.9718,30400.0,0.0,1.0
2011-11-29,17.51,17.51,17.25,17.29,16.8355,20100.0,0.0,1.0
2011-11-30,17.82,18.04,17.82,17.99,17.5171,65700.0,0.0,1.0
2011-12-01,18.03,18.27,17.88,18.1,17.6242,49400.0,0.0,1.0
2011-12-02,18.21,18.36,18.14,18.19,17.7118,19100.0,0.0,1.0
2011-12-05,18.54,18.73,18.5,18.55,18.0623,26700.0,0.0,1.0
2011-12-06,18.52,18.66,18.38,18.46,17.9747,52600.0,0.0,1.0
2011-12-07,18.45,18.46,18.11,18.38,17.8968,24700.0,0.0,1.0
2011-12-08,18.13,18.31,17.96,18.03,17.556,35600.0,0.0,1.0
2011-12-09,18.1,18.4,18.09,18.39,17.9065,44000.0,0.0,1.0
2011-12-12,18.09,18.09,17.95,18.04,17.5657,46400.0,0.0,1.0
2011-12-13,18.22,18.24,17.69,17.73,17.2639,18900.0,0.0,1.0
2011-12-14,17.79,18.03,17.24,17.39,16.9328,94500.0,0.0,1.0
