date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-11,0.4375,0.4375,0.4063,0.4375,0.3505,3200.0,0.0,1.0
1999-08-12,0.4375,0.4375,0.4375,0.4375,0.3505,0.0,0.0,1.0
1999-08-13,0.4375,0.4375,0.4375,0.4375,0.3505,0.0,0.0,1.0
1999-08-16,0.375,0.4063,0.375,0.4063,0.3254,4800.0,0.0,1.0
1999-08-17,0.4063,0.4063,0.4063,0.4063,0.3254,0.0,0.0,1.0
1999-08-18,0.375,0.375,0.375,0.375,0.3004,400.0,0.0,1.0
1999-08-19,0.375,0.375,0.375,0.375,0.3004,4800.0,0.0,1.0
1999-08-20,0.4609,0.4609,0.4063,0.4375,0.3505,38800.0,0.0,1.0
1999-08-23,0.4063,0.4375,0.375,0.4063,0.3254,22000.0,0.0,1.0
1999-08-24,0.375,0.375,0.375,0.375,0.3004,400.0,0.0,1.0
1999-08-25,0.375,0.375,0.375,0.375,0.3004,0.0,0.0,1.0
1999-08-26,0.375,0.375,0.375,0.375,0.3004,0.0,0.0,1.0
1999-08-27,0.375,0.375,0.375,0.375,0.3004,1600.0,0.0,1.0
1999-08-30,0.3789,0.3789,0.3789,0.3789,0.3035,800.0,0.0,1.0
1999-08-31,0.3789,0.3789,0.3789,0.3789,0.3035,0.0,0.0,1.0
1999-09-01,0.4063,0.4375,0.4063,0.4375,0.3505,3200.0,0.0,1.0
1999-09-02,0.3828,0.3828,0.3828,0.3828,0.3066,400.0,0.0,1.0
1999-09-03,0.4375,0.4375,0.375,0.4375,0.3505,3600.0,0.0,1.0
1999-09-07,0.4063,0.4063,0.375,0.375,0.3004,2800.0,0.0,1.0
1999-09-08,0.375,0.4063,0.3516,0.375,0.3004,25600.0,0.0,1.0
1999-09-09,0.4375,0.4375,0.4258,0.4375,0.3505,8000.0,0.0,1.0
1999-09-10,0.3594,0.4063,0.3594,0.375,0.3004,6800.0,0.0,1.0
1999-09-13,0.3594,0.4375,0.3594,0.4063,0.3254,47200.0,0.0,1.0
1999-09-14,0.3281,0.4453,0.3281,0.4453,0.3567,9600.0,0.0,1.0
1999-09-15,0.3438,0.3438,0.3281,0.3438,0.2754,6800.0,0.0,1.0
1999-09-16,0.3438,0.3438,0.3438,0.3438,0.2754,0.0,0.0,1.0
1999-09-17,0.3281,0.3281,0.3281,0.3281,0.2628,2400.0,0.0,1.0
1999-09-20,0.3281,0.3281,0.3281,0.3281,0.2628,0.0,0.0,1.0
1999-09-21,0.375,0.375,0.375,0.375,0.3004,1600.0,0.0,1.0
1999-09-22,0.3438,0.3438,0.3438,0.3438,0.2754,9600.0,0.0,1.0
1999-09-23,0.4063,0.4063,0.3438,0.3594,0.2879,19200.0,0.0,1.0
1999-09-24,0.3594,0.3594,0.3594,0.3594,0.2879,1200.0,0.0,1.0
1999-09-27,0.375,0.375,0.375,0.375,0.3004,400.0,0.0,1.0
1999-09-28,0.3594,0.3594,0.3594,0.3594,0.2879,2000.0,0.0,1.0
1999-09-29,0.3594,0.3594,0.3594,0.3594,0.2879,0.0,0.0,1.0
1999-09-30,0.3594,0.3594,0.3594,0.3594,0.2879,0.0,0.0,1.0
1999-10-01,0.3594,0.3594,0.3594,0.3594,0.2879,0.0,0.0,1.0
1999-10-04,0.3594,0.3594,0.3594,0.3594,0.2879,0.0,0.0,1.0
1999-10-05,0.3438,0.3438,0.3438,0.3438,0.2754,1200.0,0.0,1.0
1999-10-06,0.3438,0.3438,0.3438,0.3438,0.2754,400.0,0.0,1.0
1999-10-07,0.375,0.375,0.375,0.375,0.3004,4000.0,0.0,1.0
1999-10-08,0.375,0.375,0.375,0.375,0.3004,0.0,0.0,1.0
1999-10-11,0.375,0.375,0.375,0.375,0.3004,4000.0,0.0,1.0
1999-10-12,0.3906,0.4219,0.375,0.375,0.3004,38400.0,0.0,1.0
