date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-07,4.625,4.625,4.625,4.625,3.0695,800.0,0.48,1.0
2000-01-10,4.625,4.625,4.625,4.625,3.0695,0.0,0.0,1.0
2000-01-11,4.625,4.625,4.625,4.625,3.0695,7200.0,0.0,1.0
2000-01-12,4.625,4.625,4.625,4.625,3.0695,0.0,0.0,1.0
2000-01-13,4.625,4.625,4.625,4.625,3.0695,0.0,0.0,1.0
2000-01-14,4.625,4.625,4.625,4.625,3.0695,0.0,0.0,1.0
2000-01-18,4.6094,4.6094,4.6094,4.6094,3.0591,800.0,0.0,1.0
2000-01-19,4.6094,4.6094,4.6094,4.6094,3.0591,0.0,0.0,1.0
2000-01-20,4.6094,4.6094,4.6094,4.6094,3.0591,0.0,0.0,1.0
2000-01-21,4.6094,4.6094,4.6094,4.6094,3.0591,0.0,0.0,1.0
2000-01-24,5.125,5.125,5.125,5.125,3.4013,1600.0,0.0,1.0
2000-01-25,5.125,5.125,5.125,5.125,3.4013,0.0,0.0,1.0
2000-01-26,5.125,5.125,5.125,5.125,3.4013,0.0,0.0,1.0
2000-01-27,5.125,5.125,5.125,5.125,3.4013,0.0,0.0,1.0
2000-01-28,5.125,5.125,5.125,5.125,3.4013,0.0,0.0,1.0
2000-01-31,4.625,4.625,4.625,4.625,3.0695,4800.0,0.0,1.0
2000-02-01,4.625,4.625,4.625,4.625,3.0695,0.0,0.0,1.0
2000-02-02,4.625,4.625,4.625,4.625,3.0695,0.0,0.0,1.0
2000-02-03,4.625,4.625,4.625,4.625,3.0695,0.0,0.0,1.0
2000-02-04,4.625,4.625,4.625,4.625,3.0695,0.0,0.0,1.0
2000-02-07,4.625,4.625,4.625,4.625,3.0695,0.0,0.0,1.0
2000-02-08,4.625,4.625,4.625,4.625,3.0695,0.0,0.0,1.0
2000-02-09,4.625,4.625,4.625,4.625,3.0695,800.0,0.0,1.0
2000-02-10,4.625,4.625,4.625,4.625,3.0695,0.0,0.0,1.0
2000-02-11,4.625,4.625,4.625,4.625,3.0695,0.0,0.0,1.0
2000-02-14,4.9063,4.9063,4.9063,4.9063,3.2561,4000.0,0.0,1.0
2000-02-15,4.9063,4.9063,4.9063,4.9063,3.2561,0.0,0.0,1.0
2000-02-16,4.625,4.625,4.625,4.625,3.0695,5600.0,0.0,1.0
2000-02-17,4.625,4.625,4.625,4.625,3.0695,800.0,0.0,1.0
2000-02-18,4.625,4.625,4.625,4.625,3.0695,800.0,0.0,1.0
2000-02-22,4.625,4.625,4.625,4.625,3.0695,0.0,0.0,1.0
2000-02-23,4.625,4.625,4.625,4.625,3.0695,800.0,0.0,1.0
2000-02-24,4.625,4.625,4.625,4.625,3.0695,800.0,0.0,1.0
2000-02-25,4.625,4.625,4.625,4.625,3.0695,7200.0,0.0,1.0
2000-02-28,4.625,4.625,4.625,4.625,3.0695,0.0,0.0,1.0
2000-02-29,4.625,4.625,4.625,4.625,3.0695,4000.0,0.0,1.0
2000-03-01,4.625,4.75,4.625,4.625,3.0695,8000.0,0.0,1.0
2000-03-02,4.625,4.625,4.625,4.625,3.0695,12800.0,0.0,1.0
