date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-09-07,15.0,15.1,15.0,15.1,15.1,600.0,0.0,1.0
2016-09-08,14.54,14.54,14.5,14.5,14.5,500.0,0.0,1.0
2016-09-09,17.6,17.6,15.84,15.84,15.84,700.0,0.0,1.0
2016-09-12,15.84,15.84,15.84,15.84,15.84,0.0,0.0,1.0
2016-09-13,14.05,14.05,11.6,11.8,11.8,6000.0,0.0,1.0
2016-09-14,11.5,11.5,9.75,9.75,9.75,1700.0,0.0,1.0
2016-09-15,11.25,12.5,11.25,12.26,12.26,3700.0,0.0,1.0
2016-09-16,12.0,12.0,11.005,11.01,11.01,14100.0,0.0,1.0
2016-09-19,11.01,11.2,11.01,11.02,11.02,3400.0,0.0,1.0
2016-09-20,11.1,11.442,11.1,11.25,11.25,8200.0,0.0,1.0
2016-09-21,11.7,11.7,11.0,11.0,11.0,3300.0,0.0,1.0
2016-09-22,11.0,11.16,11.0,11.12,11.12,900.0,0.0,1.0
2016-09-23,11.55,12.0,11.55,12.0,12.0,1200.0,0.0,1.0
2016-09-26,12.0,12.0,11.8,11.8,11.8,700.0,0.0,1.0
2016-09-27,11.99,11.99,11.422,11.697,11.697,600.0,0.0,1.0
2016-09-28,11.69,16.0,11.643,16.0,16.0,8400.0,0.0,1.0
2016-09-29,12.71,13.5,12.0,13.269,13.269,19700.0,0.0,1.0
2016-09-30,13.26,13.5,13.26,13.3,13.3,300.0,0.0,1.0
2016-10-03,13.25,13.62,12.779,13.2,13.2,5000.0,0.0,1.0
2016-10-04,14.0,14.0,13.609,13.8,13.8,10900.0,0.0,1.0
2016-10-05,14.0,16.25,13.708,15.039,15.039,33500.0,0.0,1.0
2016-10-06,14.518,14.8,14.5,14.8,14.8,12800.0,0.0,1.0
2016-10-07,14.25,15.02,14.25,14.5,14.5,7300.0,0.0,1.0
2016-10-10,14.214,14.6,14.148,14.6,14.6,17500.0,0.0,1.0
2016-10-11,14.01,14.2,14.0,14.2,14.2,14100.0,0.0,1.0
2016-10-12,14.0,14.15,13.888,14.1,14.1,8300.0,0.0,1.0
2016-10-13,14.1,14.2,14.086,14.2,14.2,10400.0,0.0,1.0
2016-10-14,14.1,14.2,14.0,14.2,14.2,9100.0,0.0,1.0
2016-10-17,14.03,14.08,14.03,14.08,14.08,1900.0,0.0,1.0
2016-10-18,14.19,14.4,14.118,14.4,14.4,15800.0,0.0,1.0
2016-10-19,15.2,15.2,14.513,15.0,15.0,12700.0,0.0,1.0
2016-10-20,14.93,15.0,14.74,14.74,14.74,2900.0,0.0,1.0
2016-10-21,14.89,14.89,14.0,14.2,14.2,10800.0,0.0,1.0
2016-10-24,14.547,14.75,14.547,14.61,14.61,500.0,0.0,1.0
2016-10-25,14.53,14.53,14.5,14.5,14.5,6100.0,0.0,1.0
2016-10-26,14.5,14.5,14.5,14.5,14.5,0.0,0.0,1.0
2016-10-27,13.66,13.73,13.5,13.73,13.73,9500.0,0.0,1.0
2016-10-28,13.841,13.86,13.4,13.86,13.86,1000.0,0.0,1.0
2016-10-31,13.86,13.86,13.86,13.86,13.86,0.0,0.0,1.0
2016-11-01,13.25,13.5,13.25,13.5,13.5,1600.0,0.0,1.0
2016-11-02,13.25,13.35,11.7,12.75,12.75,2400.0,0.0,1.0
2016-11-03,14.03,15.0,13.51,13.51,13.51,2000.0,0.0,1.0
2016-11-04,14.75,14.75,13.28,13.5,13.5,3500.0,0.0,1.0
2016-11-07,12.06,12.65,12.05,12.6,12.6,4000.0,0.0,1.0
2016-11-08,13.0,13.42,12.55,13.0,13.0,3300.0,0.0,1.0
2016-11-09,12.733,12.733,12.733,12.733,12.733,500.0,0.0,1.0
2016-11-10,12.733,12.733,12.733,12.733,12.733,0.0,0.0,1.0
2016-11-11,12.08,12.464,10.52,11.56,11.56,25800.0,0.0,1.0
2016-11-14,11.78,11.886,11.07,11.581,11.581,20100.0,0.0,1.0
2016-11-15,12.24,12.36,11.95,12.189,12.189,6200.0,0.0,1.0
2016-11-16,11.96,11.96,11.899,11.899,11.899,2500.0,0.0,1.0
2016-11-17,11.76,12.1,11.74,11.81,11.81,2900.0,0.0,1.0
2016-11-18,12.332,12.5,11.82,12.5,12.5,7000.0,0.0,1.0
2016-11-21,12.669,13.5,12.05,12.71,12.71,16400.0,0.0,1.0
2016-11-22,13.4,13.75,13.4,13.415,13.415,5100.0,0.0,1.0
2016-11-23,13.88,13.88,13.88,13.88,13.88,200.0,0.0,1.0
2016-11-25,13.88,13.88,13.88,13.88,13.88,0.0,0.0,1.0
2016-11-28,13.88,13.88,13.88,13.88,13.88,0.0,0.0,1.0
2016-11-29,13.95,13.95,13.516,13.516,13.516,9800.0,0.0,1.0
2016-11-30,13.9,14.27,13.9,14.25,14.25,17500.0,0.0,1.0
2016-12-01,15.28,15.28,15.046,15.046,15.046,2700.0,0.0,1.0
2016-12-02,15.0,15.0,14.5,14.5,14.5,3800.0,0.0,1.0
2016-12-05,14.53,14.779,14.51,14.73,14.73,6200.0,0.0,1.0
2016-12-06,14.8,14.8,14.5,14.522,14.522,2800.0,0.0,1.0
2016-12-07,14.5,14.51,14.45,14.51,14.51,1100.0,0.0,1.0
2016-12-08,13.6,14.908,13.6,14.51,14.51,400.0,0.0,1.0
2016-12-09,14.8,15.45,14.625,15.25,15.25,14200.0,0.0,1.0
2016-12-12,15.78,15.78,15.416,15.5,15.5,1500.0,0.0,1.0
2016-12-13,15.205,15.95,15.205,15.824,15.824,2600.0,0.0,1.0
2016-12-14,15.75,15.784,15.75,15.76,15.76,8200.0,0.0,1.0
2016-12-15,15.04,15.5,14.68,15.0,15.0,10800.0,0.0,1.0
