date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2002-07-01,30.5,30.54,29.7,29.77,16.2814,196800.0,0.0,1.0
2002-07-02,29.5,29.52,28.6,28.85,15.7783,54500.0,0.0,1.0
2002-07-03,29.0,29.29,28.3,28.6,15.6416,61900.0,0.0,1.0
2002-07-05,30.15,30.4,30.15,30.4,16.626,11700.0,0.0,1.0
2002-07-08,31.19,31.55,30.95,31.25,17.0909,77400.0,0.0,1.0
2002-07-09,30.98,31.25,30.6,31.25,17.0909,17700.0,0.0,1.0
2002-07-10,30.5,30.58,29.4,29.6,16.1885,129000.0,0.0,1.0
2002-07-11,28.12,28.7,27.8,28.5,15.5869,165100.0,0.0,1.0
2002-07-12,28.48,28.48,27.7,27.7,15.1493,36600.0,0.0,1.0
2002-07-15,28.85,29.4,26.9,27.32,14.9415,145500.0,0.0,1.0
2002-07-16,27.6,28.05,26.85,27.85,15.2314,123700.0,0.0,1.0
2002-07-17,28.25,29.19,28.1,28.8,15.7509,50700.0,0.0,1.0
2002-07-18,29.4,30.2,29.4,30.0,16.4072,213700.0,0.0,1.0
2002-07-19,29.39,29.95,29.18,29.3,16.0244,472600.0,0.0,1.0
2002-07-22,28.13,28.34,27.5,28.0,15.3134,80700.0,0.0,1.0
2002-07-23,25.85,26.55,25.67,25.91,14.1704,223500.0,0.0,1.0
2002-07-24,25.55,27.1,24.9,27.1,14.8212,60800.0,0.0,1.0
2002-07-25,26.87,27.15,25.9,26.4,14.4384,113000.0,0.0,1.0
2002-07-26,26.1,26.86,26.1,26.86,14.6899,12200.0,0.0,1.0
2002-07-29,28.25,29.7,28.25,29.53,16.1502,66800.0,0.0,1.0
2002-07-30,28.95,30.03,28.95,29.75,16.2705,37300.0,0.0,1.0
2002-07-31,29.4,29.6,28.71,29.3,16.0244,79400.0,0.0,1.0
2002-08-01,29.7,29.7,28.5,28.7,15.6962,21500.0,0.0,1.0
2002-08-02,29.2,29.5,28.8,28.8,15.7509,23800.0,0.0,1.0
2002-08-05,29.8,29.95,28.72,28.72,15.7072,221500.0,0.0,1.0
2002-08-06,28.9,30.4,28.9,30.2,16.5166,143200.0,0.0,1.0
2002-08-07,31.18,31.6,31.09,31.6,17.2823,150900.0,0.0,1.0
2002-08-08,30.65,31.4,30.45,31.2,17.0635,31300.0,0.0,1.0
2002-08-09,30.45,32.3,30.45,32.1,17.5557,105800.0,0.0,1.0
2002-08-12,31.11,31.71,30.6,31.58,17.2713,153900.0,0.0,1.0
2002-08-13,31.17,32.8,31.15,31.8,17.3917,157700.0,0.0,1.0
2002-08-14,31.88,32.29,31.1,32.08,17.5448,119000.0,0.0,1.0
2002-08-15,31.9,32.15,31.65,31.85,17.419,48700.0,0.0,1.0
2002-08-16,31.65,32.3,31.47,32.0,17.501,77400.0,0.0,1.0
2002-08-19,31.2,32.2,31.2,31.99,17.4956,36900.0,0.0,1.0
2002-08-20,30.5,30.66,30.3,30.3,16.5713,24800.0,0.0,1.0
2002-08-21,30.85,31.09,30.45,31.05,16.9815,68700.0,0.0,1.0
2002-08-22,30.89,31.7,30.6,31.51,17.2331,59200.0,0.0,1.0
2002-08-23,30.65,30.94,30.59,30.92,16.9104,122100.0,0.0,1.0
2002-08-26,31.1,31.39,29.9,30.25,16.544,37300.0,0.0,1.0
