date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2004-11-17,36.75,38.0,36.44,37.05,10.6549,323700.0,0.0,1.0
2004-11-18,37.2,37.2,35.54,37.05,10.6549,345600.0,0.0,1.0
2004-11-19,36.53,37.24,36.51,37.14,10.6807,250400.0,0.0,1.0
2004-11-22,36.52,37.34,36.52,37.25,10.7124,59600.0,0.0,1.0
2004-11-23,37.34,37.6,36.86,37.05,10.6549,121100.0,0.0,1.0
2004-11-24,37.05,37.27,36.61,36.98,10.6347,106200.0,0.0,1.0
2004-11-26,37.2,37.53,36.9,36.93,10.6203,10800.0,0.0,1.0
2004-11-29,36.92,37.03,36.12,36.51,10.4996,119700.0,0.0,1.0
2004-11-30,36.58,36.65,36.12,36.36,10.4564,179700.0,0.0,1.0
2004-12-01,36.42,37.02,36.11,36.79,10.5801,169700.0,0.0,1.0
2004-12-02,36.23,37.25,36.23,37.25,10.7124,85200.0,0.0,1.0
2004-12-03,37.29,37.29,36.26,36.6,10.5254,165100.0,0.0,1.0
2004-12-06,36.25,37.19,35.63,35.87,10.3155,226800.0,0.0,1.0
2004-12-07,35.75,36.3,35.75,36.02,10.3586,84600.0,0.0,1.0
2004-12-08,36.0,36.47,34.65,35.35,10.166,200400.0,0.0,1.0
2004-12-09,34.85,35.35,34.3,35.27,10.143,69500.0,0.0,1.0
2004-12-10,34.95,35.22,34.66,34.8,10.0078,308300.0,0.0,1.0
2004-12-13,35.0,35.19,33.87,33.93,9.7576,251600.0,0.0,1.0
2004-12-14,33.92,34.17,33.42,34.01,9.7806,226900.0,0.0,1.0
2004-12-15,34.21,34.22,33.78,34.22,9.841,104700.0,0.0,1.0
2004-12-16,33.83,34.55,33.58,34.02,9.7835,224300.0,0.0,1.0
2004-12-17,33.51,34.21,33.51,34.0,9.7777,90100.0,0.0,1.0
2004-12-20,34.0,34.07,33.83,33.89,9.7461,83900.0,0.0,1.0
2004-12-21,34.15,34.15,33.53,33.75,9.7058,60700.0,0.0,1.0
2004-12-22,33.5,33.92,33.43,33.65,9.6771,16400.0,0.0,1.0
2004-12-23,33.97,33.97,33.25,33.33,9.5851,32000.0,0.0,1.0
2004-12-27,33.97,34.15,33.4,34.1,9.8065,89600.0,0.0,1.0
2004-12-28,34.5,34.5,33.9,34.36,9.8813,46500.0,0.0,1.0
2004-12-29,33.9,34.41,33.85,34.13,9.8151,59400.0,0.0,1.0
2004-12-30,34.41,35.4,33.91,34.95,10.0509,79800.0,0.0,1.0
2004-12-31,35.47,35.53,34.96,35.31,10.1545,144600.0,0.0,1.0
2005-01-03,35.06,35.58,33.83,34.09,9.8036,182300.0,0.0,1.0
2005-01-04,34.92,34.95,33.26,33.26,9.5649,246700.0,0.0,1.0
2005-01-05,33.25,34.2,33.05,34.0,9.7777,87600.0,0.0,1.0
2005-01-06,34.24,34.52,33.62,34.52,9.9273,313400.0,0.0,1.0
2005-01-07,34.75,34.75,33.91,34.32,9.8698,56600.0,0.0,1.0
2005-01-10,34.18,34.64,34.0,34.64,9.9618,120100.0,0.0,1.0
2005-01-11,34.73,35.47,34.04,35.12,10.0998,112500.0,0.0,1.0
2005-01-12,34.78,35.62,34.78,35.5,10.2091,165200.0,0.0,1.0
2005-01-13,35.75,36.12,35.67,36.07,10.373,170300.0,0.0,1.0
2005-01-14,36.1,36.39,35.63,35.96,10.3414,102500.0,0.0,1.0
2005-01-18,36.03,36.05,35.62,35.91,10.327,97300.0,0.0,1.0
2005-01-19,36.03,36.03,34.78,35.2,10.1228,650600.0,0.0,1.0
2005-01-20,35.42,35.83,35.0,35.04,10.0768,96600.0,0.0,1.0
2005-01-21,35.57,35.57,33.85,34.27,9.8554,243800.0,0.0,1.0
2005-01-24,34.35,34.35,34.0,34.0,9.7777,222900.0,0.0,1.0
2005-01-25,34.02,34.28,33.49,33.64,9.6742,87300.0,0.0,1.0
2005-01-26,34.2,34.2,33.5,33.74,9.703,54300.0,0.0,1.0
2005-01-27,33.33,34.48,33.33,34.26,9.8525,51200.0,0.0,1.0
2005-01-28,34.26,35.2,34.07,34.35,9.8784,95700.0,0.0,1.0
2005-01-31,34.7,35.57,34.7,35.55,10.2235,231200.0,0.0,1.0
2005-02-01,35.75,35.8,35.5,35.77,10.2868,147700.0,0.0,1.0
2005-02-02,35.49,35.77,34.93,35.33,10.1602,89100.0,0.0,1.0
2005-02-03,35.47,35.7,34.96,35.57,10.2292,29800.0,0.0,1.0
2005-02-04,35.9,36.26,35.87,36.19,10.4075,69600.0,0.0,1.0
2005-02-07,36.25,36.27,36.0,36.27,10.4305,220200.0,0.0,1.0
2005-02-08,36.0,37.0,36.0,37.0,10.6405,46200.0,0.0,1.0
2005-02-09,36.5,37.25,36.5,37.2,10.698,304000.0,0.0,1.0
2005-02-10,37.09,38.29,37.08,38.02,10.9338,343200.0,0.0,1.0
2005-02-11,38.33,38.49,37.92,37.95,10.9137,158900.0,0.0,1.0
2005-02-14,38.38,38.38,37.75,37.9,10.8993,138400.0,0.0,1.0
2005-02-15,37.74,37.89,37.64,37.7,10.8418,131000.0,0.0,1.0
2005-02-16,37.75,38.1,37.62,37.67,10.8332,48300.0,0.0,1.0
