date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-11,25.1495,25.5617,25.1495,25.5617,16.0086,1300.0,0.0,1.0
1999-08-12,25.2525,25.5617,25.2525,25.5617,16.0086,500.0,0.0,1.0
1999-08-13,25.4587,25.4587,25.4587,25.4587,15.9441,1500.0,0.0,1.0
1999-08-16,25.6648,25.6648,25.5617,25.5617,16.0086,500.0,0.0,1.0
1999-08-17,25.2525,25.5102,25.2525,25.5102,15.9764,4800.0,0.0,1.0
1999-08-18,25.2525,25.3556,25.2525,25.3556,15.8795,3900.0,0.0,1.0
1999-08-19,25.2525,25.5102,25.2525,25.5102,15.9764,6200.0,0.0,1.0
1999-08-20,25.2525,25.4587,25.2525,25.2525,15.815,17400.0,0.0,1.0
1999-08-23,25.5102,25.5102,25.2525,25.3041,15.8473,17000.0,0.0,1.0
1999-08-24,25.2525,25.3556,25.2525,25.2525,15.815,11500.0,0.0,1.0
1999-08-25,25.1495,25.1495,25.1495,25.1495,15.7504,800.0,0.0,1.0
1999-08-26,25.1495,25.1495,25.0464,25.1495,15.7504,15900.0,0.0,1.0
1999-08-27,25.3556,25.3556,25.0464,25.0464,15.6859,9600.0,0.0,1.0
1999-08-30,25.0464,25.0464,24.3249,24.3249,15.234,13400.0,0.0,1.0
1999-08-31,24.3249,24.7372,24.3249,24.3249,15.234,10400.0,0.0,1.0
1999-09-01,24.428,24.7372,24.0157,24.1187,15.1049,24500.0,0.0,1.0
1999-09-02,24.1187,24.428,23.5518,23.977,15.0162,19300.0,0.0,1.0
1999-09-03,24.0157,24.1187,23.9126,24.0157,15.0404,7500.0,0.0,1.0
1999-09-07,23.9126,24.1187,23.9126,24.1187,15.1049,2500.0,0.0,1.0
1999-09-08,23.9126,23.9126,23.8095,23.8095,14.9113,10700.0,0.0,1.0
1999-09-09,23.8095,23.8095,23.6034,23.6034,14.7822,3800.0,0.0,1.0
1999-09-10,23.6034,23.9126,23.6034,23.9126,14.9758,1700.0,0.0,1.0
1999-09-13,23.5003,23.5003,23.088,23.088,14.4594,7800.0,0.0,1.0
1999-09-14,23.1911,23.5003,23.088,23.5003,14.7176,3300.0,0.0,1.0
1999-09-15,23.2942,24.0157,23.088,23.088,14.4594,8900.0,0.0,1.0
1999-09-16,23.088,23.088,22.7788,22.7788,14.2658,2500.0,0.0,1.0
1999-09-17,22.6757,22.7273,22.6757,22.7273,14.2335,6300.0,0.0,1.0
1999-09-20,22.7273,23.2942,22.6757,23.088,14.4594,5200.0,0.0,1.0
1999-09-21,22.6757,23.088,22.6757,22.6757,14.2012,6200.0,0.0,1.0
1999-09-22,23.6034,23.7065,22.6757,22.6757,14.2012,2000.0,0.0,1.0
1999-09-23,22.5727,22.5727,22.3665,22.4696,14.0721,31500.0,0.0,1.0
1999-09-24,22.3665,22.3665,22.1604,22.1604,13.8785,1600.0,0.0,1.0
1999-09-27,22.0573,22.7788,22.0573,22.0573,13.8139,10100.0,0.0,1.0
1999-09-28,21.9542,22.5211,21.8512,22.0573,13.8139,8100.0,0.0,1.0
1999-09-29,21.7996,21.7996,21.0266,21.2327,13.2975,71300.0,0.0,1.0
