date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-11,11.8125,12.25,11.8125,12.25,8.4839,10400.0,0.0,1.0
1999-08-12,12.0,12.375,12.0,12.375,8.5705,41700.0,0.0,1.0
1999-08-13,12.25,12.25,11.625,12.125,8.3973,27500.0,0.0,1.0
1999-08-16,12.125,12.25,11.875,12.0313,8.3324,12500.0,0.0,1.0
1999-08-17,12.0,12.25,11.9375,12.25,8.4839,12000.0,0.0,1.0
1999-08-18,12.0313,12.25,12.0,12.25,8.4839,4100.0,0.0,1.0
1999-08-19,12.0,12.25,12.0,12.0625,8.354,71200.0,0.0,1.0
1999-08-20,12.25,12.25,12.0,12.1875,8.4406,35400.0,0.0,1.0
1999-08-23,12.375,12.375,12.0,12.125,8.3973,17300.0,0.0,1.0
1999-08-24,12.0,12.375,12.0,12.25,8.4839,6200.0,0.0,1.0
1999-08-25,12.375,12.5,12.25,12.5,8.657,133600.0,0.0,1.0
1999-08-26,12.375,12.6875,12.375,12.5625,8.7003,51300.0,0.0,1.0
1999-08-27,12.5625,12.625,12.5,12.625,8.7436,51300.0,0.0,1.0
1999-08-30,12.5,12.625,12.5,12.5,8.657,30200.0,0.0,1.0
1999-08-31,12.5,12.5625,12.5,12.5,8.657,8500.0,0.0,1.0
1999-09-01,12.625,12.75,12.0,12.0,8.3107,141800.0,0.0,1.0
1999-09-02,12.0,12.0,11.3125,11.5313,7.9861,19500.0,0.0,1.0
1999-09-03,11.375,11.75,11.375,11.625,8.051,13900.0,0.0,1.0
1999-09-07,11.375,11.6563,11.1875,11.5,7.9645,24900.0,0.0,1.0
1999-09-08,11.25,11.625,11.0,11.25,7.8103,51900.0,0.028,1.0
1999-09-09,11.625,11.75,11.25,11.4375,7.9405,9600.0,0.0,1.0
1999-09-10,11.75,11.75,11.0,11.1875,7.767,170000.0,0.0,1.0
1999-09-13,11.1875,11.25,11.0,11.25,7.8103,12200.0,0.0,1.0
1999-09-14,11.1875,11.1875,10.5,10.75,7.4632,26100.0,0.0,1.0
1999-09-15,10.7813,10.875,10.25,10.5,7.2897,24100.0,0.0,1.0
1999-09-16,10.6875,10.75,10.3125,10.3125,7.1595,21500.0,0.0,1.0
