date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-07-05,25.38,25.42,25.36,25.39,23.9216,71600.0,0.0,1.0
2017-07-06,25.33,25.38,25.3,25.32,23.8557,93800.0,0.0,1.0
2017-07-07,25.31,25.38,25.31,25.34,23.8745,85000.0,0.0,1.0
2017-07-10,25.39,25.41,25.19,25.2,23.7426,403500.0,0.0,1.0
2017-07-11,25.22,25.24,25.12,25.21,23.752,140200.0,0.0,1.0
2017-07-12,25.26,25.29,25.173,25.27,23.8086,107500.0,0.0,1.0
2017-07-18,25.13,25.13,25.13,25.13,23.6767,100.0,0.0,1.0
2017-07-19,25.13,25.13,25.13,25.13,23.6767,1000.0,0.0,1.0
2017-07-20,25.13,25.13,25.13,25.13,23.6767,2000.0,0.0,1.0
2017-07-21,25.13,25.13,25.13,25.13,23.6767,0.0,0.0,1.0
2017-07-24,25.13,25.13,25.13,25.13,23.6767,0.0,0.0,1.0
2017-07-25,25.13,25.13,25.13,25.13,23.6767,0.0,0.0,1.0
2017-07-26,25.13,25.13,25.13,25.13,23.6767,0.0,0.0,1.0
2017-07-27,25.13,25.13,25.13,25.13,23.6767,0.0,0.0,1.0
2017-07-28,25.13,25.13,25.13,25.13,23.6767,0.0,0.0,1.0
2017-07-31,25.18,25.18,25.18,25.18,23.7238,1000.0,0.0,1.0
2017-08-01,25.18,25.18,25.18,25.18,23.7238,0.0,0.0,1.0
2017-08-02,25.18,25.18,25.18,25.18,23.7238,100.0,0.0,1.0
2017-08-03,25.18,25.18,25.18,25.18,23.7238,100.0,0.0,1.0
2017-08-04,25.18,25.18,25.18,25.18,23.7238,0.0,0.0,1.0
2017-08-07,25.17,25.17,25.17,25.17,23.7143,200.0,0.0,1.0
2017-08-08,25.17,25.17,25.17,25.17,23.7143,0.0,0.0,1.0
2017-08-09,25.17,25.17,25.17,25.17,23.7143,0.0,0.0,1.0
2017-08-10,25.17,25.17,25.17,25.17,23.7143,0.0,0.0,1.0
2017-08-11,25.17,25.17,25.17,25.17,23.7143,0.0,0.0,1.0
2017-08-14,25.17,25.17,25.17,25.17,23.7143,0.0,0.0,1.0
2017-08-15,25.17,25.17,25.169,25.169,23.7134,1100.0,0.0,1.0
2017-08-16,25.17,25.17,25.17,25.17,23.7143,700.0,0.0,1.0
2017-08-17,25.17,25.17,25.17,25.17,23.7143,0.0,0.0,1.0
2017-08-18,25.21,25.22,25.21,25.21,23.752,800.0,0.0,1.0
2017-08-21,25.23,25.23,25.205,25.205,23.7473,1200.0,0.0,1.0
2017-08-22,25.2,25.2,25.2,25.2,23.7426,10000.0,0.0,1.0
2017-08-23,25.2,25.2,25.2,25.2,23.7426,0.0,0.0,1.0
2017-08-24,25.2,25.2,25.2,25.2,23.7426,0.0,0.0,1.0
2017-08-25,25.2,25.2,25.2,25.2,23.7426,0.0,0.0,1.0
2017-08-28,25.23,25.23,25.23,25.23,23.7709,2700.0,0.0,1.0
2017-08-29,25.23,25.23,25.23,25.23,23.7709,0.0,0.0,1.0
2017-08-30,25.23,25.23,25.23,25.23,23.7709,0.0,0.0,1.0
2017-08-31,25.23,25.23,25.23,25.23,23.7709,0.0,0.0,1.0
2017-09-01,25.23,25.23,25.23,25.23,23.8949,0.0,0.131,1.0
2017-09-05,25.23,25.23,25.23,25.23,23.8949,0.0,0.0,1.0
2017-09-06,25.21,25.22,25.21,25.22,23.8855,1200.0,0.0,1.0
2017-09-07,25.22,25.25,25.22,25.24,23.9044,26100.0,0.0,1.0
2017-09-08,25.23,25.23,25.23,25.23,23.8949,1500.0,0.0,1.0
2017-09-11,25.21,25.21,25.21,25.21,23.876,1400.0,0.0,1.0
2017-09-12,25.19,25.19,25.189,25.19,23.8571,1000.0,0.0,1.0
2017-09-13,25.18,25.18,25.18,25.18,23.8476,100.0,0.0,1.0
2017-09-14,25.17,25.17,25.17,25.17,23.8381,200.0,0.0,1.0
2017-09-15,25.17,25.17,25.17,25.17,23.8381,0.0,0.0,1.0
2017-09-18,25.17,25.17,25.17,25.17,23.8381,0.0,0.0,1.0
2017-09-19,25.17,25.17,25.17,25.17,23.8381,0.0,0.0,1.0
2017-09-20,25.15,25.15,25.15,25.15,23.8192,200.0,0.0,1.0
2017-09-21,25.132,25.15,25.11,25.11,23.7813,6100.0,0.0,1.0
2017-09-22,25.11,25.11,25.11,25.11,23.7813,0.0,0.0,1.0
2017-09-25,25.11,25.11,25.11,25.11,23.7813,0.0,0.0,1.0
2017-09-26,25.16,25.16,25.16,25.16,23.8286,500.0,0.0,1.0
2017-09-27,25.15,25.15,25.138,25.15,23.8192,10200.0,0.0,1.0
2017-09-28,25.17,25.17,25.14,25.17,23.8381,11000.0,0.0,1.0
2017-09-29,25.155,25.156,25.15,25.15,23.8192,1400.0,0.0,1.0
2017-10-02,25.11,25.12,25.084,25.084,23.7973,2800.0,0.043,1.0
2017-10-03,25.11,25.12,25.11,25.12,23.8315,54200.0,0.0,1.0
2017-10-04,25.12,25.12,25.12,25.12,23.8315,0.0,0.0,1.0
2017-10-05,25.12,25.12,25.12,25.12,23.8315,0.0,0.0,1.0
2017-10-06,25.1,25.11,25.1,25.1,23.8125,1300.0,0.0,1.0
2017-10-09,25.11,25.11,25.11,25.11,23.822,300.0,0.0,1.0
2017-10-10,25.12,25.12,25.12,25.12,23.8315,100.0,0.0,1.0
2017-10-11,25.12,25.12,25.12,25.12,23.8315,0.0,0.0,1.0
2017-10-12,25.12,25.12,25.12,25.12,23.8315,0.0,0.0,1.0
2017-10-13,25.127,25.14,25.127,25.14,23.8505,2900.0,0.0,1.0
2017-10-16,25.135,25.14,25.135,25.14,23.8505,3000.0,0.0,1.0
2017-10-17,25.111,25.112,25.11,25.112,23.8239,600.0,0.0,1.0
2017-10-18,25.1,25.1,25.1,25.1,23.8125,100.0,0.0,1.0
2017-10-19,25.13,25.13,25.12,25.12,23.8315,500.0,0.0,1.0
2017-10-20,25.12,25.12,25.12,25.12,23.8315,0.0,0.0,1.0
2017-10-23,25.11,25.12,25.11,25.11,23.822,4400.0,0.0,1.0
2017-10-24,25.105,25.105,25.105,25.105,23.8173,100.0,0.0,1.0
2017-10-25,25.084,25.09,25.084,25.09,23.803,3200.0,0.0,1.0
2017-10-26,25.09,25.09,25.09,25.09,23.803,10000.0,0.0,1.0
2017-10-27,25.09,25.09,25.09,25.09,23.803,0.0,0.0,1.0
2017-10-30,25.13,25.13,25.11,25.12,23.8315,149800.0,0.0,1.0
2017-10-31,25.13,25.13,25.13,25.13,23.841,200.0,0.0,1.0
2017-11-01,25.08,25.08,25.08,25.08,23.8343,900.0,0.043,1.0
2017-11-02,25.08,25.15,25.07,25.07,23.8248,35500.0,0.0,1.0
2017-11-03,25.063,25.09,25.03,25.085,23.8391,16900.0,0.0,1.0
2017-11-06,25.09,25.09,25.09,25.09,23.8438,1000.0,0.0,1.0
2017-11-07,25.08,25.09,25.065,25.08,23.8343,65400.0,0.0,1.0
2017-11-08,25.08,25.08,25.042,25.042,23.7982,3300.0,0.0,1.0
2017-11-09,25.042,25.042,25.042,25.042,23.7982,0.0,0.0,1.0
2017-11-10,25.04,25.04,25.02,25.024,23.7811,2300.0,0.0,1.0
2017-11-13,25.023,25.025,25.02,25.02,23.7773,5100.0,0.0,1.0
2017-11-14,24.979,25.0,24.979,25.0,23.7583,700.0,0.0,1.0
2017-11-15,24.979,24.979,24.972,24.972,23.7317,1200.0,0.0,1.0
2017-11-16,25.26,25.26,25.01,25.01,23.7678,800.0,0.0,1.0
2017-11-17,25.01,25.02,25.01,25.015,23.7726,5400.0,0.0,1.0
2017-11-20,25.0,25.0,24.95,24.95,23.7108,4700.0,0.0,1.0
2017-11-21,24.976,25.01,24.968,25.01,23.7678,8700.0,0.0,1.0
2017-11-22,25.04,25.04,25.04,25.04,23.7963,6500.0,0.0,1.0
2017-11-24,25.04,25.04,25.04,25.04,23.7963,0.0,0.0,1.0
2017-11-27,25.03,25.04,25.02,25.04,23.7963,14300.0,0.0,1.0
2017-11-28,25.04,25.04,25.04,25.04,23.7963,25000.0,0.0,1.0
2017-11-29,25.04,25.04,25.04,25.04,23.7963,0.0,0.0,1.0
2017-11-30,25.01,25.01,25.0,25.008,23.7659,2500.0,0.0,1.0
2017-12-01,24.97,25.01,24.96,24.96,23.7621,7100.0,0.044,1.0
2017-12-04,24.93,24.93,24.9,24.9,23.705,4000.0,0.0,1.0
2017-12-05,24.93,24.933,24.93,24.933,23.7364,1800.0,0.0,1.0
2017-12-06,24.95,24.95,24.92,24.92,23.724,600.0,0.0,1.0
2017-12-07,24.95,24.98,24.95,24.98,23.7811,2700.0,0.0,1.0
2017-12-08,24.98,24.98,24.956,24.979,23.7802,1000.0,0.0,1.0
2017-12-11,24.97,24.98,24.96,24.96,23.7621,900.0,0.0,1.0
2017-12-12,24.96,24.97,24.928,24.97,23.7716,9700.0,0.0,1.0
2017-12-13,24.945,25.0,24.94,25.0,23.8002,12300.0,0.0,1.0
2017-12-14,24.99,24.99,24.99,24.99,23.7907,400.0,0.0,1.0
2017-12-15,24.96,24.963,24.96,24.963,23.765,3300.0,0.0,1.0
2017-12-18,24.963,24.963,24.963,24.963,23.765,0.0,0.0,1.0
2017-12-19,24.97,24.97,24.95,24.96,23.7621,14200.0,0.0,1.0
2017-12-20,24.94,24.96,24.937,24.95,23.7526,8900.0,0.0,1.0
2017-12-21,24.9,24.91,24.89,24.89,23.7373,12200.0,0.044,1.0
2017-12-22,24.9,24.91,24.89,24.91,23.7564,12800.0,0.0,1.0
2017-12-26,24.896,24.9,24.894,24.9,23.7469,4500.0,0.0,1.0
2017-12-27,24.94,24.98,24.892,24.98,23.8232,380000.0,0.0,1.0
2017-12-28,24.95,24.95,24.937,24.937,23.7822,184600.0,0.0,1.0
2017-12-29,24.95,24.96,24.936,24.96,23.8041,19600.0,0.0,1.0
2018-01-02,24.92,24.92,24.892,24.92,23.7659,900.0,0.0,1.0
2018-01-03,24.9,25.17,24.9,24.93,23.7755,297600.0,0.0,1.0
2018-01-04,24.92,24.93,24.881,24.887,23.7345,4400.0,0.0,1.0
2018-01-05,24.93,24.93,24.906,24.906,23.7526,14000.0,0.0,1.0
2018-01-08,24.93,24.93,24.9,24.919,23.765,1000.0,0.0,1.0
2018-01-09,24.93,24.93,24.895,24.9,23.7469,8500.0,0.0,1.0
2018-01-10,24.91,24.91,24.887,24.894,23.7411,4300.0,0.0,1.0
2018-01-11,24.919,24.93,24.91,24.91,23.7564,6500.0,0.0,1.0
2018-01-12,24.905,24.91,24.891,24.891,23.7383,4600.0,0.0,1.0
2018-01-16,24.92,24.92,24.875,24.875,23.723,3500.0,0.0,1.0
2018-01-17,24.885,24.885,24.849,24.864,23.7125,3100.0,0.0,1.0
2018-01-18,24.86,24.87,24.839,24.87,23.7183,6900.0,0.0,1.0
2018-01-19,24.847,24.868,24.847,24.855,23.704,13700.0,0.0,1.0
2018-01-22,24.86,24.86,24.845,24.86,23.7087,10600.0,0.0,1.0
2018-01-23,24.87,24.88,24.838,24.85,23.6992,8300.0,0.0,1.0
2018-01-24,24.87,24.87,24.834,24.87,23.7183,28000.0,0.0,1.0
2018-01-25,24.84,24.868,24.8,24.83,23.6801,22300.0,0.0,1.0
2018-01-26,24.823,24.87,24.823,24.861,23.7097,1500.0,0.0,1.0
2018-01-29,24.849,24.849,24.843,24.844,23.6935,1800.0,0.0,1.0
2018-01-30,24.854,24.854,24.83,24.844,23.6935,7500.0,0.0,1.0
2018-01-31,24.84,24.84,24.83,24.84,23.6896,3100.0,0.0,1.0
2018-02-01,24.805,24.81,24.78,24.78,23.7184,6000.0,0.09,1.0
2018-02-02,24.76,24.767,24.755,24.767,23.7059,1800.0,0.0,1.0
2018-02-05,24.78,24.8,24.745,24.77,23.7088,5700.0,0.0,1.0
2018-02-06,24.81,24.82,24.8,24.807,23.7442,4600.0,0.0,1.0
2018-02-07,24.8,24.8,24.75,24.75,23.6896,1000.0,0.0,1.0
2018-02-08,24.78,24.79,24.765,24.79,23.7279,1400.0,0.0,1.0
2018-02-09,24.725,24.779,24.725,24.779,23.7174,800.0,0.0,1.0
2018-02-12,24.77,24.77,24.747,24.751,23.6906,2200.0,0.0,1.0
2018-02-13,24.728,24.728,24.728,24.728,23.6686,500.0,0.0,1.0
2018-02-14,24.69,24.69,24.659,24.69,23.6322,7000.0,0.0,1.0
2018-02-15,24.69,24.69,24.677,24.677,23.6198,1000.0,0.0,1.0
2018-02-16,24.64,24.71,24.64,24.68,23.6226,14000.0,0.0,1.0
2018-02-20,24.655,24.655,24.655,24.655,23.5987,200.0,0.0,1.0
2018-02-21,24.68,24.69,24.63,24.679,23.6217,7100.0,0.0,1.0
2018-02-22,24.69,25.21,24.658,24.69,23.6322,26500.0,0.0,1.0
2018-02-23,24.7,24.71,24.652,24.71,23.6514,5000.0,0.0,1.0
2018-02-26,24.73,24.73,24.692,24.725,23.6657,9800.0,0.0,1.0
2018-02-27,24.685,24.72,24.68,24.695,23.637,1700.0,0.0,1.0
2018-02-28,24.68,24.69,24.67,24.69,23.6322,8400.0,0.0,1.0
2018-03-01,24.6,24.64,24.6,24.617,23.6073,3400.0,0.047,1.0
2018-03-02,24.62,24.64,24.62,24.64,23.6293,10700.0,0.0,1.0
2018-03-05,24.66,24.66,24.625,24.64,23.6293,2400.0,0.0,1.0
2018-03-06,24.64,24.64,24.615,24.635,23.6245,2300.0,0.0,1.0
2018-03-07,24.625,24.64,24.625,24.64,23.6293,1300.0,0.0,1.0
2018-03-08,24.622,24.65,24.622,24.63,23.6197,16200.0,0.0,1.0
