date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-11,4.3333,4.3333,4.3333,4.3333,3.3753,0.0,0.0,1.0
1999-08-12,4.1667,4.4167,4.1667,4.3333,3.3753,30100.0,0.0,1.0
1999-08-13,4.3333,4.3333,4.0833,4.0833,3.1805,21300.0,0.0,1.0
1999-08-16,4.0833,4.25,4.0833,4.25,3.3104,6300.0,0.0,1.0
1999-08-17,4.375,4.375,4.1667,4.3333,3.3753,30900.0,0.0,1.0
1999-08-18,4.2708,4.2708,4.1667,4.1667,3.2454,5700.0,0.0,1.0
1999-08-19,4.3333,4.5,4.1667,4.4167,3.4402,10800.0,0.0,1.0
1999-08-20,4.1667,4.4167,4.1667,4.2917,3.3428,28300.0,0.0,1.0
1999-08-23,4.3333,4.3333,4.1667,4.1667,3.2454,38100.0,0.0,1.0
1999-08-24,4.1667,4.25,4.1667,4.1667,3.2454,4800.0,0.0,1.0
1999-08-25,4.1667,4.2083,4.1667,4.1667,3.2454,28600.0,0.0,1.0
1999-08-26,4.1667,4.25,4.1667,4.2083,3.2779,11100.0,0.0,1.0
1999-08-27,4.1667,4.2083,4.1667,4.2083,3.2779,5700.0,0.0,1.0
1999-08-30,4.3333,4.3333,4.2083,4.3333,3.3753,21700.0,0.0,1.0
1999-08-31,4.25,4.4167,4.1667,4.3333,3.3753,80100.0,0.0,1.0
1999-09-01,4.1667,4.375,4.1667,4.375,3.4077,3100.0,0.0,1.0
1999-09-02,4.1667,4.3333,4.0833,4.1667,3.2454,30900.0,0.0,1.0
1999-09-03,4.1667,4.1667,4.1667,4.1667,3.2454,0.0,0.0,1.0
1999-09-07,4.125,4.4167,4.125,4.25,3.3104,142000.0,0.0,1.0
1999-09-08,4.4167,4.4167,4.1667,4.2083,3.2779,42000.0,0.0,1.0
1999-09-09,4.2083,4.375,4.1667,4.25,3.3104,71200.0,0.0,1.0
1999-09-10,4.25,4.3333,4.0417,4.0417,3.1481,6400.0,0.0,1.0
1999-09-13,4.1667,4.2083,4.0833,4.1667,3.2454,8200.0,0.0,1.0
1999-09-14,4.0833,4.1667,3.9583,3.9583,3.0832,33700.0,0.0,1.0
1999-09-15,4.0,4.0833,3.8333,4.0417,3.1481,19200.0,0.0,1.0
1999-09-16,4.0,4.0417,3.9583,4.0,3.1156,17100.0,0.0,1.0
1999-09-17,3.8333,4.0,3.8333,3.8333,2.9858,16800.0,0.0,1.0
1999-09-20,4.0,4.0,3.8333,3.8333,2.9858,8400.0,0.0,1.0
1999-09-21,3.7917,3.875,3.75,3.875,3.0183,6100.0,0.0,1.0
1999-09-22,3.6875,3.9167,3.6667,3.75,2.9209,49800.0,0.0,1.0
1999-09-23,3.75,3.75,3.75,3.75,2.9209,1500.0,0.0,1.0
1999-09-24,3.7083,3.7917,3.7083,3.7917,2.9534,16000.0,0.0,1.0
1999-09-27,3.8333,3.9583,3.8333,3.9167,3.0507,2500.0,0.0,1.0
1999-09-28,3.7917,3.9167,3.7917,3.9167,3.0507,4200.0,0.0,1.0
1999-09-29,3.9167,4.0,3.8333,4.0,3.1156,77100.0,0.0,1.0
1999-09-30,3.9167,4.0417,3.5,3.5417,2.7586,144900.0,0.0,1.0
1999-10-01,3.6667,4.3333,3.6667,4.3333,3.3753,111000.0,0.0,1.0
1999-10-04,4.4167,4.7083,4.3333,4.4583,3.4726,155400.0,0.0,1.0
1999-10-05,4.5,4.5,4.3333,4.5,3.5051,51000.0,0.0,1.0
1999-10-06,4.5,4.5417,4.3333,4.4583,3.4726,70000.0,0.0,1.0
1999-10-07,4.5,4.5208,4.4167,4.5,3.5051,44100.0,0.0,1.0
1999-10-08,4.4583,4.5,4.4167,4.4583,3.4726,11400.0,0.0,1.0
1999-10-11,4.4583,4.4583,4.2917,4.2917,3.3428,10600.0,0.0,1.0
1999-10-12,4.2917,4.4167,4.2917,4.4167,3.4402,30400.0,0.0,1.0
1999-10-13,4.3333,4.4167,4.2083,4.375,3.4077,8800.0,0.0,1.0
1999-10-14,4.25,4.4167,4.25,4.3333,3.3753,9000.0,0.0,1.0
1999-10-15,4.2917,4.2917,4.2083,4.25,3.3104,9600.0,0.0,1.0
1999-10-18,4.1667,4.375,4.0,4.1667,3.2454,17200.0,0.0,1.0
1999-10-19,4.2083,4.375,4.2083,4.375,3.4077,31800.0,0.0,1.0
1999-10-20,4.3333,4.3333,4.2917,4.3333,3.3753,21100.0,0.0,1.0
1999-10-21,4.25,4.25,4.0,4.0833,3.1805,23200.0,0.0,1.0
1999-10-22,4.0417,4.5,4.0417,4.5,3.5051,71100.0,0.0,1.0
1999-10-25,4.4167,4.4167,4.2917,4.2917,3.3428,600.0,0.0,1.0
1999-10-26,4.4583,4.4583,4.2917,4.2917,3.3428,7500.0,0.0,1.0
1999-10-27,4.2917,4.3542,4.2917,4.2917,3.3428,10800.0,0.0,1.0
1999-10-28,4.25,4.375,3.9583,4.125,3.213,31200.0,0.0,1.0
