date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-02-14,16.0,16.57,15.0,15.07,15.07,614700.0,0.0,1.0
2019-02-15,15.14,15.34,14.8,15.01,15.01,124600.0,0.0,1.0
2019-02-19,15.1,15.39,15.015,15.05,15.05,46800.0,0.0,1.0
2019-02-20,15.14,15.67,15.053,15.31,15.31,43200.0,0.0,1.0
2019-02-21,15.75,15.75,15.03,15.13,15.13,28800.0,0.0,1.0
2019-02-22,15.56,16.19,15.14,16.03,16.03,83700.0,0.0,1.0
2019-02-25,16.35,17.25,15.9,16.39,16.39,239400.0,0.0,1.0
2019-02-26,16.58,17.23,15.51,16.59,16.59,95000.0,0.0,1.0
2019-02-27,16.85,20.95,16.0,19.15,19.15,179300.0,0.0,1.0
2019-02-28,19.0,23.136,18.8,21.41,21.41,156100.0,0.0,1.0
2019-03-01,21.41,22.0,18.41,22.0,22.0,163600.0,0.0,1.0
2019-03-04,20.87,25.47,20.87,22.15,22.15,137400.0,0.0,1.0
2019-03-05,22.22,23.25,19.84,20.21,20.21,62900.0,0.0,1.0
2019-03-06,20.03,21.315,19.21,19.21,19.21,16000.0,0.0,1.0
2019-03-07,19.299,19.5,17.59,18.02,18.02,13100.0,0.0,1.0
2019-03-08,18.1,18.1,15.62,15.64,15.64,35000.0,0.0,1.0
2019-03-11,15.99,17.519,15.91,16.55,16.55,83900.0,0.0,1.0
2019-03-12,16.96,17.51,16.9,17.51,17.51,75000.0,0.0,1.0
2019-03-13,18.0,19.8,18.0,19.08,19.08,44000.0,0.0,1.0
2019-03-14,19.05,19.05,17.04,18.24,18.24,57200.0,0.0,1.0
2019-03-15,18.16,18.2,17.075,17.35,17.35,20700.0,0.0,1.0
2019-03-18,17.4,18.81,17.0,18.05,18.05,59700.0,0.0,1.0
2019-03-19,18.11,19.83,17.8,18.95,18.95,69300.0,0.0,1.0
2019-03-20,18.96,19.799,18.29,18.6,18.6,8900.0,0.0,1.0
2019-03-21,18.65,19.19,18.63,18.91,18.91,17000.0,0.0,1.0
2019-03-22,19.151,19.151,17.0,17.53,17.53,50500.0,0.0,1.0
2019-03-25,17.53,17.597,16.28,16.75,16.75,26000.0,0.0,1.0
2019-03-26,17.845,18.43,16.9,18.15,18.15,29600.0,0.0,1.0
2019-03-27,18.67,18.67,16.7,17.2,17.2,34200.0,0.0,1.0
