date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2012-08-14,20.07,20.07,19.93,19.93,16.8465,400.0,0.0,1.0
2012-08-15,19.95,20.03,19.93,20.02,16.9226,31400.0,0.0,1.0
2012-08-16,20.13,20.3,20.13,20.27,17.1339,44600.0,0.0,1.0
2012-08-17,20.41,20.41,20.2,20.3,17.1593,140200.0,0.0,1.0
2012-08-20,20.95,21.0,20.18,20.22,17.0917,15300.0,0.0,1.0
2012-08-21,20.23,20.34,20.1,20.1,16.9902,8500.0,0.0,1.0
2012-08-22,21.0,21.0,19.98,20.07,16.9649,23100.0,0.0,1.0
2012-08-23,19.96,19.99,19.85,19.89,16.8127,167200.0,0.0,1.0
2012-08-24,19.85,20.02,19.82,19.99,16.8973,19500.0,0.0,1.0
2012-08-27,20.03,20.08,19.91,19.94,16.855,130100.0,0.0,1.0
2012-08-28,19.9,19.96,19.85,19.88,16.8043,212500.0,0.0,1.0
2012-08-29,19.9,20.08,19.82,19.95,16.8634,91700.0,0.0,1.0
2012-08-30,19.81,19.81,19.65,19.69,16.6437,86100.0,0.0,1.0
2012-08-31,20.6,20.6,19.69,19.89,16.8127,34000.0,0.0,1.0
2012-09-04,19.85,19.9,19.57,19.79,16.7282,44100.0,0.0,1.0
2012-09-05,20.26,20.26,19.7,19.78,16.7197,32700.0,0.0,1.0
2012-09-06,19.86,20.23,19.86,20.21,17.0832,56700.0,0.0,1.0
2012-09-07,20.13,20.18,20.04,20.13,17.0156,35000.0,0.0,1.0
2012-09-10,20.05,20.1,19.95,19.97,16.8804,48000.0,0.0,1.0
2012-09-11,19.98,20.15,19.95,20.1,16.9902,92700.0,0.0,1.0
2012-09-12,20.15,20.2,20.1,20.13,17.0156,30000.0,0.0,1.0
2012-09-13,20.09,20.4,20.05,20.35,17.2016,90800.0,0.0,1.0
2012-09-14,20.37,20.55,20.37,20.45,17.2861,37500.0,0.0,1.0
2012-09-17,20.41,20.41,20.25,20.34,17.1931,20400.0,0.0,1.0
2012-09-18,20.26,20.33,20.26,20.29,17.1509,25600.0,0.0,1.0
2012-09-19,20.32,20.32,20.23,20.25,17.117,36800.0,0.0,1.0
2012-09-20,20.13,20.2,20.02,20.18,17.0579,54300.0,0.0,1.0
2012-09-21,20.26,20.26,20.15,20.17,17.0807,37200.0,0.037,1.0
2012-09-24,19.99,20.05,19.95,20.01,16.9452,113500.0,0.0,1.0
2012-09-25,20.08,20.08,19.75,19.75,16.7251,76200.0,0.0,1.0
2012-09-26,19.66,19.75,19.53,19.66,16.6488,43800.0,0.0,1.0
2012-09-27,19.71,19.92,19.63,19.9,16.8521,20500.0,0.0,1.0
2012-09-28,19.81,19.81,19.71,19.78,16.7505,12200.0,0.0,1.0
2012-10-01,19.87,19.95,19.69,19.77,16.742,23000.0,0.0,1.0
2012-10-02,19.81,19.86,19.71,19.8,16.7674,45600.0,0.0,1.0
2012-10-03,19.83,19.9,19.7,19.76,16.7335,24600.0,0.0,1.0
2012-10-04,19.75,19.84,19.65,19.81,16.7759,26400.0,0.0,1.0
2012-10-05,19.92,20.03,19.8,19.82,16.7843,27700.0,0.0,1.0
2012-10-08,19.71,19.79,19.63,19.67,16.6573,39900.0,0.0,1.0
2012-10-09,19.59,19.59,19.34,19.37,16.4033,33400.0,0.0,1.0
2012-10-10,19.31,19.31,19.17,19.19,16.2508,68600.0,0.0,1.0
2012-10-11,19.32,19.33,19.17,19.21,16.2678,28500.0,0.0,1.0
2012-10-12,19.18,19.21,19.15,19.15,16.217,19000.0,0.0,1.0
2012-10-15,19.22,19.35,19.21,19.34,16.3778,12600.0,0.0,1.0
2012-10-16,19.38,19.59,19.38,19.59,16.5896,40600.0,0.0,1.0
2012-10-17,19.32,20.0,19.32,19.48,16.4964,31900.0,0.0,1.0
2012-10-18,19.44,19.95,19.33,19.37,16.4033,23100.0,0.0,1.0
2012-10-19,19.35,19.35,18.96,19.04,16.1238,35800.0,0.0,1.0
2012-10-22,19.01,19.08,18.87,19.04,16.1238,41100.0,0.0,1.0
2012-10-23,18.89,18.99,18.71,18.96,16.0561,42700.0,0.0,1.0
2012-10-24,18.98,19.01,18.78,18.79,15.9121,45800.0,0.0,1.0
2012-10-25,18.91,18.97,18.77,18.86,15.9714,16600.0,0.0,1.0
2012-10-26,18.84,19.0,18.83,19.0,16.0899,13400.0,0.0,1.0
2012-10-31,19.09,19.22,18.92,18.95,16.0476,25300.0,0.0,1.0
2012-11-01,19.1,19.31,19.03,19.31,16.3524,8000.0,0.0,1.0
2012-11-02,19.38,19.38,19.12,19.14,16.2085,29100.0,0.0,1.0
2012-11-05,19.1,19.28,19.1,19.28,16.327,49700.0,0.0,1.0
2012-11-06,19.27,19.5,19.27,19.39,16.4202,84100.0,0.0,1.0
2012-11-07,19.25,19.25,18.95,18.98,16.073,347300.0,0.0,1.0
2012-11-08,19.09,19.12,18.9,18.9,16.0052,24600.0,0.0,1.0
2012-11-09,18.85,19.07,18.85,18.91,16.0137,19900.0,0.0,1.0
2012-11-12,18.98,18.98,18.82,18.85,15.9629,19300.0,0.0,1.0
2012-11-13,18.72,18.88,18.69,18.69,15.8274,29000.0,0.0,1.0
2012-11-14,18.74,18.77,18.46,18.49,15.658,22900.0,0.0,1.0
2012-11-15,18.52,18.52,18.41,18.43,15.6072,17300.0,0.0,1.0
2012-11-16,18.45,18.52,18.25,18.46,15.6326,58400.0,0.0,1.0
2012-11-19,18.66,18.71,18.63,18.7,15.8359,10700.0,0.0,1.0
2012-11-20,18.62,18.62,18.49,18.57,15.7258,6700.0,0.0,1.0
2012-11-21,18.61,18.69,18.59,18.67,15.8105,25800.0,0.0,1.0
2012-11-23,19.46,19.46,18.88,18.91,16.0137,9700.0,0.0,1.0
2012-11-26,18.93,18.97,18.81,18.97,16.0645,24900.0,0.0,1.0
2012-11-27,19.04,19.04,18.91,18.91,16.0137,52300.0,0.0,1.0
2012-11-28,18.78,19.05,18.69,19.04,16.1238,8200.0,0.0,1.0
2012-11-29,19.06,19.19,19.06,19.11,16.1831,87700.0,0.0,1.0
2012-11-30,19.16,19.16,19.06,19.13,16.2,14600.0,0.0,1.0
