date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-12-07,15.4,16.17,12.61,12.61,12.61,654800.0,0.0,1.0
2018-12-10,13.1,15.12,12.41,14.5,14.5,156900.0,0.0,1.0
2018-12-11,14.23,16.0,14.23,14.49,14.49,141500.0,0.0,1.0
2018-12-12,15.37,16.72,14.844,15.9,15.9,147600.0,0.0,1.0
2018-12-13,16.18,16.23,14.54,15.25,15.25,55700.0,0.0,1.0
2018-12-14,15.0,15.0,13.68,14.9,14.9,56800.0,0.0,1.0
2018-12-17,14.98,16.203,14.25,14.6,14.6,87100.0,0.0,1.0
2018-12-18,15.3,16.319,14.643,14.99,14.99,84500.0,0.0,1.0
2018-12-19,14.98,15.824,13.34,14.0,14.0,63600.0,0.0,1.0
2018-12-20,13.66,13.98,11.0,13.53,13.53,121300.0,0.0,1.0
2018-12-21,13.5,14.45,12.01,12.91,12.91,106200.0,0.0,1.0
2018-12-24,12.68,13.984,12.51,13.4,13.4,49200.0,0.0,1.0
2018-12-26,13.36,15.48,13.3,14.42,14.42,112400.0,0.0,1.0
2018-12-27,14.57,14.654,13.01,13.17,13.17,39200.0,0.0,1.0
2018-12-28,13.48,15.9,13.34,15.9,15.9,46100.0,0.0,1.0
2018-12-31,16.23,18.46,15.9,17.38,17.38,199700.0,0.0,1.0
2019-01-02,16.85,18.0,16.05,17.83,17.83,173200.0,0.0,1.0
2019-01-03,17.82,17.914,16.1,16.5,16.5,72600.0,0.0,1.0
2019-01-04,16.69,16.825,14.25,15.78,15.78,170500.0,0.0,1.0
2019-01-07,15.97,16.0,14.52,14.83,14.83,115000.0,0.0,1.0
2019-01-08,15.1,15.7,14.27,14.69,14.69,71300.0,0.0,1.0
2019-01-09,14.68,15.0,13.61,14.09,14.09,147300.0,0.0,1.0
2019-01-10,13.55,14.628,13.55,14.36,14.36,58800.0,0.0,1.0
2019-01-11,14.46,14.94,13.74,13.74,13.74,75600.0,0.0,1.0
2019-01-14,13.81,14.38,13.51,13.86,13.86,25000.0,0.0,1.0
2019-01-15,13.77,14.933,13.77,14.73,14.73,109100.0,0.0,1.0
2019-01-16,14.75,14.9,14.5,14.85,14.85,38300.0,0.0,1.0
2019-01-17,14.59,14.988,13.98,14.45,14.45,45900.0,0.0,1.0
2019-01-18,14.67,14.77,13.731,14.77,14.77,51600.0,0.0,1.0
2019-01-22,14.9,15.5,14.36,14.99,14.99,122500.0,0.0,1.0
2019-01-23,14.98,15.0,13.56,13.73,13.73,86800.0,0.0,1.0
2019-01-24,13.99,14.5,13.01,13.9,13.9,118600.0,0.0,1.0
2019-01-25,14.0,14.3,13.7,13.97,13.97,102800.0,0.0,1.0
2019-01-28,14.0,14.38,13.01,13.9,13.9,86800.0,0.0,1.0
2019-01-29,13.89,14.2,13.4,13.93,13.93,118600.0,0.0,1.0
2019-01-30,13.88,14.17,13.47,13.8,13.8,50300.0,0.0,1.0
2019-01-31,13.89,14.17,13.65,14.09,14.09,158500.0,0.0,1.0
2019-02-01,14.23,14.31,13.93,14.1,14.1,27500.0,0.0,1.0
2019-02-04,14.11,14.17,13.82,14.05,14.05,70900.0,0.0,1.0
2019-02-05,14.05,14.2,13.79,14.08,14.08,93100.0,0.0,1.0
2019-02-06,14.07,14.77,14.02,14.75,14.75,136700.0,0.0,1.0
2019-02-07,14.6,14.68,14.22,14.65,14.65,65600.0,0.0,1.0
2019-02-08,14.5,15.71,14.3,15.71,15.71,82700.0,0.0,1.0
2019-02-11,15.75,17.13,14.96,15.95,15.95,159300.0,0.0,1.0
2019-02-12,16.22,16.58,14.94,15.97,15.97,175500.0,0.0,1.0
2019-02-13,16.15,16.48,15.585,16.34,16.34,100300.0,0.0,1.0
2019-02-14,16.21,17.51,16.07,17.41,17.41,201400.0,0.0,1.0
2019-02-15,17.5,20.5,17.39,19.92,19.92,168800.0,0.0,1.0
2019-02-19,19.9,22.18,19.8,21.84,21.84,160200.0,0.0,1.0
2019-02-20,22.02,23.526,21.99,23.25,23.25,269000.0,0.0,1.0
2019-02-21,23.26,23.26,20.81,20.95,20.95,262800.0,0.0,1.0
2019-02-22,21.2,22.008,20.16,20.18,20.18,160100.0,0.0,1.0
2019-02-25,20.49,20.495,18.61,19.36,19.36,147000.0,0.0,1.0
2019-02-26,19.35,20.695,19.18,20.62,20.62,95800.0,0.0,1.0
2019-02-27,20.56,21.08,19.62,20.45,20.45,85400.0,0.0,1.0
2019-02-28,20.44,21.67,19.63,19.91,19.91,94300.0,0.0,1.0
2019-03-01,20.07,20.66,19.77,20.43,20.43,127400.0,0.0,1.0
2019-03-04,20.52,21.4,19.46,19.65,19.65,94800.0,0.0,1.0
2019-03-05,19.62,20.844,18.5,18.51,18.51,82500.0,0.0,1.0
2019-03-06,18.59,18.905,15.09,15.38,15.38,245100.0,0.0,1.0
2019-03-07,15.91,16.77,15.7,16.11,16.11,216100.0,0.0,1.0
2019-03-08,15.99,17.18,15.703,16.42,16.42,167700.0,0.0,1.0
2019-03-11,16.52,18.18,16.51,17.88,17.88,385600.0,0.0,1.0
2019-03-12,18.15,19.19,17.95,18.42,18.42,174300.0,0.0,1.0
2019-03-13,17.86,19.8,17.83,17.9,17.9,346200.0,0.0,1.0
2019-03-14,17.83,18.99,17.7,18.25,18.25,144700.0,0.0,1.0
2019-03-15,18.63,19.6,18.513,19.21,19.21,1346500.0,0.0,1.0
2019-03-18,19.22,21.99,19.09,21.51,21.51,274900.0,0.0,1.0
2019-03-19,21.54,22.49,20.73,21.31,21.31,230000.0,0.0,1.0
2019-03-20,21.32,21.99,20.45,20.86,20.86,152500.0,0.0,1.0
2019-03-21,20.68,21.02,19.87,20.15,20.15,92600.0,0.0,1.0
2019-03-22,20.05,20.73,18.52,18.64,18.64,64200.0,0.0,1.0
2019-03-25,18.58,19.39,17.83,19.3,19.3,49100.0,0.0,1.0
2019-03-26,19.477,20.99,19.477,20.67,20.67,33900.0,0.0,1.0
2019-03-27,20.805,20.805,19.7,20.44,20.44,22000.0,0.0,1.0
2019-03-28,20.47,21.35,20.445,20.97,20.97,32200.0,0.0,1.0
2019-03-29,21.13,21.88,20.1,20.37,20.37,53300.0,0.0,1.0
2019-04-01,20.49,21.89,20.33,21.61,21.61,332500.0,0.0,1.0
2019-04-02,21.8,22.24,20.7,21.41,21.41,200100.0,0.0,1.0
2019-04-03,21.54,22.45,21.11,22.23,22.23,148800.0,0.0,1.0
2019-04-04,22.4,22.5,21.541,22.29,22.29,50000.0,0.0,1.0
2019-04-05,22.3,22.3,21.425,21.68,21.68,93100.0,0.0,1.0
2019-04-08,21.74,21.74,20.55,21.26,21.26,41600.0,0.0,1.0
2019-04-09,21.191,21.65,20.19,20.38,20.38,34300.0,0.0,1.0
2019-04-10,20.42,21.311,19.835,20.15,20.15,32800.0,0.0,1.0
2019-04-11,20.17,20.17,19.23,19.68,19.68,27100.0,0.0,1.0
2019-04-12,19.9,20.15,19.29,19.79,19.79,52700.0,0.0,1.0
2019-04-15,19.77,19.8,18.2,18.27,18.27,74400.0,0.0,1.0
2019-04-16,18.27,18.94,18.1,18.4,18.4,28400.0,0.0,1.0
2019-04-17,18.67,18.67,17.026,17.34,17.34,45700.0,0.0,1.0
2019-04-18,17.18,17.958,16.69,16.92,16.92,43300.0,0.0,1.0
2019-04-22,16.92,17.72,16.12,17.37,17.37,82600.0,0.0,1.0
2019-04-23,17.36,18.04,17.04,17.9,17.9,67400.0,0.0,1.0
2019-04-24,17.88,17.88,16.53,16.62,16.62,42100.0,0.0,1.0
2019-04-25,16.62,16.81,15.75,16.2,16.2,54600.0,0.0,1.0
2019-04-26,16.311,16.55,15.9,16.15,16.15,37600.0,0.0,1.0
2019-04-29,16.19,16.73,16.02,16.27,16.27,95700.0,0.0,1.0
2019-04-30,16.2,16.36,14.89,15.3,15.3,136000.0,0.0,1.0
2019-05-01,15.57,17.0,14.594,16.62,16.62,221500.0,0.0,1.0
2019-05-02,16.59,17.01,15.56,16.81,16.81,104800.0,0.0,1.0
2019-05-03,16.9,17.252,16.01,17.04,17.04,75400.0,0.0,1.0
