date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2013-11-14,195.0,202.0,186.1,192.6,192.6,399700.0,0.0,1.0
2013-11-15,191.5,233.6,190.8,218.4,218.4,42600.0,0.0,1.0
2013-11-18,238.9,240.0,196.0,206.2,206.2,19600.0,0.0,1.0
2013-11-19,202.7,206.6,195.0,201.1,201.1,30900.0,0.0,1.0
2013-11-20,200.0,206.1,198.1,200.4,200.4,36800.0,0.0,1.0
2013-11-21,200.1,224.0,200.1,218.3,218.3,12800.0,0.0,1.0
2013-11-22,224.9,224.9,202.1,206.6,206.6,13200.0,0.0,1.0
2013-11-25,211.1,211.1,199.95,201.8,201.8,19500.0,0.0,1.0
2013-11-26,200.0,218.8,200.0,217.7,217.7,12800.0,0.0,1.0
2013-11-27,216.5,227.3,210.5,224.4,224.4,3000.0,0.0,1.0
2013-11-29,230.0,230.0,215.6,220.1,220.1,9200.0,0.0,1.0
2013-12-02,220.0,226.7,214.1,225.4,225.4,4800.0,0.0,1.0
2013-12-03,225.0,225.9,219.0,224.6,224.6,6700.0,0.0,1.0
2013-12-04,220.4,232.7,220.4,228.8,228.8,14200.0,0.0,1.0
2013-12-05,234.4,251.9,230.0,248.0,248.0,25400.0,0.0,1.0
2013-12-06,245.1,259.4,233.68,247.9,247.9,13900.0,0.0,1.0
2013-12-09,249.3,250.4,234.0,239.1,239.1,24000.0,0.0,1.0
2013-12-10,251.0,254.9,238.6,240.0,240.0,9500.0,0.0,1.0
2013-12-11,248.5,248.5,232.5,235.0,235.0,9800.0,0.0,1.0
2013-12-12,235.0,245.0,231.0,233.0,233.0,10200.0,0.0,1.0
2013-12-13,233.8,237.79,222.6,226.7,226.7,16100.0,0.0,1.0
2013-12-16,227.0,241.1,227.0,237.0,237.0,18000.0,0.0,1.0
2013-12-17,244.2,244.2,223.5,235.2,235.2,19800.0,0.0,1.0
2013-12-18,233.2,241.5,223.1,234.6,234.6,13900.0,0.0,1.0
2013-12-19,229.3,233.2,215.3,226.1,226.1,22700.0,0.0,1.0
2013-12-20,227.5,238.1,225.5,237.0,237.0,166500.0,0.0,1.0
2013-12-23,243.6,244.0,236.3,243.8,243.8,6700.0,0.0,1.0
2013-12-24,243.3,247.6,237.7,246.3,246.3,7500.0,0.0,1.0
2013-12-26,248.3,259.2,245.2,249.0,249.0,5000.0,0.0,1.0
2013-12-27,250.1,251.9,238.3,249.9,249.9,10000.0,0.0,1.0
2013-12-30,252.1,270.0,246.5,247.9,247.9,16500.0,0.0,1.0
2013-12-31,247.7,258.3,244.3,257.7,257.7,9500.0,0.0,1.0
2014-01-02,259.4,269.1,251.1,255.9,255.9,9900.0,0.0,1.0
2014-01-03,257.1,272.1,255.1,268.0,268.0,11500.0,0.0,1.0
2014-01-06,270.2,292.3,270.2,284.1,284.1,12300.0,0.0,1.0
2014-01-07,284.0,294.6,277.62,284.6,284.6,11100.0,0.0,1.0
2014-01-08,284.6,288.0,277.6,283.8,283.8,14200.0,0.0,1.0
2014-01-09,286.0,301.0,285.5,297.3,297.3,14500.0,0.0,1.0
2014-01-10,298.5,302.4,295.3,299.8,299.8,10500.0,0.0,1.0
2014-01-13,297.7,297.7,285.0,293.4,293.4,12200.0,0.0,1.0
2014-01-14,293.5,302.5,291.59,295.1,295.1,9700.0,0.0,1.0
2014-01-15,294.3,295.0,283.9,290.0,290.0,14300.0,0.0,1.0
2014-01-16,288.6,289.9,261.0,262.2,262.2,19400.0,0.0,1.0
2014-01-17,260.6,277.3,252.09,269.7,269.7,17400.0,0.0,1.0
2014-01-21,277.9,277.9,242.5,268.5,268.5,39500.0,0.0,1.0
2014-01-22,269.8,275.3,265.4,266.4,266.4,6200.0,0.0,1.0
2014-01-23,266.0,266.0,257.4,261.8,261.8,6300.0,0.0,1.0
2014-01-24,259.7,260.0,250.0,254.1,254.1,8000.0,0.0,1.0
2014-01-27,260.8,264.9,237.5,243.5,243.5,9600.0,0.0,1.0
2014-01-28,242.6,248.7,233.0,247.2,247.2,12100.0,0.0,1.0
2014-01-29,245.4,252.9,243.8,247.5,247.5,3900.0,0.0,1.0
2014-01-30,250.6,259.76,249.1,256.3,256.3,8800.0,0.0,1.0
2014-01-31,253.1,265.2,248.4,258.5,258.5,9700.0,0.0,1.0
2014-02-03,257.2,264.15,248.0,252.1,252.1,17900.0,0.0,1.0
2014-02-04,251.98,254.8,245.4,249.8,249.8,13500.0,0.0,1.0
