date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-11,3.0,3.125,2.875,3.125,3.125,4400.0,0.0,1.0
1999-08-12,3.125,3.125,3.0,3.0,3.0,2400.0,0.0,1.0
1999-08-13,2.8125,3.0,2.8125,3.0,3.0,900.0,0.0,1.0
1999-08-16,2.8125,2.875,2.8125,2.875,2.875,2100.0,0.0,1.0
1999-08-17,2.875,2.875,2.875,2.875,2.875,400.0,0.0,1.0
1999-08-18,3.0625,3.0625,3.0625,3.0625,3.0625,1000.0,0.0,1.0
1999-08-19,3.0,3.0,3.0,3.0,3.0,700.0,0.0,1.0
1999-08-20,2.9375,2.9375,2.9375,2.9375,2.9375,200.0,0.0,1.0
1999-08-23,3.125,3.125,3.0312,3.0312,3.0312,700.0,0.0,1.0
1999-08-24,2.9375,3.0625,2.9375,3.0,3.0,5200.0,0.0,1.0
1999-08-25,3.0,3.0,2.9375,2.9375,2.9375,4500.0,0.0,1.0
1999-08-26,3.0625,3.0625,3.0625,3.0625,3.0625,600.0,0.0,1.0
1999-08-27,3.125,3.125,3.125,3.125,3.125,1000.0,0.0,1.0
1999-08-30,3.125,3.125,3.125,3.125,3.125,2400.0,0.0,1.0
1999-08-31,2.9375,3.0,2.9375,3.0,3.0,600.0,0.0,1.0
1999-09-01,3.125,3.125,3.125,3.125,3.125,200.0,0.0,1.0
1999-09-02,2.9375,3.0,2.8125,3.0,3.0,3100.0,0.0,1.0
1999-09-03,2.9375,2.9375,2.9375,2.9375,2.9375,500.0,0.0,1.0
1999-09-07,2.9375,2.9375,2.75,2.8125,2.8125,14400.0,0.0,1.0
1999-09-08,2.625,2.7812,2.625,2.7812,2.7812,3100.0,0.0,1.0
1999-09-09,2.6875,2.7812,2.625,2.6875,2.6875,8900.0,0.0,1.0
1999-09-10,2.6875,2.9375,2.6875,2.9375,2.9375,12000.0,0.0,1.0
1999-09-13,3.125,3.125,2.75,2.75,2.75,8600.0,0.0,1.0
1999-09-14,2.9375,2.9375,2.75,2.75,2.75,3500.0,0.0,1.0
1999-09-15,2.875,2.875,2.875,2.875,2.875,1000.0,0.0,1.0
1999-09-16,3.0,3.0,2.875,2.875,2.875,1700.0,0.0,1.0
1999-09-17,2.875,2.9375,2.875,2.9375,2.9375,900.0,0.0,1.0
1999-09-20,2.875,2.875,2.75,2.75,2.75,5000.0,0.0,1.0
1999-09-21,2.75,2.75,2.5625,2.625,2.625,4800.0,0.0,1.0
1999-09-22,2.75,2.75,2.625,2.625,2.625,14600.0,0.0,1.0
1999-09-23,2.625,2.625,2.625,2.625,2.625,0.0,0.0,1.0
1999-09-24,2.75,2.8125,2.5625,2.7812,2.7812,16200.0,0.0,1.0
1999-09-27,2.7656,2.7656,2.7656,2.7656,2.7656,1000.0,0.0,1.0
1999-09-28,2.75,2.75,2.5625,2.625,2.625,8100.0,0.0,1.0
1999-09-29,2.75,2.75,2.75,2.75,2.75,200.0,0.0,1.0
1999-09-30,2.75,2.75,2.75,2.75,2.75,0.0,0.0,1.0
1999-10-01,3.0,3.0,2.625,2.625,2.625,700.0,0.0,1.0
1999-10-04,2.625,2.625,2.625,2.625,2.625,0.0,0.0,1.0
1999-10-05,2.625,2.625,2.625,2.625,2.625,0.0,0.0,1.0
1999-10-06,2.6562,2.6562,2.6562,2.6562,2.6562,1000.0,0.0,1.0
1999-10-07,2.7343,2.75,2.6875,2.6875,2.6875,24200.0,0.0,1.0
1999-10-08,2.625,2.625,2.5625,2.5625,2.5625,9700.0,0.0,1.0
1999-10-11,2.5625,2.5625,2.5625,2.5625,2.5625,200.0,0.0,1.0
1999-10-12,2.625,2.625,2.5,2.5312,2.5312,7800.0,0.0,1.0
1999-10-13,2.5312,2.5312,2.5312,2.5312,2.5312,0.0,0.0,1.0
1999-10-14,2.5312,2.5312,2.4062,2.4062,2.4062,11300.0,0.0,1.0
1999-10-15,2.4687,2.4687,2.4062,2.4062,2.4062,1000.0,0.0,1.0
1999-10-18,2.4687,2.4687,2.4687,2.4687,2.4687,4400.0,0.0,1.0
1999-10-19,2.4687,2.625,2.4687,2.5,2.5,3400.0,0.0,1.0
1999-10-20,2.5625,2.75,2.5625,2.5625,2.5625,5300.0,0.0,1.0
1999-10-21,2.5,2.6875,2.5,2.5,2.5,1100.0,0.0,1.0
1999-10-22,2.5312,2.5312,2.5,2.5,2.5,700.0,0.0,1.0
1999-10-25,2.5312,2.5312,2.0,2.5,2.5,3000.0,0.0,1.0
1999-10-26,2.4375,2.5,2.4375,2.5,2.5,700.0,0.0,1.0
1999-10-27,2.4375,2.4375,2.25,2.25,2.25,25400.0,0.0,1.0
1999-10-28,2.2812,2.2812,1.4687,2.0625,2.0625,117900.0,0.0,1.0
1999-10-29,2.3125,2.3125,2.25,2.25,2.25,2400.0,0.0,1.0
1999-11-01,2.2812,2.4375,2.2812,2.4375,2.4375,9900.0,0.0,1.0
1999-11-02,2.4375,2.4375,2.4375,2.4375,2.4375,0.0,0.0,1.0
1999-11-03,2.4531,2.6875,2.4375,2.6875,2.6875,4000.0,0.0,1.0
1999-11-04,2.625,2.625,2.5,2.5,2.5,3400.0,0.0,1.0
1999-11-05,2.5,2.5,2.5,2.5,2.5,0.0,0.0,1.0
1999-11-08,2.5,2.5,2.5,2.5,2.5,1700.0,0.0,1.0
1999-11-09,2.5,2.5625,2.4062,2.5,2.5,12500.0,0.0,1.0
1999-11-10,2.5,2.625,2.5,2.625,2.625,25200.0,0.0,1.0
1999-11-11,2.6875,3.25,2.625,2.9687,2.9687,58700.0,0.0,1.0
1999-11-12,2.8906,3.125,2.7812,3.125,3.125,2900.0,0.0,1.0
1999-11-15,2.9375,2.9375,2.875,2.875,2.875,2800.0,0.0,1.0
1999-11-16,2.75,2.75,2.2187,2.75,2.75,1200.0,0.0,1.0
1999-11-17,2.75,2.75,2.75,2.75,2.75,3400.0,0.0,1.0
1999-11-18,2.75,2.75,2.0625,2.5625,2.5625,14300.0,0.0,1.0
1999-11-19,2.3125,2.625,2.3125,2.625,2.625,3500.0,0.0,1.0
1999-11-22,2.625,2.625,2.3125,2.3125,2.3125,8500.0,0.0,1.0
