date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-01-09,25.65,25.8,25.65,25.8,24.7186,1200.0,0.087,1.0
2015-01-12,25.8,25.8,25.8,25.8,24.7186,0.0,0.0,1.0
2015-01-13,25.8,25.8,25.8,25.8,24.7186,0.0,0.0,1.0
2015-01-14,25.8,25.8,25.8,25.8,24.7186,0.0,0.0,1.0
2015-01-15,25.244,25.244,25.16,25.16,24.1054,1200.0,0.0,1.0
2015-01-16,25.24,25.25,25.22,25.24,24.1821,30300.0,0.0,1.0
2015-01-20,25.24,25.24,25.24,25.24,24.1821,0.0,0.0,1.0
2015-01-21,25.52,25.52,25.491,25.502,24.4331,1000.0,0.0,1.0
2015-01-22,25.957,25.957,25.948,25.948,24.8604,2700.0,0.0,1.0
2015-01-23,25.98,25.98,25.96,25.96,24.8719,400.0,0.0,1.0
2015-01-26,25.96,25.96,25.96,25.96,24.8719,0.0,0.0,1.0
2015-01-27,25.96,25.96,25.96,25.96,24.8719,0.0,0.0,1.0
2015-01-28,25.711,25.711,25.574,25.584,24.5116,1400.0,0.0,1.0
2015-01-29,25.584,25.584,25.584,25.584,24.5116,0.0,0.0,1.0
2015-01-30,25.584,25.584,25.584,25.584,24.5116,0.0,0.0,1.0
2015-02-02,25.584,25.584,25.584,25.584,24.5116,0.0,0.0,1.0
2015-02-03,25.584,25.584,25.584,25.584,24.5116,0.0,0.0,1.0
2015-02-04,25.83,25.83,25.83,25.83,24.7473,200.0,0.0,1.0
2015-02-05,26.14,26.14,26.14,26.14,25.0443,200.0,0.0,1.0
2015-02-06,26.306,26.306,26.306,26.306,25.2034,100.0,0.0,1.0
2015-02-09,26.306,26.306,26.306,26.306,25.2034,0.0,0.0,1.0
2015-02-10,26.306,26.306,26.306,26.306,25.2034,0.0,0.0,1.0
2015-02-11,26.3,26.3,26.19,26.19,25.0922,400.0,0.0,1.0
2015-02-12,26.51,26.51,26.448,26.448,25.3394,600.0,0.0,1.0
2015-02-13,26.604,26.604,26.604,26.604,25.4889,400.0,0.0,1.0
2015-02-17,26.63,26.65,26.63,26.65,25.533,1000.0,0.0,1.0
2015-02-18,26.65,26.65,26.65,26.65,25.533,0.0,0.0,1.0
2015-02-19,26.65,26.65,26.65,26.65,25.533,0.0,0.0,1.0
2015-02-20,26.72,26.72,26.72,26.72,25.6,800.0,0.0,1.0
2015-02-23,26.809,26.81,26.808,26.81,25.6863,1100.0,0.0,1.0
2015-02-24,26.9,26.91,26.86,26.86,25.7342,1400.0,0.0,1.0
2015-02-25,26.94,26.94,26.866,26.885,25.7581,1300.0,0.0,1.0
2015-02-26,26.83,26.83,26.83,26.83,25.7054,300.0,0.0,1.0
2015-02-27,26.85,26.85,26.809,26.809,25.6853,500.0,0.0,1.0
2015-03-02,26.809,26.809,26.809,26.809,25.6853,0.0,0.0,1.0
2015-03-03,26.74,26.77,26.7,26.768,25.646,2300.0,0.0,1.0
2015-03-04,26.58,26.58,26.58,26.58,25.4659,100.0,0.0,1.0
2015-03-05,26.66,26.669,26.66,26.669,25.5512,400.0,0.0,1.0
2015-03-06,26.53,26.53,26.53,26.53,25.418,100.0,0.0,1.0
2015-03-09,26.39,26.39,26.39,26.39,25.2839,400.0,0.0,1.0
2015-03-10,26.39,26.39,26.39,26.39,25.2839,0.0,0.0,1.0
2015-03-11,26.05,26.05,26.05,26.05,24.9581,500.0,0.0,1.0
2015-03-12,26.37,26.37,26.27,26.37,25.2647,700.0,0.0,1.0
2015-03-13,26.176,26.176,26.176,26.176,25.0788,200.0,0.0,1.0
2015-03-16,26.56,26.655,26.56,26.655,25.5378,1400.0,0.0,1.0
2015-03-17,26.655,26.655,26.655,26.655,25.5378,0.0,0.0,1.0
2015-03-18,27.0,27.0,27.0,27.0,25.8683,200.0,0.0,1.0
2015-03-19,27.0,27.0,27.0,27.0,25.8683,0.0,0.0,1.0
2015-03-20,26.87,27.18,26.87,27.18,26.0407,900.0,0.0,1.0
2015-03-23,27.18,27.18,27.18,27.18,26.0407,0.0,0.0,1.0
2015-03-24,27.18,27.18,27.18,27.18,26.0407,0.0,0.0,1.0
2015-03-25,26.58,26.58,26.58,26.58,25.5251,700.0,0.063,1.0
2015-03-26,26.43,26.43,26.31,26.394,25.3464,2000.0,0.0,1.0
2015-03-27,26.51,26.51,26.468,26.509,25.4569,1100.0,0.0,1.0
2015-03-30,26.56,26.9,26.56,26.89,25.8228,2000.0,0.0,1.0
2015-03-31,26.7,26.7,26.7,26.7,25.6403,800.0,0.0,1.0
2015-04-01,26.62,26.62,26.61,26.62,25.5635,1000.0,0.0,1.0
2015-04-02,26.62,26.62,26.62,26.62,25.5635,0.0,0.0,1.0
2015-04-06,26.64,26.91,26.56,26.91,25.842,900.0,0.0,1.0
2015-04-07,26.85,26.85,26.72,26.72,25.6595,300.0,0.0,1.0
2015-04-08,26.58,26.895,26.58,26.895,25.8276,500.0,0.0,1.0
2015-04-09,26.76,26.76,26.76,26.76,25.6979,300.0,0.0,1.0
2015-04-10,26.76,26.76,26.76,26.76,25.6979,0.0,0.0,1.0
2015-04-13,27.05,27.05,27.05,27.05,25.9764,900.0,0.0,1.0
2015-04-14,26.937,26.94,26.937,26.94,25.8708,300.0,0.0,1.0
2015-04-15,27.06,27.181,27.06,27.181,26.1022,900.0,0.0,1.0
2015-04-16,27.082,27.082,27.064,27.064,25.9899,800.0,0.0,1.0
2015-04-17,26.7,26.7,26.691,26.691,25.6317,800.0,0.0,1.0
2015-04-20,26.943,26.943,26.943,26.943,25.8737,800.0,0.0,1.0
2015-04-21,26.903,26.948,26.86,26.948,25.8785,1700.0,0.0,1.0
2015-04-22,26.948,26.948,26.948,26.948,25.8785,0.0,0.0,1.0
2015-04-23,26.948,26.948,26.948,26.948,25.8785,0.0,0.0,1.0
2015-04-24,27.09,27.09,26.981,26.981,25.9102,600.0,0.0,1.0
2015-04-27,26.981,26.981,26.981,26.981,25.9102,0.0,0.0,1.0
2015-04-28,26.77,26.77,26.77,26.77,25.7075,400.0,0.0,1.0
2015-04-29,26.77,26.77,26.77,26.77,25.7075,0.0,0.0,1.0
2015-04-30,26.77,26.77,26.77,26.77,25.7075,0.0,0.0,1.0
2015-05-01,26.64,26.64,26.63,26.63,25.5731,800.0,0.0,1.0
2015-05-04,26.808,26.808,26.808,26.808,25.744,300.0,0.0,1.0
2015-05-05,26.61,26.61,26.61,26.61,25.5539,900.0,0.0,1.0
2015-05-06,26.39,26.42,26.39,26.42,25.3714,700.0,0.0,1.0
2015-05-07,26.42,26.42,26.42,26.42,25.3714,0.0,0.0,1.0
2015-05-08,26.7,26.76,26.7,26.76,25.6979,500.0,0.0,1.0
2015-05-11,26.76,26.76,26.76,26.76,25.6979,0.0,0.0,1.0
2015-05-12,26.504,26.504,26.47,26.47,25.4194,600.0,0.0,1.0
2015-05-13,26.64,26.64,26.568,26.568,25.5135,400.0,0.0,1.0
2015-05-14,26.95,26.95,26.69,26.737,25.6758,2600.0,0.0,1.0
2015-05-15,26.85,26.85,26.85,26.85,25.7843,300.0,0.0,1.0
2015-05-18,26.999,26.999,26.98,26.98,25.9092,500.0,0.0,1.0
2015-05-19,26.98,26.98,26.98,26.98,25.9092,400.0,0.0,1.0
2015-05-20,26.98,26.98,26.98,26.98,25.9092,0.0,0.0,1.0
2015-05-21,27.026,27.06,27.02,27.06,25.986,1100.0,0.0,1.0
2015-05-22,27.06,27.06,27.06,27.06,25.986,0.0,0.0,1.0
2015-05-26,26.64,26.64,26.61,26.61,25.5539,400.0,0.0,1.0
2015-05-27,26.79,26.8,26.79,26.8,25.7363,800.0,0.0,1.0
2015-05-28,26.84,26.84,26.84,26.84,25.7747,1300.0,0.0,1.0
2015-05-29,26.84,26.84,26.84,26.84,25.7747,0.0,0.0,1.0
2015-06-01,26.72,26.81,26.72,26.81,25.7459,400.0,0.0,1.0
2015-06-02,26.77,26.77,26.77,26.77,25.7075,500.0,0.0,1.0
2015-06-03,26.786,26.92,26.786,26.9,25.8324,2100.0,0.0,1.0
2015-06-04,26.74,26.74,26.61,26.65,25.5923,700.0,0.0,1.0
2015-06-05,26.692,26.692,26.692,26.692,25.6326,800.0,0.0,1.0
2015-06-08,26.692,26.692,26.692,26.692,25.6326,0.0,0.0,1.0
2015-06-09,26.42,26.42,26.42,26.42,25.3714,200.0,0.0,1.0
2015-06-10,26.784,26.784,26.784,26.784,25.721,400.0,0.0,1.0
2015-06-11,26.771,26.87,26.771,26.87,25.8036,1300.0,0.0,1.0
2015-06-12,26.87,26.87,26.87,26.87,25.8036,0.0,0.0,1.0
2015-06-15,26.49,26.67,26.481,26.67,25.6115,1200.0,0.0,1.0
2015-06-16,26.49,26.49,26.49,26.49,25.4386,300.0,0.0,1.0
2015-06-17,26.49,26.49,26.49,26.49,25.4386,0.0,0.0,1.0
2015-06-18,26.49,26.49,26.49,26.49,25.4386,0.0,0.0,1.0
2015-06-19,26.49,26.49,26.49,26.49,25.4386,0.0,0.0,1.0
2015-06-22,27.18,27.18,27.18,27.18,26.1013,100.0,0.0,1.0
2015-06-23,27.15,27.15,27.122,27.123,26.0465,3600.0,0.0,1.0
2015-06-24,26.95,26.95,26.861,26.92,25.9051,1700.0,0.056,1.0
2015-06-25,26.9,26.91,26.78,26.78,25.7703,14600.0,0.0,1.0
2015-06-26,26.75,26.75,26.75,26.75,25.7415,100.0,0.0,1.0
2015-06-29,26.5,26.621,26.21,26.21,25.2218,1600.0,0.0,1.0
2015-06-30,26.28,26.28,26.28,26.28,25.2892,800.0,0.0,1.0
2015-07-01,26.58,26.58,26.49,26.49,25.4913,5800.0,0.0,1.0
2015-07-02,26.56,26.56,26.338,26.386,25.3912,2300.0,0.0,1.0
2015-07-06,26.2,26.21,26.18,26.21,25.2218,8200.0,0.0,1.0
2015-07-07,26.1,26.45,26.1,26.45,25.4528,6400.0,0.0,1.0
2015-07-08,26.32,26.32,26.0,26.0,25.0197,1300.0,0.0,1.0
2015-07-09,26.02,26.14,26.02,26.14,25.1545,10500.0,0.0,1.0
2015-07-10,26.34,26.38,26.28,26.38,25.3854,3100.0,0.0,1.0
2015-07-13,26.581,26.68,26.569,26.678,25.6722,11500.0,0.0,1.0
2015-07-14,26.794,26.794,26.794,26.794,25.7838,200.0,0.0,1.0
2015-07-15,26.66,26.66,26.64,26.64,25.6356,700.0,0.0,1.0
2015-07-16,26.722,26.723,26.722,26.723,25.7155,200.0,0.0,1.0
2015-07-17,26.726,26.726,26.726,26.726,25.7184,200.0,0.0,1.0
2015-07-20,26.65,26.65,26.56,26.62,25.6164,1200.0,0.0,1.0
2015-07-21,26.602,26.602,26.37,26.45,25.4528,9200.0,0.0,1.0
2015-07-22,26.45,26.45,26.45,26.45,25.4528,0.0,0.0,1.0
2015-07-23,26.59,26.59,26.59,26.59,25.5875,1300.0,0.0,1.0
2015-07-24,26.2,26.2,26.118,26.118,25.1333,1200.0,0.0,1.0
2015-07-27,25.81,25.81,25.772,25.772,24.8003,2200.0,0.0,1.0
2015-07-28,26.1,26.1,26.08,26.08,25.0967,800.0,0.0,1.0
2015-07-29,26.12,26.251,26.06,26.251,25.2613,4600.0,0.0,1.0
2015-07-30,26.27,26.34,26.27,26.34,25.3469,800.0,0.0,1.0
2015-07-31,26.5,26.5,26.41,26.41,25.4143,300.0,0.0,1.0
2015-08-03,26.32,26.32,26.14,26.16,25.1737,600.0,0.0,1.0
2015-08-04,26.133,26.133,26.133,26.133,25.1477,300.0,0.0,1.0
2015-08-05,26.27,26.47,26.27,26.36,25.3662,2400.0,0.0,1.0
2015-08-06,26.031,26.05,26.031,26.05,25.0679,4200.0,0.0,1.0
2015-08-07,26.05,26.05,26.05,26.05,25.0679,0.0,0.0,1.0
2015-08-10,26.05,26.05,26.05,26.05,25.0679,0.0,0.0,1.0
2015-08-11,26.04,26.18,26.04,26.18,25.193,1000.0,0.0,1.0
2015-08-12,26.036,26.036,26.036,26.036,25.0544,200.0,0.0,1.0
2015-08-13,26.19,26.19,26.19,26.19,25.2026,5100.0,0.0,1.0
2015-08-14,26.209,26.209,26.209,26.209,25.2209,400.0,0.0,1.0
2015-08-17,26.397,26.48,26.397,26.435,25.4383,600.0,0.0,1.0
2015-08-18,26.275,26.275,26.275,26.275,25.2844,500.0,0.0,1.0
2015-08-19,26.24,26.4,25.99,26.25,25.2603,11400.0,0.0,1.0
2015-08-20,25.9,25.9,25.5,25.5,24.5386,1300.0,0.0,1.0
2015-08-21,24.9,25.08,24.9,25.08,24.1344,5800.0,0.0,1.0
2015-08-24,23.73,24.54,23.73,24.05,23.1433,4100.0,0.0,1.0
2015-08-25,24.38,24.38,23.69,23.69,22.7968,1900.0,0.0,1.0
2015-08-26,24.4,24.4,23.81,24.318,23.4012,9300.0,0.0,1.0
2015-08-27,24.558,24.88,24.558,24.85,23.9131,3300.0,0.0,1.0
2015-08-28,25.0,25.18,25.0,25.14,24.1922,2300.0,0.0,1.0
2015-08-31,25.13,25.13,24.847,25.01,24.0671,6100.0,0.0,1.0
