date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-11,12.375,12.375,12.3438,12.375,6.2955,2800.0,0.0,1.0
1999-08-12,12.125,12.3125,12.125,12.25,6.2319,2200.0,0.0,1.0
1999-08-13,12.25,12.25,12.25,12.25,6.2319,1200.0,0.0,1.0
1999-08-16,12.375,12.5625,12.375,12.5625,6.3908,2400.0,0.0,1.0
1999-08-17,12.3125,12.3125,12.3125,12.3125,6.2637,800.0,0.0,1.0
1999-08-18,12.3125,12.3125,12.3125,12.3125,6.2637,0.0,0.0,1.0
1999-08-19,12.375,12.5,12.375,12.5,6.359,2000.0,0.0,1.0
1999-08-20,12.375,12.375,12.375,12.375,6.2955,400.0,0.0,1.0
1999-08-23,12.375,12.625,12.375,12.625,6.4226,5000.0,0.0,1.0
1999-08-24,12.5,12.625,12.5,12.5,6.359,212400.0,0.0,1.0
1999-08-25,12.375,12.375,12.2188,12.2188,6.216,17600.0,0.0,1.0
1999-08-26,12.1875,12.1875,12.125,12.125,6.1683,14600.0,0.0,1.0
1999-08-27,12.0625,12.0625,12.0625,12.0625,6.1365,7600.0,0.0,1.0
1999-08-30,12.0,12.0,11.5,11.5625,5.9662,11400.0,0.17,1.0
1999-08-31,11.5313,11.5313,11.5313,11.5313,5.9501,400.0,0.0,1.0
1999-09-01,11.5313,11.5313,11.5313,11.5313,5.9501,1000.0,0.0,1.0
1999-09-02,11.4531,11.5,11.4375,11.4375,5.9017,9200.0,0.0,1.0
1999-09-03,11.5,11.5313,11.375,11.5313,5.9501,4000.0,0.0,1.0
1999-09-07,11.5313,11.5313,11.5313,11.5313,5.9501,0.0,0.0,1.0
1999-09-08,11.4688,11.5938,11.4688,11.4844,5.9259,8000.0,0.0,1.0
1999-09-09,11.5,11.5,11.4844,11.5,5.9339,8600.0,0.0,1.0
1999-09-10,11.4375,11.4375,11.4375,11.4375,5.9017,1600.0,0.0,1.0
1999-09-13,11.4375,11.4375,11.375,11.4375,5.9017,4000.0,0.0,1.0
1999-09-14,11.5,11.5,11.375,11.375,5.8694,7600.0,0.0,1.0
1999-09-15,11.375,11.5,11.375,11.4063,5.8856,5600.0,0.0,1.0
1999-09-16,11.4063,11.4063,11.0938,11.0938,5.7243,5800.0,0.0,1.0
1999-09-17,11.2656,11.2813,11.1563,11.2813,5.8211,13400.0,0.0,1.0
1999-09-20,11.3125,11.3125,11.3125,11.3125,5.8372,200.0,0.0,1.0
1999-09-21,11.2813,11.3125,11.2813,11.3125,5.8372,3200.0,0.0,1.0
1999-09-22,11.3125,11.3125,11.3125,11.3125,5.8372,0.0,0.0,1.0
1999-09-23,11.2188,11.2188,11.2188,11.2188,5.7888,400.0,0.0,1.0
1999-09-24,11.25,11.25,11.25,11.25,5.8049,200.0,0.0,1.0
1999-09-27,11.25,11.25,11.25,11.25,5.8049,400.0,0.0,1.0
1999-09-28,11.25,11.3125,11.25,11.3125,5.8372,3200.0,0.0,1.0
1999-09-29,11.3125,11.5625,11.25,11.5,5.9339,12000.0,0.0,1.0
1999-09-30,11.25,11.5625,11.25,11.5,5.9339,5600.0,0.0,1.0
1999-10-01,11.375,11.375,11.375,11.375,5.8694,4000.0,0.0,1.0
1999-10-04,11.5,11.5,11.4375,11.4375,5.9017,1200.0,0.0,1.0
1999-10-05,11.5,11.5,11.375,11.5,5.9339,2000.0,0.0,1.0
1999-10-06,11.5625,11.5625,11.375,11.375,5.8694,7400.0,0.0,1.0
1999-10-07,11.3438,11.4063,11.3438,11.4063,5.8856,1400.0,0.0,1.0
1999-10-08,11.4063,11.4063,11.4063,11.4063,5.8856,0.0,0.0,1.0
1999-10-11,11.2813,11.4688,11.2813,11.4688,5.9178,4400.0,0.0,1.0
1999-10-12,11.5313,11.5625,11.3125,11.3125,5.8372,8800.0,0.0,1.0
1999-10-13,11.3125,11.3906,11.2813,11.2813,5.8211,1000.0,0.0,1.0
1999-10-14,11.2813,11.2969,11.25,11.2813,5.8211,27800.0,0.0,1.0
1999-10-15,11.2813,11.375,11.1563,11.2188,5.7888,40600.0,0.0,1.0
1999-10-18,11.2188,11.2813,11.2188,11.2813,5.8211,2800.0,0.0,1.0
1999-10-19,11.2813,11.2813,11.2813,11.2813,5.8211,0.0,0.0,1.0
1999-10-20,11.2813,11.2813,11.1875,11.1875,5.7727,4600.0,0.0,1.0
1999-10-21,11.1875,11.2188,11.0,11.2188,5.7888,4600.0,0.0,1.0
1999-10-22,11.1875,11.1875,11.0,11.0625,5.7082,8000.0,0.0,1.0
1999-10-25,11.3438,11.3438,11.25,11.3125,5.8372,12200.0,0.0,1.0
1999-10-26,11.25,11.25,11.0,11.25,5.8049,10800.0,0.0,1.0
1999-10-27,11.0938,11.1719,11.0625,11.0938,5.7243,20400.0,0.0,1.0
1999-10-28,11.25,11.3125,11.1563,11.1563,5.7566,16600.0,0.0,1.0
1999-10-29,11.1875,11.1875,11.1563,11.1563,5.7566,12400.0,0.0,1.0
1999-11-01,11.125,11.1406,10.25,10.625,5.4825,22400.0,0.0,1.0
1999-11-02,10.5859,10.6875,10.5625,10.625,5.4825,27200.0,0.0,1.0
1999-11-03,10.6875,10.75,10.5625,10.6875,5.5147,15400.0,0.0,1.0
1999-11-04,10.75,10.75,10.5625,10.6875,5.5147,5000.0,0.0,1.0
1999-11-05,10.75,11.25,10.75,11.25,5.8049,10200.0,0.0,1.0
1999-11-08,11.125,11.125,10.625,10.75,5.547,2800.0,0.0,1.0
1999-11-09,10.75,11.0,10.75,11.0,5.676,1600.0,0.0,1.0
1999-11-10,10.75,10.9688,10.75,10.9688,5.6598,8800.0,0.0,1.0
1999-11-11,11.1875,11.1875,11.0625,11.0625,5.7082,3600.0,0.0,1.0
1999-11-12,11.0625,11.1875,11.0625,11.1875,5.7727,2400.0,0.0,1.0
1999-11-15,11.1563,11.1875,11.125,11.125,5.7405,3000.0,0.0,1.0
1999-11-16,11.1875,11.5,11.1875,11.5,5.9339,3000.0,0.0,1.0
1999-11-17,11.5,11.5938,11.5,11.5,5.9339,54200.0,0.0,1.0
1999-11-18,11.5,11.5313,11.5,11.5313,5.9501,6000.0,0.0,1.0
1999-11-19,11.5156,11.5156,11.5,11.5,5.9339,2800.0,0.0,1.0
1999-11-22,11.4688,11.4688,10.75,10.9375,5.6437,22400.0,0.0,1.0
1999-11-23,10.9375,10.9375,10.8438,10.8438,5.5953,12200.0,0.0,1.0
