date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-11,4.6875,4.8125,4.625,4.6875,4.6875,12500.0,0.0,1.0
1999-08-12,4.6562,4.6875,4.5625,4.5625,4.5625,27500.0,0.0,1.0
1999-08-13,4.5625,4.8125,4.5625,4.8125,4.8125,7400.0,0.0,1.0
1999-08-16,4.75,4.8125,4.625,4.625,4.625,13200.0,0.0,1.0
1999-08-17,4.5625,4.8125,4.5625,4.8125,4.8125,11400.0,0.0,1.0
1999-08-18,4.6875,4.9375,4.6875,4.875,4.875,15100.0,0.0,1.0
1999-08-19,4.8125,4.9375,4.75,4.75,4.75,7900.0,0.0,1.0
1999-08-20,4.5625,4.625,4.5625,4.625,4.625,3300.0,0.0,1.0
1999-08-23,4.5625,4.6562,4.5625,4.5625,4.5625,12400.0,0.0,1.0
1999-08-24,4.5625,4.75,4.5625,4.75,4.75,14200.0,0.0,1.0
1999-08-25,4.6875,4.7187,4.625,4.625,4.625,12900.0,0.0,1.0
1999-08-26,4.625,4.7187,4.5312,4.6562,4.6562,30200.0,0.0,1.0
1999-08-27,4.6562,4.75,4.625,4.75,4.75,23600.0,0.0,1.0
1999-08-30,4.6875,4.8125,4.625,4.75,4.75,12200.0,0.0,1.0
1999-08-31,4.625,4.7812,4.625,4.6875,4.6875,35500.0,0.0,1.0
1999-09-01,4.625,4.6875,4.625,4.625,4.625,6400.0,0.0,1.0
1999-09-02,4.625,4.6875,4.5625,4.625,4.625,8800.0,0.0,1.0
1999-09-03,4.5625,4.6875,4.5625,4.6875,4.6875,4700.0,0.0,1.0
1999-09-07,4.625,4.6875,4.5,4.5,4.5,13300.0,0.0,1.0
1999-09-08,4.6875,4.6875,4.5,4.5,4.5,10800.0,0.0,1.0
1999-09-09,4.625,4.9375,4.5,4.9375,4.9375,85300.0,0.0,1.0
1999-09-10,4.875,5.4375,4.875,5.0,5.0,54400.0,0.0,1.0
1999-09-13,4.9375,5.0,4.875,4.875,4.875,7400.0,0.0,1.0
1999-09-14,5.0,5.0,4.75,4.8125,4.8125,9700.0,0.0,1.0
1999-09-15,4.75,4.8125,4.5625,4.625,4.625,53500.0,0.0,1.0
1999-09-16,4.625,4.7187,4.625,4.7187,4.7187,17900.0,0.0,1.0
1999-09-17,4.6875,4.75,4.625,4.625,4.625,12400.0,0.0,1.0
1999-09-20,4.75,4.75,4.75,4.75,4.75,1800.0,0.0,1.0
1999-09-21,4.625,4.75,4.5625,4.5625,4.5625,11200.0,0.0,1.0
1999-09-22,4.5937,4.625,4.5625,4.5625,4.5625,3500.0,0.0,1.0
1999-09-23,4.5625,4.625,4.4375,4.4687,4.4687,41800.0,0.0,1.0
1999-09-24,4.4687,4.4687,4.25,4.3125,4.3125,34600.0,0.0,1.0
1999-09-27,4.3125,4.5156,4.2812,4.4375,4.4375,40900.0,0.0,1.0
1999-09-28,4.4375,4.5,4.375,4.375,4.375,9500.0,0.0,1.0
1999-09-29,4.4375,4.5,4.0,4.0,4.0,68200.0,0.0,1.0
1999-09-30,4.0625,4.1875,3.75,4.0,4.0,225400.0,0.0,1.0
1999-10-01,4.25,4.25,3.6875,3.75,3.75,43700.0,0.0,1.0
1999-10-04,3.875,4.0,3.6875,3.6875,3.6875,29300.0,0.0,1.0
1999-10-05,3.6875,3.9375,3.5625,3.75,3.75,52100.0,0.0,1.0
1999-10-06,3.75,3.9375,3.6875,3.875,3.875,51600.0,0.0,1.0
1999-10-07,3.875,4.0625,3.75,4.0,4.0,23900.0,0.0,1.0
1999-10-08,4.0625,4.0625,4.0,4.0,4.0,31800.0,0.0,1.0
1999-10-11,4.0,4.0625,4.0,4.0,4.0,26100.0,0.0,1.0
1999-10-12,4.0,4.0312,3.9687,4.0,4.0,47000.0,0.0,1.0
1999-10-13,3.9687,4.0,3.9062,3.9687,3.9687,3300.0,0.0,1.0
1999-10-14,3.9375,4.0,3.9062,4.0,4.0,25800.0,0.0,1.0
1999-10-15,3.9687,3.9687,3.6875,3.875,3.875,10800.0,0.0,1.0
1999-10-18,3.6875,3.875,3.6875,3.75,3.75,5500.0,0.0,1.0
1999-10-19,3.8125,3.875,3.625,3.875,3.875,32000.0,0.0,1.0
1999-10-20,3.875,3.875,3.6562,3.875,3.875,13500.0,0.0,1.0
1999-10-21,3.8125,4.0,3.75,3.75,3.75,23900.0,0.0,1.0
1999-10-22,3.75,3.7812,3.6875,3.6875,3.6875,10100.0,0.0,1.0
1999-10-25,4.0,4.0,3.625,3.6562,3.6562,56500.0,0.0,1.0
1999-10-26,3.7187,3.875,3.6562,3.875,3.875,29400.0,0.0,1.0
1999-10-27,3.8437,3.9375,3.75,3.9375,3.9375,7900.0,0.0,1.0
1999-10-28,3.75,4.0937,3.75,4.0937,4.0937,43100.0,0.0,1.0
1999-10-29,4.0156,4.0937,3.9687,4.0937,4.0937,55300.0,0.0,1.0
1999-11-01,4.0937,4.0937,3.8125,4.0,4.0,38900.0,0.0,1.0
1999-11-02,3.9687,4.0,3.875,3.875,3.875,19500.0,0.0,1.0
1999-11-03,4.0,4.0156,3.8125,3.875,3.875,20000.0,0.0,1.0
1999-11-04,3.8125,3.875,3.5625,3.625,3.625,50100.0,0.0,1.0
1999-11-05,3.625,3.75,3.625,3.625,3.625,32000.0,0.0,1.0
1999-11-08,3.8437,3.875,3.6875,3.6875,3.6875,126100.0,0.0,1.0
1999-11-09,3.7343,3.8125,3.625,3.625,3.625,30000.0,0.0,1.0
1999-11-10,3.625,3.75,3.5625,3.6875,3.6875,24200.0,0.0,1.0
1999-11-11,3.625,3.6875,3.5625,3.5625,3.5625,16700.0,0.0,1.0
1999-11-12,3.5625,3.625,3.5312,3.625,3.625,25900.0,0.0,1.0
1999-11-15,3.6875,3.6875,3.5,3.625,3.625,35200.0,0.0,1.0
1999-11-16,3.6875,4.5625,3.6875,4.4375,4.4375,269300.0,0.0,1.0
1999-11-17,4.4375,4.4375,4.125,4.125,4.125,140300.0,0.0,1.0
1999-11-18,4.0625,4.875,4.0625,4.875,4.875,102400.0,0.0,1.0
1999-11-19,4.9062,4.9062,4.25,4.5,4.5,50900.0,0.0,1.0
1999-11-22,4.5625,5.2187,4.5,5.0,5.0,80000.0,0.0,1.0
1999-11-23,4.9375,5.0625,4.6562,4.9062,4.9062,132200.0,0.0,1.0
1999-11-24,5.125,6.5625,5.125,6.0,6.0,649500.0,0.0,1.0
1999-11-26,6.2812,6.5,5.875,6.0,6.0,101900.0,0.0,1.0
1999-11-29,5.875,6.5,5.8125,6.0625,6.0625,196400.0,0.0,1.0
1999-11-30,6.0625,6.25,5.5,6.125,6.125,201600.0,0.0,1.0
1999-12-01,6.0937,6.1875,5.875,6.0,6.0,79800.0,0.0,1.0
1999-12-02,5.875,7.6875,5.875,7.0,7.0,273700.0,0.0,1.0
1999-12-03,7.375,8.5,7.25,8.0,8.0,365100.0,0.0,1.0
1999-12-06,7.75,7.8125,6.9375,7.5,7.5,329700.0,0.0,1.0
1999-12-07,7.25,7.375,6.25,6.3125,6.3125,98700.0,0.0,1.0
1999-12-08,6.25,7.5,6.25,7.125,7.125,108100.0,0.0,1.0
1999-12-09,7.25,7.375,7.0,7.3125,7.3125,74700.0,0.0,1.0
1999-12-10,7.375,7.4375,6.75,7.0,7.0,33700.0,0.0,1.0
1999-12-13,6.875,6.9375,6.1875,6.4375,6.4375,67400.0,0.0,1.0
1999-12-14,6.375,6.6875,6.3125,6.6875,6.6875,38100.0,0.0,1.0
1999-12-15,6.4375,6.9375,5.8125,6.125,6.125,36600.0,0.0,1.0
1999-12-16,6.0625,6.3125,6.0625,6.125,6.125,10700.0,0.0,1.0
1999-12-17,6.125,6.25,5.75,6.125,6.125,16800.0,0.0,1.0
1999-12-20,5.875,6.25,5.8125,5.875,5.875,41700.0,0.0,1.0
1999-12-21,5.8125,5.9375,5.625,5.6562,5.6562,17100.0,0.0,1.0
