date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-11,9.5625,9.625,9.5,9.5,5.5965,4700.0,0.0,1.0
1999-08-12,9.5,9.5,9.5,9.5,5.5965,100.0,0.0,1.0
1999-08-13,9.5,9.5,9.5,9.5,5.5965,400.0,0.0,1.0
1999-08-16,9.5,9.5,9.5,9.5,5.5965,100.0,0.0,1.0
1999-08-17,9.5,9.75,9.5,9.625,5.6702,18700.0,0.0,1.0
1999-08-18,9.75,10.125,9.75,10.125,5.9647,2900.0,0.0,1.0
1999-08-19,9.625,10.0,9.625,10.0,5.8911,4300.0,0.0,1.0
1999-08-20,10.25,10.375,10.25,10.375,6.112,3500.0,0.0,1.0
1999-08-23,10.5,10.5,8.875,9.75,5.7438,18000.0,0.0,1.0
1999-08-24,10.25,10.25,9.8125,9.8125,5.7806,9900.0,0.0,1.0
1999-08-25,10.0,10.0,10.0,10.0,5.8911,2500.0,0.0,1.0
1999-08-26,10.0,10.0,10.0,10.0,5.8911,1100.0,0.0,1.0
1999-08-27,9.9687,10.0,9.9687,10.0,5.8911,1000.0,0.0,1.0
1999-08-30,10.0,10.125,10.0,10.125,5.9647,1400.0,0.0,1.0
1999-08-31,10.0,10.125,9.875,10.0,5.8911,5000.0,0.0,1.0
1999-09-01,10.0,10.0,10.0,10.0,5.8911,0.0,0.0,1.0
1999-09-02,10.125,10.125,10.125,10.125,5.9647,500.0,0.0,1.0
1999-09-03,10.0,10.0,10.0,10.0,5.8911,800.0,0.0,1.0
1999-09-07,9.4375,9.5,9.375,9.4375,5.5597,274000.0,0.0,1.0
1999-09-08,9.5,9.5,9.5,9.5,5.5965,1500.0,0.0,1.0
1999-09-09,9.5,9.5,9.0,9.0,5.302,3400.0,0.0,1.0
1999-09-10,9.0,9.25,9.0,9.25,5.4493,500.0,0.0,1.0
1999-09-13,9.5,9.5,9.375,9.4375,5.5597,3700.0,0.0,1.0
1999-09-14,9.4062,9.4375,9.375,9.375,5.5229,800.0,0.0,1.0
1999-09-15,9.4375,9.4375,9.125,9.125,5.3756,2200.0,0.0,1.0
1999-09-16,9.125,9.125,9.0,9.125,5.3756,1200.0,0.0,1.0
1999-09-17,9.25,9.25,8.75,8.75,5.1547,8100.0,0.0,1.0
1999-09-20,8.5625,8.625,8.5,8.5625,5.0442,51400.0,0.0,1.0
1999-09-21,8.5,8.5625,8.25,8.375,4.9338,26400.0,0.0,1.0
1999-09-22,8.0,8.75,8.0,8.5,5.0074,53700.0,0.0,1.0
1999-09-23,8.625,8.875,8.5,8.5,5.0074,9400.0,0.0,1.0
1999-09-24,8.5,8.625,8.25,8.625,5.0811,5900.0,0.0,1.0
1999-09-27,8.5,8.5,8.5,8.5,5.0074,500.0,0.0,1.0
1999-09-28,8.5,8.75,8.5,8.625,5.0811,7100.0,0.0,1.0
1999-09-29,8.75,9.8125,8.75,9.4375,5.5597,41400.0,0.0,1.0
1999-09-30,9.75,10.625,9.5,10.375,6.112,88200.0,0.0,1.0
1999-10-01,10.375,10.5,10.25,10.25,6.0384,5700.0,0.0,1.0
1999-10-04,10.4687,10.75,10.375,10.75,6.3577,6400.0,0.04,1.0
1999-10-05,10.75,10.75,10.75,10.75,6.3577,3300.0,0.0,1.0
1999-10-06,10.375,11.0,10.0,11.0,6.5056,15000.0,0.0,1.0
1999-10-07,9.9375,10.25,9.5,10.25,6.062,11300.0,0.0,1.0
1999-10-08,9.5,10.25,9.5,10.125,5.9881,2100.0,0.0,1.0
1999-10-11,10.1875,10.5,10.1875,10.5,6.2099,1400.0,0.0,1.0
1999-10-12,10.0,10.0625,9.625,9.875,5.8402,5300.0,0.0,1.0
1999-10-13,9.875,9.875,9.875,9.875,5.8402,0.0,0.0,1.0
1999-10-14,9.875,9.875,9.875,9.875,5.8402,0.0,0.0,1.0
1999-10-15,10.25,10.5,9.5,9.75,5.7663,14200.0,0.0,1.0
1999-10-18,10.25,10.25,9.875,9.9375,5.8772,1100.0,0.0,1.0
1999-10-19,10.0,10.0625,10.0,10.0,5.9142,400.0,0.0,1.0
1999-10-20,10.0312,10.0625,10.0,10.0,5.9142,1800.0,0.0,1.0
1999-10-21,10.0625,10.0625,10.0625,10.0625,5.9511,100.0,0.0,1.0
1999-10-22,10.0625,10.0625,9.9375,10.0,5.9142,3400.0,0.0,1.0
1999-10-25,10.2187,10.2187,10.0,10.0,5.9142,600.0,0.0,1.0
1999-10-26,10.0,10.0625,10.0,10.0,5.9142,3100.0,0.0,1.0
1999-10-27,10.125,10.125,10.125,10.125,5.9881,100.0,0.0,1.0
1999-10-28,9.875,10.0,9.875,10.0,5.9142,3400.0,0.0,1.0
1999-10-29,10.0,10.0,9.8125,9.875,5.8402,2700.0,0.0,1.0
1999-11-01,9.8125,9.8125,9.8125,9.8125,5.8033,400.0,0.0,1.0
1999-11-02,9.8125,9.875,9.8125,9.875,5.8402,800.0,0.0,1.0
1999-11-03,9.875,9.875,9.875,9.875,5.8402,4700.0,0.0,1.0
1999-11-04,9.875,9.875,9.875,9.875,5.8402,1800.0,0.0,1.0
1999-11-05,9.875,9.875,9.875,9.875,5.8402,700.0,0.0,1.0
1999-11-08,9.875,9.875,9.625,9.875,5.8402,25900.0,0.0,1.0
1999-11-09,9.6562,9.6875,9.6562,9.6875,5.7294,1300.0,0.0,1.0
1999-11-10,9.625,9.875,9.5,9.5,5.6185,3500.0,0.0,1.0
1999-11-11,9.5,9.5,9.375,9.375,5.5445,1800.0,0.0,1.0
1999-11-12,9.375,9.75,9.25,9.5,5.6185,2600.0,0.0,1.0
1999-11-15,9.5,9.5937,9.5,9.5937,5.6739,3200.0,0.0,1.0
1999-11-16,9.75,9.75,9.5937,9.5937,5.6739,900.0,0.0,1.0
1999-11-17,9.5,9.5,9.5,9.5,5.6185,200.0,0.0,1.0
1999-11-18,9.5,9.5625,9.25,9.25,5.4706,2600.0,0.0,1.0
1999-11-19,9.25,9.375,9.0,9.0625,5.3597,1300.0,0.0,1.0
1999-11-22,9.0625,9.0625,8.9375,9.0625,5.3597,17000.0,0.0,1.0
1999-11-23,9.0,9.0625,8.5,9.0625,5.3597,11900.0,0.0,1.0
1999-11-24,9.0625,9.0625,9.0625,9.0625,5.3597,0.0,0.0,1.0
1999-11-26,8.75,9.0,8.75,9.0,5.3228,600.0,0.0,1.0
1999-11-29,9.125,9.5,9.125,9.125,5.3967,3500.0,0.0,1.0
1999-11-30,9.125,9.125,8.875,9.0,5.3228,18100.0,0.0,1.0
1999-12-01,9.0,9.75,8.875,9.75,5.7663,14600.0,0.0,1.0
1999-12-02,9.75,9.75,9.75,9.75,5.7663,0.0,0.0,1.0
1999-12-03,9.1875,9.75,9.125,9.375,5.5445,5100.0,0.0,1.0
1999-12-06,9.0,9.5,9.0,9.5,5.6185,7000.0,0.0,1.0
1999-12-07,9.125,9.5,9.125,9.5,5.6185,800.0,0.0,1.0
1999-12-08,9.3125,9.5,9.125,9.5,5.6185,3800.0,0.0,1.0
1999-12-09,9.5,9.5,9.2812,9.2812,5.4891,1600.0,0.0,1.0
1999-12-10,9.3125,9.5,9.2812,9.5,5.6185,8000.0,0.0,1.0
1999-12-13,9.3437,9.3437,9.3437,9.3437,5.526,2500.0,0.0,1.0
1999-12-14,9.0312,9.375,9.0312,9.375,5.5445,1400.0,0.0,1.0
1999-12-15,9.25,9.4375,8.875,8.875,5.2488,21000.0,0.0,1.0
1999-12-16,8.9062,8.9375,8.9062,8.9375,5.2858,4300.0,0.0,1.0
1999-12-17,9.0,9.25,9.0,9.0,5.3228,7500.0,0.0,1.0
1999-12-20,9.25,9.5,9.125,9.5,5.6185,6300.0,0.0,1.0
1999-12-21,8.9687,9.5,8.9375,9.5,5.6185,3500.0,0.0,1.0
1999-12-22,9.0,9.125,8.875,9.125,5.3967,2300.0,0.0,1.0
1999-12-23,9.0,9.5,8.5,8.875,5.2488,7100.0,0.0,1.0
1999-12-27,9.0,9.5,9.0,9.1875,5.4336,6100.0,0.0,1.0
1999-12-28,9.25,9.5,9.25,9.5,5.6185,6100.0,0.0,1.0
1999-12-29,9.25,9.25,9.0,9.25,5.4937,800.0,0.04,1.0
1999-12-30,8.8125,9.5,8.8125,9.1562,5.438,4100.0,0.0,1.0
1999-12-31,9.0937,9.25,8.8125,9.25,5.4937,3700.0,0.0,1.0
2000-01-03,9.25,9.25,8.8125,8.8125,5.2339,2000.0,0.0,1.0
2000-01-04,8.875,9.3125,8.5,8.5,5.0483,8300.0,0.0,1.0
2000-01-05,8.875,8.875,8.4375,8.875,5.271,4000.0,0.0,1.0
2000-01-06,8.875,8.875,8.875,8.875,5.271,700.0,0.0,1.0
2000-01-07,8.6562,9.0,8.6562,9.0,5.3453,9700.0,0.0,1.0
2000-01-10,8.625,8.875,8.625,8.625,5.1225,2600.0,0.0,1.0
2000-01-11,8.625,8.875,8.625,8.875,5.271,1300.0,0.0,1.0
2000-01-12,8.625,9.5,8.25,8.375,4.9741,15100.0,0.0,1.0
2000-01-13,8.375,8.375,8.375,8.375,4.9741,0.0,0.0,1.0
2000-01-14,8.375,8.375,8.375,8.375,4.9741,0.0,0.0,1.0
2000-01-18,8.9375,8.9375,8.9375,8.9375,5.3081,500.0,0.0,1.0
2000-01-19,9.25,10.0,9.0,9.0,5.3453,33300.0,0.0,1.0
2000-01-20,8.875,9.125,8.875,8.875,5.271,1000.0,0.0,1.0
2000-01-21,8.875,8.875,8.5,8.5,5.0483,2000.0,0.0,1.0
2000-01-24,8.625,8.875,8.625,8.875,5.271,3500.0,0.0,1.0
2000-01-25,8.625,8.875,8.5,8.6093,5.1132,4600.0,0.0,1.0
2000-01-26,8.5937,8.6875,8.5,8.6875,5.1597,2200.0,0.0,1.0
2000-01-27,8.625,8.875,8.5,8.875,5.271,9300.0,0.0,1.0
2000-01-28,8.875,9.375,8.875,9.375,5.568,5900.0,0.0,1.0
2000-01-31,8.9375,8.9375,8.5,8.5,5.0483,1900.0,0.0,1.0
2000-02-01,8.6875,8.75,8.625,8.75,5.1968,7800.0,0.0,1.0
2000-02-02,9.375,9.375,9.375,9.375,5.568,200.0,0.0,1.0
