date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-11,2.8594,2.9727,2.7813,2.9219,2.9219,2251200.0,0.0,1.0
1999-08-12,2.9375,3.0547,2.9297,2.9688,2.9688,128000.0,0.0,1.0
1999-08-13,2.9688,3.0938,2.9688,3.0938,3.0938,162400.0,0.0,1.0
1999-08-16,3.0938,3.0938,2.9219,2.9844,2.9844,1466400.0,0.0,1.0
1999-08-17,2.9375,2.9844,2.9375,2.9844,2.9844,739200.0,0.0,1.0
1999-08-18,2.9688,2.9844,2.9609,2.9688,2.9688,177600.0,0.0,1.0
1999-08-19,3.0469,3.2891,3.0,3.2813,3.2813,2803200.0,0.0,1.0
1999-08-20,3.2578,3.6875,3.25,3.5625,3.5625,2619200.0,0.0,1.0
1999-08-23,3.5469,3.7031,3.5,3.6406,3.6406,2149600.0,0.0,1.0
1999-08-24,3.6406,3.6406,3.5781,3.6094,3.6094,3360800.0,0.0,1.0
1999-08-25,3.7109,3.7148,3.4531,3.5156,3.5156,588800.0,0.0,1.0
1999-08-26,3.5469,3.5469,3.4688,3.4922,3.4922,298400.0,0.0,1.0
1999-08-27,3.5,3.5,3.4375,3.4844,3.4844,396800.0,0.0,1.0
1999-08-30,3.4844,3.6563,3.4844,3.5859,3.5859,680800.0,0.0,1.0
1999-08-31,3.5625,3.6094,3.5313,3.5703,3.5703,148000.0,0.0,1.0
1999-09-01,3.5703,3.625,3.5625,3.6094,3.6094,184000.0,0.0,1.0
1999-09-02,3.5703,3.75,3.5703,3.6875,3.6875,175200.0,0.0,1.0
1999-09-03,3.6953,3.7656,3.6875,3.75,3.75,436000.0,0.0,1.0
1999-09-07,3.75,3.8828,3.75,3.7813,3.7813,932000.0,0.0,1.0
1999-09-08,3.7578,3.7656,3.625,3.625,3.625,232000.0,0.0,1.0
1999-09-09,3.6797,3.6797,3.5625,3.6094,3.6094,44000.0,0.0,1.0
1999-09-10,3.6328,3.6563,3.625,3.625,3.625,184000.0,0.0,1.0
1999-09-13,3.5938,3.5938,3.5156,3.5469,3.5469,864000.0,0.0,1.0
1999-09-14,3.457,3.4688,3.3281,3.3906,3.3906,117600.0,0.0,1.0
1999-09-15,3.4453,3.4531,3.3281,3.3359,3.3359,214400.0,0.0,1.0
1999-09-16,3.3281,3.3359,3.2031,3.2305,3.2305,152800.0,0.0,1.0
1999-09-17,3.2109,3.2813,3.1797,3.1875,3.1875,66400.0,0.0,1.0
1999-09-20,3.2813,3.2813,3.2422,3.2813,3.2813,7200.0,0.0,1.0
1999-09-21,3.2813,3.2813,3.1563,3.1875,3.1875,419200.0,0.0,1.0
1999-09-22,3.1563,3.1719,2.4219,2.4219,2.4219,6052800.0,0.0,1.0
1999-09-23,2.5,2.75,2.4219,2.6328,2.6328,4359200.0,0.0,1.0
1999-09-24,2.5938,2.7188,2.5938,2.6641,2.6641,296000.0,0.0,1.0
1999-09-27,2.6719,2.7344,2.6719,2.7031,2.7031,224000.0,0.0,1.0
1999-09-28,2.7031,2.7266,2.6484,2.7266,2.7266,285600.0,0.0,1.0
1999-09-29,2.75,2.7656,2.6719,2.75,2.75,589600.0,0.0,1.0
1999-09-30,2.75,2.8125,2.75,2.7656,2.7656,444000.0,0.0,1.0
1999-10-01,2.7891,2.7891,2.7344,2.7656,2.7656,545600.0,0.0,1.0
1999-10-04,2.7734,2.7734,2.6563,2.7188,2.7188,529600.0,0.0,1.0
1999-10-05,2.7266,2.9922,2.7266,2.9688,2.9688,844800.0,0.0,1.0
1999-10-06,2.957,2.957,2.875,2.9375,2.9375,59200.0,0.0,1.0
1999-10-07,2.9375,2.9375,2.625,2.6563,2.6563,1900800.0,0.0,1.0
1999-10-08,2.6563,2.7109,2.6328,2.6797,2.6797,148800.0,0.0,1.0
1999-10-11,2.6719,2.7109,2.6563,2.7109,2.7109,138400.0,0.0,1.0
1999-10-12,2.6836,2.6953,2.6797,2.6875,2.6875,484000.0,0.0,1.0
1999-10-13,2.6563,2.6875,2.4063,2.4688,2.4688,1154400.0,0.0,1.0
1999-10-14,2.4453,2.5781,2.4453,2.5781,2.5781,304000.0,0.0,1.0
1999-10-15,2.5391,2.5469,2.4844,2.4844,2.4844,375200.0,0.0,1.0
1999-10-18,2.5234,2.5313,2.1563,2.1719,2.1719,736800.0,0.0,1.0
1999-10-19,2.1875,2.2188,2.0625,2.0625,2.0625,1235200.0,0.0,1.0
1999-10-20,2.0938,2.1406,2.0625,2.1328,2.1328,177600.0,0.0,1.0
1999-10-21,2.1328,2.1406,2.0391,2.0625,2.0625,1306400.0,0.0,1.0
1999-10-22,2.0586,2.0938,2.0156,2.0625,2.0625,2804000.0,0.0,1.0
1999-10-25,2.0508,2.1719,2.0313,2.1563,2.1563,1232000.0,0.0,1.0
1999-10-26,2.1797,2.4141,2.1797,2.3359,2.3359,1276000.0,0.0,1.0
1999-10-27,2.3633,2.4844,2.3633,2.4844,2.4844,226400.0,0.0,1.0
1999-10-28,2.5,2.5156,2.4375,2.4922,2.4922,89600.0,0.0,1.0
1999-10-29,2.5,2.7813,2.4844,2.75,2.75,644800.0,0.0,1.0
1999-11-01,2.75,2.8516,2.75,2.8203,2.8203,396000.0,0.0,1.0
1999-11-02,2.7969,2.875,2.75,2.875,2.875,136800.0,0.0,1.0
1999-11-03,2.8594,2.9297,2.7344,2.7344,2.7344,116800.0,0.0,1.0
1999-11-04,2.75,2.75,2.6953,2.7109,2.7109,56800.0,0.0,1.0
1999-11-05,2.707,2.7813,2.7031,2.7109,2.7109,59200.0,0.0,1.0
1999-11-08,2.7266,2.7344,2.7031,2.7344,2.7344,39200.0,0.0,1.0
1999-11-09,2.7344,2.7344,2.5156,2.5625,2.5625,383200.0,0.0,1.0
1999-11-10,2.5859,2.6719,2.5625,2.6406,2.6406,1205600.0,0.0,1.0
1999-11-11,2.6367,2.7031,2.6328,2.6875,2.6875,180800.0,0.0,1.0
1999-11-12,2.7031,2.7188,2.5938,2.6406,2.6406,130400.0,0.0,1.0
1999-11-15,2.625,2.6719,2.625,2.6563,2.6563,55200.0,0.0,1.0
1999-11-16,2.6875,2.6875,2.625,2.6641,2.6641,150400.0,0.0,1.0
1999-11-17,2.6953,2.6953,2.6641,2.6953,2.6953,699200.0,0.0,1.0
1999-11-18,2.7578,2.8594,2.75,2.75,2.75,292000.0,0.0,1.0
1999-11-19,2.7578,2.8438,2.7578,2.8438,2.8438,471200.0,0.0,1.0
1999-11-22,2.8203,2.8438,2.6172,2.6172,2.6172,308000.0,0.0,1.0
1999-11-23,2.6406,2.6406,2.5469,2.5859,2.5859,370400.0,0.0,1.0
1999-11-24,2.5938,2.5938,2.3984,2.5078,2.5078,471200.0,0.0,1.0
1999-11-26,2.5,2.5625,2.5,2.5,2.5,192000.0,0.0,1.0
1999-11-29,2.5313,2.5938,2.5156,2.5781,2.5781,869600.0,0.0,1.0
1999-11-30,2.5781,2.5859,2.4531,2.4688,2.4688,91200.0,0.0,1.0
1999-12-01,2.5391,2.5625,2.5195,2.5313,2.5313,138400.0,0.0,1.0
1999-12-02,2.5469,2.5625,2.5,2.5,2.5,367200.0,0.0,1.0
1999-12-03,2.4922,2.6563,2.4922,2.6406,2.6406,1943200.0,0.0,1.0
1999-12-06,2.6719,2.9297,2.668,2.9063,2.9063,954400.0,0.0,1.0
1999-12-07,2.9063,3.0469,2.8906,3.0313,3.0313,1036000.0,0.0,1.0
1999-12-08,3.0469,3.1016,3.0156,3.1016,3.1016,158400.0,0.0,1.0
1999-12-09,3.0938,3.1016,2.8125,2.8281,2.8281,144800.0,0.0,1.0
1999-12-10,2.8594,2.9141,2.7656,2.7734,2.7734,44800.0,0.0,1.0
1999-12-13,2.7578,3.0938,2.7578,3.0313,3.0313,774400.0,0.0,1.0
1999-12-14,2.8906,2.9063,2.6563,2.6563,2.6563,730400.0,0.0,1.0
1999-12-15,2.6797,2.7188,2.5938,2.6641,2.6641,168000.0,0.0,1.0
1999-12-16,2.6797,2.6797,2.625,2.6328,2.6328,56800.0,0.0,1.0
1999-12-17,2.6875,2.7344,2.5,2.5625,2.5625,336800.0,0.0,1.0
1999-12-20,2.5703,2.5938,2.375,2.5625,2.5625,1257600.0,0.0,1.0
1999-12-21,2.5586,2.8438,2.5586,2.7969,2.7969,663200.0,0.0,1.0
1999-12-22,2.8203,3.0625,2.8203,3.0391,3.0391,680000.0,0.0,1.0
1999-12-23,3.0078,3.0781,2.9531,3.0156,3.0156,96000.0,0.0,1.0
1999-12-27,3.0469,3.1406,3.0391,3.1406,3.1406,142400.0,0.0,1.0
1999-12-28,3.1406,3.4453,3.1406,3.375,3.375,305600.0,0.0,1.0
1999-12-29,3.2656,3.4219,3.25,3.3301,3.3301,203200.0,0.0,1.0
1999-12-30,3.3984,3.5625,3.3984,3.5,3.5,257600.0,0.0,1.0
1999-12-31,3.5,3.7031,3.5,3.6406,3.6406,302400.0,0.0,1.0
2000-01-03,3.625,3.6797,3.4063,3.4375,3.4375,2156000.0,0.0,1.0
2000-01-04,3.3906,3.4375,3.25,3.25,3.25,400800.0,0.0,1.0
2000-01-05,3.2188,3.2344,2.7969,2.9219,2.9219,596800.0,0.0,1.0
2000-01-06,2.5,2.5469,1.75,1.7969,1.7969,20309600.0,0.0,1.0
2000-01-07,1.8359,1.8438,1.6094,1.6406,1.6406,8713600.0,0.0,1.0
2000-01-10,1.6406,1.75,1.6094,1.6797,1.6797,4564800.0,0.0,1.0
2000-01-11,1.6875,1.6875,1.6016,1.6094,1.6094,2564800.0,0.0,1.0
2000-01-12,1.6406,1.7109,1.6172,1.6563,1.6563,1555200.0,0.0,1.0
2000-01-13,1.6875,1.7031,1.6641,1.7031,1.7031,1095200.0,0.0,1.0
2000-01-14,1.7344,1.8438,1.7031,1.8066,1.8066,1364800.0,0.0,1.0
2000-01-18,1.7578,1.7969,1.6953,1.7344,1.7344,1276800.0,0.0,1.0
2000-01-19,1.7188,1.7656,1.7188,1.7656,1.7656,2314400.0,0.0,1.0
2000-01-20,1.7656,1.7813,1.75,1.7656,1.7656,3140800.0,0.0,1.0
2000-01-21,1.7813,1.7813,1.7578,1.7734,1.7734,276000.0,0.0,1.0
2000-01-24,1.7734,1.8125,1.7031,1.7109,1.7109,3117600.0,0.0,1.0
2000-01-25,1.7188,1.75,1.7031,1.7031,1.7031,195200.0,0.0,1.0
2000-01-26,1.7188,1.7344,1.7031,1.7031,1.7031,176800.0,0.0,1.0
2000-01-27,1.7109,1.7266,1.7031,1.7109,1.7109,537600.0,0.0,1.0
2000-01-28,1.7344,1.7344,1.6563,1.6797,1.6797,415200.0,0.0,1.0
2000-01-31,1.6875,1.6875,1.6563,1.6875,1.6875,328000.0,0.0,1.0
2000-02-01,1.6719,1.75,1.6563,1.7422,1.7422,2658400.0,0.0,1.0
