date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-11,10.75,12.0,10.625,11.5,11.5,156800.0,0.0,1.0
1999-08-12,11.5938,11.625,11.1875,11.5,11.5,57800.0,0.0,1.0
1999-08-13,11.5,11.625,11.375,11.4375,11.4375,47000.0,0.0,1.0
1999-08-16,11.75,11.75,11.25,11.625,11.625,104000.0,0.0,1.0
1999-08-17,11.625,12.3125,11.5625,12.125,12.125,106400.0,0.0,1.0
1999-08-18,12.0938,12.3125,11.375,11.375,11.375,21400.0,0.0,1.0
1999-08-19,11.25,11.25,9.875,10.375,10.375,346600.0,0.0,1.0
1999-08-20,10.5625,10.625,10.0,10.375,10.375,83200.0,0.0,1.0
1999-08-23,10.4375,10.5,10.0,10.0,10.0,44800.0,0.0,1.0
1999-08-24,9.9375,10.625,9.9375,10.5,10.5,169800.0,0.0,1.0
1999-08-25,10.75,12.0625,10.5,11.75,11.75,155600.0,0.0,1.0
1999-08-26,11.4688,14.5625,11.4688,13.25,13.25,324000.0,0.0,1.0
1999-08-27,13.2813,13.625,12.75,13.25,13.25,110800.0,0.0,1.0
1999-08-30,13.5,13.875,13.125,13.3438,13.3438,116000.0,0.0,1.0
1999-08-31,13.25,13.8125,13.25,13.625,13.625,149000.0,0.0,1.0
1999-09-01,13.5625,14.25,13.5,14.0,14.0,224000.0,0.0,1.0
1999-09-02,13.875,14.125,13.625,14.125,14.125,121600.0,0.0,1.0
1999-09-03,14.0625,14.0625,13.75,13.75,13.75,13600.0,0.0,1.0
1999-09-07,13.625,14.3125,13.5625,14.3125,14.3125,73800.0,0.0,1.0
1999-09-08,14.0625,14.3125,13.875,13.9375,13.9375,65800.0,0.0,1.0
1999-09-09,14.0,14.1875,13.75,14.0625,14.0625,105400.0,0.0,1.0
1999-09-10,14.0938,15.0625,14.0625,14.6875,14.6875,200800.0,0.0,1.0
1999-09-13,14.75,15.125,14.75,15.0625,15.0625,67000.0,0.0,1.0
1999-09-14,15.125,15.125,14.625,14.75,14.75,48600.0,0.0,1.0
1999-09-15,14.6875,14.75,14.6875,14.7188,14.7188,9600.0,0.0,1.0
1999-09-16,14.625,14.75,14.625,14.7188,14.7188,4800.0,0.0,1.0
1999-09-17,14.7031,14.8125,14.625,14.75,14.75,38800.0,0.0,1.0
1999-09-20,15.0,15.0,14.5,15.0,15.0,6200.0,0.0,1.0
1999-09-21,14.875,14.875,14.75,14.75,14.75,57400.0,0.0,1.0
1999-09-22,14.8438,15.0,14.5,14.5,14.5,6800.0,0.0,1.0
1999-09-23,15.0,15.0,14.4375,14.5,14.5,27200.0,0.0,1.0
1999-09-24,14.5625,14.625,14.5,14.5,14.5,66600.0,0.0,1.0
1999-09-27,14.625,14.625,13.5,13.7813,13.7813,38200.0,0.0,1.0
1999-09-28,13.3906,13.9063,13.375,13.8125,13.8125,136200.0,0.0,1.0
1999-09-29,13.8125,13.8125,13.75,13.75,13.75,49200.0,0.0,1.0
1999-09-30,13.8125,14.625,13.8125,14.4375,14.4375,206800.0,0.0,1.0
1999-10-01,14.4375,14.625,14.3125,14.5625,14.5625,63000.0,0.0,1.0
1999-10-04,14.4375,14.9063,14.4375,14.8125,14.8125,37400.0,0.0,1.0
1999-10-05,14.8125,15.0,14.625,14.75,14.75,37200.0,0.0,1.0
1999-10-06,14.75,15.5,14.75,15.125,15.125,98800.0,0.0,1.0
1999-10-07,15.0,15.0,14.0,14.125,14.125,62400.0,0.0,1.0
1999-10-08,14.125,14.25,14.0,14.25,14.25,131000.0,0.0,1.0
1999-10-11,14.25,14.5,14.125,14.5,14.5,19000.0,0.0,1.0
1999-10-12,14.5,14.5625,14.25,14.4063,14.4063,15800.0,0.0,1.0
1999-10-13,14.25,14.6875,14.25,14.5,14.5,19200.0,0.0,1.0
1999-10-14,14.5,14.6875,14.25,14.5,14.5,81800.0,0.0,1.0
1999-10-15,14.5938,14.6875,14.25,14.375,14.375,46200.0,0.0,1.0
1999-10-18,14.3281,14.4375,14.1875,14.3125,14.3125,30600.0,0.0,1.0
1999-10-19,14.3125,14.5,14.1875,14.5,14.5,53200.0,0.0,1.0
1999-10-20,14.5,14.5,14.5,14.5,14.5,15200.0,0.0,1.0
1999-10-21,14.4375,15.0,14.3125,14.5,14.5,54200.0,0.0,1.0
