date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-11,37.875,39.0,37.5,37.5,10.731,1900.0,0.0,1.0
1999-08-12,39.25,39.25,37.5,37.5,10.731,300.0,0.0,1.0
1999-08-13,37.5,37.5,37.5,37.5,10.731,9100.0,0.0,1.0
1999-08-16,37.625,37.625,37.625,37.625,10.7667,6000.0,0.0,1.0
1999-08-17,37.75,38.5,37.75,38.5,11.0171,500.0,0.0,1.0
1999-08-18,39.0,39.0,37.75,37.75,10.8025,300.0,0.0,1.0
1999-08-19,37.75,37.75,37.75,37.75,10.8025,100.0,0.0,1.0
1999-08-20,37.8125,37.8125,37.5,37.5,10.731,2400.0,0.0,1.0
1999-08-23,37.5,37.5,37.375,37.375,10.6952,8300.0,0.0,1.0
1999-08-24,37.375,37.375,37.375,37.375,10.6952,100.0,0.0,1.0
1999-08-25,37.125,37.125,37.125,37.125,10.6237,100.0,0.0,1.0
1999-08-26,37.1875,37.1875,37.1875,37.1875,10.6415,5500.0,0.0,1.0
1999-08-27,36.5,36.5,36.5,36.5,10.4448,400.0,0.0,1.0
1999-08-30,37.0,37.1875,37.0,37.1875,10.6415,1300.0,0.0,1.0
1999-08-31,37.1875,37.25,37.1875,37.25,10.6594,3600.0,0.0,1.0
1999-09-01,37.0,38.125,37.0,38.125,10.9098,400.0,0.0,1.0
1999-09-02,38.125,38.125,38.125,38.125,10.9098,200.0,0.0,1.0
1999-09-03,37.125,37.625,37.125,37.625,10.7667,200.0,0.0,1.0
1999-09-07,37.625,37.625,37.625,37.625,10.7667,200.0,0.0,1.0
1999-09-08,36.0,36.0,36.0,36.0,10.3017,600.0,0.0,1.0
1999-09-09,37.0,37.125,35.6875,36.0,10.3017,35000.0,0.0,1.0
1999-09-10,35.6875,35.75,35.0,35.0,10.0156,7800.0,0.0,1.0
1999-09-13,35.8125,38.25,34.875,36.625,10.4806,4500.0,0.0,1.0
1999-09-14,35.5,35.5,35.25,35.25,10.0871,2100.0,0.0,1.0
1999-09-15,36.5,36.5,35.5,35.5,10.1586,2900.0,0.0,1.0
1999-09-16,35.5,35.6875,35.5,35.5,10.1586,1300.0,0.0,1.0
1999-09-17,37.875,37.875,36.9063,37.875,10.8383,500.0,0.0,1.0
1999-09-20,37.375,37.375,37.375,37.375,10.6952,200.0,0.0,1.0
1999-09-21,35.5625,35.5625,35.5625,35.5625,10.1765,600.0,0.0,1.0
1999-09-22,34.875,35.5,34.875,35.375,10.1229,1600.0,0.0,1.0
1999-09-23,35.75,35.75,35.25,35.25,10.0871,700.0,0.0,1.0
1999-09-24,35.25,35.25,35.25,35.25,10.0871,0.0,0.0,1.0
