date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2009-11-23,60.01,60.03,60.01,60.03,55.022,17700.0,0.0,1.0
2009-11-24,60.03,60.06,60.02,60.03,55.022,27100.0,0.0,1.0
2009-11-25,60.11,60.16,60.07,60.1,55.0862,18800.0,0.0,1.0
2009-11-27,60.19,60.19,60.1,60.12,55.1045,1200.0,0.0,1.0
2009-11-30,60.12,60.15,60.12,60.15,55.132,10700.0,0.0,1.0
2009-12-01,60.16,60.18,60.16,60.16,55.1412,4800.0,0.0,1.0
2009-12-02,60.17,60.17,60.11,60.11,55.0954,1400.0,0.0,1.0
2009-12-03,60.1,60.1,60.03,60.09,55.077,1900.0,0.0,1.0
2009-12-04,60.01,60.01,59.99,60.0,54.9945,2500.0,0.0,1.0
2009-12-07,60.02,60.03,60.01,60.03,55.022,7600.0,0.0,1.0
2009-12-08,60.09,60.09,60.08,60.08,55.0679,7000.0,0.0,1.0
2009-12-09,60.1,60.1,60.1,60.1,55.0862,2100.0,0.0,1.0
2009-12-10,60.06,60.07,60.06,60.06,55.0496,6000.0,0.0,1.0
2009-12-11,60.02,60.02,60.02,60.02,55.0129,1700.0,0.0,1.0
2009-12-14,59.99,60.02,59.99,60.02,55.0129,7600.0,0.0,1.0
2009-12-15,59.98,59.98,59.92,59.96,54.9579,3200.0,0.0,1.0
2009-12-16,60.01,60.01,60.0,60.01,55.0037,2700.0,0.0,1.0
2009-12-17,60.04,60.08,60.03,60.08,55.0679,7100.0,0.0,1.0
2009-12-18,60.05,60.06,60.05,60.06,55.0496,2200.0,0.0,1.0
2009-12-21,60.04,60.04,59.99,59.99,54.9854,24300.0,0.0,1.0
2009-12-22,59.98,59.99,59.97,59.97,54.967,6100.0,0.0,1.0
2009-12-23,59.97,59.97,59.92,59.92,54.9212,5700.0,0.0,1.0
2009-12-24,59.87,59.87,59.84,59.85,54.8992,4400.0,0.046,1.0
2009-12-28,59.82,59.82,59.78,59.78,54.835,4400.0,0.0,1.0
2009-12-29,59.79,59.79,59.77,59.77,54.8258,3100.0,0.0,1.0
2009-12-30,59.77,59.8,59.77,59.8,54.8533,1400.0,0.0,1.0
2009-12-31,59.72,59.72,59.67,59.67,54.7341,800.0,0.0,1.0
2010-01-04,59.77,59.77,59.76,59.76,54.8166,1700.0,0.0,1.0
2010-01-05,59.87,59.89,59.87,59.88,54.9267,2200.0,0.0,1.0
2010-01-06,59.87,59.87,59.8,59.84,54.89,38600.0,0.0,1.0
2010-01-07,59.85,59.85,59.85,59.85,54.8992,1400.0,0.0,1.0
2010-01-08,59.9,59.9,59.87,59.9,54.9451,1900.0,0.0,1.0
2010-01-11,59.9,59.96,59.9,59.96,55.0001,1700.0,0.0,1.0
2010-01-12,60.0,60.0,59.93,59.93,54.9726,7300.0,0.0,1.0
2010-01-13,59.97,59.99,59.94,59.95,54.9909,3800.0,0.0,1.0
2010-01-14,59.97,60.0,59.97,60.0,55.0368,10000.0,0.0,1.0
2010-01-15,60.03,60.05,60.03,60.05,55.0827,1000.0,0.0,1.0
2010-01-19,60.04,60.06,59.98,60.06,55.0918,131700.0,0.0,1.0
2010-01-20,60.05,60.06,60.04,60.04,55.0734,2700.0,0.0,1.0
2010-01-21,60.04,60.11,60.03,60.11,55.1377,10600.0,0.0,1.0
2010-01-22,60.08,60.14,60.08,60.14,55.1652,5900.0,0.0,1.0
2010-01-25,60.11,60.12,60.1,60.12,55.1468,9000.0,0.0,1.0
2010-01-26,60.11,60.11,60.06,60.09,55.1193,26500.0,0.0,1.0
2010-01-27,60.14,60.15,60.08,60.08,55.1102,5200.0,0.0,1.0
2010-01-28,60.09,60.13,60.09,60.13,55.156,10600.0,0.0,1.0
2010-01-29,60.08,60.12,60.06,60.12,55.1716,3300.0,0.027,1.0
2010-02-01,60.1,60.25,60.06,60.1,55.1533,16400.0,0.0,1.0
2010-02-02,60.12,60.12,60.08,60.12,55.1716,25600.0,0.0,1.0
2010-02-03,60.1,60.11,60.08,60.08,55.1349,11900.0,0.0,1.0
2010-02-04,60.13,60.19,60.13,60.16,55.2083,4600.0,0.0,1.0
2010-02-05,60.13,60.23,60.13,60.22,55.2634,42200.0,0.0,1.0
2010-02-08,60.2,60.2,60.19,60.2,55.245,7500.0,0.0,1.0
2010-02-09,60.18,60.2,60.11,60.13,55.1808,16700.0,0.0,1.0
2010-02-10,60.12,60.12,60.07,60.08,55.1349,23400.0,0.0,1.0
2010-02-11,60.09,60.11,60.07,60.09,55.1441,3600.0,0.0,1.0
2010-02-12,60.14,60.15,60.14,60.14,55.19,6600.0,0.0,1.0
2010-02-16,60.14,60.19,60.07,60.18,55.2267,43600.0,0.0,1.0
2010-02-17,60.14,60.15,60.08,60.12,55.1716,12900.0,0.0,1.0
2010-02-18,60.12,60.13,60.09,60.09,55.1441,2800.0,0.0,1.0
2010-02-19,60.06,60.06,60.02,60.04,55.0982,3100.0,0.0,1.0
2010-02-22,60.08,60.1,60.05,60.1,55.1533,7200.0,0.0,1.0
2010-02-23,60.1,60.15,60.1,60.15,55.1992,1700.0,0.0,1.0
2010-02-24,60.14,60.15,60.13,60.13,55.1808,7100.0,0.0,1.0
2010-02-25,60.18,60.23,60.13,60.2,55.245,14200.0,0.0,1.0
2010-02-26,60.17,60.2,60.15,60.18,55.257,8800.0,0.033,1.0
2010-03-01,60.14,60.21,60.14,60.21,55.2845,17500.0,0.0,1.0
2010-03-02,60.19,60.22,60.19,60.22,55.2937,4400.0,0.0,1.0
2010-03-03,60.19,60.19,60.16,60.19,55.2662,8600.0,0.0,1.0
2010-03-04,60.15,60.17,60.15,60.15,55.2294,6300.0,0.0,1.0
2010-03-05,60.11,60.11,60.07,60.11,55.1927,4600.0,0.0,1.0
2010-03-08,60.1,60.1,60.09,60.1,55.1835,1900.0,0.0,1.0
2010-03-09,60.09,60.13,60.09,60.12,55.2019,3400.0,0.0,1.0
2010-03-10,60.12,60.13,60.07,60.13,55.2111,8100.0,0.0,1.0
2010-03-11,60.07,60.07,60.04,60.04,55.1284,3800.0,0.0,1.0
2010-03-12,60.04,60.04,60.03,60.04,55.1284,1800.0,0.0,1.0
2010-03-15,60.01,60.11,60.01,60.07,55.156,6200.0,0.0,1.0
2010-03-16,60.07,60.5,60.07,60.12,55.2019,8800.0,0.0,1.0
2010-03-17,60.12,60.12,60.11,60.11,55.1927,2500.0,0.0,1.0
2010-03-18,60.03,60.1,60.03,60.09,55.1743,6800.0,0.0,1.0
2010-03-19,60.03,60.09,60.03,60.03,55.1192,1400.0,0.0,1.0
2010-03-22,60.09,60.09,60.05,60.07,55.156,19200.0,0.0,1.0
2010-03-23,60.1,60.1,60.06,60.06,55.1468,11500.0,0.0,1.0
2010-03-24,60.03,60.04,59.97,59.99,55.0825,20900.0,0.0,1.0
2010-03-25,59.93,59.99,59.92,59.93,55.0274,17200.0,0.0,1.0
2010-03-26,59.9,60.02,59.9,60.02,55.1101,6100.0,0.0,1.0
2010-03-29,60.01,60.04,59.99,60.03,55.1192,3700.0,0.0,1.0
2010-03-30,59.98,60.05,59.98,60.04,55.1284,24000.0,0.0,1.0
2010-03-31,60.01,60.04,60.01,60.04,55.1652,4600.0,0.04,1.0
2010-04-01,60.05,60.05,60.01,60.01,55.1376,6100.0,0.0,1.0
2010-04-05,59.89,59.89,59.82,59.82,54.9631,4000.0,0.0,1.0
2010-04-06,59.89,59.89,59.84,59.87,55.009,4500.0,0.0,1.0
2010-04-07,59.93,59.99,59.93,59.98,55.1101,2400.0,0.0,1.0
2010-04-08,59.94,59.98,59.94,59.97,55.1009,2100.0,0.0,1.0
2010-04-09,59.95,59.98,59.91,59.97,55.1009,4000.0,0.0,1.0
2010-04-12,59.91,59.98,59.91,59.96,55.0917,4400.0,0.0,1.0
2010-04-13,60.04,60.04,59.95,60.0,55.1284,24200.0,0.0,1.0
2010-04-14,60.0,60.01,59.96,59.96,55.0917,11700.0,0.0,1.0
