date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2005-12-05,40.5,43.0,40.1,42.85,35.1661,60100.0,0.0,1.0
2005-12-06,42.95,44.3,42.95,44.3,36.3561,50800.0,0.0,1.0
2005-12-07,44.4,45.0,44.4,44.9,36.8485,5600.0,0.0,1.0
2005-12-08,44.91,44.91,43.75,43.96,36.0771,17100.0,0.0,1.0
2005-12-09,44.2,44.2,43.08,43.7,35.8637,15900.0,0.0,1.0
2005-12-12,43.8,44.3,43.59,43.59,35.7734,11700.0,0.0,1.0
2005-12-13,43.6,44.1,43.41,44.1,36.1919,8100.0,0.0,1.0
2005-12-14,44.0,44.2,43.7,43.8,35.9457,7700.0,0.0,1.0
2005-12-15,43.7,43.7,42.99,42.99,35.281,40000.0,0.0,1.0
2005-12-16,43.1,43.18,42.9,43.18,35.4369,2700.0,0.0,1.0
2005-12-19,43.15,43.15,42.49,42.49,34.8707,3800.0,0.0,1.0
2005-12-20,42.45,42.45,41.95,41.95,34.4275,13700.0,0.0,1.0
2005-12-21,42.05,42.34,41.89,41.89,34.3783,37100.0,0.0,1.0
2005-12-22,41.85,41.85,41.45,41.58,34.1238,16400.0,0.0,1.0
2005-12-23,41.6,41.6,41.35,41.53,34.0828,8600.0,0.0,1.0
2005-12-27,41.5,41.5,40.4,40.42,33.1718,12000.0,0.0,1.0
2005-12-28,40.35,40.38,40.0,40.28,33.057,17800.0,0.0,1.0
2005-12-29,40.4,40.61,40.0,40.0,32.8272,13200.0,0.0,1.0
2005-12-30,39.9,40.45,39.9,40.0,32.8272,123000.0,0.0,1.0
2006-01-03,40.0,41.95,38.67,41.54,34.091,889600.0,0.0,1.0
2006-01-04,41.54,42.15,41.54,42.0,34.4685,524300.0,0.0,1.0
2006-01-05,41.95,42.36,41.73,42.18,34.6162,374700.0,0.0,1.0
2006-01-06,42.43,42.93,42.3,42.69,35.0348,338400.0,0.0,1.0
2006-01-09,42.69,42.83,42.39,42.5,34.8789,197900.0,0.0,1.0
2006-01-10,42.5,42.5,41.41,42.45,34.8378,556100.0,0.0,1.0
2006-01-11,42.4,42.4,41.6,41.95,34.4275,718800.0,0.0,1.0
2006-01-12,42.83,42.83,41.07,41.58,34.1238,343600.0,0.0,1.0
2006-01-13,41.62,42.25,41.42,42.14,34.5834,324300.0,0.0,1.0
2006-01-17,41.9,42.13,41.6,41.71,34.2305,264900.0,0.0,1.0
2006-01-18,41.61,41.85,41.1,41.69,34.2141,176500.0,0.0,1.0
2006-01-19,41.9,42.86,41.81,42.71,35.0512,229000.0,0.0,1.0
2006-01-20,42.61,42.65,42.39,42.42,34.8132,138500.0,0.0,1.0
2006-01-23,42.42,43.2,42.26,43.19,35.4451,266600.0,0.0,1.0
2006-01-24,43.35,43.59,43.03,43.43,35.6421,194200.0,0.0,1.0
2006-01-25,43.52,43.78,43.1,43.3,35.5354,221500.0,0.0,1.0
2006-01-26,43.55,43.8,42.83,43.09,35.3631,166500.0,0.0,1.0
2006-01-27,43.09,43.56,42.79,43.38,35.6011,187000.0,0.0,1.0
2006-01-30,43.32,43.32,42.42,42.55,34.9199,186000.0,0.0,1.0
2006-01-31,42.5,42.55,41.44,41.5,34.0582,193700.0,0.0,1.0
2006-02-01,41.42,42.11,41.32,42.04,34.5014,139300.0,0.0,1.0
2006-02-02,42.03,42.31,41.41,41.76,34.2716,79300.0,0.0,1.0
2006-02-03,41.65,42.05,41.56,42.04,34.5014,88000.0,0.0,1.0
2006-02-06,42.02,42.2,41.83,41.83,34.329,90100.0,0.0,1.0
2006-02-07,41.82,42.3,41.82,41.86,34.3536,146100.0,0.0,1.0
2006-02-08,41.87,42.48,41.4,42.44,34.8296,112900.0,0.0,1.0
2006-02-09,42.38,42.85,42.17,42.84,35.1579,138800.0,0.0,1.0
2006-02-10,42.75,43.07,42.59,42.95,35.2482,122800.0,0.0,1.0
2006-02-13,42.95,42.95,42.52,42.76,35.0922,112100.0,0.0,1.0
2006-02-14,42.74,43.42,42.52,43.24,35.4862,143700.0,0.0,1.0
2006-02-15,43.06,43.48,42.78,43.38,35.6011,147200.0,0.0,1.0
2006-02-16,43.46,43.87,43.05,43.57,35.757,87400.0,0.0,1.0
2006-02-17,43.57,43.6,42.92,42.94,35.24,85100.0,0.0,1.0
2006-02-21,42.8,42.8,42.22,42.35,34.7558,152700.0,0.0,1.0
2006-02-22,42.48,42.48,41.49,41.96,34.4357,160600.0,0.0,1.0
2006-02-23,41.2,41.83,40.48,41.0,33.6478,331100.0,0.0,1.0
2006-02-24,40.7,40.71,39.87,40.19,32.9831,217000.0,0.0,1.0
2006-02-27,40.25,40.48,39.95,40.12,32.9256,185300.0,0.0,1.0
2006-02-28,40.04,40.24,39.8,39.99,32.819,193400.0,0.0,1.0
2006-03-01,40.04,40.91,39.9,40.85,33.5247,145400.0,0.0,1.0
2006-03-02,40.7,40.71,39.82,40.0,32.8272,159300.0,0.0,1.0
2006-03-03,39.65,39.95,39.65,39.7,32.581,297400.0,0.0,1.0
2006-03-06,39.75,39.95,38.56,38.62,31.6946,177400.0,0.0,1.0
2006-03-07,38.42,38.42,37.81,38.04,31.2186,267500.0,0.0,1.0
2006-03-08,38.05,38.31,37.68,38.05,31.2268,238300.0,0.0,1.0
2006-03-09,38.05,38.36,37.7,38.3,31.432,130000.0,0.0,1.0
2006-03-10,38.28,38.94,38.2,38.9,31.9244,171700.0,0.0,1.0
2006-03-13,38.9,38.98,38.68,38.84,31.8752,140200.0,0.0,1.0
2006-03-14,38.75,39.19,38.75,38.99,31.9983,103700.0,0.0,1.0
2006-03-15,38.99,38.99,38.64,38.87,31.8998,95800.0,0.0,1.0
2006-03-16,38.75,38.95,38.3,38.37,31.4895,94200.0,0.0,1.0
2006-03-17,38.62,39.09,38.46,38.97,31.9819,122700.0,0.0,1.0
2006-03-20,39.15,39.55,38.91,38.99,31.9983,156600.0,0.0,1.0
2006-03-21,38.91,38.96,38.03,38.03,31.2104,202700.0,0.0,1.0
2006-03-22,38.0,38.5,37.95,38.24,31.3828,221400.0,0.0,1.0
2006-03-23,38.06,38.6,38.06,38.6,31.6782,86300.0,0.0,1.0
2006-03-24,38.49,38.78,38.39,38.76,31.8095,70200.0,0.0,1.0
2006-03-27,38.76,38.88,38.58,38.74,31.7931,100200.0,0.0,1.0
2006-03-28,38.67,38.84,38.36,38.67,31.7357,156900.0,0.0,1.0
2006-03-29,38.7,39.27,38.53,39.27,32.2281,152400.0,0.0,1.0
2006-03-30,39.18,39.24,38.76,38.97,31.9819,161000.0,0.0,1.0
2006-03-31,38.95,39.07,38.47,38.76,31.8095,174500.0,0.0,1.0
2006-04-03,39.0,39.38,38.45,38.46,31.5633,115500.0,0.0,1.0
2006-04-04,38.44,38.85,38.17,38.6,31.6782,344900.0,0.0,1.0
2006-04-05,38.68,39.1,38.57,38.87,31.8998,126600.0,0.0,1.0
2006-04-06,38.73,39.17,38.52,39.11,32.0968,351800.0,0.0,1.0
2006-04-07,39.19,39.52,38.68,38.76,31.8095,315300.0,0.0,1.0
2006-04-10,38.69,38.69,38.3,38.36,31.4813,187100.0,0.0,1.0
2006-04-11,38.51,38.65,38.19,38.31,31.4402,80200.0,0.0,1.0
2006-04-12,38.3,38.48,38.21,38.36,31.4813,58400.0,0.0,1.0
2006-04-13,38.33,38.66,38.25,38.65,31.7193,72400.0,0.0,1.0
2006-04-17,38.6,38.6,38.35,38.45,31.5551,52700.0,0.0,1.0
2006-04-18,38.55,38.55,38.28,38.47,31.5715,110900.0,0.0,1.0
2006-04-19,38.43,38.73,38.43,38.58,31.6618,66500.0,0.0,1.0
2006-04-20,38.55,38.75,38.46,38.68,31.7439,104200.0,0.0,1.0
2006-04-21,38.85,39.0,38.61,38.78,31.8259,98700.0,0.0,1.0
2006-04-24,38.7,39.03,38.7,38.98,31.9901,115300.0,0.0,1.0
2006-04-25,39.1,39.79,39.05,39.62,32.5153,143500.0,0.0,1.0
