date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-03-02,51.59,51.88,51.57,51.87,49.1084,21400.0,0.0,1.0
2016-03-03,52.27,53.201,51.46,51.945,49.1794,27900.0,0.0,1.0
2016-03-04,51.97,52.58,51.97,52.2,49.4208,20800.0,0.0,1.0
2016-03-07,52.34,52.37,51.68,52.205,49.4255,19500.0,0.0,1.0
2016-03-08,52.13,52.13,51.75,51.75,48.9948,10600.0,0.0,1.0
2016-03-09,52.22,52.27,51.86,52.099,49.3252,7500.0,0.0,1.0
2016-03-10,52.52,52.52,51.676,51.98,49.2125,20500.0,0.0,1.0
2016-03-11,52.67,52.98,52.589,52.929,50.111,14200.0,0.0,1.0
2016-03-14,52.71,52.91,52.677,52.85,50.0362,12300.0,0.0,1.0
2016-03-15,52.59,52.59,52.2,52.41,49.6196,18500.0,0.0,1.0
2016-03-16,52.37,53.13,52.2,53.13,50.3013,11800.0,0.0,1.0
2016-03-17,53.8,53.8,53.01,53.408,50.5645,24000.0,0.0,1.0
2016-03-18,53.54,53.68,53.472,53.53,50.68,13000.0,0.0,1.0
2016-03-21,54.23,54.23,53.477,53.52,50.6705,12600.0,0.0,1.0
2016-03-22,53.66,53.66,53.12,53.52,50.6705,23300.0,0.0,1.0
2016-03-23,53.64,53.64,53.055,53.144,50.3145,27100.0,0.0,1.0
2016-03-24,52.95,52.95,52.659,52.91,50.093,13500.0,0.0,1.0
2016-03-28,53.05,53.17,52.967,53.03,50.2066,9900.0,0.0,1.0
2016-03-29,52.9,53.71,52.706,53.68,50.822,18800.0,0.0,1.0
2016-03-30,53.89,54.37,53.89,54.08,51.2007,19900.0,0.0,1.0
2016-03-31,54.07,54.15,53.85,53.85,50.9829,31000.0,0.0,1.0
2016-04-01,53.0,53.67,52.904,53.62,50.7652,17400.0,0.0,1.0
2016-04-04,54.0,54.0,53.582,53.619,50.7642,14100.0,0.0,1.0
2016-04-05,53.12,53.12,52.82,52.91,50.093,13700.0,0.0,1.0
2016-04-06,53.28,53.85,53.23,53.702,50.8428,19200.0,0.0,1.0
2016-04-07,53.73,53.73,53.19,53.267,50.431,16000.0,0.0,1.0
2016-04-08,53.97,53.97,53.59,53.6,50.7463,19400.0,0.0,1.0
2016-04-11,54.33,54.41,54.0,54.021,51.1448,40500.0,0.0,1.0
2016-04-12,54.02,54.61,53.83,54.52,51.6173,25100.0,0.0,1.0
2016-04-13,54.96,54.984,54.796,54.98,52.0528,15000.0,0.0,1.0
2016-04-14,55.28,55.28,55.03,55.11,52.1759,23600.0,0.0,1.0
2016-04-15,55.21,55.21,55.0,55.019,52.0897,21700.0,0.0,1.0
2016-04-18,55.17,55.57,54.912,55.51,52.5546,65600.0,0.0,1.0
2016-04-19,56.34,56.37,56.13,56.32,53.3214,16400.0,0.0,1.0
2016-04-20,56.1,56.22,55.79,56.0,53.0185,26500.0,0.0,1.0
2016-04-21,55.8,55.8,55.44,55.54,52.583,19100.0,0.0,1.0
2016-04-22,55.1,55.55,55.1,55.358,52.4107,13500.0,0.0,1.0
2016-04-25,55.09,55.09,54.96,55.001,52.0727,13500.0,0.0,1.0
2016-04-26,55.22,55.259,55.0,55.074,52.1418,27400.0,0.0,1.0
2016-04-27,55.08,55.32,54.969,55.27,52.3273,13600.0,0.0,1.0
2016-04-28,55.07,55.33,54.798,54.875,51.9534,86300.0,0.0,1.0
2016-04-29,54.65,54.93,54.51,54.69,51.7782,21300.0,0.0,1.0
2016-05-02,55.11,55.11,54.84,55.03,52.1001,15400.0,0.0,1.0
2016-05-03,54.65,54.65,54.04,54.09,51.2102,25100.0,0.0,1.0
2016-05-04,53.99,53.99,53.32,53.44,50.5948,20200.0,0.0,1.0
2016-05-05,55.08,55.08,53.19,53.33,50.4906,25300.0,0.0,1.0
2016-05-06,53.27,53.42,53.14,53.42,50.5758,20700.0,0.0,1.0
2016-05-09,54.07,54.07,53.5,53.575,50.7226,15000.0,0.0,1.0
2016-05-10,54.13,54.37,54.01,54.37,51.4753,19900.0,0.0,1.0
2016-05-11,54.32,54.396,54.1,54.12,51.2386,30500.0,0.0,1.0
2016-05-12,54.43,54.43,53.785,53.96,51.0871,19600.0,0.0,1.0
2016-05-13,53.82,53.85,53.371,53.51,50.661,20800.0,0.0,1.0
2016-05-16,53.84,54.252,53.84,54.16,51.2764,32700.0,0.0,1.0
2016-05-17,54.0,54.14,53.766,53.766,50.9034,9300.0,0.0,1.0
2016-05-18,53.78,54.135,53.497,53.6,50.7463,12700.0,0.0,1.0
2016-05-19,53.51,53.51,52.886,53.15,50.3202,22900.0,0.0,1.0
2016-05-20,53.59,53.62,53.445,53.52,50.6705,17000.0,0.0,1.0
2016-05-23,53.62,53.63,53.358,53.46,50.6137,14800.0,0.0,1.0
2016-05-24,53.75,54.1,53.75,54.09,51.2102,9100.0,0.0,1.0
2016-05-25,54.63,54.847,54.567,54.81,51.8918,21800.0,0.0,1.0
2016-05-26,55.0,55.15,54.86,55.05,52.1191,19000.0,0.0,1.0
2016-05-27,55.27,55.31,55.09,55.175,52.2374,46200.0,0.0,1.0
2016-05-31,55.42,55.48,55.0,55.105,52.1711,17700.0,0.0,1.0
2016-06-01,55.24,55.26,55.01,55.26,52.3179,36400.0,0.0,1.0
2016-06-02,55.09,55.39,55.05,55.38,52.4315,26400.0,0.0,1.0
2016-06-03,55.82,55.95,55.6,55.91,52.9333,47800.0,0.0,1.0
2016-06-06,56.23,56.414,56.17,56.365,53.364,21500.0,0.0,1.0
2016-06-07,56.75,56.83,56.695,56.75,53.7285,24700.0,0.0,1.0
2016-06-08,56.97,56.99,56.758,56.79,53.7664,18200.0,0.0,1.0
2016-06-09,56.37,56.37,56.01,56.13,53.1416,86600.0,0.0,1.0
2016-06-10,55.45,55.45,54.72,54.84,51.9202,71300.0,0.0,1.0
