date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,1.0,1.1,1.0,1.1,1.1,0.0,0.0,1.0
2000-01-04,1.3,1.3,1.1,1.1,1.1,0.0,0.0,1.0
2000-01-05,1.1,1.1,1.1,1.1,1.1,0.0,0.0,1.0
2000-01-06,1.2,1.2,1.2,1.2,1.2,0.0,0.0,1.0
2000-01-07,1.2,1.2,1.2,1.2,1.2,0.0,0.0,1.0
2000-01-10,1.3,1.3,1.2,1.2,1.2,0.0,0.0,1.0
2000-01-11,1.2,1.2,1.2,1.2,1.2,0.0,0.0,1.0
2000-01-12,1.2,1.2,1.2,1.2,1.2,0.0,0.0,1.0
2000-01-13,1.2,1.3,1.2,1.3,1.3,0.0,0.0,1.0
2000-01-14,1.3,1.3,1.3,1.3,1.3,0.0,0.0,1.0
2000-01-18,2.5,2.5,2.0,2.0,2.0,1000.0,0.0,1.0
2000-01-19,2.0,2.0,1.95,1.95,1.95,0.0,0.0,1.0
2000-01-20,1.6,1.7,1.6,1.7,1.7,0.0,0.0,1.0
2000-01-21,1.7,1.8,1.7,1.8,1.8,0.0,0.0,1.0
2000-01-24,1.8,2.0,1.8,2.0,2.0,0.0,0.0,1.0
2000-01-25,2.7,2.7,2.7,2.7,2.7,0.0,0.0,1.0
2000-01-26,2.7,2.7,2.7,2.7,2.7,0.0,0.0,1.0
2000-01-27,2.7,2.7,2.25,2.25,2.25,100.0,0.0,1.0
2000-01-28,2.25,2.25,2.25,2.25,2.25,0.0,0.0,1.0
2000-01-31,2.25,2.25,2.25,2.25,2.25,0.0,0.0,1.0
2000-02-01,2.3,2.4,2.3,2.4,2.4,0.0,0.0,1.0
2000-02-02,2.4,2.5,2.4,2.5,2.5,0.0,0.0,1.0
2000-02-03,2.3,2.5,2.3,2.5,2.5,0.0,0.0,1.0
2000-02-04,2.1,2.1,2.1,2.1,2.1,0.0,0.0,1.0
2000-02-07,2.4,2.4,2.4,2.4,2.4,0.0,0.0,1.0
2000-02-08,2.4,2.4,2.4,2.4,2.4,0.0,0.0,1.0
2000-02-09,2.4,2.4,2.3,2.3,2.3,0.0,0.0,1.0
2000-02-10,2.2,2.3,2.2,2.3,2.3,0.0,0.0,1.0
2000-02-11,2.15,2.2,2.15,2.2,2.2,0.0,0.0,1.0
2000-02-14,2.3,2.3,2.3,2.3,2.3,0.0,0.0,1.0
2000-02-15,2.4,2.4,2.3,2.3,2.3,0.0,0.0,1.0
2000-02-16,2.2,2.3,2.2,2.3,2.3,0.0,0.0,1.0
2000-02-17,2.2,2.2,2.2,2.2,2.2,0.0,0.0,1.0
2000-02-18,2.3,2.5,2.3,2.5,2.5,0.0,0.0,1.0
2000-02-22,2.5,2.5,2.5,2.5,2.5,0.0,0.0,1.0
2000-02-23,3.2,3.2,2.8,2.8,2.8,0.0,0.0,1.0
2000-02-24,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0
2000-02-25,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0
2000-02-28,3.1,3.3,3.1,3.3,3.3,0.0,0.0,1.0
2000-02-29,3.3,3.3,3.3,3.3,3.3,0.0,0.0,1.0
2000-03-01,7.5,7.5,6.5,6.5,6.5,700.0,0.0,1.0
2000-03-02,7.4,7.4,6.0,6.0,6.0,5200.0,0.0,1.0
2000-03-03,5.5,7.5,5.3,6.5,6.5,5200.0,0.0,1.0
2000-03-06,7.5,8.5,7.3,8.5,8.5,10000.0,0.0,1.0
2000-03-07,10.3,11.5,10.3,11.5,11.5,7100.0,0.0,1.0
2000-03-08,13.5,15.0,13.0,13.0,13.0,15200.0,0.0,1.0
2000-03-09,12.8,12.8,9.7,10.5,10.5,6000.0,0.0,1.0
2000-03-10,9.9,10.0,8.0,8.3,8.3,1900.0,0.0,1.0
2000-03-13,10.0,12.4,10.0,12.4,12.4,7700.0,0.0,1.0
