date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-06-26,26.11,26.11,26.06,26.1,25.2416,700.0,0.041,1.0
2017-06-27,26.036,26.036,25.917,25.94,25.0869,7400.0,0.0,1.0
2017-06-28,26.11,26.17,26.11,26.17,25.3093,400.0,0.0,1.0
2017-06-29,25.98,25.98,25.72,25.86,25.0095,900.0,0.0,1.0
2017-06-30,26.03,26.04,26.006,26.04,25.1836,2200.0,0.0,1.0
2017-07-03,26.077,26.077,26.077,26.077,25.2194,500.0,0.0,1.0
2017-07-05,26.0,26.03,26.0,26.03,25.1739,78800.0,0.0,1.0
2017-07-06,25.896,25.896,25.896,25.896,25.0443,100.0,0.0,1.0
2017-07-07,25.95,26.0,25.95,26.0,25.1449,13500.0,0.0,1.0
2017-07-10,25.88,25.97,25.87,25.91,25.0579,6900.0,0.0,1.0
2017-07-11,25.91,25.91,25.91,25.91,25.0579,0.0,0.0,1.0
2017-07-12,25.91,25.91,25.91,25.91,25.0579,0.0,0.0,1.0
2017-07-13,25.91,25.91,25.91,25.91,25.0579,0.0,0.0,1.0
2017-07-14,25.93,25.98,25.93,25.98,25.1256,200.0,0.0,1.0
2017-07-17,25.98,25.98,25.98,25.98,25.1256,0.0,0.0,1.0
2017-07-18,25.96,25.96,25.957,25.957,25.113,1400.0,0.01,1.0
2017-07-19,25.957,25.957,25.957,25.957,25.113,0.0,0.0,1.0
2017-07-20,25.957,25.957,25.957,25.957,25.113,0.0,0.0,1.0
2017-07-21,25.98,26.07,25.98,26.07,25.2223,200.0,0.0,1.0
2017-07-24,26.07,26.07,26.07,26.07,25.2223,0.0,0.0,1.0
2017-07-25,26.14,26.18,26.14,26.18,25.3288,200.0,0.0,1.0
2017-07-26,26.13,26.13,26.13,26.13,25.2804,100.0,0.0,1.0
2017-07-27,26.13,26.13,26.13,26.13,25.2804,0.0,0.0,1.0
2017-07-28,26.13,26.13,26.13,26.13,25.2804,0.0,0.0,1.0
2017-07-31,26.233,26.233,26.233,26.233,25.38,800.0,0.0,1.0
2017-08-01,26.233,26.233,26.233,26.233,25.38,0.0,0.0,1.0
2017-08-02,26.18,26.24,26.18,26.24,25.3868,200.0,0.0,1.0
2017-08-03,26.24,26.24,26.24,26.24,25.3868,100.0,0.0,1.0
2017-08-04,26.17,26.17,26.17,26.17,25.3191,1900.0,0.0,1.0
2017-08-07,26.17,26.17,26.17,26.17,25.3191,0.0,0.0,1.0
2017-08-08,26.23,26.27,26.13,26.13,25.2804,800.0,0.0,1.0
2017-08-09,26.1,26.12,26.071,26.071,25.2233,500.0,0.0,1.0
2017-08-10,26.071,26.071,26.071,26.071,25.2233,0.0,0.0,1.0
2017-08-11,26.071,26.071,26.071,26.071,25.2233,0.0,0.0,1.0
2017-08-14,26.071,26.071,26.071,26.071,25.2233,0.0,0.0,1.0
2017-08-15,26.1,26.1,26.1,26.1,25.2814,700.0,0.031,1.0
2017-08-16,26.125,26.132,26.125,26.132,25.3124,1500.0,0.0,1.0
2017-08-17,25.864,25.864,25.864,25.864,25.0528,100.0,0.0,1.0
2017-08-18,25.864,25.864,25.864,25.864,25.0528,0.0,0.0,1.0
2017-08-21,25.864,25.864,25.864,25.864,25.0528,0.0,0.0,1.0
2017-08-22,25.864,25.864,25.864,25.864,25.0528,0.0,0.0,1.0
2017-08-23,25.864,25.864,25.864,25.864,25.0528,0.0,0.0,1.0
2017-08-24,25.6,25.6,25.599,25.599,24.7961,700.0,0.0,1.0
2017-08-25,25.599,25.599,25.599,25.599,24.7961,0.0,0.0,1.0
2017-08-28,25.51,25.51,25.494,25.494,24.6944,1200.0,0.0,1.0
2017-08-29,25.494,25.494,25.494,25.494,24.6944,0.0,0.0,1.0
2017-08-30,25.494,25.494,25.494,25.494,24.6944,0.0,0.0,1.0
2017-08-31,25.494,25.494,25.494,25.494,24.6944,0.0,0.0,1.0
2017-09-01,25.494,25.494,25.494,25.494,24.6944,0.0,0.0,1.0
2017-09-05,25.494,25.494,25.494,25.494,24.6944,0.0,0.0,1.0
2017-09-06,25.76,25.76,25.71,25.71,24.9037,400.0,0.0,1.0
2017-09-07,25.71,25.71,25.71,25.71,24.9522,0.0,0.05,1.0
2017-09-08,25.71,25.71,25.71,25.71,24.9522,0.0,0.0,1.0
2017-09-11,25.71,25.71,25.71,25.71,24.9522,0.0,0.0,1.0
2017-09-12,25.71,25.71,25.71,25.71,24.9522,0.0,0.0,1.0
2017-09-13,25.84,25.84,25.79,25.79,25.0298,300.0,0.0,1.0
2017-09-14,25.79,25.79,25.79,25.79,25.0298,0.0,0.0,1.0
2017-09-15,25.79,25.79,25.79,25.79,25.0298,0.0,0.0,1.0
2017-09-18,25.79,25.79,25.79,25.79,25.0298,0.0,0.0,1.0
2017-09-19,25.75,25.75,25.75,25.75,24.991,100.0,0.0,1.0
2017-09-20,25.93,25.93,25.93,25.93,25.1657,100.0,0.0,1.0
2017-09-21,25.93,25.93,25.93,25.93,25.1657,0.0,0.0,1.0
2017-09-22,25.956,25.956,25.956,25.956,25.1909,300.0,0.0,1.0
2017-09-25,25.956,25.956,25.956,25.956,25.1909,0.0,0.0,1.0
2017-09-26,25.956,25.956,25.956,25.956,25.1909,0.0,0.0,1.0
2017-09-27,25.956,25.956,25.956,25.956,25.1909,0.0,0.0,1.0
2017-09-28,26.17,26.23,26.167,26.23,25.4568,2000.0,0.0,1.0
2017-09-29,26.23,26.23,26.23,26.23,25.4568,0.0,0.0,1.0
2017-10-02,26.23,26.23,26.23,26.23,25.4568,0.0,0.0,1.0
2017-10-03,26.23,26.23,26.23,26.23,25.4568,0.0,0.0,1.0
2017-10-04,26.46,26.46,26.46,26.46,25.6801,1600.0,0.0,1.0
2017-10-05,26.46,26.46,26.46,26.46,25.6801,0.0,0.0,1.0
2017-10-06,26.46,26.46,26.46,26.46,25.6801,0.0,0.0,1.0
2017-10-09,26.5,26.5,26.5,26.5,25.7189,1000.0,0.0,1.0
2017-10-10,26.5,26.5,26.5,26.5,25.7189,0.0,0.0,1.0
2017-10-11,26.49,26.49,26.49,26.49,25.7092,600.0,0.0,1.0
2017-10-12,26.512,26.512,26.512,26.512,25.7305,1200.0,0.0,1.0
2017-10-13,26.615,26.615,26.589,26.589,25.8053,700.0,0.0,1.0
2017-10-16,26.589,26.589,26.589,26.589,25.8053,0.0,0.0,1.0
2017-10-17,26.57,26.57,26.55,26.55,25.8033,800.0,0.037,1.0
2017-10-18,26.55,26.55,26.55,26.55,25.8033,0.0,0.0,1.0
2017-10-19,26.55,26.55,26.55,26.55,25.8033,0.0,0.0,1.0
2017-10-20,26.55,26.55,26.55,26.55,25.8033,0.0,0.0,1.0
2017-10-23,26.86,26.86,26.86,26.86,26.1046,100.0,0.0,1.0
2017-10-24,26.86,26.86,26.86,26.86,26.1046,0.0,0.0,1.0
2017-10-25,26.86,26.86,26.86,26.86,26.1046,0.0,0.0,1.0
2017-10-26,26.86,26.86,26.86,26.86,26.1046,0.0,0.0,1.0
2017-10-27,26.86,26.86,26.86,26.86,26.1046,0.0,0.0,1.0
2017-10-30,26.86,26.86,26.86,26.86,26.1046,0.0,0.0,1.0
2017-10-31,26.86,26.86,26.86,26.86,26.1046,0.0,0.0,1.0
2017-11-01,26.86,26.86,26.86,26.86,26.1046,0.0,0.0,1.0
2017-11-02,26.86,26.86,26.86,26.86,26.1046,100.0,0.0,1.0
2017-11-03,26.86,26.86,26.86,26.86,26.1046,0.0,0.0,1.0
2017-11-06,26.67,26.675,26.67,26.67,25.92,3400.0,0.0,1.0
2017-11-07,26.677,26.686,26.677,26.686,25.9355,200.0,0.0,1.0
2017-11-08,26.686,26.686,26.686,26.686,25.9355,0.0,0.0,1.0
2017-11-09,26.51,26.51,26.51,26.51,25.7645,200.0,0.0,1.0
2017-11-10,26.51,26.51,26.51,26.51,25.7645,0.0,0.0,1.0
2017-11-13,26.82,26.82,26.82,26.82,26.0657,600.0,0.0,1.0
2017-11-14,26.82,26.82,26.82,26.82,26.0657,0.0,0.0,1.0
2017-11-15,26.82,26.82,26.82,26.82,26.0832,0.0,0.018,1.0
2017-11-16,26.82,26.82,26.82,26.82,26.0832,0.0,0.0,1.0
2017-11-17,26.82,26.82,26.82,26.82,26.0832,0.0,0.0,1.0
2017-11-20,26.82,26.82,26.82,26.82,26.0832,0.0,0.0,1.0
2017-11-21,26.82,26.82,26.82,26.82,26.0832,0.0,0.0,1.0
2017-11-22,26.82,26.82,26.82,26.82,26.0832,0.0,0.0,1.0
2017-11-24,26.82,26.82,26.82,26.82,26.0832,0.0,0.0,1.0
