date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-11-02,10.019,10.019,10.019,10.019,10.019,2000.0,0.0,1.0
2017-11-03,10.005,10.06,9.98,10.015,10.015,10500.0,0.0,1.0
2017-11-06,10.047,10.047,10.0,10.01,10.01,2200.0,0.0,1.0
2018-01-02,9.94,9.94,9.94,9.94,9.94,0.0,0.0,1.0
2018-01-03,9.94,9.94,9.94,9.94,9.94,0.0,0.0,1.0
2018-01-04,9.95,9.98,9.95,9.97,9.97,208800.0,0.0,1.0
2018-01-05,9.97,9.97,9.97,9.97,9.97,0.0,0.0,1.0
2018-01-08,9.95,9.99,9.95,9.99,9.99,4500.0,0.0,1.0
2018-01-09,9.99,9.99,9.99,9.99,9.99,0.0,0.0,1.0
2018-01-10,9.964,10.0,9.95,9.981,9.981,25800.0,0.0,1.0
2018-01-11,10.5,10.5,9.97,9.99,9.99,7000.0,0.0,1.0
2018-01-12,9.99,9.99,9.99,9.99,9.99,0.0,0.0,1.0
2018-01-16,9.99,9.99,9.99,9.99,9.99,0.0,0.0,1.0
2018-01-17,9.99,10.028,9.99,10.0,10.0,1300.0,0.0,1.0
2018-01-18,9.98,10.04,9.95,10.0,10.0,3700.0,0.0,1.0
2018-01-19,10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
2018-01-22,10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
2018-01-23,10.25,10.25,9.96,9.97,9.97,82200.0,0.0,1.0
2018-01-24,9.96,9.971,9.96,9.97,9.97,4600.0,0.0,1.0
2018-01-25,9.98,9.99,9.97,9.97,9.97,258800.0,0.0,1.0
2018-01-26,9.97,9.97,9.97,9.97,9.97,0.0,0.0,1.0
2018-01-29,9.99,10.0,9.96,9.97,9.97,332900.0,0.0,1.0
2018-01-30,9.96,10.04,9.96,9.96,9.96,13400.0,0.0,1.0
2018-01-31,9.98,9.98,9.97,9.97,9.97,151000.0,0.0,1.0
2018-02-01,9.98,10.1,9.97,10.0,10.0,88300.0,0.0,1.0
2018-02-02,9.98,9.98,9.98,9.98,9.98,100.0,0.0,1.0
2018-02-05,9.95,10.0,9.95,9.99,9.99,300.0,0.0,1.0
2018-02-06,9.96,9.96,9.96,9.96,9.96,500.0,0.0,1.0
2018-02-07,9.96,9.96,9.96,9.96,9.96,0.0,0.0,1.0
2018-02-08,9.96,9.96,9.96,9.96,9.96,0.0,0.0,1.0
2018-02-09,9.96,9.96,9.95,9.95,9.95,26100.0,0.0,1.0
2018-02-12,9.97,9.97,9.96,9.96,9.96,800.0,0.0,1.0
2018-02-13,9.96,9.96,9.96,9.96,9.96,0.0,0.0,1.0
2018-02-14,9.97,9.97,9.96,9.96,9.96,3500.0,0.0,1.0
2018-02-15,9.96,9.96,9.96,9.96,9.96,0.0,0.0,1.0
2018-02-16,9.96,9.964,9.95,9.95,9.95,199000.0,0.0,1.0
2018-02-20,9.95,10.03,9.95,10.03,10.03,200.0,0.0,1.0
2018-02-21,10.03,10.03,10.03,10.03,10.03,0.0,0.0,1.0
2018-02-22,10.03,10.03,10.03,10.03,10.03,0.0,0.0,1.0
2018-02-23,10.1,10.1,10.1,10.1,10.1,100.0,0.0,1.0
