date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-08-30,4.35,4.35,4.35,4.35,3.9894,400.0,0.055,1.0
2016-09-21,4.35,4.595,4.35,4.4,4.0352,2724.0,0.0,1.0
2016-11-28,5.63,5.63,4.45,4.45,4.0811,235.0,0.0,1.0
2016-12-05,4.9,4.9,4.9,4.9,4.4938,145.0,0.0,1.0
2016-12-15,4.9,4.9,4.9,4.9,4.4938,205.0,0.0,1.0
2016-12-22,6.0,6.0,5.9175,5.9175,5.4269,265.0,0.0,1.0
2016-12-28,5.0,5.15,5.0,5.15,4.7231,485.0,0.0,1.0
2017-01-09,5.5,5.5,5.5,5.5,5.044,300.0,0.0,1.0
2017-01-10,5.85,5.85,5.548,5.548,5.0881,300.0,0.0,1.0
2017-01-11,5.85,5.85,5.65,5.65,5.1816,1050.0,0.0,1.0
2017-01-12,5.9,5.9,5.9,5.9,5.4109,230.0,0.0,1.0
2017-01-26,6.49,6.49,6.49,6.49,5.952,100.0,0.0,1.0
2017-01-27,5.9,5.9,5.9,5.9,5.4109,100.0,0.0,1.0
2017-01-30,5.24,5.24,5.24,5.24,4.8056,1020.0,0.0,1.0
2017-01-31,5.42,5.42,5.42,5.42,4.9707,100.0,0.0,1.0
2017-02-01,5.45,5.45,5.44,5.44,4.989,330.0,0.0,1.0
2017-02-08,5.74,5.74,5.74,5.74,5.2641,223.0,0.0,1.0
2017-02-09,6.03,6.03,6.0,6.0,5.5026,1477.0,0.0,1.0
2017-02-21,5.75,5.8686,5.675,5.8686,5.3821,1500.0,0.0,1.0
2017-02-27,5.45,5.5475,5.45,5.5475,5.0876,200.0,0.0,1.0
2017-03-07,5.6501,5.84,5.65,5.84,5.3559,2000.0,0.0,1.0
2017-03-23,5.84,5.85,5.84,5.85,5.365,670.0,0.0,1.0
2017-03-29,5.85,5.85,5.85,5.85,5.365,100.0,0.0,1.0
2017-04-03,6.0,6.0,6.0,6.0,5.5026,510.0,0.0,1.0
2017-04-04,6.15,6.15,6.15,6.15,5.6402,200.0,0.0,1.0
2017-04-12,5.75,5.75,5.5,5.5001,5.0441,1299.0,0.0,1.0
2017-04-20,6.13,6.13,6.13,6.13,5.6218,119.0,0.0,1.0
2017-04-28,6.0,7.49,5.9875,7.49,6.8691,1290.0,0.0,1.0
2017-05-01,7.5,7.5,6.96,7.0,6.4197,663.0,0.0,1.0
2017-05-05,5.56,5.56,5.2,5.2,4.7689,510.0,0.0,1.0
2017-05-10,5.2,5.2,5.0048,5.1999,4.7688,1438.0,0.0,1.0
2017-05-19,5.2,5.2,5.1,5.2,4.7689,1020.0,0.0,1.0
2017-05-25,5.4975,5.5,5.4975,5.5,5.044,410.0,0.0,1.0
2017-06-27,5.05,5.05,5.05,5.05,4.6313,200.0,0.0,1.0
2017-06-28,5.05,5.4348,5.05,5.4348,4.9842,819.0,0.0,1.0
2017-07-05,9.93,10.45,9.7,10.1,9.2627,20700.0,0.0,1.0
2017-07-06,9.57,10.1,9.17,10.0,9.171,13100.0,0.0,1.0
2017-07-07,10.1,10.1,9.85,10.08,9.2443,800.0,0.0,1.0
2017-07-10,9.79,9.995,9.74,9.99,9.1618,3400.0,0.0,1.0
2017-07-11,9.55,9.55,9.342,9.5,8.7124,3400.0,0.0,1.0
2017-07-12,8.93,9.19,8.81,8.96,8.2172,15100.0,0.0,1.0
2017-07-14,5.05,5.05,5.05,5.05,4.6313,0.0,0.0,1.0
2017-07-17,5.05,5.05,5.05,5.05,4.6313,0.0,0.0,1.0
2017-07-18,5.4,9.0,5.4,7.04,6.4564,3600.0,0.0,1.0
2017-07-19,5.6,6.17,5.6,6.17,5.6585,700.0,0.0,1.0
2017-07-20,6.17,6.17,6.17,6.17,5.6585,0.0,0.0,1.0
2017-07-21,5.64,5.7,5.25,5.25,4.8148,2500.0,0.0,1.0
2017-07-24,5.174,5.45,5.05,5.45,4.9982,1500.0,0.0,1.0
2017-07-25,5.45,5.45,5.45,5.45,4.9982,0.0,0.0,1.0
2017-07-26,5.32,5.41,5.32,5.41,4.9615,200.0,0.0,1.0
2017-07-27,5.41,5.41,5.41,5.41,4.9615,0.0,0.0,1.0
2017-07-28,5.4,5.4,5.3,5.3,4.8606,200.0,0.0,1.0
2017-07-31,5.3,5.3,5.3,5.3,4.8606,0.0,0.0,1.0
2017-08-01,5.3,5.3,5.3,5.3,4.8606,0.0,0.0,1.0
2017-08-02,5.3,5.3,5.3,5.3,4.8606,0.0,0.0,1.0
2017-08-03,5.3,5.3,5.3,5.3,4.8606,0.0,0.0,1.0
2017-08-04,5.3,5.567,5.06,5.15,4.7231,1100.0,0.0,1.0
2017-08-07,5.15,5.18,5.1,5.1,4.6772,1000.0,0.0,1.0
2017-08-08,5.15,5.15,5.15,5.15,4.7231,1300.0,0.0,1.0
2017-08-09,5.0,5.0,5.0,5.0,4.5855,1000.0,0.0,1.0
2017-08-10,5.29,5.29,5.29,5.29,4.8514,200.0,0.0,1.0
2017-08-11,4.9,4.9,4.9,4.9,4.4938,100.0,0.0,1.0
2017-08-14,4.9,4.9,4.9,4.9,4.4938,0.0,0.0,1.0
2017-08-15,4.75,4.75,4.75,4.75,4.3562,800.0,0.0,1.0
2017-08-16,5.5,5.5,5.415,5.475,5.0211,1400.0,0.0,1.0
2017-08-17,5.0,5.156,5.0,5.156,4.7286,2700.0,0.0,1.0
2017-08-18,5.5,5.5,5.16,5.16,4.7322,1000.0,0.0,1.0
2017-08-21,5.5,5.5,5.1,5.1,4.6772,300.0,0.0,1.0
2017-08-22,5.0,5.0,4.9,4.9,4.4938,3000.0,0.0,1.0
2017-08-23,4.9,4.9,4.9,4.9,4.4938,0.0,0.0,1.0
2017-08-24,4.9,4.9,4.9,4.9,4.4938,0.0,0.0,1.0
2017-08-25,4.85,4.85,4.85,4.85,4.4479,500.0,0.0,1.0
2017-08-28,4.85,4.85,4.85,4.85,4.4479,0.0,0.0,1.0
2017-08-29,4.85,4.85,4.85,4.85,4.4479,0.0,0.0,1.0
2017-08-30,4.9,4.9,4.9,4.9,4.4938,1000.0,0.0,1.0
2017-08-31,5.05,5.05,5.0,5.05,4.6313,1700.0,0.0,1.0
2017-09-01,5.1,5.1,5.1,5.1,4.6772,4100.0,0.0,1.0
2017-09-05,5.18,5.3,4.64,4.64,4.2553,1700.0,0.0,1.0
2017-09-06,4.64,4.64,4.64,4.64,4.2553,100.0,0.0,1.0
2017-09-07,4.81,4.81,4.81,4.81,4.4112,200.0,0.0,1.0
2017-09-08,5.3,5.3,5.29,5.29,4.8514,600.0,0.0,1.0
2017-09-11,5.25,5.25,5.25,5.25,4.8148,500.0,0.0,1.0
2017-09-12,5.0,5.0,4.9,4.9,4.4938,300.0,0.0,1.0
2017-09-13,5.2,5.52,4.83,5.52,5.0624,2800.0,0.0,1.0
2017-09-14,5.52,5.52,5.52,5.52,5.0624,0.0,0.0,1.0
2017-09-15,5.5,5.5,5.5,5.5,5.044,300.0,0.0,1.0
2017-09-18,5.65,5.65,5.6,5.6,5.1357,500.0,0.0,1.0
2017-09-19,5.5,5.5,5.5,5.5,5.044,500.0,0.0,1.0
2017-09-20,5.5,5.5,5.5,5.5,5.044,200.0,0.0,1.0
2017-09-21,5.5,5.5,5.5,5.5,5.044,0.0,0.0,1.0
2017-09-22,5.51,5.51,5.51,5.51,5.0532,200.0,0.0,1.0
2017-09-25,5.51,5.51,5.51,5.51,5.0532,0.0,0.0,1.0
2017-09-26,5.88,5.88,5.88,5.88,5.3925,500.0,0.0,1.0
2017-09-27,5.708,5.708,5.708,5.708,5.2348,100.0,0.0,1.0
2017-09-28,5.5,5.5,5.5,5.5,5.044,100.0,0.0,1.0
2017-09-29,5.5,5.5,5.5,5.5,5.044,0.0,0.0,1.0
2017-10-02,5.805,5.85,5.805,5.85,5.365,500.0,0.0,1.0
2017-10-03,5.85,5.85,5.85,5.85,5.365,0.0,0.0,1.0
2017-10-04,5.6,5.6,5.6,5.6,5.1357,1100.0,0.0,1.0
2017-10-05,5.6,5.6,5.6,5.6,5.1357,0.0,0.0,1.0
2017-10-06,5.6,5.6,5.6,5.6,5.1357,0.0,0.0,1.0
2017-10-09,5.6,5.6,5.6,5.6,5.1357,0.0,0.0,1.0
2017-10-10,5.6,5.6,5.6,5.6,5.1357,0.0,0.0,1.0
2017-10-11,5.6,5.6,5.6,5.6,5.1357,0.0,0.0,1.0
2017-10-12,5.6,5.6,5.6,5.6,5.1357,0.0,0.0,1.0
2017-10-13,5.6,5.6,5.6,5.6,5.1357,0.0,0.0,1.0
2017-10-16,5.6,5.6,5.6,5.6,5.1357,0.0,0.0,1.0
2017-10-17,5.8,5.8,5.8,5.8,5.3192,400.0,0.0,1.0
2017-10-18,5.8,5.8,5.8,5.8,5.3192,0.0,0.0,1.0
2017-10-19,5.75,5.75,5.688,5.688,5.2165,200.0,0.0,1.0
2017-10-20,5.688,5.688,5.688,5.688,5.2165,0.0,0.0,1.0
2017-10-23,5.688,5.688,5.688,5.688,5.2165,0.0,0.0,1.0
2017-10-24,5.8,5.8,5.695,5.695,5.2229,200.0,0.0,1.0
2017-10-25,5.8,5.8,5.8,5.8,5.3192,200.0,0.0,1.0
2017-10-26,5.8,5.8,5.8,5.8,5.3192,0.0,0.0,1.0
2017-10-27,5.75,5.75,5.75,5.75,5.2733,100.0,0.0,1.0
2017-10-30,5.588,5.588,5.588,5.588,5.1247,300.0,0.0,1.0
2017-10-31,5.75,5.75,5.739,5.739,5.2632,1000.0,0.0,1.0
2017-11-01,5.6,5.611,5.6,5.611,5.1458,400.0,0.0,1.0
2017-11-02,5.75,5.8,5.75,5.8,5.3192,400.0,0.0,1.0
2017-11-03,5.8,5.8,5.8,5.8,5.3192,300.0,0.0,1.0
2017-11-06,5.8,5.8,5.8,5.8,5.3192,0.0,0.0,1.0
2017-11-07,5.8,5.8,5.8,5.8,5.3192,0.0,0.0,1.0
2017-11-08,5.8,5.8,5.8,5.8,5.3192,0.0,0.0,1.0
2017-11-09,5.8,5.8,5.8,5.8,5.3192,0.0,0.0,1.0
2017-11-10,5.667,5.667,5.667,5.667,5.1972,100.0,0.0,1.0
2017-11-13,5.667,5.667,5.667,5.667,5.1972,0.0,0.0,1.0
2017-11-14,5.5,5.6,5.475,5.475,5.0211,1200.0,0.0,1.0
2017-11-15,5.03,5.03,5.03,5.03,4.613,100.0,0.0,1.0
2017-11-16,5.03,5.03,5.03,5.03,4.613,0.0,0.0,1.0
2017-11-17,5.03,5.03,5.03,5.03,4.613,0.0,0.0,1.0
2017-11-20,5.03,5.03,5.03,5.03,4.613,0.0,0.0,1.0
2017-11-21,5.03,5.03,5.03,5.03,4.613,1000.0,0.0,1.0
2017-11-22,5.25,5.25,5.25,5.25,4.8148,200.0,0.0,1.0
2017-11-24,5.25,5.25,5.25,5.25,4.8148,100.0,0.0,1.0
2017-11-27,5.25,5.25,5.25,5.25,4.8148,0.0,0.0,1.0
2017-11-28,5.5,5.5,5.45,5.5,5.044,400.0,0.0,1.0
2017-11-29,5.1,5.1,5.1,5.1,4.6772,100.0,0.0,1.0
2017-11-30,5.1,5.1,5.1,5.1,4.6772,0.0,0.0,1.0
2017-12-01,5.1,5.1,5.1,5.1,4.6772,0.0,0.0,1.0
2017-12-04,5.1,5.1,5.1,5.1,4.6772,0.0,0.0,1.0
2017-12-05,5.5,5.5,5.5,5.5,5.044,300.0,0.0,1.0
2017-12-06,5.2,5.295,5.15,5.15,4.7231,3000.0,0.0,1.0
2017-12-07,5.15,5.15,5.15,5.15,4.9338,0.0,0.22,1.0
2017-12-08,5.15,5.15,5.15,5.15,4.9338,0.0,0.0,1.0
2017-12-11,5.15,5.15,5.15,5.15,4.9338,0.0,0.0,1.0
2017-12-12,5.15,5.15,5.15,5.15,4.9338,0.0,0.0,1.0
2017-12-13,5.15,5.15,5.15,5.15,4.9338,0.0,0.0,1.0
