date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-08-11,4.0417,4.1354,4.0417,4.1354,1.5229,20400.0,0.0,1.0
1999-08-12,4.1354,4.1563,4.0521,4.1146,1.6055,66600.0,0.2325,1.0
1999-08-13,4.125,4.1667,4.0833,4.1458,1.6177,33600.0,0.0,1.0
1999-08-16,4.1458,4.25,4.1458,4.25,1.6583,45600.0,0.0,1.0
1999-08-17,4.1979,4.1979,4.1042,4.1667,1.6258,56400.0,0.0,1.0
1999-08-18,4.1042,4.1042,4.0833,4.0833,1.5933,21000.0,0.0,1.0
1999-08-19,4.1667,4.1667,4.1667,4.1667,1.6258,1200.0,0.0,1.0
1999-08-20,4.1042,4.1458,4.1042,4.1458,1.6177,42000.0,0.0,1.0
1999-08-23,4.125,4.125,4.0833,4.0833,1.5933,24600.0,0.0,1.0
1999-08-24,4.0833,4.1146,4.0417,4.1146,1.6055,85200.0,0.0,1.0
1999-08-25,4.1614,4.1614,4.0833,4.1042,1.6014,37800.0,0.0,1.0
1999-08-26,4.1042,4.1458,4.1042,4.1458,1.6177,34800.0,0.0,1.0
1999-08-27,4.1042,4.1563,4.1042,4.1563,1.6217,43200.0,0.0,1.0
1999-08-30,4.1667,4.1667,4.1042,4.1458,1.6177,122400.0,0.0,1.0
1999-08-31,4.125,4.1667,4.0833,4.1458,1.6177,203400.0,0.0,1.0
1999-09-01,4.1667,4.2083,4.125,4.1667,1.6258,187800.0,0.0,1.0
1999-09-02,4.2083,4.2083,4.1667,4.1719,1.6278,194400.0,0.0,1.0
1999-09-03,4.25,4.25,4.1667,4.1667,1.6258,43800.0,0.0,1.0
1999-09-07,4.1667,4.1667,4.1458,4.1667,1.6258,58800.0,0.0,1.0
1999-09-08,4.1667,4.2708,4.1458,4.2083,1.642,70800.0,0.0,1.0
1999-09-09,4.2917,4.2917,4.125,4.1458,1.6177,299400.0,0.0,1.0
1999-09-10,4.125,4.1875,4.125,4.1458,1.6177,94200.0,0.0,1.0
1999-09-13,4.1563,4.1667,4.1458,4.1458,1.6177,258600.0,0.0,1.0
1999-09-14,4.1458,4.1458,4.1042,4.1146,1.6055,490200.0,0.0,1.0
1999-09-15,4.125,4.1302,4.1146,4.1146,1.6055,21000.0,0.0,1.0
1999-09-16,4.1146,4.125,4.0208,4.0208,1.5689,51000.0,0.0,1.0
1999-09-17,4.1354,4.1354,4.0625,4.0625,1.5851,160800.0,0.0,1.0
1999-09-20,4.0625,4.0833,4.0625,4.0625,1.5851,171600.0,0.0,1.0
1999-09-21,4.0625,4.0833,4.0417,4.0417,1.577,147600.0,0.0,1.0
1999-09-22,4.0677,4.0833,4.0417,4.0417,1.577,79800.0,0.0,1.0
1999-09-23,4.0417,4.0625,4.0417,4.0625,1.5851,95400.0,0.0,1.0
1999-09-24,4.0833,4.0833,4.0417,4.0417,1.577,1800.0,0.0,1.0
1999-09-27,4.0833,4.0833,4.0,4.0833,1.5933,127800.0,0.0,1.0
1999-09-28,4.1406,4.1406,4.0521,4.1146,1.6055,88200.0,0.0,1.0
1999-09-29,4.0521,4.1667,4.0104,4.1563,1.6217,109800.0,0.0,1.0
1999-09-30,4.1042,4.1667,4.1042,4.1563,1.6217,165000.0,0.0,1.0
1999-10-01,4.1614,4.1614,4.125,4.1563,1.6217,101400.0,0.0,1.0
1999-10-04,4.1458,4.3333,4.1458,4.2917,1.6746,121200.0,0.0,1.0
1999-10-05,4.2292,4.2292,4.0833,4.1771,1.6299,27600.0,0.0,1.0
1999-10-06,4.2135,4.3333,4.2135,4.3333,1.6908,61200.0,0.0,1.0
1999-10-07,4.3281,4.4063,4.2917,4.2917,1.6746,179400.0,0.0,1.0
1999-10-08,4.2917,4.3438,4.2917,4.3438,1.6949,21000.0,0.0,1.0
1999-10-11,4.2708,4.3385,4.2708,4.2708,1.6664,54000.0,0.0,1.0
1999-10-12,4.3438,4.3438,4.2708,4.3021,1.6786,47400.0,0.0,1.0
1999-10-13,4.25,4.3333,4.25,4.2708,1.6664,72600.0,0.0,1.0
1999-10-14,4.2083,4.2344,4.2083,4.2083,1.642,4800.0,0.0,1.0
1999-10-15,4.2083,4.3125,4.2083,4.3125,1.6827,48600.0,0.0,1.0
1999-10-18,4.2708,4.2917,4.25,4.2917,1.6746,9600.0,0.0,1.0
1999-10-19,4.2917,4.2917,4.2188,4.2188,1.6461,26400.0,0.0,1.0
1999-10-20,4.2188,4.3125,4.2188,4.2708,1.6664,88200.0,0.0,1.0
1999-10-21,4.2656,4.3125,4.2604,4.3021,1.6786,22200.0,0.0,1.0
1999-10-22,4.3125,4.3229,4.3125,4.3125,1.6827,20400.0,0.0,1.0
1999-10-25,4.2708,4.4063,4.25,4.4063,1.7193,168600.0,0.0,1.0
1999-10-26,4.4063,4.5,4.4063,4.5,1.7559,439200.0,0.0,1.0
1999-10-27,4.4583,4.5,4.4375,4.4375,1.7315,85200.0,0.0,1.0
1999-10-28,4.4583,4.4583,4.375,4.4583,1.7396,48000.0,0.0,1.0
1999-10-29,4.4688,4.5208,4.4167,4.4167,1.7233,85200.0,0.0,1.0
1999-11-01,4.4792,4.5,4.4167,4.4479,1.7355,18000.0,0.0,1.0
1999-11-02,4.4479,4.5,4.4167,4.4583,1.7396,18000.0,0.0,1.0
1999-11-03,4.5,4.5,4.3333,4.4583,1.7396,43800.0,0.0,1.0
1999-11-04,4.3542,4.4583,4.3542,4.375,1.7071,45600.0,0.0,1.0
1999-11-05,4.4167,4.4583,4.3333,4.4583,1.7396,39600.0,0.0,1.0
1999-11-08,4.4583,4.4583,4.1979,4.1979,1.638,103800.0,0.0,1.0
1999-11-09,4.2708,4.4167,4.2708,4.2917,1.6746,55200.0,0.0,1.0
1999-11-10,4.2604,4.3333,4.2083,4.2083,1.7361,115200.0,0.2325,1.0
1999-11-11,4.2917,4.2917,4.2292,4.2292,1.7447,22200.0,0.0,1.0
1999-11-12,4.2292,4.2604,4.1667,4.1667,1.7189,74400.0,0.0,1.0
1999-11-15,4.2083,4.2708,4.125,4.125,1.7017,96600.0,0.0,1.0
1999-11-16,4.1667,4.2917,4.0833,4.0833,1.6845,40800.0,0.0,1.0
1999-11-17,4.2813,4.2917,4.1667,4.2292,1.7447,190800.0,0.0,1.0
1999-11-18,4.2239,4.3333,4.1979,4.2917,1.7705,147000.0,0.0,1.0
1999-11-19,4.375,4.3958,4.3646,4.3646,1.8006,22200.0,0.0,1.0
1999-11-22,4.3958,4.3958,4.2292,4.2292,1.7447,19200.0,0.0,1.0
1999-11-23,4.2917,4.2917,4.2292,4.25,1.7533,14400.0,0.0,1.0
1999-11-24,4.25,4.3333,4.25,4.3333,1.7877,18000.0,0.0,1.0
1999-11-26,4.3333,4.375,4.2917,4.375,1.8049,70200.0,0.0,1.0
1999-11-29,4.2917,4.4583,4.2708,4.4167,1.822,67800.0,0.0,1.0
1999-11-30,4.3542,4.5,4.3333,4.5,1.8564,120000.0,0.0,1.0
1999-12-01,4.375,4.4479,4.3333,4.4271,1.8263,56400.0,0.0,1.0
1999-12-02,4.4167,4.4792,4.4167,4.4167,1.822,10800.0,0.0,1.0
1999-12-03,4.4167,4.4583,4.3333,4.4375,1.8306,163800.0,0.0,1.0
1999-12-06,4.4479,4.5417,4.4479,4.5208,1.865,449400.0,0.0,1.0
1999-12-07,4.5104,4.5417,4.4896,4.5313,1.8693,280200.0,0.0,1.0
1999-12-08,4.5313,4.5521,4.5104,4.5104,1.8607,68400.0,0.0,1.0
1999-12-09,4.5,4.5729,4.5,4.5521,1.8779,205800.0,0.0,1.0
1999-12-10,4.5417,4.5833,4.5313,4.5417,1.8736,133200.0,0.0,1.0
1999-12-13,4.5469,4.5729,4.5417,4.5417,1.8736,99000.0,0.0,1.0
1999-12-14,4.5521,4.5625,4.5521,4.5521,1.8779,69000.0,0.0,1.0
1999-12-15,4.5729,4.5833,4.5417,4.5417,1.8736,112200.0,0.0,1.0
1999-12-16,4.5208,4.75,4.5,4.6458,1.9166,309000.0,0.0,1.0
1999-12-17,4.6406,4.6458,4.6146,4.6146,1.9037,83400.0,0.0,1.0
1999-12-20,4.6146,4.6458,4.526,4.5625,1.8822,50400.0,0.0,1.0
1999-12-21,4.5625,4.5625,4.5208,4.5625,1.8822,59400.0,0.0,1.0
1999-12-22,4.5729,4.6042,4.5156,4.5156,1.8629,173400.0,0.0,1.0
1999-12-23,4.5,4.526,4.4375,4.5,1.8564,139800.0,0.0,1.0
1999-12-27,4.5104,4.6042,4.5104,4.5729,1.8865,419400.0,0.0,1.0
1999-12-28,4.5833,4.5833,4.4583,4.4583,1.8392,55200.0,0.0,1.0
1999-12-29,4.5,4.5833,4.5,4.5417,1.8736,84600.0,0.0,1.0
1999-12-30,4.5729,4.6042,4.5417,4.6042,1.8994,32400.0,0.0,1.0
1999-12-31,4.5938,4.5938,4.5,4.5833,1.8908,36000.0,0.0,1.0
2000-01-03,4.5625,4.5625,4.125,4.3958,1.8134,153600.0,0.0,1.0
2000-01-04,4.4063,4.5,4.3333,4.4167,1.822,133800.0,0.0,1.0
2000-01-05,4.5208,4.5208,4.0833,4.2917,1.7705,209400.0,0.0,1.0
2000-01-06,4.2813,4.2813,4.0833,4.2396,1.749,112200.0,0.0,1.0
2000-01-07,4.25,4.3021,4.1458,4.25,1.7533,83400.0,0.0,1.0
2000-01-10,4.3021,4.3021,3.9896,3.9896,1.6459,282000.0,0.0,1.0
2000-01-11,4.125,4.1667,4.0,4.0938,1.6888,78600.0,0.0,1.0
2000-01-12,4.0938,4.2083,4.0938,4.1458,1.7103,66000.0,0.0,1.0
2000-01-13,4.125,4.2917,4.125,4.2292,1.7447,29400.0,0.0,1.0
2000-01-14,4.2292,4.4167,4.2292,4.3125,1.7791,175200.0,0.0,1.0
2000-01-18,4.2917,4.3021,4.0938,4.0938,1.6888,289800.0,0.0,1.0
2000-01-19,4.0833,4.1667,4.0,4.0,1.6502,160200.0,0.0,1.0
2000-01-20,4.0104,4.0833,3.9375,3.9792,1.6416,94800.0,0.0,1.0
2000-01-21,3.9792,3.9844,3.8229,3.9141,1.6147,225600.0,0.0,1.0
2000-01-24,3.9114,4.0417,3.8542,3.8542,1.59,162600.0,0.0,1.0
2000-01-25,3.9583,3.9583,3.8333,3.8333,1.5814,115200.0,0.0,1.0
2000-01-26,3.8333,3.9167,3.8333,3.9167,1.6158,20400.0,0.0,1.0
2000-01-27,3.8333,4.0,3.8333,3.9167,1.6158,68400.0,0.0,1.0
2000-01-28,3.9167,3.9167,3.9167,3.9167,1.6158,2400.0,0.0,1.0
2000-01-31,3.9167,3.9167,3.8438,3.8438,1.5857,189000.0,0.0,1.0
2000-02-01,3.8333,3.9167,3.7708,3.7917,1.5642,29400.0,0.0,1.0
2000-02-02,3.8438,3.9271,3.7917,3.8333,1.5814,43200.0,0.0,1.0
