date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-07-15,5.24,5.7,5.2,5.7,5.7,27400.0,0.0,1.0
2019-07-16,5.65,5.89,5.61,5.89,5.89,9300.0,0.0,1.0
2019-07-17,5.24,5.24,5.24,5.24,5.24,0.0,0.0,1.0
2019-07-18,5.24,5.24,5.24,5.24,5.24,0.0,0.0,1.0
2019-07-19,5.24,5.24,5.24,5.24,5.24,0.0,0.0,1.0
2019-07-22,5.24,5.24,5.24,5.24,5.24,0.0,0.0,1.0
2019-07-23,5.24,5.24,5.24,5.24,5.24,0.0,0.0,1.0
2019-07-24,5.3,5.3,5.15,5.15,5.15,4100.0,0.0,1.0
2019-07-25,5.15,5.15,5.15,5.15,5.15,0.0,0.0,1.0
2019-07-26,5.12,5.44,5.0,5.25,5.25,25900.0,0.0,1.0
2019-07-29,5.22,5.43,5.148,5.2,5.2,34300.0,0.0,1.0
2019-07-30,5.2,5.25,5.05,5.19,5.19,35400.0,0.0,1.0
2019-07-31,5.15,5.25,5.03,5.03,5.03,35300.0,0.0,1.0
2019-08-01,5.105,5.2,5.01,5.112,5.112,11700.0,0.0,1.0
2019-08-02,5.055,5.25,5.0,5.0,5.0,12900.0,0.0,1.0
2019-08-05,5.15,5.15,4.69,4.87,4.87,12200.0,0.0,1.0
2019-08-06,4.7,5.15,4.7,5.136,5.136,17900.0,0.0,1.0
2019-08-07,5.019,5.08,5.0,5.08,5.08,4400.0,0.0,1.0
2019-08-08,5.05,5.144,4.886,4.886,4.886,6900.0,0.0,1.0
2019-08-09,5.03,5.1,5.0,5.05,5.05,6600.0,0.0,1.0
