date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2013-08-08,21.1,25.36,21.07,24.73,24.73,10631800.0,0.0,1.0
2013-08-09,25.1,31.44,24.75,29.09,29.09,2303300.0,0.0,1.0
2013-08-12,29.0,30.34,29.0,29.7,29.7,651100.0,0.0,1.0
2013-08-13,29.99,29.99,26.63,28.69,28.69,519000.0,0.0,1.0
2013-08-14,28.26,28.59,26.51,27.23,27.23,398300.0,0.0,1.0
2013-08-15,26.65,26.99,25.11,25.8,25.8,520000.0,0.0,1.0
2013-08-16,25.8,25.99,24.84,25.63,25.63,350800.0,0.0,1.0
2013-08-19,26.09,26.47,25.52,25.94,25.94,305800.0,0.0,1.0
2013-08-20,25.71,26.24,24.0,24.1,24.1,444400.0,0.0,1.0
2013-08-21,24.08,25.28,22.62,23.73,23.73,637200.0,0.0,1.0
2013-08-22,23.99,23.99,22.87,22.92,22.92,460000.0,0.0,1.0
2013-08-23,22.88,23.65,22.8,23.42,23.42,222000.0,0.0,1.0
2013-08-26,23.41,23.74,22.41,22.6,22.6,249500.0,0.0,1.0
2013-08-27,22.5,22.55,20.65,21.64,21.64,638400.0,0.0,1.0
2013-08-28,21.45,22.03,20.96,21.36,21.36,364100.0,0.0,1.0
2013-08-29,21.9,22.81,21.62,22.18,22.18,394100.0,0.0,1.0
2013-08-30,22.29,22.56,21.6,21.73,21.73,181200.0,0.0,1.0
2013-09-03,22.28,22.74,21.13,22.31,22.31,534200.0,0.0,1.0
2013-09-04,22.5,23.3,22.0,22.39,22.39,707700.0,0.0,1.0
2013-09-05,23.0,24.91,22.44,24.29,24.29,568500.0,0.0,1.0
2013-09-06,24.79,25.91,23.68,25.54,25.54,388800.0,0.0,1.0
2013-09-09,25.85,27.46,25.01,25.98,25.98,591500.0,0.0,1.0
2013-09-10,26.76,27.08,26.0,26.76,26.76,272300.0,0.0,1.0
2013-09-11,26.98,26.98,24.16,25.42,25.42,466800.0,0.0,1.0
2013-09-12,25.95,25.95,24.32,24.64,24.64,222900.0,0.0,1.0
2013-09-13,24.62,25.0,23.73,23.9,23.9,199000.0,0.0,1.0
2013-09-16,24.01,24.01,22.1,22.57,22.57,473600.0,0.0,1.0
2013-09-17,22.5,24.15,22.33,23.95,23.95,428400.0,0.0,1.0
2013-09-18,24.15,25.09,23.31,24.3,24.3,326800.0,0.0,1.0
2013-09-19,24.5,24.75,23.5,23.7,23.7,166000.0,0.0,1.0
2013-09-20,23.41,23.59,21.31,22.12,22.12,604700.0,0.0,1.0
2013-09-23,22.13,22.88,21.24,22.12,22.12,411500.0,0.0,1.0
2013-09-24,21.74,22.2,21.12,21.41,21.41,543300.0,0.0,1.0
2013-09-25,21.53,22.27,21.25,22.12,22.12,1013000.0,0.0,1.0
2013-09-26,22.5,22.78,22.11,22.62,22.62,443300.0,0.0,1.0
2013-09-27,22.4,23.6,22.4,23.01,23.01,467000.0,0.0,1.0
2013-09-30,22.37,24.23,22.09,23.69,23.69,1052200.0,0.0,1.0
2013-10-01,23.69,24.32,23.45,24.24,24.24,465300.0,0.0,1.0
2013-10-02,23.99,25.95,23.89,25.5,25.5,575300.0,0.0,1.0
2013-10-03,25.55,25.92,24.29,25.1,25.1,420200.0,0.0,1.0
2013-10-04,25.01,25.14,23.36,23.59,23.59,280100.0,0.0,1.0
2013-10-07,23.51,23.58,22.85,23.13,23.13,356800.0,0.0,1.0
2013-10-08,23.84,23.84,22.2,22.27,22.27,359000.0,0.0,1.0
2013-10-09,22.46,22.46,20.75,21.2,21.2,669400.0,0.0,1.0
2013-10-10,21.61,21.95,20.85,21.15,21.15,406100.0,0.0,1.0
2013-10-11,20.95,21.88,20.1,21.84,21.84,493800.0,0.0,1.0
2013-10-14,21.67,22.8,21.48,22.5,22.5,327700.0,0.0,1.0
2013-10-15,22.46,22.7,22.13,22.29,22.29,147300.0,0.0,1.0
2013-10-16,22.42,23.08,22.36,23.01,23.01,118000.0,0.0,1.0
2013-10-17,23.0,23.34,22.82,23.19,23.19,143600.0,0.0,1.0
2013-10-18,23.5,23.55,22.26,23.0,23.0,254400.0,0.0,1.0
2013-10-21,23.03,23.12,21.76,21.84,21.84,155400.0,0.0,1.0
2013-10-22,21.98,22.35,21.07,21.21,21.21,258600.0,0.0,1.0
2013-10-23,21.17,21.17,20.7,20.9,20.9,189700.0,0.0,1.0
2013-10-24,20.92,21.57,20.16,21.51,21.51,378200.0,0.0,1.0
2013-10-25,21.6,22.04,20.7,22.02,22.02,188000.0,0.0,1.0
2013-10-28,22.0,22.72,21.81,22.4,22.4,330800.0,0.0,1.0
2013-10-29,22.85,22.85,21.91,22.08,22.08,133900.0,0.0,1.0
2013-10-30,22.1,22.1,21.0,21.54,21.54,218800.0,0.0,1.0
2013-10-31,21.6,21.72,21.03,21.2,21.2,129500.0,0.0,1.0
2013-11-01,21.22,21.27,20.5,20.88,20.88,168100.0,0.0,1.0
2013-11-04,20.89,21.2,20.52,20.61,20.61,100900.0,0.0,1.0
2013-11-05,20.56,20.7,20.02,20.35,20.35,199100.0,0.0,1.0
2013-11-06,20.44,20.54,18.28,18.65,18.65,410000.0,0.0,1.0
2013-11-07,18.7,19.04,17.52,17.65,17.65,355500.0,0.0,1.0
2013-11-08,18.35,20.15,17.9,19.33,19.33,738500.0,0.0,1.0
2013-11-11,19.41,19.93,18.95,19.62,19.62,219800.0,0.0,1.0
2013-11-12,19.83,19.95,19.02,19.2,19.2,214300.0,0.0,1.0
2013-11-13,19.02,19.62,19.02,19.17,19.17,198600.0,0.0,1.0
2013-11-14,19.26,19.44,17.82,18.12,18.12,278900.0,0.0,1.0
2013-11-15,20.08,20.45,19.43,19.67,19.67,1388900.0,0.0,1.0
2013-11-18,19.77,19.95,19.13,19.51,19.51,464200.0,0.0,1.0
2013-11-19,19.39,19.66,19.01,19.42,19.42,378100.0,0.0,1.0
2013-11-20,19.44,19.93,19.02,19.6,19.6,228200.0,0.0,1.0
2013-11-21,19.73,21.32,19.73,20.96,20.96,541100.0,0.0,1.0
2013-11-22,21.07,22.87,21.01,21.65,21.65,473300.0,0.0,1.0
2013-11-25,21.62,21.86,20.8,21.29,21.29,54600.0,0.0,1.0
2013-11-26,21.26,21.81,21.2,21.6,21.6,432800.0,0.0,1.0
2013-11-27,21.75,22.07,21.3,21.93,21.93,191600.0,0.0,1.0
2013-11-29,22.2,23.16,22.0,22.89,22.89,192200.0,0.0,1.0
2013-12-02,22.51,22.64,20.95,21.05,21.05,621900.0,0.0,1.0
2013-12-03,21.1,21.56,19.95,20.19,20.19,835800.0,0.0,1.0
2013-12-04,20.1,20.96,20.01,20.74,20.74,337000.0,0.0,1.0
2013-12-05,20.67,21.14,20.48,20.79,20.79,174400.0,0.0,1.0
2013-12-06,21.15,21.3,19.79,20.51,20.51,255000.0,0.0,1.0
2013-12-09,21.0,21.0,19.54,19.82,19.82,285300.0,0.0,1.0
2013-12-10,19.83,20.05,19.45,19.47,19.47,354500.0,0.0,1.0
2013-12-11,19.56,19.56,18.91,19.21,19.21,1009500.0,0.0,1.0
