date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2003-11-13,15.09,19.0,15.0,18.5,15.1263,7796907.0,0.0,1.0
2003-11-14,18.25,19.49,17.57,18.201,14.8819,1558330.0,0.0,1.0
2003-11-17,17.5,17.95,17.1,17.72,14.4886,545900.0,0.0,1.0
2003-11-18,17.66,17.73,17.05,17.3,14.1452,400922.0,0.0,1.0
2003-11-19,17.49,18.27,17.24,17.9,14.6357,144186.0,0.0,1.0
2003-11-20,17.7,17.75,17.3,17.5,14.3087,189700.0,0.0,1.0
2003-11-21,17.79,17.79,17.2,17.34,14.1779,312200.0,0.0,1.0
2003-11-24,17.5,18.0,17.4,17.55,14.3496,216100.0,0.0,1.0
2003-11-25,17.6,18.07,17.21,17.24,14.0961,300700.0,0.0,1.0
2003-11-26,17.4,17.75,17.3,17.55,14.3496,209200.0,0.0,1.0
2003-11-28,17.5,18.25,17.3,18.25,14.9219,79500.0,0.0,1.0
2003-12-01,18.28,21.33,18.28,20.69,16.917,386200.0,0.0,1.0
2003-12-02,21.47,22.58,20.5,22.25,18.1925,318600.0,0.0,1.0
2003-12-03,22.65,22.7,20.45,20.45,16.7207,326100.0,0.0,1.0
2003-12-04,20.45,20.45,18.81,19.8,16.1893,271800.0,0.0,1.0
2003-12-05,19.63,19.63,18.73,19.08,15.6006,126600.0,0.0,1.0
2003-12-08,19.05,19.1,17.88,18.7,15.2899,309800.0,0.0,1.0
2003-12-09,18.7,18.98,17.85,17.96,14.6848,268700.0,0.0,1.0
2003-12-10,18.49,18.49,17.88,18.3,14.9628,170400.0,0.0,1.0
2003-12-11,18.3,18.82,17.99,18.25,14.9219,92300.0,0.0,1.0
2003-12-12,18.4,18.7,17.3,17.9,14.6357,262600.0,0.0,1.0
2003-12-15,18.17,18.32,17.16,17.5,14.3087,449600.0,0.0,1.0
2003-12-16,17.65,17.65,16.38,17.0,13.8999,491600.0,0.0,1.0
2003-12-17,17.0,17.2,16.65,16.95,13.859,167700.0,0.0,1.0
2003-12-18,16.75,17.37,16.75,17.0,13.8999,54000.0,0.0,1.0
2003-12-19,17.05,17.73,17.0,17.72,14.4886,174300.0,0.0,1.0
2003-12-22,17.51,18.62,17.51,18.35,15.0037,318600.0,0.0,1.0
2003-12-23,18.5,18.7,18.05,18.61,15.2163,160900.0,0.0,1.0
2003-12-24,18.8,19.0,18.36,18.6,15.2081,80400.0,0.0,1.0
2003-12-26,18.6,18.6,18.18,18.29,14.9546,10700.0,0.0,1.0
2003-12-29,18.65,18.71,18.25,18.71,15.298,73500.0,0.0,1.0
2003-12-30,18.65,18.9,18.53,18.8,15.3716,36900.0,0.0,1.0
2003-12-31,18.79,18.95,18.6,18.81,15.3798,62900.0,0.0,1.0
2004-01-02,18.91,19.25,18.8,19.25,15.7396,45300.0,0.0,1.0
2004-01-05,18.99,19.45,18.85,19.34,15.8131,69300.0,0.0,1.0
2004-01-06,19.35,19.35,18.32,18.82,15.388,88800.0,0.0,1.0
2004-01-07,19.12,19.45,18.75,18.78,15.3553,157200.0,0.0,1.0
2004-01-08,19.07,19.4,18.16,18.29,14.9546,142400.0,0.0,1.0
2004-01-09,18.3,18.78,16.71,17.07,13.9571,123600.0,0.0,1.0
2004-01-12,17.08,17.95,17.01,17.79,14.5458,132900.0,0.0,1.0
2004-01-13,17.71,17.95,16.85,17.0,13.8999,380100.0,0.0,1.0
2004-01-14,17.0,18.05,16.88,18.05,14.7584,481900.0,0.0,1.0
2004-01-15,18.06,19.4,18.06,19.16,15.666,217000.0,0.0,1.0
2004-01-16,19.4,19.6,19.1,19.5,15.944,283600.0,0.0,1.0
2004-01-20,19.59,20.47,19.46,20.3,16.5981,250900.0,0.0,1.0
2004-01-21,20.3,20.3,19.4,19.8,16.1893,190500.0,0.0,1.0
2004-01-22,19.75,20.22,19.3,19.36,15.8295,94100.0,0.0,1.0
2004-01-23,19.37,20.2,19.35,19.74,16.1402,46600.0,0.0,1.0
2004-01-26,19.94,20.0,19.45,19.45,15.9031,81500.0,0.0,1.0
