date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-06-23,40.24,40.4,40.1,40.1,40.0096,300.0,0.0,1.0
2015-06-24,40.54,41.94,40.48,41.9,41.8055,6000.0,0.0,1.0
2015-06-25,41.54,42.98,40.88,42.25,42.1547,11000.0,0.0,1.0
2015-06-26,42.14,44.34,42.14,43.44,43.3421,19600.0,0.0,1.0
2015-06-29,45.82,47.58,43.72,47.58,47.4727,27100.0,0.0,1.0
2015-06-30,45.22,46.58,43.84,44.3,44.2001,15600.0,0.0,1.0
2015-07-01,42.54,44.24,42.2,43.94,43.8409,10800.0,0.0,1.0
2015-07-02,43.0,44.34,43.0,43.88,43.7811,3700.0,0.0,1.0
2015-07-06,45.04,45.18,42.5,43.14,43.0427,4400.0,0.0,1.0
2015-07-07,42.84,44.8,42.74,42.74,42.6436,7000.0,0.0,1.0
2015-07-08,43.94,46.6,43.808,46.46,46.3553,5500.0,0.0,1.0
2015-07-09,44.08,45.06,43.796,44.8,44.699,11900.0,0.0,1.0
2015-07-10,42.82,44.12,42.6,42.64,42.5439,6200.0,0.0,1.0
2015-07-13,41.3,41.3,40.24,40.32,40.2291,15200.0,0.0,1.0
2015-07-14,39.72,40.18,37.42,37.52,37.4354,19700.0,0.0,1.0
2015-07-15,36.14,37.18,35.0,36.72,36.6372,14800.0,0.0,1.0
2015-07-16,36.1,36.54,35.18,35.36,35.2803,9600.0,0.0,1.0
2015-07-17,35.52,36.12,34.84,34.84,34.7615,2900.0,0.0,1.0
2015-07-20,34.56,34.96,34.0,34.92,34.8413,10200.0,0.0,1.0
2015-07-21,35.0,36.56,35.0,35.38,35.3002,13500.0,0.0,1.0
2015-07-22,36.72,37.14,35.32,35.6,35.5197,36700.0,0.0,1.0
2015-07-23,35.42,36.16,34.94,35.84,35.7592,9400.0,0.0,1.0
2015-07-24,37.92,40.62,37.08,40.26,40.1692,29100.0,0.0,1.0
2015-07-27,41.42,42.76,40.8,41.58,41.4863,15500.0,0.0,1.0
2015-07-28,40.3,41.498,38.344,38.62,38.5329,23700.0,0.0,1.0
2015-07-29,39.16,40.64,38.34,39.98,39.8899,7300.0,0.0,1.0
2015-07-30,40.52,42.18,39.34,39.66,39.5706,11400.0,0.0,1.0
2015-07-31,38.9,39.28,37.6,38.44,38.3533,14700.0,0.0,1.0
2015-08-03,38.02,39.46,37.8,38.42,38.3334,5200.0,0.0,1.0
2015-08-04,38.06,38.46,37.4,38.132,38.046,6400.0,0.0,1.0
2015-08-05,37.16,37.26,36.22,37.24,37.156,13500.0,0.0,1.0
2015-08-06,37.18,42.04,37.18,42.04,41.9452,39200.0,0.0,1.0
2015-08-07,41.3,44.9,41.3,42.6,42.504,30700.0,0.0,1.0
2015-08-10,41.0,41.82,40.16,41.66,41.5661,19200.0,0.0,1.0
2015-08-11,42.9,44.06,41.2,42.98,42.8831,10100.0,0.0,1.0
2015-08-12,44.3,46.44,41.78,42.06,41.9652,30700.0,0.0,1.0
2015-08-13,42.32,43.38,41.3,43.38,43.2822,27600.0,0.0,1.0
2015-08-14,43.86,45.84,43.3,44.08,43.9806,8600.0,0.0,1.0
2015-08-17,45.0,45.2,41.18,41.28,41.1869,18600.0,0.0,1.0
2015-08-18,41.22,42.4,40.894,42.2,42.1049,14900.0,0.0,1.0
2015-08-19,43.82,44.68,42.286,43.26,43.1625,21200.0,0.0,1.0
2015-08-20,44.74,48.5,43.64,48.5,48.3907,62500.0,0.0,1.0
2015-08-21,50.3,53.0,47.382,52.74,52.6211,131800.0,0.0,1.0
2015-08-24,66.96,71.91,53.02,60.6,60.4634,96900.0,0.0,1.0
2015-08-25,53.28,59.92,52.1,59.78,59.6452,54300.0,0.0,1.0
2015-08-26,54.82,60.06,50.402,50.7,50.5857,21600.0,0.0,1.0
2015-08-27,47.9,49.6,46.22,46.88,46.7743,51100.0,0.0,1.0
2015-08-28,47.36,47.82,45.76,45.8,45.6967,36100.0,0.0,1.0
2015-08-31,45.88,50.3,45.38,50.24,50.1267,30000.0,0.0,1.0
2015-09-01,54.04,54.44,50.7,53.7,53.5789,79000.0,0.0,1.0
2015-09-02,51.54,53.6,48.0,48.0,47.8918,47500.0,0.0,1.0
2015-09-03,47.64,51.02,46.62,50.76,50.6456,22200.0,0.0,1.0
2015-09-04,53.22,53.56,50.124,51.28,51.1644,46900.0,0.0,1.0
2015-09-08,48.62,49.102,44.72,44.818,44.717,42900.0,0.0,1.0
2015-09-09,43.5,48.02,43.36,47.78,47.6723,28800.0,0.0,1.0
2015-09-10,48.1,48.1,44.3,45.04,44.9385,40500.0,0.0,1.0
2015-09-11,46.0,46.12,43.42,43.46,43.362,29700.0,0.0,1.0
2015-09-14,43.36,45.34,43.18,43.96,43.8609,20500.0,0.0,1.0
2015-09-15,43.78,44.34,42.2,42.46,42.3643,17600.0,0.0,1.0
2015-09-16,42.18,44.2,42.18,43.12,43.0228,18900.0,0.0,1.0
2015-09-17,43.58,43.58,39.2,40.52,40.4286,25600.0,0.0,1.0
2015-09-18,42.2,42.716,41.2,42.48,42.3842,30200.0,0.0,1.0
2015-09-21,42.262,49.34,41.76,48.16,48.0514,74400.0,0.0,1.0
2015-09-22,51.0,53.06,49.5,50.72,50.6057,45600.0,0.0,1.0
2015-09-23,50.92,52.742,49.12,51.46,51.344,41400.0,0.0,1.0
2015-09-24,52.46,57.316,52.16,54.5,54.3771,57000.0,0.0,1.0
2015-09-25,52.4,65.5,52.2,62.52,62.379,88100.0,0.0,1.0
2015-09-28,65.52,77.6,64.1,74.5,74.332,144500.0,0.0,1.0
2015-09-29,74.12,77.7,65.4,75.1,74.9307,120400.0,0.0,1.0
