date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2010-11-23,40.0,42.8,30.64,31.84,31.84,301500.0,0.0,1.0
2010-11-24,32.0,32.8,30.8,31.76,31.76,31100.0,0.0,1.0
2010-11-26,32.0,32.48,31.52,32.0,32.0,29200.0,0.0,1.0
2010-11-29,32.8,32.8,30.8,31.2,31.2,37100.0,0.0,1.0
2010-11-30,31.68,31.68,30.4,30.64,30.64,16500.0,0.0,1.0
2010-12-01,30.8,32.4,30.4,32.0,32.0,19400.0,0.0,1.0
2010-12-02,32.8,37.92,32.32,37.12,37.12,38900.0,0.0,1.0
2010-12-03,37.52,43.52,36.16,42.08,42.08,25600.0,0.0,1.0
2010-12-06,43.84,50.4,42.8,46.32,46.32,36000.0,0.0,1.0
2010-12-07,50.56,52.0,44.8,45.84,45.84,18200.0,0.0,1.0
2010-12-08,44.4,49.68,44.4,47.44,47.44,25300.0,0.0,1.0
2010-12-09,49.92,49.92,45.2,47.84,47.84,10500.0,0.0,1.0
2010-12-10,46.16,48.4,44.16,47.6,47.6,11800.0,0.0,1.0
2010-12-13,48.0,48.0,46.0,47.36,47.36,58800.0,0.0,1.0
2010-12-14,45.84,47.76,42.48,46.4,46.4,7300.0,0.0,1.0
2010-12-15,45.2,47.28,43.6,46.24,46.24,5500.0,0.0,1.0
2010-12-16,46.4,47.84,45.44,46.48,46.48,11700.0,0.0,1.0
2010-12-17,47.2,49.6,45.28,47.2,47.2,99300.0,0.0,1.0
2010-12-20,47.68,49.04,46.4,47.44,47.44,7900.0,0.0,1.0
2010-12-21,48.0,48.56,42.0,44.4,44.4,14700.0,0.0,1.0
2010-12-22,44.48,48.24,44.48,47.44,47.44,19100.0,0.0,1.0
2010-12-23,47.68,48.24,46.16,46.48,46.48,5600.0,0.0,1.0
2010-12-27,47.44,48.0,46.48,47.76,47.76,5900.0,0.0,1.0
2010-12-28,46.24,47.2,44.24,45.12,45.12,12500.0,0.0,1.0
2010-12-29,45.44,45.84,43.44,44.48,44.48,2600.0,0.0,1.0
2010-12-30,46.0,46.4,45.12,46.4,46.4,5800.0,0.0,1.0
2010-12-31,45.84,46.48,45.04,45.36,45.36,4000.0,0.0,1.0
2011-01-03,47.84,55.2,47.2,50.56,50.56,94800.0,0.0,1.0
2011-01-04,51.44,53.12,44.0,46.4,46.4,44900.0,0.0,1.0
2011-01-05,50.32,50.32,46.56,49.28,49.28,15900.0,0.0,1.0
2011-01-06,50.4,52.0,47.84,49.6,49.6,34500.0,0.0,1.0
2011-01-07,50.0,50.0,47.28,47.6,47.6,16300.0,0.0,1.0
2011-01-10,49.6,49.6,47.52,47.52,47.52,6500.0,0.0,1.0
2011-01-11,46.88,48.0,45.76,46.72,46.72,15800.0,0.0,1.0
2011-01-12,46.48,46.48,45.6,46.16,46.16,8600.0,0.0,1.0
2011-01-13,46.16,47.04,45.84,45.84,45.84,8900.0,0.0,1.0
2011-01-14,47.92,48.0,45.2,45.6,45.6,19900.0,0.0,1.0
2011-01-18,45.36,46.72,42.0,43.12,43.12,11500.0,0.0,1.0
2011-01-19,42.48,44.24,41.6,41.84,41.84,12800.0,0.0,1.0
2011-01-20,41.52,42.24,36.8,41.36,41.36,14600.0,0.0,1.0
2011-01-21,41.76,42.32,40.4,42.0,42.0,5500.0,0.0,1.0
2011-01-24,41.84,42.0,39.84,40.48,40.48,12400.0,0.0,1.0
2011-01-25,40.48,40.64,39.12,39.84,39.84,18400.0,0.0,1.0
2011-01-26,40.4,40.48,39.44,40.0,40.0,9700.0,0.0,1.0
2011-01-27,42.08,42.08,39.92,40.08,40.08,4200.0,0.0,1.0
2011-01-28,39.68,39.68,38.08,38.4,38.4,6200.0,0.0,1.0
2011-01-31,40.72,41.12,38.0,40.32,40.32,7900.0,0.0,1.0
2011-02-01,40.16,40.8,39.04,39.28,39.28,6200.0,0.0,1.0
2011-02-02,39.2,41.04,37.6,37.6,37.6,7900.0,0.0,1.0
2011-02-03,38.0,39.2,38.0,38.72,38.72,14600.0,0.0,1.0
2011-02-04,38.88,38.88,37.36,37.68,37.68,4000.0,0.0,1.0
2011-02-07,37.6,37.6,36.0,36.0,36.0,9000.0,0.0,1.0
2011-02-08,36.4,36.56,34.8,34.88,34.88,7700.0,0.0,1.0
2011-02-09,34.8,36.0,33.92,34.0,34.0,15200.0,0.0,1.0
2011-02-10,34.0,34.4,32.16,32.32,32.32,17200.0,0.0,1.0
2011-02-11,34.16,34.16,32.0,32.16,32.16,11700.0,0.0,1.0
2011-02-14,31.68,32.88,31.6,31.68,31.68,10300.0,0.0,1.0
2011-02-15,31.6,31.6,30.88,30.96,30.96,7100.0,0.0,1.0
2011-02-16,30.56,30.64,28.8,29.04,29.04,23900.0,0.0,1.0
2011-02-17,29.12,31.68,29.12,30.4,30.4,28300.0,0.0,1.0
